,city,state,artist,song
0,Massachusetts,Massachusetts,Nelly,"Maryland, Massachusetts"
1,Massachusetts,Massachusetts,Nelly,"Maryland, Massachusetts"
2,Massachusetts,Massachusetts,Gene Krupa,Massachusetts
3,Massachusetts,Massachusetts,Gene Krupa,Massachusetts
4,Massachusetts,Massachusetts,Gene Krupa,Massachusetts
5,Massachusetts,Massachusetts,The Andrews Sisters,Massachusetts
6,Massachusetts,Massachusetts,Dinah Shore,Massachusetts
7,Massachusetts,Massachusetts,Glenn Crytzer,Massachusetts
8,Massachusetts,Massachusetts,NOFX,Straight Outta Massachusetts
9,Massachusetts,Massachusetts,Ylvis,Massachusetts
10,Massachusetts,Massachusetts,Bee Gees,Massachusetts
11,Massachusetts,Massachusetts,Bee Gees,Massachusetts
12,Massachusetts,Massachusetts,Bee Gees,Massachusetts
13,Massachusetts,Massachusetts,Arlo Guthrie,Massachusetts
14,Massachusetts,Massachusetts,Ra Ra Riot,Massachusetts
15,Massachusetts,Massachusetts,Jorge Ferreira,Massachusetts: Massachusetts Jorge Ferreira Tribute To The Bee Gees
16,Massachusetts,Massachusetts,B3,Massachusetts
17,Massachusetts,Massachusetts,Jonathan Richman,Roadrunner
18,Massachusetts,Massachusetts,The Modern Lovers,Roadrunner
19,Massachusetts,Massachusetts,The Byrds,Boston
20,Massachusetts,Massachusetts,Hurriganes,Slippin' and Slidin'
21,Massachusetts,Massachusetts,Willard Grant Conspiracy,Massachusetts
22,Massachusetts,Massachusetts,Gene Clark,Boston
23,Massachusetts,Massachusetts,James Brown,Night Train
24,Massachusetts,Massachusetts,Taj Mahal,Ain't It Funky Now [*]
25,Massachusetts,Massachusetts,The Hold Steady,"Hostile, Mass."
26,Massachusetts,Massachusetts,Future,Unicorn Purp
27,Massachusetts,Massachusetts,Aaron Lewis,Massachusetts
28,Massachusetts,Massachusetts,Silverstein,Massachusetts
29,Massachusetts,Massachusetts,Silverstein,Massachusetts
30,Massachusetts,Massachusetts,A Rocket to the Moon,Call It All Home [Bonus Track]
31,Massachusetts,Massachusetts,Connie Francis,I Got Rhythm
32,Massachusetts,Massachusetts,Fatboy Slim,Roadrunner
33,Massachusetts,Massachusetts,Tom Lehrer,George Murphy
34,Massachusetts,Massachusetts,Guster,Homecoming King
35,Massachusetts,Massachusetts,Gavin DeGraw,Best I Ever Had
36,Massachusetts,Massachusetts,Amanda Palmer & the Grand Theft Orchestra,Massachusetts Avenue
37,Massachusetts,Massachusetts,Cracker,Yalla Yalla (Let's Go)
38,Massachusetts,Massachusetts,Gavin DeGraw,Best I Ever Had
39,Massachusetts,Massachusetts,Gavin DeGraw,Best I Ever Had
40,Massachusetts,Massachusetts,Modern Baseball,Mass
41,Massachusetts,Massachusetts,"Freundeskreis, Stress, Gentleman, Sékou",Tabula Rasa Pt. 2
42,Massachusetts,Massachusetts,Angie Miller,This Is the Life
43,Massachusetts,Massachusetts,"Millyz, Doble Porción",Alaska
44,Massachusetts,Massachusetts,Reba McEntire,Whoever's in New England
