,city,state,artist,song
0,Michigan,Michigan,Mac Wiseman,"Saginaw, Michigan"
1,Michigan,Michigan,Bobby Bare,Saginaw Michigan
2,Michigan,Michigan,Kid Rock,"Detroit, Michigan"
3,Michigan,Michigan,Kid Rock,"Detroit, Michigan"
4,Michigan,Michigan,Lefty Frizzell,"Saginaw, Michigan"
5,Michigan,Michigan,Faron Young,"Saginaw, Michigan [Live]"
6,Michigan,Michigan,George Jones,Saginaw Michigan
7,Michigan,Michigan,Bill Anderson,Saginaw Michigan
8,Michigan,Michigan,Moxy Früvous,Michigan Militia
9,Michigan,Michigan,Faron Young,Saginaw Michigan
10,Michigan,Michigan,Faron Young,"Saginaw, Michigan"
11,Michigan,Michigan,George Jones,"Saginaw, Michigan"
12,Michigan,Michigan,George Jones,Saginaw Michigan
13,Michigan,Michigan,Johnny Cash,Michigan City Howdy Do
14,Michigan,Michigan,Johnny Cash,"Saginaw, Michigan [Previously Unreleased Track]"
15,Michigan,Michigan,Judy Garland,I Want to Go Back to Michigan
16,Michigan,Michigan,Eminem,Groundhog Day [Bonus Track]
17,Michigan,Michigan,Eminem,Groundhog Day [Bonus Track]
18,Michigan,Michigan,Red Hot Chili Peppers,Especially in Michigan
19,Michigan,Michigan,Red Hot Chili Peppers,Especially in Michigan
20,Michigan,Michigan,The Andrews Sisters,I Want to Go Back to Michigan (Down on the Farm)
21,Michigan,Michigan,Roy Drusky,Saginaw Michigan
22,Michigan,Michigan,Leif Vollebekk,"Michigan [Recorded at The Pool, London]"
23,Michigan,Michigan,Devendra Banhart,Michigan State
24,Michigan,Michigan,David Houston,Saginaw Michigan
25,Michigan,Michigan,Albert King,Cadillac Assembly Line
26,Michigan,Michigan,Leif Vollebekk,Michigan
27,Michigan,Michigan,Everclear,Detroit
28,Michigan,Michigan,John Linnell,Michigan
29,Michigan,Michigan,David Frizzell,"Saginaw, Michigan"
30,Michigan,Michigan,The Milk Carton Kids,Michigan
31,Michigan,Michigan,Wilco,Spiders (Kidsmoke)
32,Michigan,Michigan,Protomartyr,Michigan Hammers
33,Michigan,Michigan,Tylor Carl,Girl from Michigan
34,Michigan,Michigan,Melkbelly,LCR
35,Michigan,Michigan,Fireworks,One More Creature Dizzy W/ Love
36,Michigan,Michigan,Sufjan Stevens,Say Yes! to M!ch!gan!
37,Michigan,Michigan,The Dayton Family,Flint Town
38,Michigan,Michigan,Michel Sardou,Monsieur le President de France
39,Michigan,Michigan,Johnny Cash,Highway Patrolman
40,Michigan,Michigan,Bruce Springsteen,Highway Patrolman
41,Michigan,Michigan,Bruce Springsteen,Highway Patrolman
42,Michigan,Michigan,Bruce Springsteen,Used Cars
43,Michigan,Michigan,Kate Smith,(I've Got a Gal In) Kalamazoo
44,Michigan,Michigan,Glenn Miller,(I've Got a Gal In) Kalamazoo
45,Michigan,Michigan,Glenn Miller & His Orchestra,(I've Got a Gal In) Kalamazoo
46,Michigan,Michigan,Bruce Springsteen,Used Cars
47,Michigan,Michigan,Bruce Springsteen,Used Cars
48,Michigan,Michigan,Bruce Springsteen,Highway Patrolman
49,Michigan,Michigan,Benny Goodman,(I've Got a Gal In) Kalamazoo
50,Michigan,Michigan,Buddy Guy,My Baby She Left Me (She Left Me a Mule to Ride)
51,Michigan,Michigan,Glenn Miller,I've Got a Gal in Kalamazoo
