,city,state,artist,song
0,Minnesota,Minnesota,Young Thug,Minnesota
1,Minnesota,Minnesota,Weird Al Yankovic,The Biggest Ball of Twine in Minnesota
2,Minnesota,Minnesota,Dr. Demento,The Biggest Ball of Twine in Minnesota
3,Minnesota,Minnesota,Frank Zappa,It Can't Happen Here
4,Minnesota,Minnesota,Kidz Bop Kids,Truth Hurts
5,Minnesota,Minnesota,"Lizzo, DaBaby",Truth Hurts [DaBaby Remix]
6,Minnesota,Minnesota,Frank Zappa,"Help, I'm a Rock"
7,Minnesota,Minnesota,Frank Zappa,"Help, I'm a Rock"
8,Minnesota,Minnesota,Lizzo,Truth Hurts
9,Minnesota,Minnesota,Saint Asonia,Leaving Minnesota
10,Minnesota,Minnesota,Samia,Minnesota
11,Minnesota,Minnesota,The Push Stars,Minnesota
12,Minnesota,Minnesota,Atmosphere,Jason
13,Minnesota,Minnesota,The Dresden Dolls,Shores of California
14,Minnesota,Minnesota,Kid Dakota,Ten Thousand Lakes
15,Minnesota,Minnesota,Trisha Yearwood,On a Bus to St. Cloud
16,Minnesota,Minnesota,Andre Nickatina,Bakin' Soda in Minnesota
17,Minnesota,Minnesota,Migos,Payola
18,Minnesota,Minnesota,Bombadil,Wisconsin Wedding
19,Minnesota,Minnesota,Hole,Drown Soda
20,Minnesota,Minnesota,"Raekwon, Ghostface Killah",Outta Town Shit
21,Minnesota,Minnesota,NOFX,Seeing Double at the Triple Rock
22,Minnesota,Minnesota,Gavin DeGraw,Best I Ever Had
23,Minnesota,Minnesota,Del Reeves,The Philadelphia Fillies
24,Minnesota,Minnesota,Atmosphere,Onemosphere
25,Minnesota,Minnesota,Trampled by Turtles,The Darkness and the Light
26,Minnesota,Minnesota,Triple J,Seeing Double at the Triple Rock
27,Minnesota,Minnesota,Gavin DeGraw,Best I Ever Had
28,Minnesota,Minnesota,Unlinked Artist,On a Bus to St. Cloud
29,Minnesota,Minnesota,Sadat X,Game's Sober
30,Minnesota,Minnesota,Gavin DeGraw,Best I Ever Had
31,Minnesota,Minnesota,The Complex Dialect,Radar
32,Minnesota,Minnesota,Demir Demirkan,It's a Texas Christmas
33,Minnesota,Minnesota,Devendra Banhart,Lagoon
34,Minnesota,Minnesota,BlocBoy JB,Turnt Up
35,Minnesota,Minnesota,Jimmy LaFave,On a Bus to St. Cloud
36,Minnesota,Minnesota,Wiser Time,Unreasonable Force [Radio Version]
37,Minnesota,Minnesota,Kartky,CTRL Z (minnesota)
38,Minnesota,Minnesota,Shania Twain,Rock This Country!
39,Minnesota,Minnesota,Johnny Cash,Big River
40,Minnesota,Minnesota,Alabama,The Fans [Previously Unreleased Track]
41,Minnesota,Minnesota,Johnny Cash,Big River
42,Minnesota,Minnesota,Hank Snow,I've Been Everywhere [Live]
43,Minnesota,Minnesota,Charlie Daniels,"Then, Now and Until the End"
44,Minnesota,Minnesota,Johnny Cash,Big River [Live]
45,Minnesota,Minnesota,Roy Acuff,Wabash Cannonball
46,Minnesota,Minnesota,Faron Young,Riverboat
47,Minnesota,Minnesota,Pete Seeger,Cryderville Jail
48,Minnesota,Minnesota,Pete Seeger,Belle Starr
49,Minnesota,Minnesota,Rod Stewart,You Wear It Well
50,Minnesota,Minnesota,The Band,Big River
51,Minnesota,Minnesota,Faron Young,Riverboat
