,city,state,artist,song
0,Mississippi,Mississippi,They Might Be Giants,Ten Mississippi
1,Mississippi,Mississippi,Loretta Lynn,"Louisiana Woman, Mississippi Man"
2,Mississippi,Mississippi,Conway Twitty,"Louisiana Woman, Mississippi Man"
3,Mississippi,Mississippi,Loretta Lynn,"Louisiana Woman, Mississippi Man"
4,Mississippi,Mississippi,Loretta Lynn,"Louisiana Woman, Mississippi Man"
5,Mississippi,Mississippi,Loretta Lynn,"Louisiana Woman, Mississippi Man"
6,Mississippi,Mississippi,Loretta Lynn,"Louisiana Woman, Mississippi Man"
7,Mississippi,Mississippi,Jill King,One Mississippi
8,Mississippi,Mississippi,EPMD,Blow
9,Mississippi,Mississippi,Loretta Lynn,"Louisiana Woman, Mississippi Man"
10,Mississippi,Mississippi,Loretta Lynn,"Louisiana Woman, Mississippi Man"
11,Mississippi,Mississippi,Conway Twitty,"Louisiana Woman, Mississippi Man"
12,Mississippi,Mississippi,Hans Theessink,Mississippi
13,Mississippi,Mississippi,Hans Theessink,Mississippi
14,Mississippi,Mississippi,Charley Pride,Roll on Mississippi
15,Mississippi,Mississippi,Phil Ochs,Here's to the State of Mississippi
16,Mississippi,Mississippi,Mavis Staples,Down in Mississippi [Live]
17,Mississippi,Mississippi,Old Crow Medicine Show,Louisiana Woman Mississippi Man
18,Mississippi,Mississippi,Martina McBride,"Louisiana Woman, Mississippi Man"
19,Mississippi,Mississippi,Otis Spann,Home to Mississippi
20,Mississippi,Mississippi,Emily West,Mississippi's Cryin'
21,Mississippi,Mississippi,Loretta Lynn,"Louisiana Woman, Mississippi Man"
22,Mississippi,Mississippi,Zara Larsson,One Mississippi
23,Mississippi,Mississippi,Eddie Rabbitt,Crossin' the Mississippi
24,Mississippi,Mississippi,Patrick Verbeke,Down In Mississippi
25,Mississippi,Mississippi,The Ohio Players,Far East Mississippi
26,Mississippi,Mississippi,Faith Hill,Mississippi Girl
27,Mississippi,Mississippi,Faith Hill,Mississippi Girl
28,Mississippi,Mississippi,David Banner,Mississippi
29,Mississippi,Mississippi,Vince Gill,If I Can Make Mississippi
30,Mississippi,Mississippi,Dean Martin,Mississippi Mud
31,Mississippi,Mississippi,Wyclef Jean,Here's to the State of Mississippi
32,Mississippi,Mississippi,Bachman-Turner Overdrive,Mississippi Queen
33,Mississippi,Mississippi,Gentry Bronson,Along The Mississippi [acoustic solo]
34,Mississippi,Mississippi,David Banner,Mississippi
35,Mississippi,Mississippi,Ozzy Osbourne,Mississippi Queen [Previously Unreleased Track]
36,Mississippi,Mississippi,Molly Hatchet,Mississippi Moon Dog
37,Mississippi,Mississippi,Brett Young,"1, 2, 3 Mississippi"
38,Mississippi,Mississippi,Lonnie Donegan,The Battle of New Orleans
39,Mississippi,Mississippi,Dr. John,New Orleans
40,Mississippi,Mississippi,Southern Fried,Mississippi
41,Mississippi,Mississippi,Jerry Reed,Tupelo Mississippi Flash
42,Mississippi,Mississippi,Barenaked Ladies,Four Seconds [Acoustic; Bonus Track]
43,Mississippi,Mississippi,Tom Petty & the Heartbreakers,Up in Mississippi Tonight
44,Mississippi,Mississippi,Charley Pride,Mississippi Cotton Pickin' Delta Town
45,Mississippi,Mississippi,Brett Eldredge,One Mississippi
46,Mississippi,Mississippi,Barenaked Ladies,Four Seconds
47,Mississippi,Mississippi,Southern Halo,Missing Mississippi
48,Mississippi,Mississippi,Tom Jones,Tupelo Mississippi Flash
49,Mississippi,Mississippi,Mavis Staples,Down in Mississippi
50,Mississippi,Mississippi,Neil Diamond,New Orleans
51,Mississippi,Mississippi,Waylon Jennings,Mississippi Woman
52,Mississippi,Mississippi,Nina Simone,Mississippi Goddam
53,Mississippi,Mississippi,Big K.R.I.T.,M.I.S.S.I.S.S.I.P.P.I.
54,Mississippi,Mississippi,The Doobie Brothers,Black Water
55,Mississippi,Mississippi,Johnny Cash,Mississippi Sand
56,Mississippi,Mississippi,Nina Simone,Mississippi Goddam [Live]
57,Mississippi,Mississippi,The Doobie Brothers,Black Water
58,Mississippi,Mississippi,The Doobie Brothers,Black Water
59,Mississippi,Mississippi,Nina Simone,Mississippi Goddam
60,Mississippi,Mississippi,Nina Simone,Mississippi Goddam
61,Mississippi,Mississippi,Jeff Bates,My Mississippi
62,Mississippi,Mississippi,Rosanne Cash,Miss the Mississippi and You
63,Mississippi,Mississippi,Nina Simone,Mississippi Goddam
64,Mississippi,Mississippi,Dean Martin,Mississippi Dreamboat
65,Mississippi,Mississippi,Garth Brooks,Black Water
66,Mississippi,Mississippi,Old Crow Medicine Show,Child Of The Mississippi
67,Mississippi,Mississippi,Terri Clark,Three Mississippi
68,Mississippi,Mississippi,Mac Powell and the Family Reunion,Mississippi
69,Mississippi,Mississippi,Doc Watson,Miss the Mississippi and You
70,Mississippi,Mississippi,New Grass Revival,Skippin' in the Mississippi Dew
71,Mississippi,Mississippi,"New Grass Revival, Sam Bush",Skippin' in the Mississippi Dew
72,Mississippi,Mississippi,Charlie Daniels,Sweet Louisiana
73,Mississippi,Mississippi,Johnny Horton,The Battle Of New Orleans
74,Mississippi,Mississippi,Dinah Shore,The Battle of New Orleans
75,Mississippi,Mississippi,Johnny Horton,The Battle Of New Orleans
76,Mississippi,Mississippi,Bing Crosby,Mississippi Mud
77,Mississippi,Mississippi,Bing Crosby,Mississippi Mud
78,Mississippi,Mississippi,The Nitty Gritty Dirt Band,Oh Cumberland
79,Mississippi,Mississippi,Emmylou Harris,Miss the Mississippi and You
80,Mississippi,Mississippi,Bobby Darin,Mississippi Mud
81,Mississippi,Mississippi,Nina Simone,"Mississippi Goddam [1964 Live in New York, Stereo; Live]"
82,Mississippi,Mississippi,Bob Dylan,Miss the Mississippi [Previously Unreleased Track]
83,Mississippi,Mississippi,Johnny Horton,The Battle Of New Orleans
84,Mississippi,Mississippi,Jeff Beck,New Orleans
85,Mississippi,Mississippi,Arlo Guthrie,Miss the Mississippi and You
86,Mississippi,Mississippi,Bobby Goldsboro,Muddy Mississippi Line
87,Mississippi,Mississippi,"Gary ""U.S."" Bonds",New Orleans
88,Mississippi,Mississippi,The Stampeders,New Orleans
89,Mississippi,Mississippi,Bobby Rush,Down in Mississippi
90,Mississippi,Mississippi,The Secret Sisters,Iuka
91,Mississippi,Mississippi,"Gary ""U.S."" Bonds",New Orleans
92,Mississippi,Mississippi,"Gary ""U.S."" Bonds",New Orleans
93,Mississippi,Mississippi,The Platters,Mississippi Mud
94,Mississippi,Mississippi,Dinah Shore,Mississippi Mud
95,Mississippi,Mississippi,Ted Nugent,Mississippi Queen
