,city,state,artist,song
0,Missouri,Missouri,Merle Travis,Missouri
1,Missouri,Missouri,Eddy Arnold,Missouri
2,Missouri,Missouri,The Kingston Trio,Across the Wide Missouri
3,Missouri,Missouri,Eddy Arnold,Across the Wide Missouri
4,Missouri,Missouri,Pete Seeger,Shenandoah
5,Missouri,Missouri,Pete Seeger,Shenandoah
6,Missouri,Missouri,Bananarama,Aie-A-Mwana
7,Missouri,Missouri,Judy Garland,Shenandoah
8,Missouri,Missouri,Bob Dylan,Shenandoah
9,Missouri,Missouri,Low,Missouri
10,Missouri,Missouri,Jimmy Dean,Shenandoah
11,Missouri,Missouri,David Allan Coe,Shenandoah
12,Missouri,Missouri,EL VY,"Happiness, Missouri"
13,Missouri,Missouri,James Last,Shenandoah
14,Missouri,Missouri,Celtic Woman,Shenandoah
15,Missouri,Missouri,The Statler Brothers,Shenandoah
16,Missouri,Missouri,Harry Belafonte,Shenandoah
17,Missouri,Missouri,Bruce Springsteen,Shenandoah
18,Missouri,Missouri,Bruce Springsteen,Shenandoah [PCM Stereo]
19,Missouri,Missouri,Arlo Guthrie,Shenandoah
20,Missouri,Missouri,Zella Day,The Outlaw Josey Wales
21,Missouri,Missouri,Rhonda Vincent,Missouri Moon
22,Missouri,Missouri,Sammy Kaye,Walkin' to Missouri
23,Missouri,Missouri,Eminem,Groundhog Day [Bonus Track]
24,Missouri,Missouri,Eminem,Groundhog Day [Bonus Track]
25,Missouri,Missouri,Johnny Mathis,Shenandoah
26,Missouri,Missouri,Ray Price,Across the Wide Missouri
27,Missouri,Missouri,Cry Cry Cry,Cold Missouri Waters
28,Missouri,Missouri,Ringo Starr,Missouri Loves Company
29,Missouri,Missouri,Bananarama,Aie a Mwana
30,Missouri,Missouri,Kylie Rae Harris,Missouri
31,Missouri,Missouri,Tech N9ne,On Our Way to L.A.
32,Missouri,Missouri,"Ceza, Tech N9ne",Dark Places
33,Missouri,Missouri,Melissa Etheridge,Stranger Road
34,Missouri,Missouri,Jefferson,Shenandoah (Intro Del Tema Gur Millis Morag)
35,Missouri,Missouri,Seán Keane,Shenandoah
36,Missouri,Missouri,Daniel Rodriguez,"Shenandoah, folk song"
37,Missouri,Missouri,Connie Conway,Kansas State Line
38,Missouri,Missouri,Peter Hollens,Shenandoah
39,Missouri,Missouri,Chuck Berry,Route 66
40,Missouri,Missouri,Depeche Mode,Route 66
41,Missouri,Missouri,Chuck Berry,Route 66
42,Missouri,Missouri,The Manhattan Transfer,Route 66
43,Missouri,Missouri,The Rolling Stones,Route 66
44,Missouri,Missouri,Rosemary Clooney,Route 66
45,Missouri,Missouri,Mel Tormé,Route 66
46,Missouri,Missouri,The Rolling Stones,Route 66
47,Missouri,Missouri,Rosemary Clooney,You Came a Long Way from St. Louis/You Can Take the Boy Out of the ...
48,Missouri,Missouri,Perry Como,Route 66
49,Missouri,Missouri,Perry Como,You Came a Long Way from St. Louis
50,Missouri,Missouri,Perry Como,Delaware
51,Missouri,Missouri,Eddy Arnold,Missouri Waltz
