,city,state,artist,song
0,Nebraska,Nebraska,Bowling for Soup,(Ready or Not) Omaha Nebraska
1,Nebraska,Nebraska,The Morrie Morrison Orchestra ,N-E-B-R-A-S-K-A
2,Nebraska,Nebraska,Lady Gaga,Yoü And I
3,Nebraska,Nebraska,Lady Gaga,Yoü and I [Wild Beasts Remix]
4,Nebraska,Nebraska,Lady Gaga,Yoü and I
5,Nebraska,Nebraska,Lady Gaga,Yoü And I
6,Nebraska,Nebraska,Lady Gaga,Yoü and I
7,Nebraska,Nebraska,Lady Gaga,Yoü and I [Danny Verde Club Mix]
8,Nebraska,Nebraska,Lady Gaga,Yoü and I
9,Nebraska,Nebraska,Glee,You and I/You and I
10,Nebraska,Nebraska,Lady Gaga,Yoü and I
11,Nebraska,Nebraska,Lady Gaga,Yoü And I
12,Nebraska,Nebraska,Lady Gaga,Yoü And I
13,Nebraska,Nebraska,Lady Gaga,Yoü And I
14,Nebraska,Nebraska,Lady Gaga,Yoü And I
15,Nebraska,Nebraska,Lady Gaga,Yoü And I
16,Nebraska,Nebraska,moe.,Nebraska
17,Nebraska,Nebraska,Anvil,Nabbed In Nebraska
18,Nebraska,Nebraska,Bee Gees,Road to Alaska
19,Nebraska,Nebraska,Pierre Perret,Olga
20,Nebraska,Nebraska,Sawyer Brown,The Nebraska Song
21,Nebraska,Nebraska,American Supermodel,Walking Nebraska
22,Nebraska,Nebraska,Alma Cogan,Never Do A Tango With An Eskimo
23,Nebraska,Nebraska,Alma Cogan,Never Do A Tango With An Eskimo
24,Nebraska,Nebraska,The Nields,Nebraska
25,Nebraska,Nebraska,Bruce Springsteen,Wild Billy's Circus Story
26,Nebraska,Nebraska,Bruce Springsteen,Wild Billy's Circus Story
27,Nebraska,Nebraska,Merle Travis,Sioux City Sue
28,Nebraska,Nebraska,Damien Jurado,Dear Thomas Wolfe
29,Nebraska,Nebraska,Josh Rouse,Dressed Up Like Nebraska
30,Nebraska,Nebraska,The Cash Brothers,Nebraska
31,Nebraska,Nebraska,Richard Marx,Hazard
32,Nebraska,Nebraska,Richard Marx,Hazard
33,Nebraska,Nebraska,The Decemberists,Calamity Song
34,Nebraska,Nebraska,Kimbra,Settle Down
35,Nebraska,Nebraska,Kimbra,Settle Down
36,Nebraska,Nebraska,Kimbra,Settle Down
37,Nebraska,Nebraska,Richard Marx,Hazard [Live]
38,Nebraska,Nebraska,Bhonus,Hazard
39,Nebraska,Nebraska,Kane's River,Cole Younger
40,Nebraska,Nebraska,"Richard Desjardins, Richard Desjardins",Langlois
41,Nebraska,Nebraska,Sean Smith,Hazard
42,Nebraska,Nebraska,Bruce Springsteen,Nebraska
43,Nebraska,Nebraska,Waylon Jennings,Omaha
44,Nebraska,Nebraska,Woody Guthrie,The Great Dust Storm (Dust Storm Disaster)
45,Nebraska,Nebraska,Hank Snow,I've Been Everywhere [Live]
46,Nebraska,Nebraska,Bob Seger,Get Out of Denver
47,Nebraska,Nebraska,Rich Mullins,Calling out Your Name [DVD; Bonus Track]
48,Nebraska,Nebraska,Rich Mullins,Calling out Your Name
49,Nebraska,Nebraska,David Houston,My Elusive Dreams
50,Nebraska,Nebraska,Bruce Springsteen,Nebraska
51,Nebraska,Nebraska,Woody Guthrie,Dust Storm Disaster
52,Nebraska,Nebraska,Bruce Springsteen,Nebraska
53,Nebraska,Nebraska,Tammy Wynette,My Elusive Dreams
54,Nebraska,Nebraska,Marty Robbins,Prairie Fire
55,Nebraska,Nebraska,Bing Crosby,Sioux City Sue
56,Nebraska,Nebraska,Charlie Rich,On My Knees
57,Nebraska,Nebraska,Master P,There Dey Go
58,Nebraska,Nebraska,Quincy Jones,Back on the Block
59,Nebraska,Nebraska,George Jones,My Elusive Dreams
60,Nebraska,Nebraska,Johnny Mathis,"Ace in the Hole [From ""Let's Face It! ""]"
61,Nebraska,Nebraska,Joan Baez,Rexroth's Daughter
62,Nebraska,Nebraska,George Jones,My Elusive Dreams
63,Nebraska,Nebraska,Willie Nelson,Sioux City Sue
64,Nebraska,Nebraska,Quincy Jones,Back on the Block [Club Trip Part One]
65,Nebraska,Nebraska,The Alchemist,Chemical Warfare
66,Nebraska,Nebraska,Lynn Anderson,I've Been Everywhere
67,Nebraska,Nebraska,Emmylou Harris,Nebraska
68,Nebraska,Nebraska,Neil Young,A Rock Star Bucks A Coffee Shop
69,Nebraska,Nebraska,Johnny Cash,I've Been Everywhere
70,Nebraska,Nebraska,"Neil Young, Lukas Nelson & Promise of the Real, Promise of the Real",A  Rock Star Bucks a Coffee Shop
71,Nebraska,Nebraska,Roy Orbison,Cheyenne
72,Nebraska,Nebraska,Wiz Khalifa,Do It for the Gang
73,Nebraska,Nebraska,Logic,Thank You
74,Nebraska,Nebraska,Johnny Cash,I've Been Everywhere
75,Nebraska,Nebraska,Oh Wonder,Nebraska
76,Nebraska,Nebraska,Master P,Who Want Some
77,Nebraska,Nebraska,Jimmy Buffett,Just an Old Truth Teller
78,Nebraska,Nebraska,Jimmy Buffett,Fat Person Man
79,Nebraska,Nebraska,David Houston,My Elusive Dreams
80,Nebraska,Nebraska,Tom Jones,My Elusive Dreams
81,Nebraska,Nebraska,Steel Pulse,X Ressurection
82,Nebraska,Nebraska,Roger Miller,My Elusive Dreams
83,Nebraska,Nebraska,The Velvet Underground,The Murder Mystery
84,Nebraska,Nebraska,The Velvet Underground,The Murder Mystery
85,Nebraska,Nebraska,Willie Nelson,I've Been Everywhere
86,Nebraska,Nebraska,Bobby Bare,My Elusive Dreams
87,Nebraska,Nebraska,Willie Nelson,I've Been Everywhere
88,Nebraska,Nebraska,LL Cool J,American Girl
89,Nebraska,Nebraska,2 Chainz,Chirp
90,Nebraska,Nebraska,Lynn Anderson,I've Been Everywhere
91,Nebraska,Nebraska,Asleep at the Wheel,I've Been Everywhere
92,Nebraska,Nebraska,Allan Sherman,Holiday for States
93,Nebraska,Nebraska,Master P,Murder
94,Nebraska,Nebraska,Master P,Murder
95,Nebraska,Nebraska,Method Man,Cereal Killer
96,Nebraska,Nebraska,Ferlin Husky,Sioux City Sue
97,Nebraska,Nebraska,Redman,Cereal Killer
98,Nebraska,Nebraska,Bobby Vinton,My Elusive Dreams
99,Nebraska,Nebraska,Don Gibson,My Elusive Dreams
100,Nebraska,Nebraska,George Jones,My Elusive Dreams
101,Nebraska,Nebraska,Porter Wagoner,My Elusive Dreams
102,Nebraska,Nebraska,Marty Robbins,My Elusive Dreams
103,Nebraska,Nebraska,Charlie Rich,On My Knees
104,Nebraska,Nebraska,Gucci Mane,Ghetto
105,Nebraska,Nebraska,Tex Ritter,My Elusive Dreams
106,Nebraska,Nebraska,k.d. lang,Little Patch of Heaven
107,Nebraska,Nebraska,Frank Zappa,Porn Wars Deluxe
108,Nebraska,Nebraska,Bill Anderson,My Elusive Dreams
109,Nebraska,Nebraska,REO Speedwagon,New Way to Love
110,Nebraska,Nebraska,Lynn Anderson,I've Been Everywhere
111,Nebraska,Nebraska,Michael Martin Murphey,Wildfire
112,Nebraska,Nebraska,311,Fat Chance
113,Nebraska,Nebraska,Michael Martin Murphey,Wildfire
114,Nebraska,Nebraska,Pavement,Starlings of the Slipstream
115,Nebraska,Nebraska,Tracy Byrd,Wildfire
116,Nebraska,Nebraska,Mandy Patinkin,Rhode Island Is Famous for You
117,Nebraska,Nebraska,C.W. McCall,Oregon Trail
118,Nebraska,Nebraska,Michael Feinstein,Rhode Island Is Famous for You
119,Nebraska,Nebraska,Mindy McCready,Cross Against the Moon
120,Nebraska,Nebraska,"Tyler, the Creator",Her
121,Nebraska,Nebraska,Colt Ford,What I Call Home
122,Nebraska,Nebraska,John Prine,"Egg & Daughter Nite. Lincoln Nebraska, 1967 (Crazy Bone)"
123,Nebraska,Nebraska,Tom Waits,A Sweet Little Bullet from a Pretty Blue Gun
124,Nebraska,Nebraska,Tom Waits,"Medley: Jack & Neal/California, Here I Come"
125,Nebraska,Nebraska,Poco,Living in the Band
126,Nebraska,Nebraska,Cam'ron,Cookin Up
127,Nebraska,Nebraska,Belle & Sebastian,A Plague on Other Boys
128,Nebraska,Nebraska,Tech N9ne,Planet Rock 2k [Down South Remix]
129,Nebraska,Nebraska,Gerardo Ortíz,Manuel Ponce
130,Nebraska,Nebraska,Dick Haymes,Rhode Island Is Famous for You
131,Nebraska,Nebraska,Connie Francis,Ace in the Hole
132,Nebraska,Nebraska,Raekwon,Forecast
133,Nebraska,Nebraska,Blues Traveler,Get Out of Denver
134,Nebraska,Nebraska,Chris Rice,Calling out Your Name
135,Nebraska,Nebraska,Status Quo,Get Out of Denver
136,Nebraska,Nebraska,Joe Walsh,Fairbanks Alaska
137,Nebraska,Nebraska,311,Random
138,Nebraska,Nebraska,311,Random
139,Nebraska,Nebraska,Kevin Gates,83 Babies
140,Nebraska,Nebraska,Cowboy Junkies,Floorboard Blues
141,Nebraska,Nebraska,Nancy Sinatra & Lee Hazlewood,Elusive Dreams
142,Nebraska,Nebraska,Blossom Dearie,Rhode Island Is Famous for You
143,Nebraska,Nebraska,Gerry Rafferty,Blood and Glory
144,Nebraska,Nebraska,Blossom Dearie,Rhode Island is Famous For You
145,Nebraska,Nebraska,Norma Jean,Your Elusive Dreams
146,Nebraska,Nebraska,Brandon Heath,Only Water
147,Nebraska,Nebraska,Ray LaMontagne,Drive-In Movies
148,Nebraska,Nebraska,Bill Morrissey,Harry's Last Call
149,Nebraska,Nebraska,Bright Eyes,I Watched You Taking Off
150,Nebraska,Nebraska,Owl City,The Tip of the Iceberg
151,Nebraska,Nebraska,David Houston,My Elusive Dreams
152,Nebraska,Nebraska,Ab-Soul,Dangerookipawaa Freestyle
153,Nebraska,Nebraska,Animaniacs,Wakko's America
154,Nebraska,Nebraska,Pato Banton,Go Pato
155,Nebraska,Nebraska,Humblebums,Blood and Glory
156,Nebraska,Nebraska,Gogol Bordello,Sally
157,Nebraska,Nebraska,Brewer & Shipley,Tarkio Road
158,Nebraska,Nebraska,Gogol Bordello,Sally
159,Nebraska,Nebraska,B.G.,Niggas Don't Understand
160,Nebraska,Nebraska,Paul Wall & Chamillionaire,Balla Talk II
161,Nebraska,Nebraska,Wesla Whitfield,Rhode Island Is Famous for You
162,Nebraska,Nebraska,Tru,There Dey Go
163,Nebraska,Nebraska,Keith Murray,World Be Free
164,Nebraska,Nebraska,69 Boyz,Woof Woof
165,Nebraska,Nebraska,Sean Price,The Hardest Ni**a Out
166,Nebraska,Nebraska,Damien Jurado,Omaha
167,Nebraska,Nebraska,City and Colour,Comin' Home [DVD]
168,Nebraska,Nebraska,Yella Beezy,Run To The Money
169,Nebraska,Nebraska,Nancy Sinatra,Elusive Dreams
170,Nebraska,Nebraska,Jack Greene,My Elusive Dreams
171,Nebraska,Nebraska,Silkk the Shocker,We Can Dance
172,Nebraska,Nebraska,Silkk the Shocker,We Can Dance
173,Nebraska,Nebraska,Blackfoot,Rainbow
174,Nebraska,Nebraska,Yellowcard,Rock Star Land
175,Nebraska,Nebraska,Rhett Akins,Yella Acorns
176,Nebraska,Nebraska,SUGAR & TIGER,JOHNNY TELEPHONE
177,Nebraska,Nebraska,Jeremy Winkler,Find Myself
178,Nebraska,Nebraska,Ghost Town Radio,Late Night
179,Nebraska,Nebraska,Some Guy Ty,Mad Love
180,Nebraska,Nebraska,Ice God the Macgyver,Gold & Glitter
181,Nebraska,Nebraska,BigMoneyHatcha,Rap Don't Work
182,Nebraska,Nebraska,La Luz Roja De René Cortés,Las Brujerias
183,Nebraska,Nebraska,Goose Gossett,The Winds
184,Nebraska,Nebraska,Kids Learning Tube ,50 States Of America
185,Nebraska,Nebraska,Sci-Fi Romance,A Mile of Ground
186,Nebraska,Nebraska,BigMoneyHatcha,Rap Dont Work
187,Nebraska,Nebraska,Witch Taint,Sons of Midwestern Darkness
188,Nebraska,Nebraska,Tella Viv,Dancing Branches
189,Nebraska,Nebraska,Lootpack,The Anthem
190,Nebraska,Nebraska,The Lawrence Arms,Nebraska
191,Nebraska,Nebraska,"The Lawrence Arms, Shady View Terrace",Nebraska
192,Nebraska,Nebraska,The Dismemberment Plan,Ellen and Ben
193,Nebraska,Nebraska,Gerry Rafferty,Blood and Glory
194,Nebraska,Nebraska,Dan Bern,Oklahoma
195,Nebraska,Nebraska,Erin McKeown,Rhode Island Is Famous for You
196,Nebraska,Nebraska,Billy Connolly,Blood and Glory
197,Nebraska,Nebraska,Ezra Furman,Psalm 151
198,Nebraska,Nebraska,Karmin,Hello
199,Nebraska,Nebraska,O.C.,Story
200,Nebraska,Nebraska,L.V.,Tash Rules
201,Nebraska,Nebraska,16 Horsepower,Straw Foot
202,Nebraska,Nebraska,Grey Eye Glances,Big Red Boat
203,Nebraska,Nebraska,Pigeon John,Hello Everybody
204,Nebraska,Nebraska,Melissa Ferrick,Nebraska
205,Nebraska,Nebraska,Jimmy LaFave,The Big Wheels
206,Nebraska,Nebraska,J Church,Made Life Simple
207,Nebraska,Nebraska,Buddy Clark,Rhode Island Is Famous For You
208,Nebraska,Nebraska,"Jack Haley, Sr.",Rhode Island Is Famous For You
209,Nebraska,Nebraska,Jackie Greene,Hollywood
210,Nebraska,Nebraska,Frank Turner,Nashville Tennessee
211,Nebraska,Nebraska,Joe Cohn,Rhode Island Is Famous for You
212,Nebraska,Nebraska,Dave Crossland,Jennifer
213,Nebraska,Nebraska,mewithoutYou,Red Cow
214,Nebraska,Nebraska,Modern Baseball,Mass
215,Nebraska,Nebraska,Reckless Kelly,Goodbye Colorado
216,Nebraska,Nebraska,Patrick Williams,Rhode Island Is Famous For You
217,Nebraska,Nebraska,City and Colour,Comin' Home
218,Nebraska,Nebraska,Renald Francoeur,Tour The States
219,Nebraska,Nebraska,[Champagne],El Camino
220,Nebraska,Nebraska,Rugburns,Now's Not the Right Time for Love
221,Nebraska,Nebraska,Michael Murphy,Wildfire
222,Nebraska,Nebraska,Bloods & Crips,Gangsta Shit
223,Nebraska,Nebraska,David Silverman,Rhode Island Is Famous for You
224,Nebraska,Nebraska,Dexter Danger,Return to Sender
225,Nebraska,Nebraska,Fiend,Cold Wit It
226,Nebraska,Nebraska,Guttermouth,Viva America
227,Nebraska,Nebraska,Braid,To Kiss a Trumpet Player
228,Nebraska,Nebraska,Babble,Just Like You
229,Nebraska,Nebraska,Jack & Jack,California
230,Nebraska,Nebraska,Jack & Jack,How We Livin'
231,Nebraska,Nebraska,"Pusho, Darell, Jon Z, El Alfa, Marconi Impara",Frío Pingüino [Remix]
232,Nebraska,Nebraska,Cro(w)s,Rollin Down
233,Nebraska,Nebraska,Nefarious,Jealous
234,Nebraska,Nebraska,Nobodys,Untitled Track
235,Nebraska,Nebraska,Charles Holden,Rhode Island Is Famous for You
236,Nebraska,Nebraska,Annette Sanders,Rhode Island Is Famous for You
237,Nebraska,Nebraska,Buddy Clark,Rhode Island Is Famous for You
238,Nebraska,Nebraska,Lascivious Biddies,Rhode Island Is Famous for You A.K.A. Coney Island
239,Nebraska,Nebraska,Azure Ray,The Love of Two
240,Nebraska,Nebraska,Girlyman,Amaze Me
241,Nebraska,Nebraska,Nancy LaMott,Rhode Island Is Famous for You
242,Nebraska,Nebraska,Clockwork,Rhode Island Is Famous for You
243,Nebraska,Nebraska,Russ Lorenson,Rhode Island Is Famous for You
244,Nebraska,Nebraska,Apologetix,Monkey Scheme
245,Nebraska,Nebraska,Robert Clary,Rhode Island Is Famous for You [From Inside USA]
246,Nebraska,Nebraska,Adam Gregory,End of This Road
247,Nebraska,Nebraska,Janet Planet,Rhode Island Is Famous for You
248,Nebraska,Nebraska,Clockwork,Rhode Island is Famous For You
249,Nebraska,Nebraska,Andre Nickatina,These Clowns
250,Nebraska,Nebraska,Bap,Wofür
251,Nebraska,Nebraska,France Gall,Chanson d'une terrienne
252,Nebraska,Nebraska,Night Lovell,BUMBLE BEE
253,Nebraska,Nebraska,Yung Gravy,Clock
254,Nebraska,Nebraska,Alkpote,Récital
255,Nebraska,Nebraska,"KęKę, Białas, VNM, Kora, Juras, Diox, Glowa, KaeN, Parzel, Rufuz, Ńemy, Żyto, 2Sty, HuczuHucz, Kokot",Za 15 Lat (Intro)
256,Omaha,Nebraska,Bowling for Soup,(Ready or Not) Omaha Nebraska
257,Omaha,Nebraska,Counting Crows,Omaha
258,Omaha,Nebraska,Counting Crows,Omaha
259,Omaha,Nebraska,Kacey Musgraves,Kansas City Star
260,Omaha,Nebraska,Sonny James,Three Days Out of Omaha
261,Omaha,Nebraska,Waylon Jennings,Omaha
262,Omaha,Nebraska,Roger Miller,Kansas City Star
263,Omaha,Nebraska,Kenny Rogers,Tulsa Turnaround [Bonus Track]
264,Omaha,Nebraska,Kenny Rogers,Tulsa Turnaround
265,Omaha,Nebraska,Kenny Rogers,Tulsa Turnaround
266,Omaha,Nebraska,Roger Miller,Kansas City Star
267,Omaha,Nebraska,Roger Miller,Kansas City Star
268,Omaha,Nebraska,Three Dog Night,Tulsa Turn Around
269,Omaha,Nebraska,311,Omaha Stylee
270,Omaha,Nebraska,311,Omaha Stylee
271,Omaha,Nebraska,Three Dog Night,Tulsa Turnaround
272,Omaha,Nebraska,Roger Miller,Kansas City Star
273,Omaha,Nebraska,Mantis,Omaha
274,Omaha,Nebraska,Tapes 'n Tapes,Omaha
275,Omaha,Nebraska,Joe Strummer & the Mescaleros,Techno D-Day
276,Omaha,Nebraska,Cliff Richard,La Gonave
277,Omaha,Nebraska,Mindy McCready,"Maybe, Maybe Not"
278,Omaha,Nebraska,Visqueen,Omaha
279,Omaha,Nebraska,Irving Berlin,"I'm a Bad, Bad Man"
280,Omaha,Nebraska,Trace Adkins,Til the Last Shot's Fired
281,Omaha,Nebraska,LYGA,Psalm 3-6
282,Omaha,Nebraska,Tomahawk,Omaha Dance
283,Omaha,Nebraska,Mila Mason,"Maybe, Maybe Not"
284,Omaha,Nebraska,Ray Davies,A Place in Your Heart
285,Omaha,Nebraska,The Gloria Record,I Was Born in Omaha
286,Omaha,Nebraska,Fozzy,Storm the Beaches: Prologue/Eisenhower's Letter/Able Company/Baker Comp
287,Omaha,Nebraska,Josh Ritter,Letter from Omaha
288,Omaha,Nebraska,The Handsome Family,Giant Ant
289,Omaha,Nebraska,Joan Baez,Hello in There
290,Omaha,Nebraska,Bob Seger,Turn The Page
291,Omaha,Nebraska,Gordon Lightfoot,Long Thin Dawn
292,Omaha,Nebraska,Bob Dylan,"I Shall Be Free, No. 10"
293,Omaha,Nebraska,Bob Dylan,I Shall Be Free No. 10
294,Omaha,Nebraska,Charlie Daniels,Uneasy Rider
295,Omaha,Nebraska,Charlie Daniels,Uneasy Rider
296,Omaha,Nebraska,Bob Seger,Turn The Page
297,Omaha,Nebraska,Bob Seger,Turn The Page
298,Omaha,Nebraska,Frenchy Burrito & the Folk Pistols,Hello in There
299,Omaha,Nebraska,Marty Robbins,Prairie Fire
300,Omaha,Nebraska,Johnny Cash,My Cowboy's Last Ride
301,Omaha,Nebraska,The Clash,Stop the World
302,Omaha,Nebraska,Metallica,Turn The Page
303,Omaha,Nebraska,Metallica,Turn The Page
304,Omaha,Nebraska,Master P,There Dey Go
305,Omaha,Nebraska,Beastie Boys,Ch-Check It Out
306,Omaha,Nebraska,Metallica,Turn The Page
307,Omaha,Nebraska,Beastie Boys,Ch-Check It Out
308,Omaha,Nebraska,Willie Nelson,I'll Shut Up Now
