,city,state,artist,song
0,New Hampshire,New Hampshire,John Linnell,New Hampshire
1,New Hampshire,New Hampshire,"Hank Williams, Jr.",Who's Taking Care of Number One
2,New Hampshire,New Hampshire,Virginia Coalition,Last Goodbye
3,New Hampshire,New Hampshire,matt pond PA,New Hampshire
4,New Hampshire,New Hampshire,Dispatch,Josaphine
5,New Hampshire,New Hampshire,Dark Lotus,Untitled Track
6,New Hampshire,New Hampshire,Dark Lotus,Untitled Track
7,New Hampshire,New Hampshire,Cam'ron,Got It For Cheap
8,New Hampshire,New Hampshire,Allan Sherman,Holiday for States
9,New Hampshire,New Hampshire,Ray Davies,The Great Highway
10,New Hampshire,New Hampshire,Indigo Girls,Jonas and Ezekial
11,New Hampshire,New Hampshire,"Martin Luther King, Jr.",I Have a Dream
12,New Hampshire,New Hampshire,Nick Cave & the Bad Seeds,Albert Goes West
13,New Hampshire,New Hampshire,Sonic Youth,New Hampshire
14,New Hampshire,New Hampshire,SHeDAISY,She Gets What I Deserve
15,New Hampshire,New Hampshire,Cappadonna,Life's a Gamble
16,New Hampshire,New Hampshire,Blossom Dearie,Rhode Island is Famous For You
17,New Hampshire,New Hampshire,Animaniacs,Wakko's America
18,New Hampshire,New Hampshire,Pato Banton,Go Pato
19,New Hampshire,New Hampshire,The Foremen,My School Prayer
20,New Hampshire,New Hampshire,G.G. Allin,Shove That Warrant Up Your Ass
21,New Hampshire,New Hampshire,Clutch,Worm Drink
22,New Hampshire,New Hampshire,Okkervil River,Listening to Otis Redding at Home During Christmas
23,New Hampshire,New Hampshire,Kids Learning Tube ,50 States Of America
24,Manchester,New Hampshire,The Beautiful South,Manchester
25,Manchester,New Hampshire,Brendan James,Manchester
26,Manchester,New Hampshire,John Shuttleworth,You're Like Manchester
27,Manchester,New Hampshire,Spragga Benz,"Link up (feat. Matthew Allman, Illaman, & Black Josh)"
28,Manchester,New Hampshire,The Smiths,Suffer Little Children
29,Manchester,New Hampshire,The Game,City Blues [Remix]
30,Manchester,New Hampshire,The Fall,Fortress/Deer Park
31,Manchester,New Hampshire,The Fall,Deer Park [Bonus Track]
32,Manchester,New Hampshire,The Fall,Cheetham Hill
33,Manchester,New Hampshire,Prince Far I,Skinhead
34,Manchester,New Hampshire,Lloyd Cole,Fool You Are
35,Manchester,New Hampshire,Celo & Abdi,Chabula
36,Manchester,New Hampshire,Marie Laforêt,Manchester et Liverpool
37,Manchester,New Hampshire,The Smiths,The Headmaster Ritual
38,Manchester,New Hampshire,The Smiths,The Headmaster Ritual
39,Manchester,New Hampshire,Edmundo Ros,Manchester England
40,Manchester,New Hampshire,The Fall,Symbol of Mordgan
41,Manchester,New Hampshire,Bugzy Malone,M.E.N
42,Manchester,New Hampshire,TOBi,City Blues
43,Manchester,New Hampshire,Tony Rebel,Chatty Chatty
44,Manchester,New Hampshire,Eels,Manchester Girl [BBC]
45,Manchester,New Hampshire,Bugzy Malone,M.E.N.
46,Manchester,New Hampshire,The Stranglers,Dagenham Dave
47,Manchester,New Hampshire,Frank Black,The Real el Rey
48,Manchester,New Hampshire,Pisees,Pass It
49,Manchester,New Hampshire,B.U.N.K.S.,Coffee Flavored Memories
50,Manchester,New Hampshire,James Rado,"Manchester, England"
51,Manchester,New Hampshire,Spearmint,A Week Away
52,Manchester,New Hampshire,Power of Dreams,Never Been to Texas
53,Manchester,New Hampshire,South Central Cartel,Da Bomb
54,Manchester,New Hampshire,Ethel Coley,"Manchester, England"
55,Manchester,New Hampshire,Euan Morton,"Manchester, England"
56,Manchester,New Hampshire,"Gavin Creel, Caissie Levy, Sasha Allen, Bryce Ryness, Kacie Sheik, Allison Case, Jackie Burns",The Flesh Failures / Eyes Look Your Last / Let The Sun Shine In
57,Manchester,New Hampshire,Gavin Creel,Manchester England
58,Manchester,New Hampshire,Nick Carrafa,Manchester (England)
59,Manchester,New Hampshire,E,Manchester Girl
60,Manchester,New Hampshire,Elton John,Can I Put You On
61,Manchester,New Hampshire,The Beatles,Don't Ever Change
62,Manchester,New Hampshire,Galt MacDermot,Manchester England
63,Manchester,New Hampshire,The Lords,Manchester England
64,Manchester,New Hampshire,Lightspeed Champion,The Flesh Failures
65,Manchester,New Hampshire,Vincent Delerm,Hacienda
66,Manchester,New Hampshire,Max Pezzali,L'Astronave Madre
67,Manchester,New Hampshire,Slowthai,The Bottom
68,Manchester,New Hampshire,Bugzy Malone,M.E.N II
69,Manchester,New Hampshire,Disney,Dancing in the Street
70,Manchester,New Hampshire,Monty Python,Background to History
71,Manchester,New Hampshire,The Mamas & the Papas,Dancing In The Street
72,Manchester,New Hampshire,The Mamas & the Papas,Dancing In The Street
73,Manchester,New Hampshire,Kenny Loggins,"Whenever I Call You ""Friend"""
74,Manchester,New Hampshire,Dr. Demento,Deteriorata
75,Manchester,New Hampshire,National Lampoon,Deteriorata
76,Manchester,New Hampshire,Kenny Loggins,"Whenever I Call You ""Friend"""
77,Manchester,New Hampshire,Beenie Man,Romie
78,Manchester,New Hampshire,Ewan MacColl,The Manchester Rambler
79,Manchester,New Hampshire,Ewan MacColl,The Manchester Rambler
80,Manchester,New Hampshire,Nas,"A Message to the Feds, Sincerely, We the People"
81,Manchester,New Hampshire,Aaliyah,Enough Said
82,Manchester,New Hampshire,Drake,Enough Said
83,Manchester,New Hampshire,Future,Enough Said
84,Manchester,New Hampshire,Snoop Dogg,Gaspar Yanga
85,Manchester,New Hampshire,Beenie Man,10 Out of 10
86,Manchester,New Hampshire,Ryan Adams,Manchester
87,Manchester,New Hampshire,The Fall,City Hobgoblins
88,Manchester,New Hampshire,The Fall,Crop-Dust
89,Manchester,New Hampshire,The Fall,The NWRA
90,Manchester,New Hampshire,The Fall,Powder Keg
91,Manchester,New Hampshire,The Fall,Crop-Dust
92,Manchester,New Hampshire,The Fall,The N.W.R.A.
93,Manchester,New Hampshire,Billy Bragg,Northern Industrial Town
94,Manchester,New Hampshire,The Fall,Backdrop
95,Manchester,New Hampshire,Tricky,Bacative
96,Manchester,New Hampshire,Buzzcocks,Trash Away
97,Manchester,New Hampshire,Teena Marie,Where's California
98,Manchester,New Hampshire,Beenie Man,Romie
99,Manchester,New Hampshire,"Beenie Man, Gilles Peterson",10 out of 10
100,Manchester,New Hampshire,The Stone Roses,Daybreak
101,Manchester,New Hampshire,Warren G,Wake Up
102,Manchester,New Hampshire,The Fall,City Hobgoblins
103,Manchester,New Hampshire,The Fall,Crop-Dust
104,Manchester,New Hampshire,Melissa Manchester,You Should Hear How She Talks About You
105,Manchester,New Hampshire,Melissa Manchester,Caravan
106,Manchester,New Hampshire,The Jayhawks,All the Right Reasons
107,Manchester,New Hampshire,"Travis, Josephine Oniyama",Idlewild
108,Manchester,New Hampshire,Stormzy,Crazy Titch (Interlude)
109,Manchester,New Hampshire,Burna Boy,Good Time
110,Manchester,New Hampshire,Tinie Tempah,Top Winners
111,Manchester,New Hampshire,The Fall,City Hobgoblins
112,Manchester,New Hampshire,Chase & Status,Against All Odds
113,Manchester,New Hampshire,Vybz Kartel,Our Girl
114,Manchester,New Hampshire,"Rich The Kid, Ty Dolla $ign",911
115,Manchester,New Hampshire,Del Amitri,Nothing Ever Happens
116,Manchester,New Hampshire,The Wedding Present,My Favourite Dress
117,Manchester,New Hampshire,Gomez,Whippin' Piccadilly (Turbo Version)
118,Manchester,New Hampshire,Gomez,Whippin' Piccadilly
119,Manchester,New Hampshire,Jeru the Damaja,Flip the Mic
120,Manchester,New Hampshire,Chumbawamba,Smashing of the Van
121,Manchester,New Hampshire,Jeru the Damaja,Flip the Mic
122,Manchester,New Hampshire,Bobby Ervin,Inglewood Swangin'
123,Manchester,New Hampshire,Cracker,California Country Boy
124,Manchester,New Hampshire,UFO,Dreaming of Summer
125,Manchester,New Hampshire,Whiskey Myers,Bitch
126,Manchester,New Hampshire,Passenger,All the Little Lights
127,Manchester,New Hampshire,Unlinked Artist,"Whenever I Call You ""Friend"""
128,Manchester,New Hampshire,Unlinked Artist,You Should Hear How She Talks About You
129,Manchester,New Hampshire,G.G. Allin,Shove That Warrant Up Your Ass
130,Manchester,New Hampshire,The Courteeners,Good Times Are Calling
131,Manchester,New Hampshire,Sham 69,Alice
132,Manchester,New Hampshire,Kollegah,Russlandconnection
133,Manchester,New Hampshire,Propaganda & Odd Thomas,The City
134,Manchester,New Hampshire,CJ Vana,Love (Live)
135,Manchester,New Hampshire,Marx,Live & Direct
136,Manchester,New Hampshire,Jérôme 50,Chaise musicale
137,Manchester,New Hampshire,El Reno Renardo,Retrakermix
138,Manchester,New Hampshire,Fils De Bantou,VIDA LoSa
139,Manchester,New Hampshire,Sophie Morgan,On Fire
140,Manchester,New Hampshire,Professor Lexis,I'm Fallin'
141,Manchester,New Hampshire,Jamie Kamara,Tiktak
142,Manchester,New Hampshire,The Loch Ness Mouse,Evelyn
143,Manchester,New Hampshire,ROBOTS,UK OK?
144,Manchester,New Hampshire,De+LAX,"Sex, God, Blood"
145,Manchester,New Hampshire,Dry Cleaning,Dog Proposal
146,Manchester,New Hampshire,Livia Nestrovski,Dancing in the Street
147,Manchester,New Hampshire,B.U.N.K.S.,Sunday Nite Cruise
148,Manchester,New Hampshire,Baby Namboos,Intro
149,Manchester,New Hampshire,South Central Cartel,I'm a Rider
150,Manchester,New Hampshire,Lemon Jelly,Ramblin' Man
151,Manchester,New Hampshire,The Fiery Furnaces,Staring At The Steeple
152,Manchester,New Hampshire,Die Toten Hosen,Bayern
153,Manchester,New Hampshire,Drugdealer,London Nightmare
154,Manchester,New Hampshire,Big D and the Kids Table,Fatman
155,Manchester,New Hampshire,Toyah,Restless
156,Manchester,New Hampshire,Hazel O'Connor,Just Good Friends
157,Manchester,New Hampshire,Wedlock,Blameless?
158,Manchester,New Hampshire,The Skints,Armageddon
159,Manchester,New Hampshire,Nate Dogg,Wake Up
160,Manchester,New Hampshire,Svinkels,HAPPY HOUR
161,Manchester,New Hampshire,B.J. The Chicago Kid,Rouge à lèvres
162,Manchester,New Hampshire,Udo Lindenberg,Du warst wie ein Erdbeben
163,Manchester,New Hampshire,Cassia,Replica
164,Manchester,New Hampshire,Myra,Dancing in the Street
165,Manchester,New Hampshire,Trout Fishing in America,There's a Panther in Michigan
166,Manchester,New Hampshire,Die Toten Hosen,Bayern
167,Manchester,New Hampshire,Médine,Made In
168,Manchester,New Hampshire,"KC Rebell, Majoe, Farid Bang",Bitte Spitte Toi Lab (Banger Musik Remix)
169,Manchester,New Hampshire,AP du 113,Sisi chacal
170,Manchester,New Hampshire,Bugzy Malone,Relegation Riddim
171,Manchester,New Hampshire,Ali As,Guzman
172,Manchester,New Hampshire,Chip,Run Out Riddim
