song_city,song_state,song_artist,song_name
New Jersey,New Jersey,Nerf Herder,New Jersey Girl
New Jersey,New Jersey,John Gorka,I'm from New Jersey
New Jersey,New Jersey,Lyle Lovett,Walk Through the Bottomland
New Jersey,New Jersey,MC Lars,35 Laurel Drive
New Jersey,New Jersey,Bon Jovi,Raise Your Hands
New Jersey,New Jersey,Peter Sivo Band ,New Jersey
New Jersey,New Jersey,X-Cops,Welcome to New Jersey
New Jersey,New Jersey,Perry Como,Delaware
New Jersey,New Jersey,Cole Swindell,Up
New Jersey,New Jersey,Bran Van 3000,Speed
New Jersey,New Jersey,dEUS,Theme from Turnpike
New Jersey,New Jersey,Red Hot Chili Peppers,Battle Ship
New Jersey,New Jersey,Jimmy Eat World,Big Casino
New Jersey,New Jersey,Chuck Berry,You Can't Catch Me
New Jersey,New Jersey,The Rolling Stones,You Can't Catch Me
New Jersey,New Jersey,John Lennon,You Can't Catch Me
Newark,New Jersey,Artifacts,Break It Down
Newark,New Jersey,Redman,Green Island
Newark,New Jersey,Hamilton Bohannon,Disco Stomp
Newark,New Jersey,Bohannon,Disco Stomp
Newark,New Jersey,Bing Crosby,Chicago Style
Newark,New Jersey,Bob Hope,Chicago Style
Newark,New Jersey,Rosemary Clooney,Chicago Style
Newark,New Jersey,Naughty by Nature,Craziest
Newark,New Jersey,Redman,A Million and 1 Buddah Spots
Newark,New Jersey,Redman,Rockafella
Newark,New Jersey,Chino XL,What Am I?
Newark,New Jersey,Artifacts,Where Yo Skillz At?
Newark,New Jersey,The Hudson Falcons,Jersey City Streets
Newark,New Jersey,Shaquille O'Neal,Newark to C.I.
Newark,New Jersey,Gary Wilson,Newark Valley
Newark,New Jersey,Outsidaz,The Bricks
Newark,New Jersey,Rowdy Rahz,Nev-Ah
Newark,New Jersey,Parliament,Chocolate City
Newark,New Jersey,Kanye West,Last Call
Newark,New Jersey,Foxy Brown,Friend
Newark,New Jersey,Whitney Houston,I Was Made to Love Him
Newark,New Jersey,Ice-T,Where the Shit Goes Down
Newark,New Jersey,2Pac,Intro/Bomb First (My Second Reply)
Newark,New Jersey,Fugees,Cowboys
Newark,New Jersey,Lauryn Hill,Final Hour
Newark,New Jersey,EPMD,Hardcore
Newark,New Jersey,Redman,Hardcore
Newark,New Jersey,Redman,Cloze Ya Doorz
Newark,New Jersey,Redman,My Zone
Newark,New Jersey,Wyclef Jean,Industry [Bonus Track]
Newark,New Jersey,Mobb Deep,Double Shots
