,city,state,artist,song
0,New Mexico,New Mexico,Terry Allen,Billy the Boy
1,New Mexico,New Mexico,Johnny Cash,New Mexico
2,New Mexico,New Mexico,Johnny Cash,New Mexico
3,New Mexico,New Mexico,The Four Seasons,New Mexican Rose
4,New Mexico,New Mexico,David Mead,New Mexico
5,New Mexico,New Mexico,Logic,Thank You
6,New Mexico,New Mexico,Heather Nova,Out in New Mexico
7,New Mexico,New Mexico,Michael Martin Murphey,Land of Enchantment
8,New Mexico,New Mexico,Frank Zappa,The Jazz Discharge Party Hats
9,New Mexico,New Mexico,The Western Front,New Mexico
10,New Mexico,New Mexico,The High Desert Playboys,Sir Lawrence of New Mexico
11,New Mexico,New Mexico,John Wiggins,New Mexico
12,New Mexico,New Mexico,The Black Lillies,Midnight Stranger
13,New Mexico,New Mexico,Hank Snow,Patanio (The Pride of the Plains)
14,New Mexico,New Mexico,Ronnie Dunn,How Far to Waco
15,New Mexico,New Mexico,Chuck Berry,Route 66
16,New Mexico,New Mexico,Depeche Mode,Route 66
17,New Mexico,New Mexico,Chuck Berry,Route 66
18,New Mexico,New Mexico,The Manhattan Transfer,Route 66
19,New Mexico,New Mexico,The Rolling Stones,Route 66
20,New Mexico,New Mexico,Rosemary Clooney,Route 66
21,New Mexico,New Mexico,Billy Joel,Worse Comes To Worst
22,New Mexico,New Mexico,Mel Tormé,Route 66
23,New Mexico,New Mexico,The Rolling Stones,Route 66
24,New Mexico,New Mexico,Perry Como,Route 66
25,New Mexico,New Mexico,Depeche Mode,Route 66
26,New Mexico,New Mexico,John Mayer,Route 66
27,New Mexico,New Mexico,Jill Sobule,Somewhere in New Mexico
28,New Mexico,New Mexico,New Grass Revival,White Freight Liner Blues
29,New Mexico,New Mexico,"New Grass Revival, Sam Bush",White Freight Liner Blues
30,New Mexico,New Mexico,Asleep at the Wheel,Route 66
31,New Mexico,New Mexico,Asleep at the Wheel,(Get Your Kicks On) Route 66
32,New Mexico,New Mexico,Asleep at the Wheel,Route 66 (Get Your Kicks On)
33,New Mexico,New Mexico,New Grass Revival,White Freight Liner Blues [Live]
34,New Mexico,New Mexico,Asleep at the Wheel,Get Your Kicks on Route 66
35,New Mexico,New Mexico,Asleep at the Wheel,Route 66 [DVD; Live]
36,New Mexico,New Mexico,Bo Diddley,Route 66
37,New Mexico,New Mexico,Future,You Da Baddest
38,New Mexico,New Mexico,Glenn Frey,Route 66
39,New Mexico,New Mexico,Sturgill Simpson,Long White Line
