,city,state,artist,song
0,New York,New York,Nas,Streets of New York (City Life) [[Remix]]
1,New York,New York,Dion,Where It Started At (NY)
2,New York,New York,Alicia Keys,Streets of New York (City Life)
3,New York,New York,Raekwon,New York
4,New York,New York,AZ,New York
5,New York,New York,Curtis Stigers,New York Is Rockin'
6,New York,New York,Bernard Lavilliers,Rock City
7,New York,New York,AZ,New York [Remix]
8,New York,New York,Raekwon,New York!!
9,New York,New York,Troy Ave,New York City
10,New York,New York,Busta Rhymes,New York Shit
11,New York,New York,Yellowman,Come Get everything
12,New York,New York,glee cast,"I Love New York/New York, New York"
13,New York,New York,U2,New York
14,New York,New York,U2,Pop Muzik [Pop Mart Mix]
15,New York,New York,Taylor Swift,Welcome To New York
16,New York,New York,Barrington Levy,Stress Ya
17,New York,New York,Cat Stevens,New York Times
18,New York,New York,Alicia Keys,Streets of New York (City Life) [DVD]
19,New York,New York,AC/DC,Safe in New York City
20,New York,New York,Prince,All the Critics Love U in New York
21,New York,New York,Prince,All the Critics Love U in New York
22,New York,New York,John Lennon,New York City
23,New York,New York,"Troy Ave, Statik Selektah, Meyhem Lauren, Ag Da Coroner, Push!",Big City of Dreams
24,New York,New York,Shirley Bassey,"New York, New York"
25,New York,New York,Shirley Bassey,"New York Medley: New York, New York/New York, New York"
26,New York,New York,Pharrell Williams,Stress Ya
27,New York,New York,Shirley Bassey,"New York Medley: New York, New York/New York, New York"
28,New York,New York,Shirley Bassey,"New York Medley: New York, New York/New York, New York"
29,New York,New York,Nina Hagen,New York New York
30,New York,New York,glee cast,Empire State Of Mind
31,New York,New York,Jay-Z,Empire State of Mind
32,New York,New York,Kiss,New York Groove
33,New York,New York,Ace Frehley,New York Groove
34,New York,New York,M-Boogie,"New York, New York"
35,New York,New York,Fat Joe,New York
36,New York,New York,Grandmaster Flash,"New York, New York"
37,New York,New York,Grandmaster Flash,"New York, New York"
38,New York,New York,Nas,The Don
39,New York,New York,Robin Thicke,Living in New York City
40,New York,New York,Andrew W.K.,I Love NYC
41,New York,New York,Fat Joe,New York
42,New York,New York,Serge Gainsbourg,New York USA
43,New York,New York,Serge Gainsbourg,New York - U.S.A.
44,New York,New York,Jim's Big Ego,Punk Junkies from New York
45,New York,New York,Nas,The Don
46,New York,New York,Don Henley,New York Minute
47,New York,New York,Don Henley,New York Minute
48,New York,New York,Lil Jon,Crunk Juice
49,New York,New York,50 Cent,New York Times [Bonus Track]
50,New York,New York,'Les Paul's',New York City
51,New York,New York,Frank Sinatra,"New York, New York [On The Town]"
52,New York,New York,Debbie Harry,"New York, New York"
53,New York,New York,Debbie Harry,"New York, New York"
54,New York,New York,José José,"New York, New York"
55,New York,New York,Debbie Harry,"New York, New York [Single Version]"
