,Unnamed: 0,Unnamed: 0.1,city,state,artist,song,uris,popularity,date,error,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0,0,North Carolina,North Carolina,Gene Vincent,North Carolina Line,error,error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,North Carolina,North Carolina,Alison Krauss,Carolina Moon,error,error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,North Carolina,North Carolina,Dean Martin,Just a Little Bit South of North Carolina,spotify:track:6rc6TuBovkkAOVj6AiCnpk,14,2006-01-01,,0.632,0.19,3.0,-12.555,1.0,0.0934,0.8290000000000001,0.0,0.0453,0.759,144.91,audio_features,6rc6TuBovkkAOVj6AiCnpk,spotify:track:6rc6TuBovkkAOVj6AiCnpk,https://api.spotify.com/v1/tracks/6rc6TuBovkkAOVj6AiCnpk,https://api.spotify.com/v1/audio-analysis/6rc6TuBovkkAOVj6AiCnpk,127027.0,4.0,,0.632,0.19,3.0,-12.555,1.0,0.0934,0.829,0.0,0.0453,0.759,144.91,audio_features,6rc6TuBovkkAOVj6AiCnpk,spotify:track:6rc6TuBovkkAOVj6AiCnpk,https://api.spotify.com/v1/tracks/6rc6TuBovkkAOVj6AiCnpk,https://api.spotify.com/v1/audio-analysis/6rc6TuBovkkAOVj6AiCnpk,127027.0,4.0
3,3,3,North Carolina,North Carolina,Petey Pablo,Raise Up,spotify:track:02GwPAncasVL82yC7y2hmN,57,2001,,0.735,0.8440000000000001,1.0,-5.215,1.0,0.16699999999999998,0.142,0.0,0.319,0.742,156.069,audio_features,02GwPAncasVL82yC7y2hmN,spotify:track:02GwPAncasVL82yC7y2hmN,https://api.spotify.com/v1/tracks/02GwPAncasVL82yC7y2hmN,https://api.spotify.com/v1/audio-analysis/02GwPAncasVL82yC7y2hmN,286427.0,4.0,,0.735,0.844,1.0,-5.215,1.0,0.167,0.142,0.0,0.319,0.742,156.069,audio_features,02GwPAncasVL82yC7y2hmN,spotify:track:02GwPAncasVL82yC7y2hmN,https://api.spotify.com/v1/tracks/02GwPAncasVL82yC7y2hmN,https://api.spotify.com/v1/audio-analysis/02GwPAncasVL82yC7y2hmN,286427.0,4.0
4,4,4,North Carolina,North Carolina,James Taylor,Raised Up Family,spotify:track:2d86vRYBgTl4oJ28WrpiKw,24,2000,,0.851,0.395,2.0,-9.432,1.0,0.0337,0.26,0.00605,0.12300000000000001,0.524,95.98700000000001,audio_features,2d86vRYBgTl4oJ28WrpiKw,spotify:track:2d86vRYBgTl4oJ28WrpiKw,https://api.spotify.com/v1/tracks/2d86vRYBgTl4oJ28WrpiKw,https://api.spotify.com/v1/audio-analysis/2d86vRYBgTl4oJ28WrpiKw,279467.0,4.0,,0.851,0.395,2.0,-9.432,1.0,0.0337,0.26,0.00605,0.123,0.524,95.987,audio_features,2d86vRYBgTl4oJ28WrpiKw,spotify:track:2d86vRYBgTl4oJ28WrpiKw,https://api.spotify.com/v1/tracks/2d86vRYBgTl4oJ28WrpiKw,https://api.spotify.com/v1/audio-analysis/2d86vRYBgTl4oJ28WrpiKw,279467.0,4.0
5,5,5,North Carolina,North Carolina,Petey Pablo,Raise Up,spotify:track:02GwPAncasVL82yC7y2hmN,57,2001,,0.735,0.8440000000000001,1.0,-5.215,1.0,0.16699999999999998,0.142,0.0,0.319,0.742,156.069,audio_features,02GwPAncasVL82yC7y2hmN,spotify:track:02GwPAncasVL82yC7y2hmN,https://api.spotify.com/v1/tracks/02GwPAncasVL82yC7y2hmN,https://api.spotify.com/v1/audio-analysis/02GwPAncasVL82yC7y2hmN,286427.0,4.0,,0.735,0.844,1.0,-5.215,1.0,0.167,0.142,0.0,0.319,0.742,156.069,audio_features,02GwPAncasVL82yC7y2hmN,spotify:track:02GwPAncasVL82yC7y2hmN,https://api.spotify.com/v1/tracks/02GwPAncasVL82yC7y2hmN,https://api.spotify.com/v1/audio-analysis/02GwPAncasVL82yC7y2hmN,286427.0,4.0
6,6,6,North Carolina,North Carolina,Petey Pablo,Raise Up,spotify:track:02GwPAncasVL82yC7y2hmN,57,2001,,0.735,0.8440000000000001,1.0,-5.215,1.0,0.16699999999999998,0.142,0.0,0.319,0.742,156.069,audio_features,02GwPAncasVL82yC7y2hmN,spotify:track:02GwPAncasVL82yC7y2hmN,https://api.spotify.com/v1/tracks/02GwPAncasVL82yC7y2hmN,https://api.spotify.com/v1/audio-analysis/02GwPAncasVL82yC7y2hmN,286427.0,4.0,,0.735,0.844,1.0,-5.215,1.0,0.167,0.142,0.0,0.319,0.742,156.069,audio_features,02GwPAncasVL82yC7y2hmN,spotify:track:02GwPAncasVL82yC7y2hmN,https://api.spotify.com/v1/tracks/02GwPAncasVL82yC7y2hmN,https://api.spotify.com/v1/audio-analysis/02GwPAncasVL82yC7y2hmN,286427.0,4.0
7,7,7,North Carolina,North Carolina,Anita O'Day,Just a Little Bit South of North Carolina,spotify:track:7fK4RO6zPqy3fj7YroTlmB,15,1941,,0.7040000000000001,0.35600000000000004,9.0,-7.886,0.0,0.0428,0.948,0.035,0.0799,0.599,142.366,audio_features,7fK4RO6zPqy3fj7YroTlmB,spotify:track:7fK4RO6zPqy3fj7YroTlmB,https://api.spotify.com/v1/tracks/7fK4RO6zPqy3fj7YroTlmB,https://api.spotify.com/v1/audio-analysis/7fK4RO6zPqy3fj7YroTlmB,161027.0,4.0,,0.704,0.356,9.0,-7.886,0.0,0.0428,0.948,0.035,0.0799,0.599,142.366,audio_features,7fK4RO6zPqy3fj7YroTlmB,spotify:track:7fK4RO6zPqy3fj7YroTlmB,https://api.spotify.com/v1/tracks/7fK4RO6zPqy3fj7YroTlmB,https://api.spotify.com/v1/audio-analysis/7fK4RO6zPqy3fj7YroTlmB,161027.0,4.0
8,8,8,North Carolina,North Carolina,James Brown,Night Train,spotify:track:5lE04QME0R4RNjepkflBJa,47,1987-01-01,,0.799,0.418,1.0,-15.585,1.0,0.204,0.17,0.0024,0.158,0.892,130.366,audio_features,5lE04QME0R4RNjepkflBJa,spotify:track:5lE04QME0R4RNjepkflBJa,https://api.spotify.com/v1/tracks/5lE04QME0R4RNjepkflBJa,https://api.spotify.com/v1/audio-analysis/5lE04QME0R4RNjepkflBJa,211920.0,4.0,,0.799,0.418,1.0,-15.585,1.0,0.204,0.17,0.0024,0.158,0.892,130.366,audio_features,5lE04QME0R4RNjepkflBJa,spotify:track:5lE04QME0R4RNjepkflBJa,https://api.spotify.com/v1/tracks/5lE04QME0R4RNjepkflBJa,https://api.spotify.com/v1/audio-analysis/5lE04QME0R4RNjepkflBJa,211920.0,4.0
9,9,9,North Carolina,North Carolina,The Carter Family,East Virginia Blues,spotify:track:57j0NogTl3yHCXx8gGWkFY,34,2013-11-19,,0.5429999999999999,0.293,5.0,-13.907,1.0,0.0276,0.95,0.0514,0.151,0.36200000000000004,96.662,audio_features,57j0NogTl3yHCXx8gGWkFY,spotify:track:57j0NogTl3yHCXx8gGWkFY,https://api.spotify.com/v1/tracks/57j0NogTl3yHCXx8gGWkFY,https://api.spotify.com/v1/audio-analysis/57j0NogTl3yHCXx8gGWkFY,165467.0,4.0,,0.543,0.293,5.0,-13.907,1.0,0.0276,0.95,0.0514,0.151,0.362,96.662,audio_features,57j0NogTl3yHCXx8gGWkFY,spotify:track:57j0NogTl3yHCXx8gGWkFY,https://api.spotify.com/v1/tracks/57j0NogTl3yHCXx8gGWkFY,https://api.spotify.com/v1/audio-analysis/57j0NogTl3yHCXx8gGWkFY,165467.0,4.0
