,city,state,artist,song
0,North Dakota,North Dakota,Randi Perkins,North Dakota Farm Boy
1,North Dakota,North Dakota,Tom Roble,North Dakota
2,North Dakota,North Dakota,Doc Walker,North Dakota Boy
3,North Dakota,North Dakota,Thrush Hermit,North Dakota
4,North Dakota,North Dakota,Lyle Lovett,North Dakota
5,North Dakota,North Dakota,Nanci Griffith,Across America
6,North Dakota,North Dakota,Gavin DeGraw,Best I Ever Had
7,North Dakota,North Dakota,Gavin DeGraw,Best I Ever Had
8,North Dakota,North Dakota,Gavin DeGraw,Best I Ever Had
9,North Dakota,North Dakota,King Slinkz,Rack It Up
10,North Dakota,North Dakota,Lexi Wyman,Good Woman
11,North Dakota,North Dakota,Amy Millan,Ruby II
12,North Dakota,North Dakota,Allan Sherman,Holiday for States
13,North Dakota,North Dakota,Woody Guthrie,Hard Travelin'
14,North Dakota,North Dakota,Porter Wagoner,Highway Headin' South
15,North Dakota,North Dakota,Dolly Parton,Highway Headin' South
16,North Dakota,North Dakota,Woody Guthrie,Hard Travelin'
17,North Dakota,North Dakota,Weird Al Yankovic,The Biggest Ball of Twine in Minnesota
18,North Dakota,North Dakota,Phish,Nellie Kane
19,North Dakota,North Dakota,Dr. Demento,The Biggest Ball of Twine in Minnesota
20,North Dakota,North Dakota,Lynyrd Skynyrd,Truck Drivin' Man [Demo Version]
21,North Dakota,North Dakota,Lynyrd Skynyrd,Truck Drivin' Man
22,North Dakota,North Dakota,Buck Owens,Alabama Louisiana or Maybe Tennessee
23,North Dakota,North Dakota,Charlie Daniels,Let Freedom Ring
24,North Dakota,North Dakota,Bob Seger,Face the Promise
25,North Dakota,North Dakota,Red Hot Chili Peppers,Dani California
26,North Dakota,North Dakota,Red Hot Chili Peppers,Dani California
27,North Dakota,North Dakota,Red Hot Chili Peppers,Dani California
28,North Dakota,North Dakota,The Dillards,Hard Travelin'
29,North Dakota,North Dakota,Grandmaster Flash,Adventures of Grandmaster Flash on the Wheels of Steel
30,North Dakota,North Dakota,Ramblin' Jack Elliott,Hard Travelin'
31,North Dakota,North Dakota,Hot Rize,Nellie Kane
32,North Dakota,North Dakota,Joni Mitchell,Song for Sharon
33,North Dakota,North Dakota,Coolio,Get Up Get Down
34,North Dakota,North Dakota,Joni Mitchell,Song for Sharon
35,North Dakota,North Dakota,The Killers,The Ballad of Michael Valentine
36,North Dakota,North Dakota,Kevin Hart,All Falls Down
37,North Dakota,North Dakota,Busta Rhymes,More Dangerous
