,city,state,artist,song
0,Northern Mariana Islands,Northern Mariana Islands,Kenny Chesney,Every Heart
1,Northern Mariana Islands,Northern Mariana Islands,Al Stewart,Murmansk Run/Ellis Island
2,Northern Mariana Islands,Northern Mariana Islands,Owl City,Madeline Island
3,Northern Mariana Islands,Northern Mariana Islands,The Beach Boys,Where I Belong
4,Northern Mariana Islands,Northern Mariana Islands,"Curren$y, Rick Ross, Harry Fraud",Mugello Red
5,Northern Mariana Islands,Northern Mariana Islands,Busta Rhymes,Live It Up
6,Northern Mariana Islands,Northern Mariana Islands,The Beach Boys,California Girls
7,Northern Mariana Islands,Northern Mariana Islands,The Beach Boys,California Girls
8,Northern Mariana Islands,Northern Mariana Islands,The Beach Boys,California Girls
9,Northern Mariana Islands,Northern Mariana Islands,Rosanne Cash,Modern Blue
10,Northern Mariana Islands,Northern Mariana Islands,George Fox,Clearly Canadian
11,Northern Mariana Islands,Northern Mariana Islands,Logic,Thank You
12,Northern Mariana Islands,Northern Mariana Islands,Zac Brown Band,2 Places at 1 Time
13,Northern Mariana Islands,Northern Mariana Islands,Kids Learning Tube ,7 Continents
14,Northern Mariana Islands,Northern Mariana Islands,Brian Wilson,California Girls
15,Northern Mariana Islands,Northern Mariana Islands,Mystic Circle,Isenstein
16,Northern Mariana Islands,Northern Mariana Islands,Brian Wilson,California Girls
17,Northern Mariana Islands,Northern Mariana Islands,Ozark Mountain Daredevils,Southern Cross
18,Northern Mariana Islands,Northern Mariana Islands,Stompin' Tom Connors,"Canada Day, Up Canada Way"
19,Northern Mariana Islands,Northern Mariana Islands,David Lee Roth,California Girls
20,Northern Mariana Islands,Northern Mariana Islands,De La Soul,Am I Worth You?
21,Northern Mariana Islands,Northern Mariana Islands,"Martin Luther King, Jr.",I Have a Dream
22,Northern Mariana Islands,Northern Mariana Islands,David Lee Roth,California Girls
23,Northern Mariana Islands,Northern Mariana Islands,Faded Paper Figures,North by North
24,Northern Mariana Islands,Northern Mariana Islands,The Move,California Girls
25,Northern Mariana Islands,Northern Mariana Islands,West Indian Girl,Northern Sky
26,Northern Mariana Islands,Northern Mariana Islands,Nancy Sinatra,California Girls
27,Northern Mariana Islands,Northern Mariana Islands,Bal-Sagoth,Blood Slakes the Sand at the Circus Maximus
28,Northern Mariana Islands,Northern Mariana Islands,Cass McCombs,The Great Pixley Train Robbery
29,Northern Mariana Islands,Northern Mariana Islands,Tony Yayo,I'm So High
30,Northern Mariana Islands,Northern Mariana Islands,Tony Yayo,I'm So High
31,Northern Mariana Islands,Northern Mariana Islands,"The Alchemist, Action Bronson, Big Body Bes",Brother Jedidiah
32,Northern Mariana Islands,Northern Mariana Islands,"Coilguns, Louis Jucker",Back from the Mine
33,Northern Mariana Islands,Northern Mariana Islands,Tindersticks,Marbles
34,Northern Mariana Islands,Northern Mariana Islands,Jimmy LaFave,When the Tears Fall
35,Northern Mariana Islands,Northern Mariana Islands,Wolfstone,Wild and the Free
36,Northern Mariana Islands,Northern Mariana Islands,Northern State,A Thousand Words
37,Northern Mariana Islands,Northern Mariana Islands,Rolling Blackouts Coastal Fever,The  Cool Change
38,Northern Mariana Islands,Northern Mariana Islands,Jon Bellion,Cautionary Tales
39,Northern Mariana Islands,Northern Mariana Islands,Kamelot,Expedition
40,Northern Mariana Islands,Northern Mariana Islands,Dave,Revenge
41,Northern Mariana Islands,Northern Mariana Islands,TNT,Abbasanta
42,Northern Mariana Islands,Northern Mariana Islands,Carpathian Forest,The Pale Mist Hovers Towards the Nightly Shores
43,Northern Mariana Islands,Northern Mariana Islands,Skrewdriver,Shove the Dove
44,Northern Mariana Islands,Northern Mariana Islands,Justin Rutledge,Be a Man
45,Tinian,Northern Mariana Islands,Deacon Blue,He Looks Like Spencer Tracy Now
46,Rota,Northern Mariana Islands,Liz Lowenberg,Rota
47,Rota,Northern Mariana Islands,"Sanco, Kronno Zomber",Volvió la Otra
48,Rota,Northern Mariana Islands,Zumbadores,Canciones Rotas
49,Rota,Northern Mariana Islands,Gisela Hidalgo,Pero Hay Sombras
50,Rota,Northern Mariana Islands,Marc Anthony,La  Copa Rota
51,Rota,Northern Mariana Islands,Enrique Iglesias,El Muro
52,Rota,Northern Mariana Islands,Vicente Fernández,Como Amante O Como Hermano
53,Rota,Northern Mariana Islands,José Feliciano,La Copa Rota
54,Rota,Northern Mariana Islands,José Feliciano,La Copa Rota
55,Rota,Northern Mariana Islands,"Demet Akalın, Erdem Kınay",Rota
56,Rota,Northern Mariana Islands,José Feliciano,La Copa Rota
57,Rota,Northern Mariana Islands,Ricardo Arjona,Iluso
58,Rota,Northern Mariana Islands,Mehdi Abbas Zaidi,Azan e Haider
59,Rota,Northern Mariana Islands,Elena Vargas,Alma Rota
60,Rota,Northern Mariana Islands,Los Yakis,Dame Besos
61,Rota,Northern Mariana Islands,Intocable,Con Mis Alas Rotas
62,Rota,Northern Mariana Islands,Soda Stereo,Danza Rota
63,Rota,Northern Mariana Islands,Fey,Como un Ángel
64,Rota,Northern Mariana Islands,Arcángel,Memoria Rota
65,Rota,Northern Mariana Islands,Luan Santana,Ignore
66,Rota,Northern Mariana Islands,"Bandoleros, Rubén Madrid, Any González",Muñeca Rota
67,Rota,Northern Mariana Islands,Soda Stereo,Danza Rota
68,Rota,Northern Mariana Islands,Soda Stereo,Danza Rota
