,city,state,artist,song
0,Ohio,Ohio,The Ohio Players,O-H-I-O
1,Ohio,Ohio,Connie Smith,"Cincinnati, Ohio"
2,Ohio,Ohio,Bill Anderson,Cincinnati Ohio
3,Ohio,Ohio,"Neil Young, Crosby, Stills, Nash & Young",Ohio
4,Ohio,Ohio,Neil Young,Ohio
5,Ohio,Ohio,Tribo de Jah,Roots Rock Reggae
6,Ohio,Ohio,Jack Greene,Cincinnati Ohio
7,Ohio,Ohio,John Hiatt,All the Lilacs in Ohio
8,Ohio,Ohio,Sleepy John Estes,You Shouldn't Do That
9,Ohio,Ohio,Pretenders,My City Was Gone
10,Ohio,Ohio,Pretenders,My City Was Gone [DVD]
11,Ohio,Ohio,Pretenders,Message of Love
12,Ohio,Ohio,Sleepy John Estes,You Shouldn't Do That
13,Ohio,Ohio,The Low Anthem,To Ohio
14,Ohio,Ohio,Frankie Laine,My Ohio Home
15,Ohio,Ohio,Over the Rhine,Ohio
16,Ohio,Ohio,Bill Anderson,Talk to Me Ohio
17,Ohio,Ohio,Phil Ochs,Boy in Ohio
18,Ohio,Ohio,Frankie Laine,My Ohio Home
19,Ohio,Ohio,Mott the Hoople,Ohio
20,Ohio,Ohio,Mott the Hoople,Ohio
21,Ohio,Ohio,Andrew McMahon In the Wilderness,Ohio
22,Ohio,Ohio,Bing Crosby,Ohio [From Wonderful Town]
23,Ohio,Ohio,Hawkwind,You Shouldn't Do That
24,Ohio,Ohio,Future,Everything A Dope Boy Ever Wanted
25,Ohio,Ohio,"Jake Paul, Chance Sutton, Anthony Trujillo",Ohio Fried Chicken
26,Ohio,Ohio,Johnny Cash,The Banks of the Ohio
27,Ohio,Ohio,Emmylou Harris,Cajun Born [Previously Unreleased Track; Bonus Track]
28,Ohio,Ohio,The Oak Ridge Boys,Gonna Take a Lot of River
29,Ohio,Ohio,Nik Turner,You Sholdn't Do That [DVD]
30,Ohio,Ohio,Joan Baez,Banks of the Ohio
31,Ohio,Ohio,Dolly Parton,Banks of the Ohio
32,Ohio,Ohio,Dolly Parton,Banks of the Ohio
33,Ohio,Ohio,Jamie Lawson,Cold in Ohio
34,Ohio,Ohio,Limbeck,In Ohio on Some Steps
35,Ohio,Ohio,Super Furry Animals,Ohio Heat
36,Ohio,Ohio,Neversink,No Sun in Ohio
37,Ohio,Ohio,The 1984 Draft,Miss Ohio
38,Ohio,Ohio,Fast Friends,Fuck Ohio
39,Ohio,Ohio,Joe Mullins & The Radio Ramblers,O-Hio
40,Ohio,Ohio,Joan Baez,The Banks of the Ohio
41,Ohio,Ohio,Peter Bradley Adams,Ohio
42,Ohio,Ohio,Anna Kendrick,A Summer in Ohio
43,Ohio,Ohio,The National,Bloodbuzz Ohio
44,Ohio,Ohio,Relient K,Mrs. Hippopotamuses'
45,Ohio,Ohio,Bow Wow,Off the Glass
46,Ohio,Ohio,Bow Wow,Off the Glass
47,Ohio,Ohio,Elvis Costello,Toledo
48,Ohio,Ohio,Olivia Newton-John,Banks of the Ohio
49,Ohio,Ohio,Loretta Lynn,Van Lear Rose
50,Ohio,Ohio,Elvis Costello,Toledo
51,Ohio,Ohio,Miranda Lambert,Look at Miss Ohio
52,Ohio,Ohio,John Denver,Toledo
53,Ohio,Ohio,Copywrite,Fire It Up
54,Ohio,Ohio,Burt Bacharach,Toledo
55,Ohio,Ohio,Dwight Yoakam,South of Cincinnati
56,Ohio,Ohio,Dwight Yoakam,South of Cinnicinnati [Live; Previously Unreleased Track; Live]
57,Ohio,Ohio,Dwight Yoakam,South of Cinnicinnati
58,Ohio,Ohio,The Tragically Hip,Chagrin Falls
59,Ohio,Ohio,Jim Croce,Country Girl
60,Ohio,Ohio,Kurt Elling,Beloved (For Toni Morrison)
61,Ohio,Ohio,Damien Jurado,Ohio
62,Ohio,Ohio,The Tragically Hip,Chagrin Falls
63,Ohio,Ohio,Sophie Morgan,Bloodbuzz Ohio
64,Ohio,Ohio,Hillstomp,Dayton Ohio
65,Ohio,Ohio,Holopaw,Teacup Woozy
66,Ohio,Ohio,Chixdiggit!,Ohio
67,Ohio,Ohio,Saving Jane,Ohio
68,Ohio,Ohio,Julia Stone,Bloodbuzz Ohio
69,Ohio,Ohio,The Greenbriar Boys,Banks of the Ohio
70,Ohio,Ohio,Richard Bennett,Banks of the Ohio
71,Ohio,Ohio,The Devil Wears Prada,Detroit Tapes
72,Ohio,Ohio,The Jayhawks,Somewhere in Ohio
73,Ohio,Ohio,赤西仁,Go Higher
74,Ohio,Ohio,SOAK,Bloodbuzz Ohio
75,Ohio,Ohio,Smino,O'HighO
76,Ohio,Ohio,Reid Genauer,Look at Miss Ohio
77,Ohio,Ohio,B.B. King,Never Make a Move Too Soon
78,Ohio,Ohio,Johnny Cash,Wanted Man
79,Ohio,Ohio,Johnny Cash,Wanted Man
80,Ohio,Ohio,"Johnny Cash, Nick Cave",Wanted Man
81,Ohio,Ohio,Johnny Cash,Wanted Man
82,Ohio,Ohio,Linda Ronstadt,In My Reply
83,Ohio,Ohio,Johnny Cash,Wanted Man [Live]
84,Ohio,Ohio,Hoagy Carmichael,My Ohio Home
85,Ohio,Ohio,Too Short,Sample the Funk
86,Ohio,Ohio,Johnny Cash,Wanted Man
87,Ohio,Ohio,Roger Daltrey,Never Make Your Move Too Soon
88,Ohio,Ohio,The Crusaders,Never Make a Move Too Soon
89,Ohio,Ohio,N.E.R.D.,Don't Don't Do It!
90,Ohio,Ohio,Sun Kil Moon,Carry Me Ohio
91,Ohio,Ohio,Priscilla Ahn,Remember How I Broke Your Heart
92,Ohio,Ohio,Corey Smith,My Two Babies
93,Ohio,Ohio,Herman Van Veen,Lonely Kojboj
94,Ohio,Ohio,赤西仁,Go Higher
95,Ohio,Ohio,Jake Paul,It's Everyday Bro
96,Ohio,Ohio,Gillian Welch,Look at Miss Ohio
97,Ohio,Ohio,B.B. King,Never Make Your Move Too Soon
98,Ohio,Ohio,Pretenders,Tequila [Previously Unreleased Track; Demo Version]
99,Ohio,Ohio,Grace Potter & the Nocturnals,You May See Me
100,Ohio,Ohio,Tony Rice,Banks of the Ohio
101,Ohio,Ohio,The Cardinals,Rosebud
102,Ohio,Ohio,Tony Rice,Banks of the Ohio
103,Ohio,Ohio,Counting Crows,Four Days
104,Ohio,Ohio,Bash Bwa,Reppin' Til the End (feat. Ya-Ya Da Prince & Professor Ravin Raw Funkworth)
105,Ohio,Ohio,Bob Birthisel,Leave Ohio Behind
