,city,state,artist,song
0,Oklahoma,Oklahoma,Van Zant,Oklahoma
1,Oklahoma,Oklahoma,Pete Seeger,My Oklahoma Home (It Blowed Away) [Previously Unreleased Track]
2,Oklahoma,Oklahoma,Keb' Mo',Oklahoma
3,Oklahoma,Oklahoma,Keb' Mo',Oklahoma
4,Oklahoma,Oklahoma,Charley Pride,Oklahoma Morning
5,Oklahoma,Oklahoma,Vince Gill,Oklahoma Borderline
6,Oklahoma,Oklahoma,Bruce Springsteen,My Oklahoma Home
7,Oklahoma,Oklahoma,Bruce Springsteen,My Oklahoma Home [PCM Stereo]
8,Oklahoma,Oklahoma,Vince Gill,Oklahoma Borderline
9,Oklahoma,Oklahoma,Roger Miller,Oklahoma Woman
10,Oklahoma,Oklahoma,Arlo Guthrie,Oklahoma Nights
11,Oklahoma,Oklahoma,Van Zant,Oklahoma
12,Oklahoma,Oklahoma,Blake Shelton,Oklahoma Christmas
13,Oklahoma,Oklahoma,Chris LeDoux,Ballad of Will Rogers
14,Oklahoma,Oklahoma,Cross Canadian Ragweed,In Oklahoma
15,Oklahoma,Oklahoma,The Notorious Cherry Bombs,Oklahoma Dust
16,Oklahoma,Oklahoma,Vince Gill,Oklahoma Swing
17,Oklahoma,Oklahoma,Reba McEntire,Oklahoma Swing
18,Oklahoma,Oklahoma,Hank Thompson,Oklahoma Hills
19,Oklahoma,Oklahoma,Kay Starr,Oklahoma Hills
20,Oklahoma,Oklahoma,Waylon Jennings,Oklahoma Sunshine
21,Oklahoma,Oklahoma,Jim Reeves,Oklahoma Hills
22,Oklahoma,Oklahoma,Don Williams,Where the Arkansas River Leaves Oklahoma
23,Oklahoma,Oklahoma,Country Joe McDonald,Oklahoma Hills
24,Oklahoma,Oklahoma,Shirley Jones,Oklahoma!
25,Oklahoma,Oklahoma,Hank Thompson,Everlasting Hills of Oklahoma
26,Oklahoma,Oklahoma,"Blake Shelton, Miranda Lambert",You're the Reason God Made Oklahoma
27,Oklahoma,Oklahoma,John Anderson,Tokyo Oklahoma
28,Oklahoma,Oklahoma,Tex Ritter,Oklahoma Hills
29,Oklahoma,Oklahoma,Unlinked Artist,Oklahoma Borderline
30,Oklahoma,Oklahoma,Bluegrass Etc.,Oklahoma Borderline
31,Oklahoma,Oklahoma,Hank Thompson,Oklahoma Hills
32,Oklahoma,Oklahoma,"Reg Watkins, Lori Kristin",Oklahoma Memory
33,Oklahoma,Oklahoma,Turnpike Troubadours,Oklahoma Stars
34,Oklahoma,Oklahoma,Hank Thompson,Oklahoma Hills
35,Oklahoma,Oklahoma,Jimmy Dean,Oklahoma Bill
36,Oklahoma,Oklahoma,Jack Guthrie,Oklahoma Hills
37,Oklahoma,Oklahoma,Lazer Lloyd,Oklahoma
38,Oklahoma,Oklahoma,Jimmy Reed,Crazy About Oklahoma
39,Oklahoma,Oklahoma,Moe Bandy,Oklahoma Hills
40,Oklahoma,Oklahoma,Gordon MacRae,Oklahoma Hills
41,Oklahoma,Oklahoma,Pete Seeger,Cryderville Jail
42,Oklahoma,Oklahoma,Pete Seeger,Belle Starr
43,Oklahoma,Oklahoma,Tina Turner,Never Been to Spain
44,Oklahoma,Oklahoma,Garth Brooks,I've Got a Good Thing Going
45,Oklahoma,Oklahoma,Arlo Guthrie,Oklahoma Hills
46,Oklahoma,Oklahoma,Arlo Guthrie,Oklahoma Hills
47,Oklahoma,Oklahoma,Miranda Lambert,Oklahoma Sky
48,Oklahoma,Oklahoma,Carrie Underwood,Blown Away
49,Oklahoma,Oklahoma,Cher,Never Been to Spain
50,Oklahoma,Oklahoma,Carrie Underwood,I Ain't in Checotah Anymore
51,Oklahoma,Oklahoma,Carrie Underwood,I Ain't in Checotah Anymore
52,Oklahoma,Oklahoma,John Raitt,Oklahoma! (Overture) [From Oklahoma!]
53,Oklahoma,Oklahoma,Chris LeDoux,Oklahoma Joe
54,Oklahoma,Oklahoma,John Raitt,Oklahoma! [Bonus Track]
55,Oklahoma,Oklahoma,Keith Curtis,Cherokee Wind
56,Oklahoma,Oklahoma,Heino,Beim Alten Bill in Oklahoma
57,Oklahoma,Oklahoma,Three Dog Night,Never Been to Spain
58,Oklahoma,Oklahoma,Three Dog Night,Never Been to Spain
59,Oklahoma,Oklahoma,David Frizzell,You're the Reason God Made Oklahoma
60,Oklahoma,Oklahoma,Frizzell & West,You're the Reason God Made Oklahoma
61,Oklahoma,Oklahoma,David Frizzell,You're the Reason God Made Oklahoma
62,Oklahoma,Oklahoma,David Frizzell,You're the Reason God Made Oklahoma
63,Oklahoma,Oklahoma,Shirley Jones,Oklahoma
64,Oklahoma,Oklahoma,Shirley Jones,Oklahoma!
65,Oklahoma,Oklahoma,Shirley Jones,Oklahoma
66,Oklahoma,Oklahoma,Gordon MacRae,"Oklahoma (from ""Oklahoma!"") [From Oklahoma!]"
67,Oklahoma,Oklahoma,Ike & Tina Turner,Never Been To Spain
68,Oklahoma,Oklahoma,Shirley Jones,Oklahoma!
