,city,state,artist,song
0,Oregon,Oregon,Sleepover,Oregon
1,Oregon,Oregon,Alexander Bayly,Oregon State
2,Oregon,Oregon,Woody Guthrie,End of the Line
3,Oregon,Oregon,Loretta Lynn,Portland Oregon
4,Oregon,Oregon,Loretta Lynn,"Portland, Oregon"
5,Oregon,Oregon,Michael Hurley,The Portland Water
6,Oregon,Oregon,Steely Dan,Don't Take Me Alive
7,Oregon,Oregon,Neal Casal,The Portland Water
8,Oregon,Oregon,Al Stewart,Katherine of Oregon
9,Oregon,Oregon,Alxndr Sounds,More Again
10,Oregon,Oregon,Maybe_grady,Mount Hood
11,Oregon,Oregon,Someone Still Loves You Boris Yeltsin,Oregon Girl
12,Oregon,Oregon,Cowboy Junkies,Oregon Hill
13,Oregon,Oregon,Perry Como,Delaware
14,Oregon,Oregon,Vanessa Paradis,Que fait la vie?
15,Oregon,Oregon,Herbert Grönemeyer,Commander
16,Oregon,Oregon,Grant Lee Buffalo,Hyperion and Sunset
17,Oregon,Oregon,Vanessa Paradis,Que fait la vie?
18,Oregon,Oregon,Van Morrison,Almost Independence Day
19,Oregon,Oregon,John Linnell,Oregon
20,Oregon,Oregon,YACHT,Shangri-La
21,Oregon,Oregon,Said the Whale,Cascadia
22,Oregon,Oregon,Vanessa Paradis,Que fait la vie?
23,Oregon,Oregon,Mat Kearney,Nothing Left to Lose [Acoustic Version; Bonus Track]
24,Oregon,Oregon,Mat Kearney,Nothing Left to Lose
25,Oregon,Oregon,Dead Kennedys,Night of the Living Rednecks
26,Oregon,Oregon,Rebelution,Inhale Exhale
27,Oregon,Oregon,Mat Kearney,Nothing Left to Lose [Acoustic Version]
28,Oregon,Oregon,Shawn Mullins,"Twin Rocks, Oregon"
29,Oregon,Oregon,Shawn Mullins,"Twin Rocks, Oregon [Solo; Multimedia Track]"
30,Oregon,Oregon,Martin Weller,Rainmaker
31,Oregon,Oregon,Roney ,On My Own
32,Oregon,Oregon,The Suffers,Take Me to the Good Times
33,Oregon,Oregon,Paul Wright,Flip-Flops
34,Oregon,Oregon,Paul Wright,South Beach
35,Oregon,Oregon,Hanalei,Better Days
36,Oregon,Oregon,Earlimart,A Goodbye
37,Oregon,Oregon,Galactic Cowboys,Oregon
38,Oregon,Oregon,RZA,Protect Ya Neck
