,city,state,artist,song
0,Pennsylvania,Pennsylvania,Bing Crosby,"Pittsburgh, Pennsylvania"
1,Pennsylvania,Pennsylvania,X-Patriate: Alan J. Lipman,Pennsylvania Avenue
2,Pennsylvania,Pennsylvania,The Andrews Sisters,Pennsylvania 6-5000
3,Pennsylvania,Pennsylvania,The Andrews Sisters,Pennsylvania 6-5000
4,Pennsylvania,Pennsylvania,Enoch Light Orchestra,Pennsylvania 6-5000
5,Pennsylvania,Pennsylvania,Bing Crosby,"Pittsburgh, Pennsylvania"
6,Pennsylvania,Pennsylvania,Bing Crosby,"Pittsburgh, Pennsylvania"
7,Pennsylvania,Pennsylvania,Guy Mitchell,"Pittsburgh, Pennsylvania"
8,Pennsylvania,Pennsylvania,Guy Mitchell,Pittsburgh Pennsylvania
9,Pennsylvania,Pennsylvania,Benny Goodman,Pennsylvania 6-5000
10,Pennsylvania,Pennsylvania,The New 101 Strings Orchestra,Pennsylvania 6-5000
11,Pennsylvania,Pennsylvania,Tommy Dorsey,Pennsylvania 6-5000
12,Pennsylvania,Pennsylvania,The Muppets,Pennsylvania 6-5000
13,Pennsylvania,Pennsylvania,Count Basie,Pennsylvania 6-5000
14,Pennsylvania,Pennsylvania,Bud Freeman,Pennsylvania 6-5000
15,Pennsylvania,Pennsylvania,Ted Heath Orchestra,Pennsylvania 6-5000
16,Pennsylvania,Pennsylvania,Brian Setzer,Pennsylvania 6-5000
17,Pennsylvania,Pennsylvania,Heart,Pennsylvania
18,Pennsylvania,Pennsylvania,Teresa Brewer,Pennsylvania 6-5000
19,Pennsylvania,Pennsylvania,Status Quo,Pennsylvania Blues Tonight
20,Pennsylvania,Pennsylvania,Guy Mitchell,"Pittsburgh, Pennsylvania"
21,Pennsylvania,Pennsylvania,Everclear,Pennsylvania Is...
22,Pennsylvania,Pennsylvania,Glenn Miller,Pennsylvania 6-5000
23,Pennsylvania,Pennsylvania,Glenn Miller,Pennsylvania 6-5000
24,Pennsylvania,Pennsylvania,Carpenters,(There's No Place Like) Home for the Holidays
25,Pennsylvania,Pennsylvania,Perry Como,(There's No Place Like) Home For the Holidays
26,Pennsylvania,Pennsylvania,Perry Como,(There's No Place Like) Home for the Holidays
27,Pennsylvania,Pennsylvania,Carpenters,(There's No Place Like) Home for the Holidays
28,Pennsylvania,Pennsylvania,Glenn Miller,Pennsylvania 6-5000
29,Pennsylvania,Pennsylvania,Perry Como,(There's No Place Like) Home for the Holidays
30,Pennsylvania,Pennsylvania,Carpenters,(There's No Place Like) Home for the Holidays
31,Pennsylvania,Pennsylvania,Randy Travis,(There's No Place Like) Home for the Holidays
32,Pennsylvania,Pennsylvania,Olivia Newton-John,Home for the Holidays
33,Pennsylvania,Pennsylvania,Unlinked Artist,Pennsylvania 6-5000
34,Pennsylvania,Pennsylvania,Perry Como,There's No Place Like Home for the Holidays
35,Pennsylvania,Pennsylvania,Perry Como,"Home For the Holidays, (There's No Place Like)"
36,Pennsylvania,Pennsylvania,Jerry Gray,Pennsylvania 6-5000
37,Pennsylvania,Pennsylvania,Perry Como,(There's No Place Like) Home for the Holidays
38,Pennsylvania,Pennsylvania,Perry Como,(There's No Place Like) Home for the Holidays
39,Pennsylvania,Pennsylvania,The Band of the Black Watch,Pennsylvania 6-5000
40,Pennsylvania,Pennsylvania,Perry Como,There's No Place Like Home for the Holidays
41,Pennsylvania,Pennsylvania,Johnny Mathis,Home for the Holidays
42,Pennsylvania,Pennsylvania,Tex Beneke,Pennsylvania 6-5000 [Previously Unreleased Track]
43,Pennsylvania,Pennsylvania,The Modernaires,Pennsylvania 6-5000
44,Pennsylvania,Pennsylvania,The Brian Setzer Orchestra,Pennsylvania 6-5000
45,Pennsylvania,Pennsylvania,BBC Big Band,Pennsylvania 6-5000
46,Pennsylvania,Pennsylvania,Harry Chapin,"30,000 Pounds of Bananas"
47,Pennsylvania,Pennsylvania,BBC Big Band Orchestra,Pennsylvania 6-5000
48,Pennsylvania,Pennsylvania,Heptet,Pennsylvania 6-5000
49,Pennsylvania,Pennsylvania,The BBC Orchestra,Pennsylvania 6-5000
50,Pennsylvania,Pennsylvania,DMP Big Band,Pennsylvania 6-5000
51,Pennsylvania,Pennsylvania,Royal Air Force Squadronaires,Pennsylvania 6-5000
52,Pennsylvania,Pennsylvania,Swing the Mood,Pennsylvania 6-5000
53,Pennsylvania,Pennsylvania,Bigband Orchestra,Pennsylvania 6-5000
54,Pennsylvania,Pennsylvania,Cyndi Lauper,Home for the Holidays
55,Pennsylvania,Pennsylvania,The Andrews Sisters,Pennsylvania Polka
56,Pennsylvania,Pennsylvania,Cal Pozo,Pennsylvania 6-5000
57,Pennsylvania,Pennsylvania,The Band of the Royal Air Force College,Pennsylvania 6-5000
58,Pennsylvania,Pennsylvania,United States Air Force Concert Band,Pennsylvania 6-5000
59,Pennsylvania,Pennsylvania,Sid Lawrence Orchestra,Pennsylvania 6-5000
60,Pennsylvania,Pennsylvania,Don Lusher,Pennsylvania 6-5000
61,Pennsylvania,Pennsylvania,Michael Maxwell & His Orchestra,Pennsylvania 6-5000
62,Pennsylvania,Pennsylvania,Jos Beeren,Pennsylvania 6-5000
63,Pennsylvania,Pennsylvania,Klaus Wunderlich,Pennsylvania 6-5000
64,Pennsylvania,Pennsylvania,Gary Lawrence,Pennsylvania 6-5000
65,Pennsylvania,Pennsylvania,The Spitfire Band,Pennsylvania 6-5000
66,Pennsylvania,Pennsylvania,Bobby Morganstein,Pennsylvania 6-5000
67,Pennsylvania,Pennsylvania,Mina,Pennsylvania 6-5000
68,Pennsylvania,Pennsylvania,Starlite Orchestra,Pennsylvania 6-5000
69,Pennsylvania,Pennsylvania,Randy Scott,Pennsylvania 6-5000
70,Pennsylvania,Pennsylvania,Juan Pablo Torres,Pennsylvania 6-500
71,Pennsylvania,Pennsylvania,Michael Maxwell & His Orchestra,Pennsylvania 6-5000
72,Pennsylvania,Pennsylvania,Tribute Allstar Bands,Pennsylvania 6-5000 [From Glenn Miller Story]
73,Pennsylvania,Pennsylvania,Mac Miller,PA Nights
74,Pennsylvania,Pennsylvania,Sheryl Crow,Woman In The White House [2020 Version]
75,Pennsylvania,Pennsylvania,Mindless Self Indulgence,Mastermind
76,Pennsylvania,Pennsylvania,Blessing Tangban,Pennsylvania
77,Pennsylvania,Pennsylvania,Fox Glove,Home for the Holidays
78,Pennsylvania,Pennsylvania,Sheryl Crow,Woman In The White House
79,Pennsylvania,Pennsylvania,Peggy Seeger,John Riley
80,Pennsylvania,Pennsylvania,Perry Como,(There's No Place Like) Home for the Holidays
81,Pennsylvania,Pennsylvania,Robert Goulet,(There's No Place Like) Home for the Holidays
82,Pennsylvania,Pennsylvania,Robert Goulet,(There's No Place Like) Home for the Holidays
83,Pennsylvania,Pennsylvania,Jim Nabors,(There's No Place Like) Home for the Holidays
84,Pennsylvania,Pennsylvania,Barry Manilow,(There's No Place Like) Home for the Holidays
85,Pennsylvania,Pennsylvania,An Albatross,PA Inferno
86,Pennsylvania,Pennsylvania,Garth Brooks,(There's No Place Like) Home for the Holidays
87,Pennsylvania,Pennsylvania,David Allan Coe,"Heavenly Father, Holy Mother"
88,Pennsylvania,Pennsylvania,Jerry Vale,(There's No Place Like) Home for the Holidays
89,Pennsylvania,Pennsylvania,Zachariah Baker & His Guitar Orchestra,Trapped in Pennsylvania
90,Pennsylvania,Pennsylvania,Perry Como,(There's No Place Like) Home for the Holidays
91,Pennsylvania,Pennsylvania,William Daniels,"But, Mr. Adams"
