,city,state,artist,song
0,Puerto Rico,Puerto Rico,Rubén Blades,Almost Like Praying
1,Puerto Rico,Puerto Rico,Frankie Cutlass,Puerto Rico
2,Puerto Rico,Puerto Rico,Aventura,Mi Puerto Rico
3,Puerto Rico,Puerto Rico,Aventura,Mi Puerto Rico
4,Puerto Rico,Puerto Rico,Don Omar,Perreando [Mix]
5,Puerto Rico,Puerto Rico,Elvis Crespo,Verano del 19
6,Puerto Rico,Puerto Rico,José Feliciano,Born in Puerto Rico
7,Puerto Rico,Puerto Rico,Cristian Castro,Puerto Rico
8,Puerto Rico,Puerto Rico,Daddy Yankee,Medley Oh Ah
9,Puerto Rico,Puerto Rico,Don Omar,Perreando [Remix]
10,Puerto Rico,Puerto Rico,Tego Calderón,Conexion Puerto Rico
11,Puerto Rico,Puerto Rico,La Sonora Matancera,La Isla del Encanto
12,Puerto Rico,Puerto Rico,Wyclef Jean,Coqui
13,Puerto Rico,Puerto Rico,Kevin Gates,83 Babies
14,Puerto Rico,Puerto Rico,"BESFORD, Ruly Rodriguez",Rico Rico
15,Puerto Rico,Puerto Rico,Jerry Rivera,Puerto Rico
16,Puerto Rico,Puerto Rico,Natalia Ramírez,Luna de Miel en Puerto Rico / Piel Canela
17,Puerto Rico,Puerto Rico,Marc Anthony,La Gozadera
18,Puerto Rico,Puerto Rico,Marc Anthony,La Gozadera [Salsa]
19,Puerto Rico,Puerto Rico,Calle 13,La Crema
20,Puerto Rico,Puerto Rico,N'Klabe,La Salsa de Puerto Rico
21,Puerto Rico,Puerto Rico,"Ivy Queen, De la Ghetto, Zion, Lennox, Pj Sin Suela, Lucecita Benitez",A Forgotten Spot (Olvidado)
22,Puerto Rico,Puerto Rico,"Kaïzer Panda, Kelyan Muller",Hum
23,Puerto Rico,Puerto Rico,"Kaïzer Panda, Kelyan Muller",Hum
24,Puerto Rico,Puerto Rico,Marc Anthony,Preciosa
25,Puerto Rico,Puerto Rico,Victor Manuelle,Mi Salsa Le Gustó
26,Puerto Rico,Puerto Rico,Big Punisher,100%
27,Puerto Rico,Puerto Rico,Frankie Ruiz,Puerto Rico
28,Puerto Rico,Puerto Rico,Vaya Con Dios,Puerto Rico
29,Puerto Rico,Puerto Rico,Vaya Con Dios,Puerto Rico [DVD; Live; Version]
30,Puerto Rico,Puerto Rico,Jennifer Lopez,Gotta Be There
31,Puerto Rico,Puerto Rico,Cosculluela,Sigo Rico
32,Puerto Rico,Puerto Rico,Akon,Bring It On
33,Puerto Rico,Puerto Rico,Victor Manuelle,Mi Salsa
34,Puerto Rico,Puerto Rico,Wil Make-It,Culebra
35,Puerto Rico,Puerto Rico,Kamil Show,Puerto Rico
36,Puerto Rico,Puerto Rico,Shy'm,Puerto Rico
37,Puerto Rico,Puerto Rico,"Mozart La Para, DCS, Juan Magán",Soy un Don
38,Puerto Rico,Puerto Rico,Obie Bermúdez,La Más Bella
39,Puerto Rico,Puerto Rico,Celia Cruz,Mi Bomba Sonó
40,Puerto Rico,Puerto Rico,Don Gavin,I Went to Puerto Rico
41,Puerto Rico,Puerto Rico,Celia Cruz,Mi Bomba Sonó
42,Puerto Rico,Puerto Rico,Celia Cruz,Mi Bomba Sonó
43,Puerto Rico,Puerto Rico,Celia Cruz,Mi Bomba Sonó
44,Puerto Rico,Puerto Rico,Eve,What Y'all Want [Remix; Bonus Track; Mix]
45,Puerto Rico,Puerto Rico,Eve,What Y'all Want
46,Puerto Rico,Puerto Rico,Fero47,Puerto Rico
47,Puerto Rico,Puerto Rico,Pedro Capó,Calma [Remix]
48,Puerto Rico,Puerto Rico,PnB Rock,Beast Mode
49,Puerto Rico,Puerto Rico,The Lonely Island,Where Brooklyn At? [Interlude]
50,Puerto Rico,Puerto Rico,Blondie,Puerto Rico
51,Puerto Rico,Puerto Rico,Ricardo Arjona,Noticero
52,Puerto Rico,Puerto Rico,Beenie Man,Belly Danza
53,Puerto Rico,Puerto Rico,Tego Calderón,Dominicana
54,Puerto Rico,Puerto Rico,"Alicia Keys, Pedro Capó, Farruko",Calma [Alicia Remix]
55,Puerto Rico,Puerto Rico,Gallego,Soy De La Calle
