,city,state,artist,song
0,Rhode Island,Rhode Island,Foals,Total Life Forever
1,Rhode Island,Rhode Island,Ike & Tina Turner,Sweet Rhode Island Red
2,Rhode Island,Rhode Island,The Monkees,Calico Girlfriend Samba [CD Bonus; Previously Unreleased Track]
3,Rhode Island,Rhode Island,Mandy Patinkin,Rhode Island Is Famous for You
4,Rhode Island,Rhode Island,Michael Feinstein,Rhode Island Is Famous for You
5,Rhode Island,Rhode Island,Dick Haymes,Rhode Island Is Famous for You
6,Rhode Island,Rhode Island,Blossom Dearie,Rhode Island Is Famous for You
7,Rhode Island,Rhode Island,Blossom Dearie,Rhode Island is Famous For You
8,Rhode Island,Rhode Island,Wesla Whitfield,Rhode Island Is Famous for You
9,Rhode Island,Rhode Island,The Innocence Mission,Rhode Island
10,Rhode Island,Rhode Island,Erin McKeown,Rhode Island Is Famous for You
11,Rhode Island,Rhode Island,Buddy Clark,Rhode Island Is Famous For You
12,Rhode Island,Rhode Island,"Jack Haley, Sr.",Rhode Island Is Famous For You
13,Rhode Island,Rhode Island,Joe Cohn,Rhode Island Is Famous for You
14,Rhode Island,Rhode Island,Patrick Williams,Rhode Island Is Famous For You
15,Rhode Island,Rhode Island,David Silverman,Rhode Island Is Famous for You
16,Rhode Island,Rhode Island,Lil B,Rhode Island
17,Rhode Island,Rhode Island,Charles Holden,Rhode Island Is Famous for You
18,Rhode Island,Rhode Island,Annette Sanders,Rhode Island Is Famous for You
19,Rhode Island,Rhode Island,Buddy Clark,Rhode Island Is Famous for You
20,Rhode Island,Rhode Island,Lascivious Biddies,Rhode Island Is Famous for You A.K.A. Coney Island
21,Rhode Island,Rhode Island,Nancy LaMott,Rhode Island Is Famous for You
22,Rhode Island,Rhode Island,Clockwork,Rhode Island Is Famous for You
23,Rhode Island,Rhode Island,Russ Lorenson,Rhode Island Is Famous for You
24,Rhode Island,Rhode Island,Robert Clary,Rhode Island Is Famous for You [From Inside USA]
25,Rhode Island,Rhode Island,Janet Planet,Rhode Island Is Famous for You
26,Rhode Island,Rhode Island,Clockwork,Rhode Island is Famous For You
27,Rhode Island,Rhode Island,Kollegah,Hagelkoerner
28,Rhode Island,Rhode Island,Don Gavin,Fall Back
29,Rhode Island,Rhode Island,Eagles,The Last Resort
30,Rhode Island,Rhode Island,Eagles,The Last Resort
31,Rhode Island,Rhode Island,Johnny Cash,Take Me Home
32,Rhode Island,Rhode Island,Charley Pride,Take Me Home
33,Rhode Island,Rhode Island,Jim Henson,Movin' Right Along
34,Rhode Island,Rhode Island,Johnny Cash,Take Me Home
35,Rhode Island,Rhode Island,Mannheim Steamroller,Wolf Creek Pass
36,Rhode Island,Rhode Island,Porter Wagoner,Brewster's Farm
37,Rhode Island,Rhode Island,Taylor Swift,the last great american dynasty
38,Rhode Island,Rhode Island,Smokey Robinson,International Baby
39,Rhode Island,Rhode Island,Allan Sherman,Holiday for States
40,Rhode Island,Rhode Island,Boston,Rock & Roll Band
41,Rhode Island,Rhode Island,Boston,Rock & Roll Band
42,Rhode Island,Rhode Island,Boston,Rock & Roll Band
43,Rhode Island,Rhode Island,Back Yard Band,Pretty Girls
44,Rhode Island,Rhode Island,Redman,Jersey Yo!
45,Rhode Island,Rhode Island,Busta Rhymes,Everybody Rise Again
46,Rhode Island,Rhode Island,Fetty Wap,Rock My Chain
47,Rhode Island,Rhode Island,Fetty Wap,Rock My Chain
48,Rhode Island,Rhode Island,Rick Ross,Crib in My Closet
49,Rhode Island,Rhode Island,G-Unit,Money Make the World Go Round
50,Rhode Island,Rhode Island,Sonic Youth,Providence
51,Rhode Island,Rhode Island,Sonic Youth,Providence
52,Rhode Island,Rhode Island,Sonic Youth,Providence
53,Rhode Island,Rhode Island,C.W. McCall,Wolf Creek Pass
54,Rhode Island,Rhode Island,Bill Anderson,Take Me Home
55,Rhode Island,Rhode Island,NOFX,Theme from a Nofx Album
56,Rhode Island,Rhode Island,The Mountain Goats,Lovecraft in Brooklyn
57,Rhode Island,Rhode Island,Animaniacs,Wakko's America
58,Rhode Island,Rhode Island,Pato Banton,Go Pato
59,Rhode Island,Rhode Island,Destroyer,3000 Flowers
60,Rhode Island,Rhode Island,Clutch,How to Shake Hands
61,Rhode Island,Rhode Island,Alkaline Trio,Movin' Right Along
62,Rhode Island,Rhode Island,Dilated Peoples,Rapid Transit
63,Rhode Island,Rhode Island,RiFF RAFF,MARSHMALLOW MAZERATi
64,Rhode Island,Rhode Island,Brian Is Ze,Sic(k) Cadence Cicadas
65,Rhode Island,Rhode Island,Loud Lary Ajust,Candlewood Suites
66,Rhode Island,Rhode Island,Stick Martin,Sci Lo-Fi
67,Rhode Island,Rhode Island,Stick Martin,Midnight Oil
68,Rhode Island,Rhode Island,Jessica Kirson,These Old Jews
69,Rhode Island,Rhode Island,Kids Learning Tube ,50 States Of America
70,Rhode Island,Rhode Island,Softies,Holiday in Rhode Island
