,city,state,artist,song
0,South Carolina,South Carolina,Josh Turner,South Carolina Low Country
1,South Carolina,South Carolina,Dean Martin,Just a Little Bit South of North Carolina
2,South Carolina,South Carolina,Maclaren Brennan,South Carolina
3,South Carolina,South Carolina,Anita O'Day,Just a Little Bit South of North Carolina
4,South Carolina,South Carolina,Ray LaMontagne,Strong Enough
5,South Carolina,South Carolina,Gene Krupa,Just a Little Bit South of North Carolina
6,South Carolina,South Carolina,Archers of Loaf,South Carolina
7,South Carolina,South Carolina,Poco,Crazy Eyes
8,South Carolina,South Carolina,John Linnell,South Carolina
9,South Carolina,South Carolina,Tennis,South Carolina
10,South Carolina,South Carolina,Jimmy Buffett,Honey Do
11,South Carolina,South Carolina,Kenny Rogers,Harder Cards
12,South Carolina,South Carolina,Joe Strummer,Slant Six
13,South Carolina,South Carolina,Gene Krupa & His Orchestra,Just a Little Bit South of North Carolina
14,South Carolina,South Carolina,Collin Raye,Harder Cards
15,South Carolina,South Carolina,Vic Chesnutt,Bug
16,South Carolina,South Carolina,Logic,Thank You
17,South Carolina,South Carolina,Stretch Armstrong,For the Record
18,South Carolina,South Carolina,Her Space Holiday,From South Carolina
19,South Carolina,South Carolina,Petey Pablo,Raise Up
20,South Carolina,South Carolina,Master P,How Ya Do Dat
21,South Carolina,South Carolina,N.E.R.D.,Don't Don't Do It!
22,South Carolina,South Carolina,Stretch Armstrong,For the Record
23,South Carolina,South Carolina,Master P,Murder
24,South Carolina,South Carolina,Master P,Murder
25,South Carolina,South Carolina,Tim Johnson,Beachbound
26,South Carolina,South Carolina,DJ Khaled,We Takin' Over
27,South Carolina,South Carolina,Fat Joe,We Takin' Over
28,South Carolina,South Carolina,Allan Sherman,Holiday for States
29,South Carolina,South Carolina,The Byrds,Hickory Wind
30,South Carolina,South Carolina,Tom Petty,Louisiana Rain
31,South Carolina,South Carolina,The Byrds,Hickory Wind
32,South Carolina,South Carolina,Baddazis,If You (With All)
33,South Carolina,South Carolina,Toby Keith,"Nights I Can't Remember, Friends I'll Never Forget"
34,South Carolina,South Carolina,The Byrds,Hickory Wind
35,South Carolina,South Carolina,The Byrds,Hickory Wind
36,South Carolina,South Carolina,Emmylou Harris,Hickory Wind
37,South Carolina,South Carolina,Cab Calloway & His Orchestra,Reefer Man
38,South Carolina,South Carolina,Blake Shelton,Same Old Song
39,South Carolina,South Carolina,Joan Baez,Hickory Wind
40,South Carolina,South Carolina,Petey Pablo,Raise Up
41,South Carolina,South Carolina,Petey Pablo,Raise Up
42,South Carolina,South Carolina,Emmylou Harris,Hickory Wind
43,South Carolina,South Carolina,The Byrds,Hickory Wind
44,South Carolina,South Carolina,Emmylou Harris,Hickory Wind
45,South Carolina,South Carolina,Elvis Costello,Sulphur To Sugarcane
46,South Carolina,South Carolina,Future,Good Dope
47,South Carolina,South Carolina,Ghostface Killah,Run [Remix]
48,South Carolina,South Carolina,Jason Aldean,She's Country
49,South Carolina,South Carolina,Jason Aldean,Talk About Georgia
50,South Carolina,South Carolina,Busta Rhymes,Everybody Rise Again
51,South Carolina,South Carolina,LL Cool J,American Girl
52,South Carolina,South Carolina,Talking Heads,I Get Wild/Wild Gravity
53,South Carolina,South Carolina,Bonnie Raitt,Used to Rule the World
54,South Carolina,South Carolina,Dierks Bentley,The South
55,South Carolina,South Carolina,Dierks Bentley,The South
56,South Carolina,South Carolina,Kool Keith,Clifton
57,South Carolina,South Carolina,Emmylou Harris,Hickory Wind
58,South Carolina,South Carolina,Bill Anderson,Deck of Cards
59,South Carolina,South Carolina,Justin Moore,Sunshine Babies
60,South Carolina,South Carolina,Frank Zappa,Porn Wars Deluxe
61,South Carolina,South Carolina,"Martin Luther King, Jr.",I Have a Dream
62,South Carolina,South Carolina,Gram Parsons,Hickory Wind
63,South Carolina,South Carolina,Gram Parsons,Hickory Wind
64,South Carolina,South Carolina,Bonnie Tyler,Louisiana Rain
65,South Carolina,South Carolina,Raekwon,Forecast
66,South Carolina,South Carolina,Lupe Fiasco,Valleys
67,South Carolina,South Carolina,Redman,Down South Funk
68,South Carolina,South Carolina,The Beautiful South,This Old Skin
69,South Carolina,South Carolina,John Hiatt,Take It Down
70,South Carolina,South Carolina,Dave Dudley,Fireball Rolled a Seven
71,South Carolina,South Carolina,Primus,The Last Superpower aka Rapscallion
72,South Carolina,South Carolina,Bonnie Tyler,Louisiana Rain
73,South Carolina,South Carolina,Randy Newman,Only a Girl
74,South Carolina,South Carolina,Pato Banton,Go Pato
75,South Carolina,South Carolina,Kevin Gates,Difficult
76,South Carolina,South Carolina,UGK,Ridin' Dirty
77,South Carolina,South Carolina,Scarface,Ridin' Dirty
78,South Carolina,South Carolina,Cat Power,Song for Bobby
79,South Carolina,South Carolina,Joe Nichols,We All Go Home
80,South Carolina,South Carolina,Cat Power,Song To Bobby
81,South Carolina,South Carolina,Bill Anderson,Concrete
82,South Carolina,South Carolina,Sammy Hagar,Shag
83,South Carolina,South Carolina,The Decemberists,My Mother Was a Chinese Trapeze Artist
84,South Carolina,South Carolina,John Prine,Slow Boat to China
85,South Carolina,South Carolina,Animaniacs,Wakko's America
86,South Carolina,South Carolina,Josh Turner,Introduction by Michael Buffer
87,South Carolina,South Carolina,Josh Turner,Introduction by Michael Buffer
88,South Carolina,South Carolina,Lin-Manuel Miranda,Yorktown (The World Turned Upside Down)
89,South Carolina,South Carolina,Young MC,Pick Up the Pace
90,South Carolina,South Carolina,Drive-By Truckers,Greenville To Baton Rouge
91,South Carolina,South Carolina,Gram Parsons,Cash on the Barrelhead/Hickory Wind [Live]
92,South Carolina,South Carolina,Bonnie Tyler,Louisiana Rain [2018 Remaster]
93,South Carolina,South Carolina,The Blue Dogs,Carolina Heartache
94,South Carolina,South Carolina,Ying Yang Twins,Twurkulator
95,South Carolina,South Carolina,Big Audio Dynamite,Esquerita
96,South Carolina,South Carolina,Iron & Wine,Sundown (Back in the Briars)
97,South Carolina,South Carolina,Iron & Wine,Caught in the Briars
98,South Carolina,South Carolina,Steve Hackett,How Can I?
99,South Carolina,South Carolina,T-Pain,One Way
100,South Carolina,South Carolina,Saliva,Southern Girls
