,city,state,artist,song
0,South Dakota,South Dakota,Liz Phair,South Dakota
1,South Dakota,South Dakota,Bee Gees,South Dakota Morning
2,South Dakota,South Dakota,Nanci Griffith,Shaking Out the Snow
3,South Dakota,South Dakota,Johnny Cash,Big Foot
4,South Dakota,South Dakota,Bobby Darin,East of the Rockies
5,South Dakota,South Dakota,Bob Dylan,Ballad Of Hollis Brown
6,South Dakota,South Dakota,Bob Dylan,Ballad Of Hollis Brown
7,South Dakota,South Dakota,Bob Dylan,Ballad Of Hollis Brown
8,South Dakota,South Dakota,Nina Simone,The Ballad of Hollis Brown
9,South Dakota,South Dakota,Mike Seeger,The Ballad of Hollis Brown
10,South Dakota,South Dakota,Big & Rich,8th of November
11,South Dakota,South Dakota,Rise Against,Ballad of Hollis Brown
12,South Dakota,South Dakota,Big & Rich,8th of November
13,South Dakota,South Dakota,The Stooges,Rich Bitch
14,South Dakota,South Dakota,Nazareth,The Ballad of Hollis Brown
15,South Dakota,South Dakota,David Lynch,The Ballad of Hollis Brown
16,South Dakota,South Dakota,Entombed,The Ballad of Hollis Brown
17,South Dakota,South Dakota,Kid Dakota,Pine Ridge
18,South Dakota,South Dakota,Matt Koerner,Never Knew Beautiful
19,South Dakota,South Dakota,Sarah Kay,14th Amendment
20,South Dakota,South Dakota,Silver Jews,Federal Dust
21,South Dakota,South Dakota,Emmylou Harris,The Ballad of Sally Rose
22,South Dakota,South Dakota,Lucy Hale,From the Backseat
23,South Dakota,South Dakota,Allan Sherman,Holiday for States
24,South Dakota,South Dakota,Toby Keith,Stays in Mexico
25,South Dakota,South Dakota,The Mills Brothers,Nagasaki
26,South Dakota,South Dakota,The Mills Brothers,Nagasaki
27,South Dakota,South Dakota,2 Chainz,Fork
28,South Dakota,South Dakota,2 Chainz,Fork
29,South Dakota,South Dakota,2 Chainz,Fork
30,South Dakota,South Dakota,Jon Brooks & The Outskirts of Approval,War Resister
31,South Dakota,South Dakota,Neil Young,Misfits
32,South Dakota,South Dakota,Busta Rhymes,Everybody Rise Again
33,South Dakota,South Dakota,"The Manhattan Transfer, Gene Pistilli",One More Time Around Rosie
34,South Dakota,South Dakota,The Nitty Gritty Dirt Band,Slim Carter
35,South Dakota,South Dakota,Kid Rock,I Am
36,South Dakota,South Dakota,Delbert McClinton,B Movie Boxcar Blues
37,South Dakota,South Dakota,E-40,Duckin' & Dodgin'
38,South Dakota,South Dakota,Biz Markie,Just Rhymin' with Biz
39,South Dakota,South Dakota,Big Daddy Kane,Just Rhymin' with Biz
40,South Dakota,South Dakota,Shawn Colvin,Steady On
41,South Dakota,South Dakota,Nanci Griffith,"Deadwood, South Dakota"
42,South Dakota,South Dakota,The Blues Brothers,"""B"" Movie Box Car Blues"
43,South Dakota,South Dakota,Colt Ford,What I Call Home
44,South Dakota,South Dakota,Nick Cave,"You, Man? Human???"
45,South Dakota,South Dakota,Cowboy Junkies,Pale Sun
46,South Dakota,South Dakota,Cowboy Junkies,Pale Sun [DVD]
47,South Dakota,South Dakota,Young Thug,Yamborghini Dream
48,South Dakota,South Dakota,Animaniacs,Wakko's America
49,South Dakota,South Dakota,.38 Special,Haley's Got a Harley
50,South Dakota,South Dakota,Pato Banton,Go Pato
51,South Dakota,South Dakota,Molly Hatchet,Kickstart to Freedom
52,South Dakota,South Dakota,Kids Learning Tube ,50 States Of America
53,South Dakota,South Dakota,Manchester Orchestra,"Lead, SD"
54,South Dakota,South Dakota,Slightly Stoopid,Ska Diddy
55,South Dakota,South Dakota,Atmosphere,Jason
56,South Dakota,South Dakota,Better Than Ezra,New Kind of Low: Low/Coma
57,South Dakota,South Dakota,Bo Burnham,Binary Reality
58,South Dakota,South Dakota,Murs,The Shutters
