,city,state,artist,song
0,Tennessee,Tennessee,Don Gibson,Tennessee Stud
1,Tennessee,Tennessee,The Nitty Gritty Dirt Band,Tennessee
2,Tennessee,Tennessee,Arlo Guthrie,Tennessee Stud
3,Tennessee,Tennessee,Grateful Dead,Tennessee Jed
4,Tennessee,Tennessee,Ramblin' Jack Elliott,Tennessee Stud
5,Tennessee,Tennessee,Johnny Hallyday,Quelque chose de Tennessee
6,Tennessee,Tennessee,Country Joe McDonald,Tennessee Stud
7,Tennessee,Tennessee,Johnny Cash,Tennessee Stud
8,Tennessee,Tennessee,Johnny Cash,Tennessee Stud
9,Tennessee,Tennessee,Joe Ely,Tennessee's Not the State I'm In
10,Tennessee,Tennessee,Billy Eckstine,The Tennessee Rock 'N' Roll
11,Tennessee,Tennessee,Porter Wagoner,Tennessee Stud
12,Tennessee,Tennessee,Jason Aldean,Tennessee River
13,Tennessee,Tennessee,Lester Flatt,My Little Girl in Tennessee
14,Tennessee,Tennessee,Bill Monroe,Tennessee
15,Tennessee,Tennessee,Michael Martin Murphey,Tennessee Stud
16,Tennessee,Tennessee,Carl Perkins,Tennessee
17,Tennessee,Tennessee,Lester Flatt,My Little Girl in Tennessee
18,Tennessee,Tennessee,Jerry Lee Lewis,Tennessee
19,Tennessee,Tennessee,Chris LeDoux,Tennessee Stud
20,Tennessee,Tennessee,Johnny Hallyday,Quelque chose de Tennessee
21,Tennessee,Tennessee,Yelawolf,Tennessee Love
22,Tennessee,Tennessee,Yelawolf,Tennessee Love
23,Tennessee,Tennessee,Johnny Hallyday,Quelque chose de Tennessee
24,Tennessee,Tennessee,Ohio Express,Down in Tennessee
25,Tennessee,Tennessee,The Everly Brothers,Rocky Top
26,Tennessee,Tennessee,Carl Perkins,Tennessee
27,Tennessee,Tennessee,Johnny Hallyday,Quelque chose de Tennessee
28,Tennessee,Tennessee,Johnny Hallyday,Quelque chose de Tennessee
29,Tennessee,Tennessee,Dolly Parton,Rocky Top
30,Tennessee,Tennessee,Charlie Daniels,Tennessee Two Step
31,Tennessee,Tennessee,Emmylou Harris,Tennessee Waltz
32,Tennessee,Tennessee,Hank Snow & His Rainbow Ranch Boys,Music Makin' Mama from Memphis
33,Tennessee,Tennessee,Chris Stapleton,Tennessee Whiskey
34,Tennessee,Tennessee,Don Henley,Brand New Tennessee Waltz [Bonus Track]
35,Tennessee,Tennessee,Barbara Mandrell,There's No Love in Tennessee
36,Tennessee,Tennessee,Dottie West,Rocky Top
37,Tennessee,Tennessee,Conway Twitty,Rocky Top
38,Tennessee,Tennessee,Hank Snow,Music Makin' Mama From Memphis
39,Tennessee,Tennessee,Patti Page,Brand New Tennessee Waltz
40,Tennessee,Tennessee,Roy Orbison,"Memphis, Tennessee"
41,Tennessee,Tennessee,Billy Dean,A Fall in Tennessee
42,Tennessee,Tennessee,Dustin Dixon and the Free Atlantics,Tennessee
43,Tennessee,Tennessee,Leonard Cohen,Tennessee Waltz [Live]
44,Tennessee,Tennessee,Osborne Brothers,Tennessee Hound Dog
45,Tennessee,Tennessee,Shawn Colvin,Tennessee
46,Tennessee,Tennessee,The Animals,Memphis Tennessee
