,city,state,artist,song
0,Texas,Texas,Lyle Lovett,That's Right (You're Not from Texas)
1,Texas,Texas,Lyle Lovett,That's Right (You're Not fromTexas)
2,Texas,Texas,Gene Autry,Gonna Build A Big Fence Around Texas
3,Texas,Texas,Ray Wylie Hubbard,"Screw You, We're From Texas [Live at American Airlines Center]"
4,Texas,Texas,Asleep at the Wheel,Boogie Back to Texas
5,Texas,Texas,Young Thug,Texas Love
6,Texas,Texas,Paul Wall,Cup Up Top Down
7,Texas,Texas,Elvis Presley,Yellow Rose of Texas/The Eyes of Texas
8,Texas,Texas,Ray Wylie Hubbard,"Screw You, We're From Texas"
9,Texas,Texas,Elvis Presley,Yellow Rose of Texas
10,Texas,Texas,Asleep at the Wheel,Boogie Back to Texas
11,Texas,Texas,Bob Wills,Texas Playboy Rag
12,Texas,Texas,Ry Cooder,The Girls From Texas
13,Texas,Texas,Jimmy Buffett,Hello Texas
14,Texas,Texas,Gary Moore,Texas Strut
15,Texas,Texas,Gary Moore,Moving On
16,Texas,Texas,Ry Cooder,The Girls from Texas
17,Texas,Texas,Ry Cooder,The Girls from Texas
18,Texas,Texas,George Strait,Take Me to Texas
19,Texas,Texas,Delbert McClinton,Lone Star Blues
20,Texas,Texas,"The Head, DJ Screw, Lil' Keke",Don't Mess Wit Texas
21,Texas,Texas,Big Black,Texas
22,Texas,Texas,Loretta Lynn,I've Got Texas in My Heart
23,Texas,Texas,Willie Nelson,Texas in My Soul
24,Texas,Texas,George Strait,Dance Time in Texas
25,Texas,Texas,Lil' Keke,Don't Mess Wit Texas
26,Texas,Texas,Jerry Jeff Walker,Keep Texas Beautiful
27,Texas,Texas,"Leon Bridges, Khruangbin",Texas Sun
28,Texas,Texas,Austin Lounge Lizards,Stupid Texas Song
29,Texas,Texas,Terry Allen,Gone to Texas
30,Texas,Texas,Lil' Flip,Texas Takeover
31,Texas,Texas,Tanya Tucker,Texas (When I Die)
32,Texas,Texas,Tanya Tucker,Texas (When I Die)
33,Texas,Texas,George Strait,All My Ex's Live in Texas
34,Texas,Texas,Willie Nelson,Texas on a Saturday Night
35,Texas,Texas,Hank Thompson,There's a Little Bit of Everything in Texas
36,Texas,Texas,Old 97's,A State of Texas
37,Texas,Texas,Trace Adkins,There's a Girl in Texas [DVD]
38,Texas,Texas,Trace Adkins,There's a Girl in Texas
39,Texas,Texas,Michael Martin Murphey,Merry Texas Christmas
40,Texas,Texas,George Strait,All My Exes Live in Texas (as used in the film Cold Comfort Manor)
41,Texas,Texas,The Beach Boys,Long Tall Texan
42,Texas,Texas,Nickel Creek,Deep in the Heart of Texas
43,Texas,Texas,The Beach Boys,"Long, Tall Texan"
44,Texas,Texas,George Strait,When It's Christmas Time In Texas
45,Texas,Texas,George Strait,When It's Christmas Time In Texas
46,Texas,Texas,George Strait,All My Ex's Live in Texas
47,Texas,Texas,Asleep at the Wheel,Don't Ask Me Why (I'm Going to Texas)
48,Texas,Texas,George Strait,All My Ex's Live in Texas [Live]
49,Texas,Texas,Parker Dulany,Texas
50,Texas,Texas,Asleep at the Wheel,Miles and Miles of Texas
51,Texas,Texas,John Michael Montgomery,Dream on Texas Ladies
52,Texas,Texas,Webb Pierce,Drifting Texas Sand
53,Texas,Texas,Ernest Tubb,Waltz Across Texas
54,Texas,Texas,Stan Freberg,Yellow Rose of Texas
55,Texas,Texas,Ray Charles,Deep in the Heart of Texas
56,Texas,Texas,Alabama,If You're Gonna Play in Texas (You Gotta Have a Fiddle in the Band)
57,Texas,Texas,Bob Dylan,Drifting Texas Sand
58,Texas,Texas,Ernest Tubb,The Texas Troubadour
59,Texas,Texas,Mitch Miller,The Yellow Rose of Texas
60,Texas,Texas,Alabama,If You're Gonna Play In Texas (You Gotta Have a Fiddle In the Band) [Live]
61,Texas,Texas,Asleep at the Wheel,Way Down Texas Way
62,Texas,Texas,Alabama,If You're Gonna Play In Texas (You Gotta Have a Fiddle In the Band)
63,Texas,Texas,Tanya Tucker,Texas When I Die
64,Texas,Texas,Tanya Tucker,Texas (When I Die)
65,Texas,Texas,Asleep at the Wheel,Miles and Miles of Texas
66,Texas,Texas,Mitch Miller,Yellow Rose of Texas
67,Texas,Texas,Roxy Music,Prairie Rose
68,Texas,Texas,Hank Thompson,Deep in the Heart of Texas
69,Texas,Texas,Lyle Lovett,Long Tall Texan
70,Texas,Texas,Michael Martin Murphey,Texas Morning
71,Texas,Texas,Neil Young,Texas Rangers
72,Texas,Texas,"Future, Drake, Anuel AA",Desires
73,Texas,Texas,Old 97's,W. TX Teardrops
74,Texas,Texas,"Hank Williams, Jr.",Texas Women
75,Texas,Texas,George Strait,I Can't See Texas from Here
76,Texas,Texas,"Hank Williams, Jr.",Texas Women
77,Texas,Texas,Asleep at the Wheel,Way Down Texas Way
78,Texas,Texas,Bob Wills and His Texas Playboys,Texas Playboy Rag
79,Texas,Texas,Big K.R.I.T.,Learned From Texas
80,Texas,Texas,Mirah,Lone Star
81,Texas,Texas,Ernest Tubb,There's a Little Bit of Everything in Texas
82,Texas,Texas,Vince Gill,I'll Take Texas
83,Texas,Texas,Garth Brooks,Cowboy Bill
84,Texas,Texas,Mac Davis,Texas in My Rearview Mirror
85,Texas,Texas,Mel Tillis,Texas on a Saturday Night
86,Texas,Texas,Asleep at the Wheel,Miles and Miles of Texas
87,Texas,Texas,Asleep at the Wheel,Miles and Miles of Texas
88,Texas,Texas,Jerry Jeff Walker,Northeast Texas Women
89,Texas,Texas,George Strait,Somewhere Down in Texas
90,Texas,Texas,George Strait,West Texas Town
91,Texas,Texas,Clint Black,I'll Take Texas
92,Texas,Texas,Dwight Yoakam,T For Texas
93,Texas,Texas,John Ford Coley,Should Have Never Left Texas
94,Texas,Texas,George Jones,It Hurts as Much in Texas (As It Did in Tennessee)
95,Texas,Texas,Aretha Franklin,Sister from Texas
96,Texas,Texas,Restless Heart,The Bluest Eyes in Texas
97,Texas,Texas,Restless Heart,The Bluest Eyes in Texas
98,Texas,Texas,W.A.S.P.,Blind in Texas [Live; Bonus Track]
99,Texas,Texas,The Kingston Trio,Texas Across the River
100,Texas,Texas,Pat Green,My Texas
101,Texas,Texas,Big Tree #4Real,Freshman
102,Texas,Texas,Chris Isaak,Waiting for My Lucky Day
103,Texas,Texas,Shooter Jennings,Do You Love Texas?
104,Texas,Texas,Primer 55,Texas
105,Texas,Texas,Primer 55,Texas
106,Texas,Texas,Restless Heart,The Bluest Eyes in Texas
107,Texas,Texas,Lyle Lovett & His Large Band,South Texas Girl
108,Texas,Texas,The Hi-Lo's,Yellow Rose of Texas
109,Texas,Texas,Waylon Jennings,"Luckenbach, Texas (Back to the Basics of Love)"
110,Texas,Texas,W.A.S.P.,Blind in Texas
111,Texas,Texas,Pere Ubu,Texas Overture
112,Texas,Texas,George Strait,All My Ex's Life in Texas
113,Texas,Texas,George Strait,All My Ex's Live in Texas
114,Texas,Texas,Waylon Jennings,"Luckenbach, Texas (Back to the Basics of Love)"
115,Texas,Texas,The Wilburn Brothers,Waltz Across Texas
116,Texas,Texas,Ernest Tubb,Waltz Across Texas
117,Texas,Texas,Willie Nelson,Waltz Across Texas
118,Texas,Texas,Jerry Jeff Walker,Woman in Texas
119,Texas,Texas,Emmylou Harris,Waltz Across Texas Tonight
120,Texas,Texas,Willie Nelson,Waltz Across Texas
121,Texas,Texas,Janis Joplin,Ego Rock
122,Texas,Texas,Tom Russell,East Texas Red
123,Texas,Texas,Tree,Texas
124,Texas,Texas,Waylon Jennings,People Up in Texas
125,Texas,Texas,Waylon Jennings,Waltz Across Texas
126,Texas,Texas,George Strait,Texas
127,Texas,Texas,Ernest Tubb,Waltz Across Texas
128,Texas,Texas,Joe Ely,West Texas Waltz
129,Texas,Texas,"Lil' Keke, Bun B, Slim Thug",Knowhatimsayin
130,Texas,Texas,Demir Demirkan,It's a Texas Christmas
131,Texas,Texas,Jason Aldean,Texas Was You
132,Texas,Texas,Rushlow,Texas Is My Kind of Town
133,Texas,Texas,Helge Schneider,Texas
134,Texas,Texas,Kenny Rogers,No Good Texas Rounder
135,Texas,Texas,George Jones,Pretty Little Lady from Beaumont Texas
136,Texas,Texas,Keith Urban,Texas Time
137,Texas,Texas,Future,Desires
138,Texas,Texas,Wade Bowen,West Texas Rain
139,Texas,Texas,Prince Buster,Texas Hold-Up
140,Texas,Texas,Little Texas,Texas 101
141,Texas,Texas,Cal Smith,Waltz Across Texas
142,Texas,Texas,David Allan Coe,Texas Lullaby
143,Texas,Texas,Bill Anderson,Sweet Texas
144,Texas,Texas,Asleep at the Wheel,You're from Texas
145,Texas,Texas,Chris Young,Text Me Texas
146,Texas,Texas,Tim Rushlow And His Big Band,God Blessed Texas
147,Texas,Texas,Raelyn Nelson Band,Texas
148,Texas,Texas,Barry Allen,Long Tall Texan
149,Texas,Texas,Foster & Lloyd,Texas in 1880
150,Texas,Texas,Trae,I'm From Texas
151,Texas,Texas,Hubert-Félix Thiéfaine,MAALOX TEXAS BLUES
152,Texas,Texas,Golden Delicious,Waltz Across Texas
153,Texas,Texas,Ernest Tubb,Waltz Across Texas
154,Texas,Texas,Justin Tubb,Waltz Across Texas
155,Texas,Texas,Sammi Smith,Waltz Across Texas
156,Texas,Texas,Waylon Jennings,Bob Wills Is Still the King [Live]
157,Texas,Texas,Judy Garland,Texas Tornado
158,Texas,Texas,Marty Robbins,Big Iron
159,Texas,Texas,Dean Martin,It's 1200 Miles from Palm Springs to Texas [Previously Unreleased Track]
160,Texas,Texas,Marty Robbins,Big Iron
161,Texas,Texas,Pat Green,Somewhere Between Texas and Mexico
162,Texas,Texas,Ramones,Chainsaw
163,Texas,Texas,Ramones,Chain Saw
164,Texas,Texas,Roy Rogers,Yellow Rose of Texas
165,Texas,Texas,Johnny Cash,Big Iron
166,Texas,Texas,Emmylou Harris,West Texas Waltz
167,Texas,Texas,Van Morrison,Moonshine Whiskey
