,city,state,artist,song
0,Utah,Utah,Arlo Guthrie,Utah Carroll
1,Utah,Utah,Marty Robbins,Utah Carol
2,Utah,Utah,Marty Robbins,Utah Carol
3,Utah,Utah,The Osmonds,Utah
4,Utah,Utah,Marty Robbins,The Red Hill of Utah
5,Utah,Utah,The Doobie Brothers,The Beehive State
6,Utah,Utah,Go Go Berlin,Utah
7,Utah,Utah,Elton John,I've Got 2 Wings
8,Utah,Utah,Shovels & Rope,C'mon Utah!
9,Utah,Utah,Marty Robbins,The Red Hills Of Utah
10,Utah,Utah,Harry Nilsson,The Beehive State
11,Utah,Utah,Randy Newman,Beehive State
12,Utah,Utah,"Hank Williams, Jr.",California Zephyr
13,Utah,Utah,Bob Dylan,Ballad for a Friend
14,Utah,Utah,Fabolous,Uptown Vibes
15,Utah,Utah,Chris LeDoux,Rodeo Trails
16,Utah,Utah,Babyshambles,You Talk [DVD]
17,Utah,Utah,Babyshambles,You Talk
18,Utah,Utah,XavierTheRapper,8 God (Prod ByJustSickk)
19,Utah,Utah,Rob Getzschman,The Ballad of Joe Hill
20,Utah,Utah,Kids Learning Tube ,50 States Of America
21,Utah,Utah,John Linnell,Utah
22,Utah,Utah,Grateful Dead,Friend of the Devil
23,Utah,Utah,Shania Twain,Rock This Country!
24,Utah,Utah,Bruce Springsteen,Promised Land
25,Utah,Utah,Grateful Dead,Operator [DVD]
26,Utah,Utah,The Kingston Trio,I'm Going Home
27,Utah,Utah,Grateful Dead,Operator
28,Utah,Utah,David Houston,My Elusive Dreams
29,Utah,Utah,The Beach Boys,Salt Lake City
30,Utah,Utah,Beastie Boys,Root Down
31,Utah,Utah,Bruce Springsteen,Promised Land
32,Utah,Utah,Bruce Springsteen,Promised Land
33,Utah,Utah,Bruce Springsteen,Promised Land
34,Utah,Utah,Grateful Dead,Friend of the Devil
35,Utah,Utah,Shania Twain,Rock This Country!
36,Utah,Utah,Tammy Wynette,My Elusive Dreams
37,Utah,Utah,The Notorious B.I.G.,I Got a Story to Tell
38,Utah,Utah,Bob Dylan,Talkin' Have Negeilah Blues [outtake]
39,Utah,Utah,Bob Dylan,Sign on the Window
40,Utah,Utah,The Kingston Trio,I'm Going Home
41,Utah,Utah,Bruce Springsteen & the E Street Band,The Promised Land
42,Utah,Utah,Charlie Rich,On My Knees
43,Utah,Utah,Albert King,Bad Luck
