,city,state,artist,song
0,Vermont,Vermont,Frank Sinatra,Moonlight in Vermont
1,Vermont,Vermont,Oscar Peterson,Moonlight in Vermont
2,Vermont,Vermont,"Harry James, Margaret Whiting",Moonlight in Vermont
3,Vermont,Vermont,"Sammy Davis, Jr.",Moonlight in Vermont
4,Vermont,Vermont,Frank Sinatra,Moonlight in Vermont
5,Vermont,Vermont,Ella Fitzgerald,Moonlight in Vermont
6,Vermont,Vermont,Ella Fitzgerald,Moonlight in Vermont
7,Vermont,Vermont,"Chet Baker, Gerry Mulligan",Moonlight in Vermont
8,Vermont,Vermont,Paul Desmond,Moonlight In Vermont
9,Vermont,Vermont,"Paul Desmond, Gerry Mulligan",Moonlight in Vermont
10,Vermont,Vermont,Ella Fitzgerald,Moonlight in Vermont
11,Vermont,Vermont,Ella Fitzgerald,Moonlight In Vermont
12,Vermont,Vermont,"Ella Fitzgerald, Louis Armstrong",Moonlight in Vermont
13,Vermont,Vermont,"Ella Fitzgerald, Oscar Peterson, Louis Armstrong",Moonlight in Vermont
14,Vermont,Vermont,Ella Fitzgerald,Moonlight in Vermont
15,Vermont,Vermont,Linda Ronstadt,Moonlight in Vermont
16,Vermont,Vermont,Linda Ronstadt,Moonlight in Vermont
17,Vermont,Vermont,"Nina Simone, Ella Fitzgerald, Louis Armstrong",Moonlight in Vermont
18,Vermont,Vermont,Ray Brown,Moonlight in Vermont
19,Vermont,Vermont,Louis Armstrong,Moonlight in Vermont
20,Vermont,Vermont,Ella Fitzgerald & Her Orchestra,Moonlight In Vermont
21,Vermont,Vermont,Frank Sinatra,Moonlight in Vermont
22,Vermont,Vermont,Bob Dylan,Moonlight In Vermont
23,Vermont,Vermont,"Sammy Davis, Jr.",Moonlight In Vermont
24,Vermont,Vermont,Billy May,Moonlight in Vermont
25,Vermont,Vermont,Willie Nelson,Moonlight In Vermont
26,Vermont,Vermont,Willie Nelson,Moonlight In Vermont
27,Vermont,Vermont,Margaret Whiting,Moonlight in Vermont
28,Vermont,Vermont,Sarah Vaughan,Moonlight in Vermont
29,Vermont,Vermont,Herb Ellis,Moonlight in Vermont
30,Vermont,Vermont,Ray Charles,Moonlight in Vermont
31,Vermont,Vermont,"Mel Tormé, Al Pellegrini Trio",Moonlight in Vermont
32,Vermont,Vermont,Billy Butterfield,Moonlight in Vermont
33,Vermont,Vermont,Billy Butterfield Orchestra,Moonlight in Vermont
34,Vermont,Vermont,Billie Holiday,Moonlight in Vermont
35,Vermont,Vermont,Stan Getz,Moonlight In Vermont
36,Vermont,Vermont,Frankie Laine,Moonlight in Vermont
37,Vermont,Vermont,Brook Benton,Moonlight in Vermomt
38,Vermont,Vermont,Sarah Vaughan,Moonlight in Vermont
39,Vermont,Vermont,Betty Carter,Moonlight in Vermont
40,Vermont,Vermont,Ray Bryant,Moonlight in Vermont
41,Vermont,Vermont,"Betty Carter, Quincy Jones, Ray Bryant Trio",Moonlight in Vermont
42,Vermont,Vermont,Ben Webster,Moonlight in Vermont
43,Vermont,Vermont,Stan Kenton,Moonlight in Vermont
44,Vermont,Vermont,Stan Kenton,Moonlight in Vermont
45,Vermont,Vermont,The Four Freshmen,Moonlight in Vermont
46,Vermont,Vermont,Ernestine Anderson,Moonlight In Vermont
47,Vermont,Vermont,"Harry ""Sweets"" Edison",Moonlight in Vermont
48,Vermont,Vermont,Billy Eckstine,Moonlight in Vermont
49,Vermont,Vermont,Carmen McRae,Moonlight in Vermont
50,Vermont,Vermont,Billy Eckstine,Moonlight in Vermont
51,Vermont,Vermont,Neil Sedaka,Moonlight in Vermont
52,Vermont,Vermont,Andy Williams,Moonlight in Vermont
53,Vermont,Vermont,Joe Williams,Moonlight in Vermont
54,Vermont,Vermont,Captain Beefheart & the Magic Band,Moonlight on Vermont
55,Vermont,Vermont,Nana Mouskouri,Moonlight in Vermont
56,Vermont,Vermont,Jane Monheit,Moonlight in Vermont
57,Vermont,Vermont,"Johnny Smith, Johnny Smith Quintet",Moonlight in Vermont
58,Vermont,Vermont,Margaret Whiting,Moonligh in Vermont
59,Vermont,Vermont,Neil Young,A Rock Star Bucks A Coffee Shop
60,Vermont,Vermont,"Neil Young, Lukas Nelson & Promise of the Real, Promise of the Real",A  Rock Star Bucks a Coffee Shop
61,Vermont,Vermont,Seth MacFarlane,Moonlight In Vermont
62,Vermont,Vermont,Joan of Arc,Vermont Girl
63,Vermont,Vermont,Vagabon,Fear & Force
64,Vermont,Vermont,Qveen Herby,On God
65,Vermont,Vermont,Johnny Smith Quintet,Moonlight in Vermont
66,Vermont,Vermont,John Cale,Secrets
67,Vermont,Vermont,BEAU DOMMAGE,HEUREUSEMENT QUIL Y A LA NU
68,Vermont,Vermont,Joyelle Johnson,Diet Holiday Racism
69,Vermont,Vermont,Ferdinand the Bull,Carolina
70,Vermont,Vermont,Poi Dog Pondering,Sugarbush Cushman [Bonus Track]
71,Vermont,Vermont,Ice-T,Midnight
72,Vermont,Vermont,Johnny Cash,Southwestward
73,Vermont,Vermont,Allan Sherman,Holiday for States
74,Vermont,Vermont,Indigo Girls,Jonas and Ezekial
75,Vermont,Vermont,Christine Lavin,Katy Says Today Is the Best Day of My Whole Entire Life
76,Vermont,Vermont,Carly Simon,The Show Must Go On
77,Vermont,Vermont,Blue Öyster Cult,Imaginos
78,Vermont,Vermont,Pavement,Starlings of the Slipstream
79,Vermont,Vermont,311,Random
80,Vermont,Vermont,311,Random
81,Vermont,Vermont,Aimee Mann,Mr. Harris
82,Vermont,Vermont,Magnetic Fields,Long Vermont Roads
83,Vermont,Vermont,Kodie Shane,NO RAP KAP
84,Vermont,Vermont,Pete Yorn,Social Development Dance
