,city,state,artist,song
0,Virgin Islands (U.S.),Virgin Islands (U.S.),R. City,Like This
1,Virgin Islands (U.S.),Virgin Islands (U.S.),田中 美奈子,Virgin Eyes
2,Virgin Islands (U.S.),Virgin Islands (U.S.),渕上 祥人,Virgin Island
3,Virgin Islands (U.S.),Virgin Islands (U.S.),Shaggy,Follow Me
4,Virgin Islands (U.S.),Virgin Islands (U.S.),Ghostface Killah,We Made It
5,Virgin Islands (U.S.),Virgin Islands (U.S.),Ghostface Killah,We Made It
6,Virgin Islands (U.S.),Virgin Islands (U.S.),田中 美奈子,Virgin Eyes
7,Virgin Islands (U.S.),Virgin Islands (U.S.),World Party,Hawaiian Island World
8,Virgin Islands (U.S.),Virgin Islands (U.S.),Nas,Live Now
9,Virgin Islands (U.S.),Virgin Islands (U.S.),Nas,Live Now
10,Virgin Islands (U.S.),Virgin Islands (U.S.),Azealia Banks,1991
11,Virgin Islands (U.S.),Virgin Islands (U.S.),JIL,Virgin Atlantic
12,Virgin Islands (U.S.),Virgin Islands (U.S.),Iyaz,Solo
13,Virgin Islands (U.S.),Virgin Islands (U.S.),Iyaz,Solo [Dave Audé Club]
14,Virgin Islands (U.S.),Virgin Islands (U.S.),Iyaz,Solo
15,Virgin Islands (U.S.),Virgin Islands (U.S.),Kaprekar's Constant,White Star's Sunrise
16,Virgin Islands (U.S.),Virgin Islands (U.S.),Eloy,Poseidon's Creation
17,Virgin Islands (U.S.),Virgin Islands (U.S.),Busta Rhymes,Busta's Intro
18,Virgin Islands (U.S.),Virgin Islands (U.S.),Van Morrison,Beside You
19,Virgin Islands (U.S.),Virgin Islands (U.S.),Vybz Kartel,Picture This
20,Virgin Islands (U.S.),Virgin Islands (U.S.),Busta Rhymes,Intro
21,Virgin Islands (U.S.),Virgin Islands (U.S.),Van Morrison,Beside You
22,Virgin Islands (U.S.),Virgin Islands (U.S.),The Ventures,Tequila
23,Virgin Islands (U.S.),Virgin Islands (U.S.),Kenny Chesney,Guys Named Captain
24,Virgin Islands (U.S.),Virgin Islands (U.S.),Iyaz,Solo [Cahill Club]
