,city,state,artist,song
0,Virginia,Virginia,Frank Sinatra,I Went Down to Virginia
1,Virginia,Virginia,Prism,Virginia
2,Virginia,Virginia,King Virtue,Virginia
3,Virginia,Virginia,Waylon Jennings,"Yes, Virginia"
4,Virginia,Virginia,Rod Stewart,Leave Virginia Alone
5,Virginia,Virginia,Phil Ochs,Hills of West Virginia
6,Virginia,Virginia,Gene Vincent,North Carolina Line
7,Virginia,Virginia,Clipse,Virginia
8,Virginia,Virginia,The Carter Family,My Clinch Mountain Home
9,Virginia,Virginia,Old Crow Medicine Show,Carry Me Back to Virginia
10,Virginia,Virginia,Jimmie's Chicken Shack,Virginia County Line
11,Virginia,Virginia,Pat Green,Virginia Belle
12,Virginia,Virginia,Olivia Newton-John,"Take Me Home, Country Roads"
13,Virginia,Virginia,Jerry Lee Lewis,Carry Me Back to Old Virginia
14,Virginia,Virginia,Johnny Cash,Carry Me Back to Old Virginia
15,Virginia,Virginia,Marty Robbins,Oh Virginia
16,Virginia,Virginia,Olivia Newton-John,Take Me Home Country Roads
17,Virginia,Virginia,Old Crow Medicine Show,New Virginia Creeper
18,Virginia,Virginia,Olivia Newton-John,"Take Me Home, Country Roads"
19,Virginia,Virginia,Corduroy Kid,Too Late Virginia
20,Virginia,Virginia,John Denver,"Take Me Home, Country Roads"
21,Virginia,Virginia,John Denver,"Take Me Home, Country Roads"
22,Virginia,Virginia,John Denver,"Take Me Home, Country Roads"
23,Virginia,Virginia,Miranda Lambert,Virginia Bluebell
24,Virginia,Virginia,The Jeevas,Virginia
25,Virginia,Virginia,Daniel Johnston,Wild West Virginia
26,Virginia,Virginia,Miranda Lambert,Virginia Bluebell
27,Virginia,Virginia,Big Wreck,West Virginia
28,Virginia,Virginia,Marissa Nadler,Virginia
29,Virginia,Virginia,Clutch,Son of Virginia
30,Virginia,Virginia,Mike Aiken,Virginia
31,Virginia,Virginia,Clipse,Famlay Freestyle
32,Virginia,Virginia,The Rembrandts,Sweet Virginia
33,Virginia,Virginia,Gin Blossoms,Virginia
34,Virginia,Virginia,Johnny Reid,Here I Am
35,Virginia,Virginia,Hermes House Band,Country Roads
36,Virginia,Virginia,Alan Menken,The Virginia Company
37,Virginia,Virginia,Graham Parker,Disney's America
38,Virginia,Virginia,"Steve Earle, Steve Earle & the Dukes","Union, God, and Country"
39,Virginia,Virginia,"Gary ""U.S."" Bonds",Not Me
40,Virginia,Virginia,Owen Duggan,Virginia
41,Virginia,Virginia,The Rolling Stones,Sweet Virginia
42,Virginia,Virginia,The Rolling Stones,Sweet Virginia
43,Virginia,Virginia,Doyle Lawson,The Girl From West Virginia
44,Virginia,Virginia,Louis Prima,Closest to the Bone
45,Virginia,Virginia,Rod Stewart,Three Time Loser
46,Virginia,Virginia,Billy Joel,Only the Good Die Young
47,Virginia,Virginia,Rod Stewart,Three Time Loser [Alternate Version; Previously Unreleased Track; Bonus Track]
48,Virginia,Virginia,Foo Fighters,Arlandria
49,Virginia,Virginia,Louis Prima,The Closer to the Bone (The Sweeter Is the Meat)
50,Virginia,Virginia,Billy Joel,Only the Good Die Young
51,Virginia,Virginia,John Linnell,West Virginia
52,Virginia,Virginia,Foo Fighters,Virginia Moon
53,Virginia,Virginia,Gomez,Sweet Virginia
54,Virginia,Virginia,Foo Fighters,Virginia Moon
55,Virginia,Virginia,Charlie McCoy,"Take Me Home, Country Roads"
56,Virginia,Virginia,Blessid Union of Souls,Oh Virginia
57,Virginia,Virginia,Louis Prima,The When The Saints Go Marching In
58,Virginia,Virginia,The Statler Brothers,Take Me Home Country Roads
59,Virginia,Virginia,"Brooks & Dunn, Ronnie Milsap, Willie Nelson, Dolly Parton, Charley Pride, Randy Travis, Martina McBride, Alan Jackson, Keith Urban, Vince Hill, Blake Shelton, Little Big Town, Dierks Bentley, Jason Aldean, Eric Church, Lady A, Artists Of Then, Now & Forever ",Forever Country
60,Virginia,Virginia,Billy Vaughn,"Take Me Home, Country Roads"
61,Virginia,Virginia,Iron & Wine,Prison on Route 41
62,Virginia,Virginia,Hollis Brown,Wait for me Virginia
63,Virginia,Virginia,Home Free,"Take Me Home, Country Roads"
64,Virginia,Virginia,Mac Miller,REMember
65,Virginia,Virginia,Over the Rhine,Paul and Virginia
66,Virginia,Virginia,glee cast,Only the Good Die Young
67,Virginia,Virginia,Redman,Rockafella
68,Virginia,Virginia,Jack Blanchard,Somewhere in Virginia in the Rain
69,Virginia,Virginia,Trip Shakespeare,Reception
70,Virginia,Virginia,Train,Meet Virginia
71,Virginia,Virginia,Guy Clark,Virginia's Real
72,Virginia,Virginia,The Orlons,Not Me
73,Virginia,Virginia,Roxx Gang,Virginia [Previously Unreleased Track]
74,Virginia,Virginia,Kip Moore,Sweet Virginia
75,Virginia,Virginia,Calexico,Prison on Route 41
76,Virginia,Virginia,Tori Amos,Virginia
77,Virginia,Virginia,Mac Miller,REMember [Live]
78,Virginia,Virginia,Phil Ochs,No Christmas in Kentucky
79,Virginia,Virginia,Elvis Presley,Promised Land
80,Virginia,Virginia,The Carter Family,East Virginia Blues
81,Virginia,Virginia,Elvis Presley,Promised Land [Alternate Take 5]
82,Virginia,Virginia,The Carter Family,My Clinch Mountain Home
83,Virginia,Virginia,Johnny Cash,My Clinch Mountain Home
84,Virginia,Virginia,Pete Seeger,East Virginia Blues
85,Virginia,Virginia,Bill Monroe,Linda Lou
86,Virginia,Virginia,Bobby Bare,West Virginia Woman
87,Virginia,Virginia,George Strait,Carrying Your Love with Me
88,Virginia,Virginia,Elvis Presley,Promised Land
89,Virginia,Virginia,Meat Loaf,The Promised Land
90,Virginia,Virginia,R. Kelly,Rise Up
91,Virginia,Virginia,Ryan Skid,"Three Up, Two Up"
92,Virginia,Virginia,Julie Mintz,"Country Roads, Take Me Home"
93,Virginia,Virginia,Carter Vail,Drive Home
94,Virginia,Virginia,Atwater-Donnelly,When I Go to West Virginia (Coal Mine Owner_s Daughter)_sally Ann
95,Virginia,Virginia,Lady Antebellum,Home Is Where The Heart Is
96,Virginia,Virginia,Jerry Lee Lewis,Sweet Virginia
97,Virginia,Virginia,Jerry Lee Lewis,Sweet Virginia
98,Virginia,Virginia,Solomon Burke,Sweet Virginia
99,Virginia,Virginia,Hollis Brown,Wait For Me Virginia
100,Virginia,Virginia,Foo Fighters,Summer's End
101,Virginia,Virginia,Foo Fighters,Summer's End
102,Virginia,Virginia,"Jump, Little Children",Dancing Virginia
103,Virginia,Virginia,The Stanley Brothers,East Virginia Blues
104,Virginia,Virginia,The Weavers,Born in East Virginia
105,Virginia,Virginia,Ralph Stanley,East Virginia Blues
106,Virginia,Virginia,小野リサ,Take Me Home Country Roads
107,Virginia,Virginia,Daniel O'Donnell,Take Me Home Country Roads
108,Virginia,Virginia,The Feeling,Without You
109,Virginia,Virginia,George Hamilton IV,East Virginia
110,Virginia,Virginia,America,Old Virginia
111,Virginia,Virginia,Ralph Stanley,East Virginia Blues
112,Virginia,Virginia,E-40,Ballaholic
113,Virginia,Virginia,Jake Owen,Anywhere With You
114,Virginia,Virginia,Jake Owen,Anywhere with You
115,Virginia,Virginia,Bill Monroe,Linda Lou
116,Virginia,Virginia,Hank Thompson,Shenandoah Waltz
117,Virginia,Virginia,9811,West Virginia
118,Virginia,Virginia,Bruce Robison,Virginia
119,Virginia,Virginia,David Hasselhoff,Country Roads
120,Virginia,Virginia,Mountain Man,"Take Me Home, Country Roads"
121,Virginia,Virginia,Eddie from Ohio,How Far to the Water
122,Virginia,Virginia,李燕君,Take Home Country Roads
123,Virginia,Virginia,许冠杰,Take Me Home County Roads
124,Virginia,Virginia,Rebels No Savage,Stargaze
125,Virginia,Virginia,"Waxahatchee, Whitney","Take Me Home, Country Roads"
126,Virginia,Virginia,Power-Haus,Only the Good Die Young
127,Virginia,Virginia,AndeSur,San Símón Usa - 30 Años
128,Virginia,Virginia,Mel Tillis,Goodbye Wheeling
129,Virginia,Virginia,Unlinked Artist,Meet Virginina
130,Virginia,Virginia,Me First and the Gimme Gimmes,Only the Good Die Young
131,Virginia,Virginia,Christopher Jackson,Cabinet Battle #1
132,Virginia,Virginia,Johnnie Allan,Promised Land
133,Virginia,Virginia,Das EFX,Can't Have Nuttin'
134,Virginia,Virginia,Kevin Gates,Wetty (Freestyle)
