,city,state,artist,song
0,Washington,Washington,Woody Guthrie,Lindbergh
1,Washington,Washington,Bay City Rollers,Washington's Birthday
2,Washington,Washington,Woody Guthrie,Baltimore to Washington
3,Washington,Washington,Fred Astaire,I Can't Tell a Lie
4,Washington,Washington,Fred Astaire,I Can't Tell a Lie
5,Washington,Washington,Fred Astaire,I Can't Tell a Lie
6,Washington,Washington,Christopher Jackson,One Last Time
7,Washington,Washington,Fred Astaire,I Can't Tell a Lie
8,Washington,Washington,John Mellencamp,To Washington
9,Washington,Washington,Lin-Manuel Miranda,Washington On Your Side
10,Washington,Washington,They Might Be Giants,Violin
11,Washington,Washington,Grupo Revelde,Violin [DVD; Bonus Track]
12,Washington,Washington,Counting Crows,Washington Square
13,Washington,Washington,Bitch & Animal,Feminist Housewives
14,Washington,Washington,The Hooters,Washington's Day
15,Washington,Washington,Guided by Voices,Calling Up Washington
16,Washington,Washington,Magnetic Fields,"Washington, D.C."
17,Washington,Washington,Johnny Horton,Battle of Bull Run
18,Washington,Washington,Kenny Rogers,My Washington Woman
19,Washington,Washington,Kenny Rogers,My Washington Woman
20,Washington,Washington,Craig Morgan,Money
21,Washington,Washington,Johnny Cash,As Long as the Grass Shall Grow
22,Washington,Washington,The Clash,Washington Bullets
23,Washington,Washington,Johnny Cash,As Long as the Grass Shall Grow
24,Washington,Washington,BeBe Winans,One Last Time [44 Remix]
25,Washington,Washington,Wiz Khalifa,Washingtons by Your Side
26,Washington,Washington,disappear fear,Washington Work Song
27,Washington,Washington,Iris DeMent,There's a Wall in Washington
28,Washington,Washington,"Migos, Young Thug, Peewee Longway",Quarterback
29,Washington,Washington,Pur,Planet der Affen
30,Washington,Washington,Weird Al Yankovic,The Hamilton Polka
31,Washington,Washington,Jim Jones,Harlem
32,Washington,Washington,Simon & Garfunkel,Roving Gambler [Bonus Track; Demo Version]
33,Washington,Washington,Shel Silverstein,Bury Me in My Shades
34,Washington,Washington,Grandson,Stick Up
35,Washington,Washington,Matt Nathanson,Washington State Fight Song
36,Washington,Washington,Joni Mitchell,Otis and Marlena
37,Washington,Washington,Joni Mitchell,Otis and Marlena
38,Washington,Washington,Megadeth,Washington Is Next!
39,Washington,Washington,Townes Van Zandt,If I Was Washington
40,Washington,Washington,Damien Jurado,Working Titles
41,Washington,Washington,Lin-Manuel Miranda,The Room Where It Happens
42,Washington,Washington,Uriah Heep,Simon the Bullet Freak [Bonus Track]
43,Washington,Washington,Supertramp,A Soapbox Opera
44,Washington,Washington,Tori Amos,Garlands
45,Washington,Washington,アメリカ (小西克幸),W・D・C ～World Dancing～
46,Washington,Washington,Lutricia McNeal,Washington
47,Washington,Washington,Sicko,Washington My Home
48,Washington,Washington,Crucifucks,Washington
49,Washington,Washington,Jonathan Groff,I Know Him
50,Washington,Washington,Sandy Rapp,Ten Percent
51,Washington,Washington,James Brown,Night Train
52,Washington,Washington,B.B. King,Recession Blues
53,Washington,Washington,Bill Monroe,White House Blues
54,Washington,Washington,Paul Simon,Armistice Day
55,Washington,Washington,James Brown,Night Train
56,Washington,Washington,Irving Berlin,The Hostess With the Mostes' on the Ball
57,Washington,Washington,James Brown,Night Train
58,Washington,Washington,The Everly Brothers,Roving Gambler
59,Washington,Washington,Ludacris,Interactive Skit
60,Washington,Washington,Pete Seeger,Bourgeois Blues
61,Washington,Washington,Arlo Guthrie,Alice's Restaurant
62,Washington,Washington,James Brown,Night Train
63,Washington,Washington,Irving Berlin,The Hostess With the Mostes' on the Ball
64,Washington,Washington,Jello Biafra,Full Metal Jackoff
65,Washington,Washington,Ethel Merman,The Hostess With the Mostes' on the Ball
66,Washington,Washington,Neil Young,Johnny Magic
67,Washington,Washington,"Hank Williams, Jr.",Who's Taking Care of Number One
68,Washington,Washington,(hed) p.e.,Flesh and Blood
69,Washington,Washington,Lin-Manuel Miranda,In the Heights
70,Washington,Washington,Kobo,Nouveau départ
71,Washington,Washington,Ice Cube,Where Ya At?
72,Washington,Washington,Leadbelly,The Bourgeois Blues
73,Washington,Washington,Nas,Life's a B****
74,Washington,Washington,Nas,Life's a B***
75,Washington,Washington,The Brothers Four,St. James Infirmary
76,Washington,Washington,Ethel Merman,The Hostess With the Mostes' On the Ball
77,Washington,Washington,The Chipmunks,Alvin for President
78,Washington,Washington,Blind Lemon Jefferson,Bourgeois Blues
79,Washington,Washington,Leadbelly,The Bourgeois Blues
80,Washington,Washington,"Gregory Palencia, L Reyes",Palo & Cash
81,Washington,Washington,The Almighty Terribles,Bomb in the Bedroom
82,Washington,Washington,Fadah,Merch
83,Washington,Washington,Fadah,Merch
84,Washington,Washington,Fadah,Merch
85,Washington,Washington,Andrea Wright,Riverside
86,Washington,Washington,The Coup,Piss on Your Grave
87,Washington,Washington,Jay-Z,Dead Presidents III
88,Washington,Washington,Boogie Down Productions,Exhibit B
89,Washington,Washington,Don Omar,Sexy Robotica
90,Washington,Washington,Atom and His Package,If You Own the Washington Redskins You're a Cock
91,Washington,Washington,Blackie & the Rodeo Kings,Jackie Washington
92,Washington,Washington,Merchant,Where Ya At? [Extended Version]
93,Washington,Washington,Merchant,Where Ya At?
94,Washington,Washington,Lin-Manuel Miranda,A  Winter's Ball
95,Washington,Washington,Pavement,Billie
96,Washington,Washington,Heidi Berry,Washington Square
97,Washington,Washington,Wale,Miracle On U Street
98,Washington,Washington,Cameo,"Fast, Fierce & Funny"
99,Washington,Washington,Buchanan & Goodman,Flying Saucer
100,Washington,Washington,B.G.,The Second Line
101,Washington,Washington,Fler,PUBLIC ENEMIES
102,Washington,Washington,Big Daddy Kane,No Damn Good
103,Washington,Washington,Ministry,Ass Clown
104,Washington,Washington,Dream Theater,Finally Free
105,Washington,Washington,The Troggs,Disco Kid
106,Washington,Washington,Hard-Fi,We Need Love
107,Washington,Washington,Carman,America Again
108,Washington,Washington,The Rogues,Corruption
109,Washington,Washington,Zach Bryan,Washington Lilacs
110,Washington,Washington,Lin-Manuel Miranda,What'd I Miss
111,Washington,Washington,Jonathan Richman,Walter Johnson
112,Washington,Washington,GANGgajang,American Money
113,Washington,Washington,Dead Kennedys,Stars and Stripes of Corruption
114,Washington,Washington,Rebelution,Inhale Exhale
115,Washington,Washington,Leo Sayer,Occupy
116,Washington,Washington,Charles Trénet,AMERICAN SOUVENIRS
117,Washington,Washington,Pat Green,Washington Avenue
118,Washington,Washington,The Fixx,The Strain
119,Washington,Washington,Greg Brown,Down in the Valley
120,Washington,Washington,Boxcar Willie,Wreck of Old 97
121,Washington,Washington,Animaniacs,Wakko's America
122,Washington,Washington,Aswad,Gotta Find a Way
123,Washington,Washington,Animaniacs,The Presidents
124,Washington,Washington,The Last Poets,E Pluribus Unum
125,Washington,Washington,Domino,Money Is Everything
126,Washington,Washington,Born Jamericans,Yardcore
127,Washington,Washington,Jello Biafra,Grow More Pot
128,Washington,Washington,American Music Club,Patriot's Heart
129,Washington,Washington,Manu Chao,Tristeza Maleza
130,Washington,Washington,Clutch,The Elephant Riders
131,Washington,Washington,Jimmy Barnes,Boys Cry out for War
132,Washington,Washington,Bruce Dickinson,Breeding House [Bonus Track]
133,Washington,Washington,Don McDermott,My American Home
134,Washington,Washington,Jay Ducharme,Everybody Laugh
135,Washington,Washington,Sick Balloons,Washington Bride
136,Washington,Washington,Sleepover,Oregon
137,Washington,Washington,Washington Brasileiro,Bora
138,Washington,Washington,Jay Ducharme,Everybody Laugh
139,Washington,Washington,Washington Brasileiro,Bora
140,Washington,Washington,Chiki Lora,Por Ti
141,Washington,Washington,Tha Team,Wave
142,Washington,Washington,The Nuclears,Montana Motel Massacre
143,Washington,Washington,BLITTO,Manhattan
144,Washington,Washington,El Sepulcro,Cielo
