,city,state,artist,song
0,West Virginia,West Virginia,Phil Ochs,Hills of West Virginia
1,West Virginia,West Virginia,Olivia Newton-John,"Take Me Home, Country Roads"
2,West Virginia,West Virginia,Olivia Newton-John,Take Me Home Country Roads
3,West Virginia,West Virginia,Olivia Newton-John,"Take Me Home, Country Roads"
4,West Virginia,West Virginia,John Denver,"Take Me Home, Country Roads"
5,West Virginia,West Virginia,John Denver,"Take Me Home, Country Roads"
6,West Virginia,West Virginia,John Denver,"Take Me Home, Country Roads"
7,West Virginia,West Virginia,Daniel Johnston,Wild West Virginia
8,West Virginia,West Virginia,Hermes House Band,Country Roads
9,West Virginia,West Virginia,"Steve Earle, Steve Earle & the Dukes","Union, God, and Country"
10,West Virginia,West Virginia,Doyle Lawson,The Girl From West Virginia
11,West Virginia,West Virginia,John Linnell,West Virginia
12,West Virginia,West Virginia,Charlie McCoy,"Take Me Home, Country Roads"
13,West Virginia,West Virginia,"Brooks & Dunn, Ronnie Milsap, Willie Nelson, Dolly Parton, Charley Pride, Randy Travis, Martina McBride, Alan Jackson, Keith Urban, Vince Hill, Blake Shelton, Little Big Town, Dierks Bentley, Jason Aldean, Eric Church, Lady A, Artists Of Then, Now & Forever ",Forever Country
14,West Virginia,West Virginia,Billy Vaughn,"Take Me Home, Country Roads"
15,West Virginia,West Virginia,Home Free,"Take Me Home, Country Roads"
16,West Virginia,West Virginia,Mac Miller,REMember
17,West Virginia,West Virginia,Mac Miller,REMember [Live]
18,West Virginia,West Virginia,Phil Ochs,No Christmas in Kentucky
19,West Virginia,West Virginia,Bill Monroe,Linda Lou
20,West Virginia,West Virginia,Bobby Bare,West Virginia Woman
21,West Virginia,West Virginia,George Strait,Carrying Your Love with Me
22,West Virginia,West Virginia,Ryan Skid,"Three Up, Two Up"
23,West Virginia,West Virginia,Julie Mintz,"Country Roads, Take Me Home"
24,West Virginia,West Virginia,Atwater-Donnelly,When I Go to West Virginia (Coal Mine Owner_s Daughter)_sally Ann
25,West Virginia,West Virginia,Lady Antebellum,Home Is Where The Heart Is
26,West Virginia,West Virginia,小野リサ,Take Me Home Country Roads
27,West Virginia,West Virginia,Daniel O'Donnell,Take Me Home Country Roads
28,West Virginia,West Virginia,Big Wreck,West Virginia
29,West Virginia,West Virginia,Jake Owen,Anywhere With You
30,West Virginia,West Virginia,Jake Owen,Anywhere with You
31,West Virginia,West Virginia,Bill Monroe,Linda Lou
32,West Virginia,West Virginia,9811,West Virginia
33,West Virginia,West Virginia,David Hasselhoff,Country Roads
34,West Virginia,West Virginia,Mountain Man,"Take Me Home, Country Roads"
35,West Virginia,West Virginia,李燕君,Take Home Country Roads
36,West Virginia,West Virginia,许冠杰,Take Me Home County Roads
37,West Virginia,West Virginia,"Waxahatchee, Whitney","Take Me Home, Country Roads"
38,West Virginia,West Virginia,Mel Tillis,Goodbye Wheeling
39,West Virginia,West Virginia,C.J. Johnson,"Take Me Home, Country Roads"
40,West Virginia,West Virginia,The Carter Family,John Hardy Was a Desperate Little Man
41,West Virginia,West Virginia,Pete Seeger,John Hardy [Johnny Hard; John Hardy Was a Desperate Little Man; Johnn]
42,West Virginia,West Virginia,Pete Seeger,John Hardy
43,West Virginia,West Virginia,Emmylou Harris,Green Rolling Hills
44,West Virginia,West Virginia,Johnny Mercer,Jamboree Jones
45,West Virginia,West Virginia,Judy Garland,Jamboree Jones
46,West Virginia,West Virginia,The Kinks,Muswell Hillbilly
47,West Virginia,West Virginia,The Pied Pipers,Jamboree Jones [Bonus Track]
48,West Virginia,West Virginia,Spike Jones,Jamboree Jones
49,West Virginia,West Virginia,Bing Crosby,Jamboree Jones
50,West Virginia,West Virginia,Mary Duff,Take Me Home Country Roads
51,West Virginia,West Virginia,Rissi Palmer,Country Girl
52,West Virginia,West Virginia,Bobby Troup,Jamboree Jones
53,West Virginia,West Virginia,David Allan Coe,Just To Prove My Love For You
54,West Virginia,West Virginia,David Allan Coe,Just To Prove My Love For You
55,West Virginia,West Virginia,Eddy Arnold,"Take Me Home, Country Roads"
56,West Virginia,West Virginia,Bill Monroe,John Hardy
57,West Virginia,West Virginia,The Carter Family,John Hardy
58,West Virginia,West Virginia,Unlinked Artist,Carrying Your Love with Me
59,West Virginia,West Virginia,Steve Earle & the Dukes,John Henry was a Steel Drivin' Man
60,West Virginia,West Virginia,The Pied Pipers,Jamboree Jones
61,West Virginia,West Virginia,The Spinners,Rockin' Roll Baby
62,West Virginia,West Virginia,The Stylistics,Rockin' Roll Baby
63,West Virginia,West Virginia,The Stylistics,Rockin' Roll Baby
64,West Virginia,West Virginia,The Stylistics,Rockin' Roll Baby
65,West Virginia,West Virginia,Kathy Mattea,Green Rolling Hills
66,West Virginia,West Virginia,The String Cheese Incident,John Hardy
67,West Virginia,West Virginia,Kathy Mattea,Leaving West Virginia
68,West Virginia,West Virginia,Tom T. Hall,Letters
69,West Virginia,West Virginia,The Band Of Heathens,"Take Me Home, Country Roads"
70,West Virginia,West Virginia,David Wilcox,Roadside Art
71,West Virginia,West Virginia,Pam Tillis,Goodbye Wheeling
72,West Virginia,West Virginia,Sundy Best ,Southern Boy
73,West Virginia,West Virginia,Gavin DeGraw,Best I Ever Had
74,West Virginia,West Virginia,Hazel Dickens,"West Virginia, My Home"
75,West Virginia,West Virginia,Roy Drusky,Thumbin' My Way Home
76,West Virginia,West Virginia,Bobby Troup,Jamboree Jones
77,West Virginia,West Virginia,Linda Davis,He's in Dallas
78,West Virginia,West Virginia,Hazel Dickens,The Green Rolling Hills of West Virginia
79,West Virginia,West Virginia,Whiskey Myers,Kentucky Gold
80,West Virginia,West Virginia,Gavin DeGraw,Best I Ever Had
81,West Virginia,West Virginia,Gavin DeGraw,Best I Ever Had
82,West Virginia,West Virginia,Michael Flynn,Greater Charlotte
83,West Virginia,West Virginia,Michael Flynn,Greater Charlotte
84,West Virginia,West Virginia,Hop Along,I Saw My Twin
85,West Virginia,West Virginia,Steve Earle & the Dukes,The Mine
86,West Virginia,West Virginia,Me First and the Gimme Gimmes,Country Roads
87,West Virginia,West Virginia,Maximilian Hecker,My Story
