,city,state,artist,song
0,Wisconsin,Wisconsin,Tim Angsten,A Girl from Wisconsin
1,Wisconsin,Wisconsin,Joan Baez,The River in the Pines
2,Wisconsin,Wisconsin,Lil Wayne,Can't Believe It
3,Wisconsin,Wisconsin,T-Pain,Can't Believe It
4,Wisconsin,Wisconsin,Art Paul Schlosser,Madison
5,Wisconsin,Wisconsin,The Velvet Underground,The Gift
6,Wisconsin,Wisconsin,Static-X,Wisconsin Death Trip
7,Wisconsin,Wisconsin,David Allan Coe,Juanita
8,Wisconsin,Wisconsin,Mohan Zhang,Promontory
9,Wisconsin,Wisconsin,Esperanza Norteña,Evencio Delgado
10,Wisconsin,Wisconsin,Lloyd Cole,The Gift
11,Wisconsin,Wisconsin,Lil Wayne,Can't Believe It
12,Wisconsin,Wisconsin,Bon Iver,Wisconsin
13,Wisconsin,Wisconsin,Tom Waits,Diamonds on My Windshield
14,Wisconsin,Wisconsin,Tom Waits,Diamonds on My Windshield
15,Wisconsin,Wisconsin,Atom and His Package,Upside Down From Here
16,Wisconsin,Wisconsin,Whitehorse,Wisconsin
17,Wisconsin,Wisconsin,Hank Snow,The Ballad of Hard Luck Henry
18,Wisconsin,Wisconsin,Robert Johnson,32-20 Blues
19,Wisconsin,Wisconsin,Bruce Springsteen,Cadillac Ranch
20,Wisconsin,Wisconsin,Bruce Springsteen,Cadillac Ranch
21,Wisconsin,Wisconsin,Robert Johnson,32-20 Blues
22,Wisconsin,Wisconsin,Robert Johnson,32-20 Blues
23,Wisconsin,Wisconsin,Gordon Lightfoot,Wreck of the Edmund Fitzgerald
24,Wisconsin,Wisconsin,Gordon Lightfoot,Wreck of the Edmund Fitzgerald
25,Wisconsin,Wisconsin,Bob Dylan,Highway 51 Blues
26,Wisconsin,Wisconsin,Bob Dylan,Highway 51
27,Wisconsin,Wisconsin,Red Hot Chili Peppers,Around The World
28,Wisconsin,Wisconsin,Bob Dylan,Highway 51 Blues
29,Wisconsin,Wisconsin,Bob Dylan,Highway 51 Blues
30,Wisconsin,Wisconsin,Red Hot Chili Peppers,Around The World
31,Wisconsin,Wisconsin,Perry Como,Delaware
32,Wisconsin,Wisconsin,Eminem,Shady XV
33,Wisconsin,Wisconsin,Joan Baez,Day After Tomorrow
34,Wisconsin,Wisconsin,Robert Johnson,"32-20 Blues [""World Gone Missing"" Album Sessions]"
35,Wisconsin,Wisconsin,Too Short,Short Dog's in the House
36,Wisconsin,Wisconsin,Eminem,Shady XV
37,Wisconsin,Wisconsin,N.E.R.D.,Don't Don't Do It!
38,Wisconsin,Wisconsin,Eric Clapton,32-20 Blues
39,Wisconsin,Wisconsin,Logic,Thank You
40,Wisconsin,Wisconsin,Whitehorse,Wisconsin
41,Wisconsin,Wisconsin,Ja Rule,Story to Tell
42,Wisconsin,Wisconsin,Ja Rule,Story to Tell
43,Wisconsin,Wisconsin,Bob Seger,It's Your World
44,Wisconsin,Wisconsin,Bob Seger,It's Your World
45,Wisconsin,Wisconsin,"Justin Timberlake, T-Pain",Can't Believe It
46,Wisconsin,Wisconsin,"T-Pain, Cardi B, 21 Savage",Bartier Cardi [T-Mix]
47,Wisconsin,Wisconsin,Allan Sherman,Holiday for States
48,Wisconsin,Wisconsin,Allan Sherman,Mexican Hat Dance
49,Wisconsin,Wisconsin,Cheap Trick,That '70s Song [Previously Unreleased Track]
50,Wisconsin,Wisconsin,Jazze Pha,Contract
51,Wisconsin,Wisconsin,Jazze Pha,Contract
52,Wisconsin,Wisconsin,Tech N9ne,Strange
53,Wisconsin,Wisconsin,John Gorka,When He Cries
54,Wisconsin,Wisconsin,Frank Zappa,The Madison Panty-Sniffing Festival
55,Wisconsin,Wisconsin,Jazze Pha,Contract
