,Unnamed: 0,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0,Alaska,Alaska,John Denver,Alaska and Me,spotify:track:3p9goQfeLRlNp8ZRpLsLTQ,25,1989-09-29,0.359,0.312,0.0,-14.174,1.0,0.038,0.68,0.0,0.108,0.589,181.77,audio_features,3p9goQfeLRlNp8ZRpLsLTQ,spotify:track:3p9goQfeLRlNp8ZRpLsLTQ,https://api.spotify.com/v1/tracks/3p9goQfeLRlNp8ZRpLsLTQ,https://api.spotify.com/v1/audio-analysis/3p9goQfeLRlNp8ZRpLsLTQ,163800.0,3.0,
1,1,Alaska,Alaska,John Denver,Alaska & Me,spotify:track:3p9goQfeLRlNp8ZRpLsLTQ,25,1989-09-29,0.359,0.312,0.0,-14.174,1.0,0.038,0.68,0.0,0.108,0.589,181.77,audio_features,3p9goQfeLRlNp8ZRpLsLTQ,spotify:track:3p9goQfeLRlNp8ZRpLsLTQ,https://api.spotify.com/v1/tracks/3p9goQfeLRlNp8ZRpLsLTQ,https://api.spotify.com/v1/audio-analysis/3p9goQfeLRlNp8ZRpLsLTQ,163800.0,3.0,
2,2,Alaska,Alaska,Shawn Mullins,Talkin' Goin' to Alaska Blues,spotify:track:56VnKcQHHm8rMygMcQYaQP,13,2006-01-01,0.543,0.427,7.0,-12.119,1.0,0.0269,0.472,8.51e-05,0.115,0.406,107.244,audio_features,56VnKcQHHm8rMygMcQYaQP,spotify:track:56VnKcQHHm8rMygMcQYaQP,https://api.spotify.com/v1/tracks/56VnKcQHHm8rMygMcQYaQP,https://api.spotify.com/v1/audio-analysis/56VnKcQHHm8rMygMcQYaQP,229987.0,4.0,
3,3,Alaska,Alaska,Hank Snow,When It's Springtime in Alaska (It's Forty Below),error,error,error,,,,,,,,,,,,,,,,,,,
4,4,Alaska,Alaska,Johnny Horton,North to Alaska,spotify:track:3JLJ0n5ZFd8oOwvQv7LUEt,45,1961,0.644,0.371,0.0,-14.436,1.0,0.039,0.718,0.0,0.348,0.916,82.909,audio_features,3JLJ0n5ZFd8oOwvQv7LUEt,spotify:track:3JLJ0n5ZFd8oOwvQv7LUEt,https://api.spotify.com/v1/tracks/3JLJ0n5ZFd8oOwvQv7LUEt,https://api.spotify.com/v1/audio-analysis/3JLJ0n5ZFd8oOwvQv7LUEt,169760.0,4.0,
5,5,Alaska,Alaska,John Denver,American Child,spotify:track:0q6uOifb5MBpCc0ZItDiXp,18,1993-10-01,0.392,0.219,7.0,-20.265,1.0,0.0337,0.264,0.0,0.119,0.217,98.61,audio_features,0q6uOifb5MBpCc0ZItDiXp,spotify:track:0q6uOifb5MBpCc0ZItDiXp,https://api.spotify.com/v1/tracks/0q6uOifb5MBpCc0ZItDiXp,https://api.spotify.com/v1/audio-analysis/0q6uOifb5MBpCc0ZItDiXp,172267.0,3.0,
6,6,Alaska,Alaska,John Denver,Postcard from Paris,spotify:track:2E5vFBNSpTDs0VSgJCIlRT,19,1990-09-04,0.327,0.224,0.0,-15.183,1.0,0.03,0.676,1.25e-05,0.0951,0.195,71.8,audio_features,2E5vFBNSpTDs0VSgJCIlRT,spotify:track:2E5vFBNSpTDs0VSgJCIlRT,https://api.spotify.com/v1/tracks/2E5vFBNSpTDs0VSgJCIlRT,https://api.spotify.com/v1/audio-analysis/2E5vFBNSpTDs0VSgJCIlRT,209800.0,4.0,
7,7,Alaska,Alaska,Johnny Horton,When It's Springtime in Alaska (It's Forty Below),spotify:track:67IOBVD93KhfMeG3kuFXTv,29,1956,0.685,0.258,4.0,-14.633,1.0,0.0291,0.662,0.0,0.112,0.571,85.177,audio_features,67IOBVD93KhfMeG3kuFXTv,spotify:track:67IOBVD93KhfMeG3kuFXTv,https://api.spotify.com/v1/tracks/67IOBVD93KhfMeG3kuFXTv,https://api.spotify.com/v1/audio-analysis/67IOBVD93KhfMeG3kuFXTv,156640.0,4.0,
8,8,Alaska,Alaska,Johnny Horton,When It's Springtime in Alaska,spotify:track:67IOBVD93KhfMeG3kuFXTv,29,1956,0.685,0.258,4.0,-14.633,1.0,0.0291,0.662,0.0,0.112,0.571,85.177,audio_features,67IOBVD93KhfMeG3kuFXTv,spotify:track:67IOBVD93KhfMeG3kuFXTv,https://api.spotify.com/v1/tracks/67IOBVD93KhfMeG3kuFXTv,https://api.spotify.com/v1/audio-analysis/67IOBVD93KhfMeG3kuFXTv,156640.0,4.0,
9,9,Alaska,Alaska,Lou Reed,Caroline Says II,spotify:track:54JXAkc9TFvlpZDpcgsNAS,40,1973-07-01,0.465,0.254,0.0,-13.107,1.0,0.0318,0.821,0.00294,0.121,0.347,140.006,audio_features,54JXAkc9TFvlpZDpcgsNAS,spotify:track:54JXAkc9TFvlpZDpcgsNAS,https://api.spotify.com/v1/tracks/54JXAkc9TFvlpZDpcgsNAS,https://api.spotify.com/v1/audio-analysis/54JXAkc9TFvlpZDpcgsNAS,253573.0,4.0,
