,Unnamed: 0,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0,American Samoa,American Samoa,Clutch,How to Shake Hands,spotify:track:1GhTjSd0wz87rXtGlfVBr8,32,2018-09-07,0.366,0.923,7.0,-6.081,1.0,0.103,0.00085,4.92e-06,0.102,0.429,160.028,audio_features,1GhTjSd0wz87rXtGlfVBr8,spotify:track:1GhTjSd0wz87rXtGlfVBr8,https://api.spotify.com/v1/tracks/1GhTjSd0wz87rXtGlfVBr8,https://api.spotify.com/v1/audio-analysis/1GhTjSd0wz87rXtGlfVBr8,231980.0,4.0,
1,1,American Samoa,American Samoa,Jedi Mind Tricks,Shadow Business,spotify:track:5nmnpgLUbwAR1SVPPtUmXc,28,2006-09-19,0.692,0.852,10.0,-4.976,0.0,0.201,0.0252,1.11e-06,0.882,0.908,91.478,audio_features,5nmnpgLUbwAR1SVPPtUmXc,spotify:track:5nmnpgLUbwAR1SVPPtUmXc,https://api.spotify.com/v1/tracks/5nmnpgLUbwAR1SVPPtUmXc,https://api.spotify.com/v1/audio-analysis/5nmnpgLUbwAR1SVPPtUmXc,249733.0,4.0,
2,2,Pago Pago,American Samoa,Jake La Furia,Zombie,spotify:track:4EvrbkyI3vZlWeeg64U0Sd,28,2016-04-22,0.822,0.701,5.0,-5.454,0.0,0.0801,0.318,2.2e-06,0.111,0.565,120.002,audio_features,4EvrbkyI3vZlWeeg64U0Sd,spotify:track:4EvrbkyI3vZlWeeg64U0Sd,https://api.spotify.com/v1/tracks/4EvrbkyI3vZlWeeg64U0Sd,https://api.spotify.com/v1/audio-analysis/4EvrbkyI3vZlWeeg64U0Sd,178775.0,4.0,
3,3,Pago Pago,American Samoa,Santi DJ,"El Cubanito, Pt. 2",error,error,error,,,,,,,,,,,,,,,,,,,
4,4,Pago Pago,American Samoa,Santi DJ,El Cubanito,spotify:track:29Shlux51K1PFcEYG23U7I,0,2018-02-05,0.756,0.766,7.0,-9.701,1.0,0.0649,0.00165,0.361,0.202,0.258,110.013,audio_features,29Shlux51K1PFcEYG23U7I,spotify:track:29Shlux51K1PFcEYG23U7I,https://api.spotify.com/v1/tracks/29Shlux51K1PFcEYG23U7I,https://api.spotify.com/v1/audio-analysis/29Shlux51K1PFcEYG23U7I,342990.0,4.0,
5,5,Pago Pago,American Samoa,Banda Corona del Rey,Mañana Te Pago,spotify:track:4UtnFfWdNj0MWHn8bGcT4S,14,2019-06-28,0.654,0.788,2.0,-4.312,0.0,0.0431,0.402,0.0,0.135,0.97,109.541,audio_features,4UtnFfWdNj0MWHn8bGcT4S,spotify:track:4UtnFfWdNj0MWHn8bGcT4S,https://api.spotify.com/v1/tracks/4UtnFfWdNj0MWHn8bGcT4S,https://api.spotify.com/v1/audio-analysis/4UtnFfWdNj0MWHn8bGcT4S,151909.0,4.0,
6,6,Pago Pago,American Samoa,Japanese,Govana,error,error,error,,,,,,,,,,,,,,,,,,,
7,7,Pago Pago,American Samoa,Atahualpa Yupanqui,Cantor del Sur,spotify:track:5mupuQ07aes0j7S3gMOPPE,10,2018-07-30,0.571,0.328,2.0,-9.753,1.0,0.0492,0.888,1.22e-05,0.0947,0.494,88.624,audio_features,5mupuQ07aes0j7S3gMOPPE,spotify:track:5mupuQ07aes0j7S3gMOPPE,https://api.spotify.com/v1/tracks/5mupuQ07aes0j7S3gMOPPE,https://api.spotify.com/v1/audio-analysis/5mupuQ07aes0j7S3gMOPPE,295707.0,4.0,
8,8,Pago Pago,American Samoa,Sharlene,Yo Pago Lo Mío,spotify:track:40DILhbrVofO9KZeosxI3A,30,2018-05-04,0.788,0.717,2.0,-5.569,1.0,0.0511,0.0176,0.0,0.335,0.575,126.056,audio_features,40DILhbrVofO9KZeosxI3A,spotify:track:40DILhbrVofO9KZeosxI3A,https://api.spotify.com/v1/tracks/40DILhbrVofO9KZeosxI3A,https://api.spotify.com/v1/audio-analysis/40DILhbrVofO9KZeosxI3A,172040.0,4.0,
9,9,Pago Pago,American Samoa,R.Cela,Si Algo Te Debo (Radio Version),spotify:track:1h7pznGMxhYKks7Vt7xpJD,0,2018-10-28,0.785,0.552,11.0,-7.948,0.0,0.312,0.0464,0.0,0.316,0.755,180.122,audio_features,1h7pznGMxhYKks7Vt7xpJD,spotify:track:1h7pznGMxhYKks7Vt7xpJD,https://api.spotify.com/v1/tracks/1h7pznGMxhYKks7Vt7xpJD,https://api.spotify.com/v1/audio-analysis/1h7pznGMxhYKks7Vt7xpJD,209500.0,4.0,
10,10,Pago Pago,American Samoa,Biagio Antonacci,Pago Il Conto,spotify:track:5Lrlo2LKtecH0oZw5F2g0j,5,1996-01-01,0.47,0.573,5.0,-12.586,0.0,0.036,0.173,7.17e-05,0.0818,0.529,148.001,audio_features,5Lrlo2LKtecH0oZw5F2g0j,spotify:track:5Lrlo2LKtecH0oZw5F2g0j,https://api.spotify.com/v1/tracks/5Lrlo2LKtecH0oZw5F2g0j,https://api.spotify.com/v1/audio-analysis/5Lrlo2LKtecH0oZw5F2g0j,285333.0,4.0,
11,11,Pago Pago,American Samoa,Bugo,Che Ci Vuole,spotify:track:57jrZvP48Akce26tY5m1Ag,10,2020-02-07,0.473,0.791,9.0,-4.863,1.0,0.0656,0.0441,0.0,0.263,0.67,180.1,audio_features,57jrZvP48Akce26tY5m1Ag,spotify:track:57jrZvP48Akce26tY5m1Ag,https://api.spotify.com/v1/tracks/57jrZvP48Akce26tY5m1Ag,https://api.spotify.com/v1/audio-analysis/57jrZvP48Akce26tY5m1Ag,235787.0,4.0,
12,12,Pago Pago,American Samoa,Speranza,Modalità (feat. Barracano),error,error,error,,,,,,,,,,,,,,,,,,,
13,13,Pago Pago,American Samoa,El Canto del Loco,Fin de Semana,spotify:track:1Qlf3bHrk5OrpLxSL8Q2A8,31,2008,0.537,0.978,8.0,-3.622,1.0,0.0397,0.00995,0.00444,0.332,0.722,139.917,audio_features,1Qlf3bHrk5OrpLxSL8Q2A8,spotify:track:1Qlf3bHrk5OrpLxSL8Q2A8,https://api.spotify.com/v1/tracks/1Qlf3bHrk5OrpLxSL8Q2A8,https://api.spotify.com/v1/audio-analysis/1Qlf3bHrk5OrpLxSL8Q2A8,202960.0,4.0,
