,Unnamed: 0,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0,California,California,"Young Thug, Future, Problem, Mike WiLL Made It",California Rari,spotify:track:26NxEw6oH3DwwL4o251liP,27,2014-12-16,0.835,0.561,11.0,-7.001,1.0,0.195,0.0469,0.0,0.174,0.165,122.066,audio_features,26NxEw6oH3DwwL4o251liP,spotify:track:26NxEw6oH3DwwL4o251liP,https://api.spotify.com/v1/tracks/26NxEw6oH3DwwL4o251liP,https://api.spotify.com/v1/audio-analysis/26NxEw6oH3DwwL4o251liP,284913.0,4.0,
1,1,California,California,Slim,California,spotify:track:6GKLrHFvwpzV3UJlBQgncR,11,2006,0.421,0.542,0.0,-9.603,1.0,0.0318,0.114,0.0106,0.774,0.705,148.851,audio_features,6GKLrHFvwpzV3UJlBQgncR,spotify:track:6GKLrHFvwpzV3UJlBQgncR,https://api.spotify.com/v1/tracks/6GKLrHFvwpzV3UJlBQgncR,https://api.spotify.com/v1/audio-analysis/6GKLrHFvwpzV3UJlBQgncR,394227.0,4.0,
2,2,California,California,Vampire Weekend,"California English, Pt. 2",spotify:track:2U90b6durzAnQZgIjWdhjP,41,2009-11-17,0.686,0.407,0.0,-8.211,1.0,0.0727,0.57,0.000922,0.0958,0.528,78.062,audio_features,2U90b6durzAnQZgIjWdhjP,spotify:track:2U90b6durzAnQZgIjWdhjP,https://api.spotify.com/v1/tracks/2U90b6durzAnQZgIjWdhjP,https://api.spotify.com/v1/audio-analysis/2U90b6durzAnQZgIjWdhjP,176907.0,4.0,
3,3,California,California,Bilal,Cali Sunshine,spotify:track:49TrrciRvL6X0VSP4Q3HhA,40,2008-01-01,0.62,0.868,1.0,-4.068,0.0,0.318,0.162,0.0,0.361,0.545,79.331,audio_features,49TrrciRvL6X0VSP4Q3HhA,spotify:track:49TrrciRvL6X0VSP4Q3HhA,https://api.spotify.com/v1/tracks/49TrrciRvL6X0VSP4Q3HhA,https://api.spotify.com/v1/audio-analysis/49TrrciRvL6X0VSP4Q3HhA,273173.0,4.0,
4,4,California,California,"Snoop Dogg, Ray J",Hallelujah,spotify:track:2Xbm97YXUHeBWAJbCycSAq,20,2019-08-13,0.533,0.367,4.0,-13.716,0.0,0.122,0.00513,0.0,0.108,0.157,99.897,audio_features,2Xbm97YXUHeBWAJbCycSAq,spotify:track:2Xbm97YXUHeBWAJbCycSAq,https://api.spotify.com/v1/tracks/2Xbm97YXUHeBWAJbCycSAq,https://api.spotify.com/v1/audio-analysis/2Xbm97YXUHeBWAJbCycSAq,145868.0,4.0,
5,5,California,California,T.I.,California,spotify:track:7KDkjknQAILlnqkPSkR1gC,43,2015-11-06,0.796,0.799,7.0,-5.443,1.0,0.192,0.0858,0.0,0.104,0.538,96.477,audio_features,7KDkjknQAILlnqkPSkR1gC,spotify:track:7KDkjknQAILlnqkPSkR1gC,https://api.spotify.com/v1/tracks/7KDkjknQAILlnqkPSkR1gC,https://api.spotify.com/v1/audio-analysis/7KDkjknQAILlnqkPSkR1gC,281902.0,4.0,
6,6,California,California,Tyga,It Neva Rains,spotify:track:5nSYH5txkUt8Bv0KI4Sxza,21,2013-01-01,0.583,0.871,4.0,-5.007,1.0,0.297,0.0963,0.0,0.044,0.548,84.322,audio_features,5nSYH5txkUt8Bv0KI4Sxza,spotify:track:5nSYH5txkUt8Bv0KI4Sxza,https://api.spotify.com/v1/tracks/5nSYH5txkUt8Bv0KI4Sxza,https://api.spotify.com/v1/audio-analysis/5nSYH5txkUt8Bv0KI4Sxza,247413.0,4.0,
7,7,California,California,Tyga,It Neva Rains,spotify:track:5nSYH5txkUt8Bv0KI4Sxza,21,2013-01-01,0.583,0.871,4.0,-5.007,1.0,0.297,0.0963,0.0,0.044,0.548,84.322,audio_features,5nSYH5txkUt8Bv0KI4Sxza,spotify:track:5nSYH5txkUt8Bv0KI4Sxza,https://api.spotify.com/v1/tracks/5nSYH5txkUt8Bv0KI4Sxza,https://api.spotify.com/v1/audio-analysis/5nSYH5txkUt8Bv0KI4Sxza,247413.0,4.0,
8,8,California,California,Tyga,It Neva Rains,spotify:track:5nSYH5txkUt8Bv0KI4Sxza,21,2013-01-01,0.583,0.871,4.0,-5.007,1.0,0.297,0.0963,0.0,0.044,0.548,84.322,audio_features,5nSYH5txkUt8Bv0KI4Sxza,spotify:track:5nSYH5txkUt8Bv0KI4Sxza,https://api.spotify.com/v1/tracks/5nSYH5txkUt8Bv0KI4Sxza,https://api.spotify.com/v1/audio-analysis/5nSYH5txkUt8Bv0KI4Sxza,247413.0,4.0,
9,9,California,California,Joey McIntyre,California,spotify:track:47Up2wCpsh8mNPsXG4JP4h,3,2004-04-27,0.923,0.192,6.0,-12.053,1.0,0.189,0.117,0.00362,0.139,0.568,91.971,audio_features,47Up2wCpsh8mNPsXG4JP4h,spotify:track:47Up2wCpsh8mNPsXG4JP4h,https://api.spotify.com/v1/tracks/47Up2wCpsh8mNPsXG4JP4h,https://api.spotify.com/v1/audio-analysis/47Up2wCpsh8mNPsXG4JP4h,298493.0,4.0,
10,10,California,California,Chilliwack,California Girl,spotify:track:5tjcihllHWHxtkbCALfKL5,24,1988,0.52,0.499,0.0,-5.932,1.0,0.0309,0.56,0.000415,0.563,0.581,120.391,audio_features,5tjcihllHWHxtkbCALfKL5,spotify:track:5tjcihllHWHxtkbCALfKL5,https://api.spotify.com/v1/tracks/5tjcihllHWHxtkbCALfKL5,https://api.spotify.com/v1/audio-analysis/5tjcihllHWHxtkbCALfKL5,181080.0,4.0,
11,11,California,California,Rob Zombie,(Go to) California,spotify:track:19tDq9gNtVcFxzaMa0Kh6L,34,2001-01-01,0.644,0.952,2.0,-4.171,1.0,0.0304,0.000395,0.000152,0.0963,0.871,115.007,audio_features,19tDq9gNtVcFxzaMa0Kh6L,spotify:track:19tDq9gNtVcFxzaMa0Kh6L,https://api.spotify.com/v1/tracks/19tDq9gNtVcFxzaMa0Kh6L,https://api.spotify.com/v1/audio-analysis/19tDq9gNtVcFxzaMa0Kh6L,204960.0,4.0,
