,Unnamed: 0,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0,Colorado,Colorado,"Justin Timberlake, Lil Wayne",Light Up,spotify:track:53WCFRflh8NmR9xCZaMvia,27,2013-10-29,0.534,0.407,4.0,-8.362,0.0,0.0373,0.547,0.0,0.303,0.786,128.8,audio_features,53WCFRflh8NmR9xCZaMvia,spotify:track:53WCFRflh8NmR9xCZaMvia,https://api.spotify.com/v1/tracks/53WCFRflh8NmR9xCZaMvia,https://api.spotify.com/v1/audio-analysis/53WCFRflh8NmR9xCZaMvia,205187.0,4.0,
1,1,Colorado,Colorado,CJ Vana,Colorado,spotify:track:5vo0Q1F5siiFTOGJa6fQ9S,3,2018-01-26,0.415,0.715,7.0,-4.487,0.0,0.0424,0.0409,0.0,0.0813,0.408,88.866,audio_features,5vo0Q1F5siiFTOGJa6fQ9S,spotify:track:5vo0Q1F5siiFTOGJa6fQ9S,https://api.spotify.com/v1/tracks/5vo0Q1F5siiFTOGJa6fQ9S,https://api.spotify.com/v1/audio-analysis/5vo0Q1F5siiFTOGJa6fQ9S,252000.0,4.0,
2,2,Colorado,Colorado,CJ Vana,Colorado,spotify:track:5vo0Q1F5siiFTOGJa6fQ9S,3,2018-01-26,0.415,0.715,7.0,-4.487,0.0,0.0424,0.0409,0.0,0.0813,0.408,88.866,audio_features,5vo0Q1F5siiFTOGJa6fQ9S,spotify:track:5vo0Q1F5siiFTOGJa6fQ9S,https://api.spotify.com/v1/tracks/5vo0Q1F5siiFTOGJa6fQ9S,https://api.spotify.com/v1/audio-analysis/5vo0Q1F5siiFTOGJa6fQ9S,252000.0,4.0,
3,3,Colorado,Colorado,Henri Salvador,COLORADO,spotify:track:2IIaM0M4xgOsh8U4FAkJdG,0,2010-01-01,0.424,0.436,7.0,-6.97,1.0,0.0586,0.893,8e-06,0.336,0.524,135.151,audio_features,2IIaM0M4xgOsh8U4FAkJdG,spotify:track:2IIaM0M4xgOsh8U4FAkJdG,https://api.spotify.com/v1/tracks/2IIaM0M4xgOsh8U4FAkJdG,https://api.spotify.com/v1/audio-analysis/2IIaM0M4xgOsh8U4FAkJdG,155547.0,3.0,
4,4,Colorado,Colorado,Jimmie Dale Gilmore,Another Colorado,spotify:track:1VlBRBtTG9Kjrvo4wBcRSu,13,1993,0.529,0.413,2.0,-12.809,1.0,0.0292,0.498,5.88e-05,0.232,0.562,152.056,audio_features,1VlBRBtTG9Kjrvo4wBcRSu,spotify:track:1VlBRBtTG9Kjrvo4wBcRSu,https://api.spotify.com/v1/tracks/1VlBRBtTG9Kjrvo4wBcRSu,https://api.spotify.com/v1/audio-analysis/1VlBRBtTG9Kjrvo4wBcRSu,213427.0,4.0,
5,5,Colorado,Colorado,Dierks Bentley,My Religion,spotify:track:7BK6xn13rJRZ4OCbvAszUk,38,2018-06-08,0.488,0.379,2.0,-10.511,1.0,0.0494,0.81,4.01e-05,0.0714,0.237,85.634,audio_features,7BK6xn13rJRZ4OCbvAszUk,spotify:track:7BK6xn13rJRZ4OCbvAszUk,https://api.spotify.com/v1/tracks/7BK6xn13rJRZ4OCbvAszUk,https://api.spotify.com/v1/audio-analysis/7BK6xn13rJRZ4OCbvAszUk,185173.0,4.0,
6,6,Colorado,Colorado,Tech N9ne,Colorado [Bonus Track],spotify:track:6auKwmkIcf974eq0lRJ8tt,48,2013-07-30,0.772,0.719,9.0,-7.04,0.0,0.21,0.0136,0.0,0.331,0.343,138.031,audio_features,6auKwmkIcf974eq0lRJ8tt,spotify:track:6auKwmkIcf974eq0lRJ8tt,https://api.spotify.com/v1/tracks/6auKwmkIcf974eq0lRJ8tt,https://api.spotify.com/v1/audio-analysis/6auKwmkIcf974eq0lRJ8tt,293387.0,4.0,
7,7,Colorado,Colorado,Steve Earle & the Dukes,News From Colorado,spotify:track:5q9sfIxgVR2N0YamWgZHYJ,18,2017-06-16,0.419,0.393,4.0,-12.702,0.0,0.0279,0.274,8.91e-05,0.119,0.45,89.245,audio_features,5q9sfIxgVR2N0YamWgZHYJ,spotify:track:5q9sfIxgVR2N0YamWgZHYJ,https://api.spotify.com/v1/tracks/5q9sfIxgVR2N0YamWgZHYJ,https://api.spotify.com/v1/audio-analysis/5q9sfIxgVR2N0YamWgZHYJ,149800.0,4.0,
8,8,Colorado,Colorado,Mr. Big,Colorado Bulldog,spotify:track:7CqczQ0HGS9C7koT1NMWcb,32,1993-09-17,0.413,0.961,11.0,-6.433,0.0,0.186,0.00122,0.0054,0.0779,0.27,133.269,audio_features,7CqczQ0HGS9C7koT1NMWcb,spotify:track:7CqczQ0HGS9C7koT1NMWcb,https://api.spotify.com/v1/tracks/7CqczQ0HGS9C7koT1NMWcb,https://api.spotify.com/v1/audio-analysis/7CqczQ0HGS9C7koT1NMWcb,253480.0,4.0,
9,9,Colorado,Colorado,John Denver,Rocky Mountain High,spotify:track:1ne9wOtDF2jM6Cm8WBkaER,68,1972-09-15,0.455,0.437,4.0,-11.411,1.0,0.0278,0.314,0.0,0.501,0.724,81.396,audio_features,1ne9wOtDF2jM6Cm8WBkaER,spotify:track:1ne9wOtDF2jM6Cm8WBkaER,https://api.spotify.com/v1/tracks/1ne9wOtDF2jM6Cm8WBkaER,https://api.spotify.com/v1/audio-analysis/1ne9wOtDF2jM6Cm8WBkaER,283640.0,4.0,
