,Unnamed: 0,city,state,artist,song,uris,popularity,date,error,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0,District of Columbia,District of Columbia,アメリカ (小西克幸),W・D・C ～World Dancing～,error,error,error,,,,,,,,,,,,,,,,,,,
1,1,District of Columbia,District of Columbia,Wale,Chillin',spotify:track:4HYc74wPEfUAhlQFm4fZHa,49,2009-01-01,,0.761,0.915,6.0,-3.019,0.0,0.195,0.0146,0.0,0.332,0.402,99.024,audio_features,4HYc74wPEfUAhlQFm4fZHa,spotify:track:4HYc74wPEfUAhlQFm4fZHa,https://api.spotify.com/v1/tracks/4HYc74wPEfUAhlQFm4fZHa,https://api.spotify.com/v1/audio-analysis/4HYc74wPEfUAhlQFm4fZHa,204533.0,4.0
2,2,District of Columbia,District of Columbia,Wale,Chillin',spotify:track:4HYc74wPEfUAhlQFm4fZHa,49,2009-01-01,,0.761,0.915,6.0,-3.019,0.0,0.195,0.0146,0.0,0.332,0.402,99.024,audio_features,4HYc74wPEfUAhlQFm4fZHa,spotify:track:4HYc74wPEfUAhlQFm4fZHa,https://api.spotify.com/v1/tracks/4HYc74wPEfUAhlQFm4fZHa,https://api.spotify.com/v1/audio-analysis/4HYc74wPEfUAhlQFm4fZHa,204533.0,4.0
3,3,District of Columbia,District of Columbia,Allan Sherman,Holiday for States,spotify:track:1rXVU5w2M16RULGVoqp6y9,4,2005-02-08,,0.556,0.609,9.0,-7.494,1.0,0.489,0.859,0.0,0.727,0.666,81.688,audio_features,1rXVU5w2M16RULGVoqp6y9,spotify:track:1rXVU5w2M16RULGVoqp6y9,https://api.spotify.com/v1/tracks/1rXVU5w2M16RULGVoqp6y9,https://api.spotify.com/v1/audio-analysis/1rXVU5w2M16RULGVoqp6y9,95800.0,4.0
4,4,District of Columbia,District of Columbia,Swollen Members,Counterparts,spotify:track:5hMaVhzMWakw3faIvm70CG,2,2009-09-15,,0.906,0.466,1.0,-10.363,0.0,0.121,0.000316,0.756,0.0815,0.866,89.017,audio_features,5hMaVhzMWakw3faIvm70CG,spotify:track:5hMaVhzMWakw3faIvm70CG,https://api.spotify.com/v1/tracks/5hMaVhzMWakw3faIvm70CG,https://api.spotify.com/v1/audio-analysis/5hMaVhzMWakw3faIvm70CG,274560.0,4.0
5,5,District of Columbia,District of Columbia,Blackalicious,Passion,spotify:track:1DzoBoEn3Gytug94dfsdtS,25,2002-01-01,,0.802,0.896,5.0,-4.887,0.0,0.262,0.114,0.0,0.319,0.381,88.107,audio_features,1DzoBoEn3Gytug94dfsdtS,spotify:track:1DzoBoEn3Gytug94dfsdtS,https://api.spotify.com/v1/tracks/1DzoBoEn3Gytug94dfsdtS,https://api.spotify.com/v1/audio-analysis/1DzoBoEn3Gytug94dfsdtS,234773.0,4.0
6,6,District of Columbia,District of Columbia,Shy Glizzy,Crew,spotify:track:15EPc80XuFrb2LmOzGjuRg,74,2017-03-24,,0.728,0.607,1.0,-8.417,0.0,0.132,0.133,0.0,0.0864,0.445,129.938,audio_features,15EPc80XuFrb2LmOzGjuRg,spotify:track:15EPc80XuFrb2LmOzGjuRg,https://api.spotify.com/v1/tracks/15EPc80XuFrb2LmOzGjuRg,https://api.spotify.com/v1/audio-analysis/15EPc80XuFrb2LmOzGjuRg,176702.0,4.0
7,7,District of Columbia,District of Columbia,GoldLink,Crew,spotify:track:15EPc80XuFrb2LmOzGjuRg,74,2017-03-24,,0.728,0.607,1.0,-8.417,0.0,0.132,0.133,0.0,0.0864,0.445,129.938,audio_features,15EPc80XuFrb2LmOzGjuRg,spotify:track:15EPc80XuFrb2LmOzGjuRg,https://api.spotify.com/v1/tracks/15EPc80XuFrb2LmOzGjuRg,https://api.spotify.com/v1/audio-analysis/15EPc80XuFrb2LmOzGjuRg,176702.0,4.0
8,8,District of Columbia,District of Columbia,Professor X,Close the Crackhouse,spotify:track:1DAD52MSycCo0se6EnmnCk,2,1993-01-01,,0.85,0.791,4.0,-8.935,0.0,0.238,0.153,4.51e-06,0.0931,0.278,98.698,audio_features,1DAD52MSycCo0se6EnmnCk,spotify:track:1DAD52MSycCo0se6EnmnCk,https://api.spotify.com/v1/tracks/1DAD52MSycCo0se6EnmnCk,https://api.spotify.com/v1/audio-analysis/1DAD52MSycCo0se6EnmnCk,554707.0,4.0
9,9,District of Columbia,District of Columbia,Jay-Z,Tom Ford,spotify:track:1PNGJBI1Lx0h8QCpkHKZLU,53,2013-07-04,,0.863,0.705,8.0,-6.202,1.0,0.31,0.05,2.21e-05,0.524,0.599,145.099,audio_features,1PNGJBI1Lx0h8QCpkHKZLU,spotify:track:1PNGJBI1Lx0h8QCpkHKZLU,https://api.spotify.com/v1/tracks/1PNGJBI1Lx0h8QCpkHKZLU,https://api.spotify.com/v1/audio-analysis/1PNGJBI1Lx0h8QCpkHKZLU,189013.0,4.0
10,10,District of Columbia,District of Columbia,"GoldLink, Gucci Mane, Shy Glizzy, Brent Faiyaz",Crew (Remix),spotify:track:5geeTRRcsIg0MS5TvtBtHU,60,2017-06-22,,0.752,0.705,1.0,-4.893,0.0,0.138,0.125,0.0,0.0919,0.694,129.966,audio_features,5geeTRRcsIg0MS5TvtBtHU,spotify:track:5geeTRRcsIg0MS5TvtBtHU,https://api.spotify.com/v1/tracks/5geeTRRcsIg0MS5TvtBtHU,https://api.spotify.com/v1/audio-analysis/5geeTRRcsIg0MS5TvtBtHU,240375.0,4.0
11,11,District of Columbia,District of Columbia,GoldLink,Opening Credit,spotify:track:0CN5UmtHPdenaE2yyT7JuZ,32,2017-03-24,,0.269,0.62,4.0,-15.745,0.0,0.142,0.495,0.601,0.273,0.214,108.716,audio_features,0CN5UmtHPdenaE2yyT7JuZ,spotify:track:0CN5UmtHPdenaE2yyT7JuZ,https://api.spotify.com/v1/tracks/0CN5UmtHPdenaE2yyT7JuZ,https://api.spotify.com/v1/audio-analysis/0CN5UmtHPdenaE2yyT7JuZ,67198.0,3.0
12,12,District of Columbia,District of Columbia,Wale,Right Here,spotify:track:1jtT12YjJchXSnKFiFZRLG,43,2018-09-14,,0.46,0.736,5.0,-4.3,0.0,0.471,0.548,0.0,0.101,0.405,177.056,audio_features,1jtT12YjJchXSnKFiFZRLG,spotify:track:1jtT12YjJchXSnKFiFZRLG,https://api.spotify.com/v1/tracks/1jtT12YjJchXSnKFiFZRLG,https://api.spotify.com/v1/audio-analysis/1jtT12YjJchXSnKFiFZRLG,221569.0,4.0
13,13,Washington,District of Columbia,Woody Guthrie,Lindbergh,spotify:track:3pR2uqtFwrSe0BU11y76eU,20,1999-08-17,,0.605,0.295,2.0,-14.445,1.0,0.0351,0.94,0.00651,0.315,0.932,119.3,audio_features,3pR2uqtFwrSe0BU11y76eU,spotify:track:3pR2uqtFwrSe0BU11y76eU,https://api.spotify.com/v1/tracks/3pR2uqtFwrSe0BU11y76eU,https://api.spotify.com/v1/audio-analysis/3pR2uqtFwrSe0BU11y76eU,192960.0,4.0
14,14,Washington,District of Columbia,Bay City Rollers,Washington's Birthday,spotify:track:5pI36GI58cD0NOSx7aQYfS,1,1979-04-18,,0.312,0.584,9.0,-6.998,1.0,0.031,0.0013,1.47e-05,0.125,0.405,137.851,audio_features,5pI36GI58cD0NOSx7aQYfS,spotify:track:5pI36GI58cD0NOSx7aQYfS,https://api.spotify.com/v1/tracks/5pI36GI58cD0NOSx7aQYfS,https://api.spotify.com/v1/audio-analysis/5pI36GI58cD0NOSx7aQYfS,225787.0,4.0
15,15,Washington,District of Columbia,Woody Guthrie,Baltimore to Washington,spotify:track:5disQl1XhN20HHeRjdoFY6,17,1968-01-01,,0.658,0.275,4.0,-16.804,1.0,0.0352,0.982,0.0759,0.284,0.865,128.982,audio_features,5disQl1XhN20HHeRjdoFY6,spotify:track:5disQl1XhN20HHeRjdoFY6,https://api.spotify.com/v1/tracks/5disQl1XhN20HHeRjdoFY6,https://api.spotify.com/v1/audio-analysis/5disQl1XhN20HHeRjdoFY6,178373.0,4.0
16,16,Washington,District of Columbia,Fred Astaire,I Can't Tell a Lie,spotify:track:6FjnEJYawydkfLN7CtHWbF,11,1942-01-01,,0.615,0.196,1.0,-14.188,1.0,0.137,0.885,0.326,0.679,0.68,79.401,audio_features,6FjnEJYawydkfLN7CtHWbF,spotify:track:6FjnEJYawydkfLN7CtHWbF,https://api.spotify.com/v1/tracks/6FjnEJYawydkfLN7CtHWbF,https://api.spotify.com/v1/audio-analysis/6FjnEJYawydkfLN7CtHWbF,160813.0,3.0
17,17,Washington,District of Columbia,Fred Astaire,I Can't Tell a Lie,spotify:track:6FjnEJYawydkfLN7CtHWbF,11,1942-01-01,,0.615,0.196,1.0,-14.188,1.0,0.137,0.885,0.326,0.679,0.68,79.401,audio_features,6FjnEJYawydkfLN7CtHWbF,spotify:track:6FjnEJYawydkfLN7CtHWbF,https://api.spotify.com/v1/tracks/6FjnEJYawydkfLN7CtHWbF,https://api.spotify.com/v1/audio-analysis/6FjnEJYawydkfLN7CtHWbF,160813.0,3.0
