,Unnamed: 0,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0,Hawaii,Hawaii,The Beach Boys,Hawaii,spotify:track:2coG8jl7JVo7hg0XNAay4a,33,1963-09-16,0.516,0.697,8.0,-7.683,1.0,0.0373,0.388,0.0,0.176,0.964,144.09,audio_features,2coG8jl7JVo7hg0XNAay4a,spotify:track:2coG8jl7JVo7hg0XNAay4a,https://api.spotify.com/v1/tracks/2coG8jl7JVo7hg0XNAay4a,https://api.spotify.com/v1/audio-analysis/2coG8jl7JVo7hg0XNAay4a,122000.0,4.0,
1,1,Hawaii,Hawaii,The Queers,Hawaii,spotify:track:1jpNcapYk21W4spk2mZNmG,8,1995,0.222,0.86,10.0,-4.351,0.0,0.122,0.022,0.0,0.127,0.59,163.093,audio_features,1jpNcapYk21W4spk2mZNmG,spotify:track:1jpNcapYk21W4spk2mZNmG,https://api.spotify.com/v1/tracks/1jpNcapYk21W4spk2mZNmG,https://api.spotify.com/v1/audio-analysis/1jpNcapYk21W4spk2mZNmG,115147.0,4.0,
2,2,Hawaii,Hawaii,Luciano,Hawaii,error,error,error,,,,,,,,,,,,,,,,,,,
3,3,Hawaii,Hawaii,The Strokes,Hawaii,spotify:track:3UUwbJd2j4RORlalTUhaDk,50,1969,0.518,0.782,9.0,-9.753,1.0,0.0631,0.265,0.654,0.0769,0.861,163.647,audio_features,3UUwbJd2j4RORlalTUhaDk,spotify:track:3UUwbJd2j4RORlalTUhaDk,https://api.spotify.com/v1/tracks/3UUwbJd2j4RORlalTUhaDk,https://api.spotify.com/v1/audio-analysis/3UUwbJd2j4RORlalTUhaDk,113893.0,4.0,
4,4,Hawaii,Hawaii,Böri W 232,Hawaii Gömleğim,spotify:track:2e7Ocowfy0CV284vSElvng,2,2020-06-20,0.736,0.774,1.0,-8.862,0.0,0.169,0.158,0.0115,0.0867,0.245,103.99,audio_features,2e7Ocowfy0CV284vSElvng,spotify:track:2e7Ocowfy0CV284vSElvng,https://api.spotify.com/v1/tracks/2e7Ocowfy0CV284vSElvng,https://api.spotify.com/v1/audio-analysis/2e7Ocowfy0CV284vSElvng,272308.0,4.0,
5,5,Hawaii,Hawaii,The Beach Boys,Kona Coast,spotify:track:0Ssa0ARgI7geS93afHwySv,14,1978-10-02,0.677,0.61,9.0,-7.03,1.0,0.031,0.223,0.00294,0.331,0.849,124.898,audio_features,0Ssa0ARgI7geS93afHwySv,spotify:track:0Ssa0ARgI7geS93afHwySv,https://api.spotify.com/v1/tracks/0Ssa0ARgI7geS93afHwySv,https://api.spotify.com/v1/audio-analysis/0Ssa0ARgI7geS93afHwySv,153240.0,4.0,
6,6,Hawaii,Hawaii,The Beach Boys,Melekalikimaka [Previously Unreleased Track],error,error,error,,,,,,,,,,,,,,,,,,,
7,7,Hawaii,Hawaii,Elvis Presley,"Paradise, Hawaiian Style",spotify:track:2JmQ5hKHB057YAM6OiFgIE,21,1966-06-01,0.542,0.574,0.0,-8.431,1.0,0.0539,0.752,0.0,0.415,0.594,119.95,audio_features,2JmQ5hKHB057YAM6OiFgIE,spotify:track:2JmQ5hKHB057YAM6OiFgIE,https://api.spotify.com/v1/tracks/2JmQ5hKHB057YAM6OiFgIE,https://api.spotify.com/v1/audio-analysis/2JmQ5hKHB057YAM6OiFgIE,159773.0,4.0,
8,8,Hawaii,Hawaii,The Beach Boys,Melekalikimaka [Previously Unreleased Track],error,error,error,,,,,,,,,,,,,,,,,,,
9,9,Hawaii,Hawaii,Elvis Presley,Paradise,spotify:track:2JmQ5hKHB057YAM6OiFgIE,21,1966-06-01,0.542,0.574,0.0,-8.431,1.0,0.0539,0.752,0.0,0.415,0.594,119.95,audio_features,2JmQ5hKHB057YAM6OiFgIE,spotify:track:2JmQ5hKHB057YAM6OiFgIE,https://api.spotify.com/v1/tracks/2JmQ5hKHB057YAM6OiFgIE,https://api.spotify.com/v1/audio-analysis/2JmQ5hKHB057YAM6OiFgIE,159773.0,4.0,
