,Unnamed: 0,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0,Idaho,Idaho,The B-52's,Private Idaho,spotify:track:1y5V5qja332UyMeUurFhDS,54,1980,0.551,0.882,2.0,-6.808,1.0,0.0454,0.00724,1.13e-05,0.322,0.888,166.403,audio_features,1y5V5qja332UyMeUurFhDS,spotify:track:1y5V5qja332UyMeUurFhDS,https://api.spotify.com/v1/tracks/1y5V5qja332UyMeUurFhDS,https://api.spotify.com/v1/audio-analysis/1y5V5qja332UyMeUurFhDS,216360.0,4.0,
1,1,Idaho,Idaho,The B-52's,Private Idaho,spotify:track:1y5V5qja332UyMeUurFhDS,54,1980,0.551,0.882,2.0,-6.808,1.0,0.0454,0.00724,1.13e-05,0.322,0.888,166.403,audio_features,1y5V5qja332UyMeUurFhDS,spotify:track:1y5V5qja332UyMeUurFhDS,https://api.spotify.com/v1/tracks/1y5V5qja332UyMeUurFhDS,https://api.spotify.com/v1/audio-analysis/1y5V5qja332UyMeUurFhDS,216360.0,4.0,
2,2,Idaho,Idaho,The B-52's,Private Idaho,spotify:track:1y5V5qja332UyMeUurFhDS,54,1980,0.551,0.882,2.0,-6.808,1.0,0.0454,0.00724,1.13e-05,0.322,0.888,166.403,audio_features,1y5V5qja332UyMeUurFhDS,spotify:track:1y5V5qja332UyMeUurFhDS,https://api.spotify.com/v1/tracks/1y5V5qja332UyMeUurFhDS,https://api.spotify.com/v1/audio-analysis/1y5V5qja332UyMeUurFhDS,216360.0,4.0,
3,3,Idaho,Idaho,"Pato Fu, Giramundo",Private Idaho [Ao Vivo],spotify:track:61WP8rUdi3Mp3onFW6BZWm,8,2019-10-11,0.467,0.898,9.0,-5.838,0.0,0.0337,0.261,0.000342,0.964,0.965,170.513,audio_features,61WP8rUdi3Mp3onFW6BZWm,spotify:track:61WP8rUdi3Mp3onFW6BZWm,https://api.spotify.com/v1/tracks/61WP8rUdi3Mp3onFW6BZWm,https://api.spotify.com/v1/audio-analysis/61WP8rUdi3Mp3onFW6BZWm,217755.0,4.0,
4,4,Idaho,Idaho,Josh Ritter,Idaho,spotify:track:28UFQkhYkOJHJr4pyUtoNa,30,2006,0.457,0.0473,5.0,-17.682,1.0,0.0382,0.903,9.91e-05,0.102,0.188,79.471,audio_features,28UFQkhYkOJHJr4pyUtoNa,spotify:track:28UFQkhYkOJHJr4pyUtoNa,https://api.spotify.com/v1/tracks/28UFQkhYkOJHJr4pyUtoNa,https://api.spotify.com/v1/audio-analysis/28UFQkhYkOJHJr4pyUtoNa,231784.0,1.0,
5,5,Idaho,Idaho,Eddy Arnold,Idaho,error,error,error,,,,,,,,,,,,,,,,,,,
6,6,Idaho,Idaho,Rednex,Get the Truck Loaded,spotify:track:7apMQe42MqjAi7xOPf6leu,18,2000,0.681,0.995,8.0,-3.41,1.0,0.0756,0.0171,3.39e-05,0.455,0.803,136.982,audio_features,7apMQe42MqjAi7xOPf6leu,spotify:track:7apMQe42MqjAi7xOPf6leu,https://api.spotify.com/v1/tracks/7apMQe42MqjAi7xOPf6leu,https://api.spotify.com/v1/audio-analysis/7apMQe42MqjAi7xOPf6leu,224840.0,4.0,
7,7,Idaho,Idaho,Gorillaz,Idaho,spotify:track:5r8c96Zn0ZNHRecVKpFf23,52,2018-06-29,0.419,0.412,6.0,-11.477,1.0,0.0284,0.294,0.185,0.15,0.164,136.065,audio_features,5r8c96Zn0ZNHRecVKpFf23,spotify:track:5r8c96Zn0ZNHRecVKpFf23,https://api.spotify.com/v1/tracks/5r8c96Zn0ZNHRecVKpFf23,https://api.spotify.com/v1/audio-analysis/5r8c96Zn0ZNHRecVKpFf23,222200.0,4.0,
8,8,Idaho,Idaho,Train,Idaho,spotify:track:08uYvQObaBMLu2MtPxZL1T,23,1998-02-24,0.491,0.657,9.0,-7.003,0.0,0.0313,0.0065,0.0121,0.096,0.324,134.005,audio_features,08uYvQObaBMLu2MtPxZL1T,spotify:track:08uYvQObaBMLu2MtPxZL1T,https://api.spotify.com/v1/tracks/08uYvQObaBMLu2MtPxZL1T,https://api.spotify.com/v1/audio-analysis/08uYvQObaBMLu2MtPxZL1T,296133.0,4.0,
9,9,Idaho,Idaho,Nerina Pallot,Idaho,error,error,error,,,,,,,,,,,,,,,,,,,
