,Unnamed: 0,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0,Illinois,Illinois,Skip James,Illinois Blues,spotify:track:5SlzbblabrdybDrlWTF772,10,1968,0.432,0.0988,4.0,-22.731,0.0,0.0488,0.818,1.11e-06,0.178,0.557,86.71,audio_features,5SlzbblabrdybDrlWTF772,spotify:track:5SlzbblabrdybDrlWTF772,https://api.spotify.com/v1/tracks/5SlzbblabrdybDrlWTF772,https://api.spotify.com/v1/audio-analysis/5SlzbblabrdybDrlWTF772,194667.0,4.0,
1,1,Illinois,Illinois,Skip James,Illinois Blues,spotify:track:5SlzbblabrdybDrlWTF772,10,1968,0.432,0.0988,4.0,-22.731,0.0,0.0488,0.818,1.11e-06,0.178,0.557,86.71,audio_features,5SlzbblabrdybDrlWTF772,spotify:track:5SlzbblabrdybDrlWTF772,https://api.spotify.com/v1/tracks/5SlzbblabrdybDrlWTF772,https://api.spotify.com/v1/audio-analysis/5SlzbblabrdybDrlWTF772,194667.0,4.0,
2,2,Illinois,Illinois,Frank Zappa,The Illinois Enema Bandit [Incomplete Take],error,error,error,,,,,,,,,,,,,,,,,,,
3,3,Illinois,Illinois,Brett Eldredge,Illinois,spotify:track:3udnqwkBjLfvrOscdutqPe,36,2015-09-11,0.501,0.671,2.0,-6.909,1.0,0.0274,0.165,7.26e-05,0.246,0.384,80.968,audio_features,3udnqwkBjLfvrOscdutqPe,spotify:track:3udnqwkBjLfvrOscdutqPe,https://api.spotify.com/v1/tracks/3udnqwkBjLfvrOscdutqPe,https://api.spotify.com/v1/audio-analysis/3udnqwkBjLfvrOscdutqPe,202493.0,4.0,
4,4,Illinois,Illinois,The Drive Band,Illinois Blues,spotify:track:5pRhuZ3JsUbG5LSeWAeVYM,1,2019-01-25,0.638,0.474,5.0,-10.894,0.0,0.0342,0.859,0.0173,0.159,0.656,85.004,audio_features,5pRhuZ3JsUbG5LSeWAeVYM,spotify:track:5pRhuZ3JsUbG5LSeWAeVYM,https://api.spotify.com/v1/tracks/5pRhuZ3JsUbG5LSeWAeVYM,https://api.spotify.com/v1/audio-analysis/5pRhuZ3JsUbG5LSeWAeVYM,237141.0,4.0,
5,5,Illinois,Illinois,Alvin Youngblood Hart,Illinois Blues,spotify:track:7ilAYukCyLtxmZ3KtAlvIo,16,1998,0.397,0.049,11.0,-17.635,0.0,0.0418,0.99,0.0233,0.102,0.524,109.31,audio_features,7ilAYukCyLtxmZ3KtAlvIo,spotify:track:7ilAYukCyLtxmZ3KtAlvIo,https://api.spotify.com/v1/tracks/7ilAYukCyLtxmZ3KtAlvIo,https://api.spotify.com/v1/audio-analysis/7ilAYukCyLtxmZ3KtAlvIo,259173.0,4.0,
6,6,Illinois,Illinois,Dan Fogelberg,Illinois,spotify:track:0U3MoAWudpBuqnGgqMDVCR,32,1974,0.472,0.447,0.0,-14.569,1.0,0.028,0.25,1.55e-05,0.13,0.434,131.234,audio_features,0U3MoAWudpBuqnGgqMDVCR,spotify:track:0U3MoAWudpBuqnGgqMDVCR,https://api.spotify.com/v1/tracks/0U3MoAWudpBuqnGgqMDVCR,https://api.spotify.com/v1/audio-analysis/0U3MoAWudpBuqnGgqMDVCR,252587.0,3.0,
7,7,Illinois,Illinois,Brett Eldredge,Illinois,spotify:track:3udnqwkBjLfvrOscdutqPe,36,2015-09-11,0.501,0.671,2.0,-6.909,1.0,0.0274,0.165,7.26e-05,0.246,0.384,80.968,audio_features,3udnqwkBjLfvrOscdutqPe,spotify:track:3udnqwkBjLfvrOscdutqPe,https://api.spotify.com/v1/tracks/3udnqwkBjLfvrOscdutqPe,https://api.spotify.com/v1/audio-analysis/3udnqwkBjLfvrOscdutqPe,202493.0,4.0,
8,8,Illinois,Illinois,Wesley Willis,Illinois State Police,error,error,error,,,,,,,,,,,,,,,,,,,
9,9,Illinois,Illinois,Jack Larsen,Ugly,spotify:track:3Bntytgi9N57EiXLEd3VIc,21,2018-09-14,0.371,0.64,0.0,-7.738,1.0,0.0388,0.617,1.71e-06,0.159,0.288,167.257,audio_features,3Bntytgi9N57EiXLEd3VIc,spotify:track:3Bntytgi9N57EiXLEd3VIc,https://api.spotify.com/v1/tracks/3Bntytgi9N57EiXLEd3VIc,https://api.spotify.com/v1/audio-analysis/3Bntytgi9N57EiXLEd3VIc,187502.0,4.0,
