,Unnamed: 0,city,state,artist,song,uris,popularity,date,error,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0,Iowa,Iowa,Dar Williams,Iowa [DVD],error,error,error,,,,,,,,,,,,,,,,,,,
1,1,Iowa,Iowa,Manfred Mann's Earth Band,Stranded,spotify:track:2iIVguoAsFv0I9jowVEBhW,14,1980,,0.561,0.401,8.0,-12.621,1.0,0.0611,0.622,0.000155,0.578,0.394,82.077,audio_features,2iIVguoAsFv0I9jowVEBhW,spotify:track:2iIVguoAsFv0I9jowVEBhW,https://api.spotify.com/v1/tracks/2iIVguoAsFv0I9jowVEBhW,https://api.spotify.com/v1/audio-analysis/2iIVguoAsFv0I9jowVEBhW,349253.0,4.0
2,2,Iowa,Iowa,Dar Williams,Iowa (Traveling III),error,error,error,,,,,,,,,,,,,,,,,,,
3,3,Iowa,Iowa,"Sonny Boy Williamson I, Sonny Boy Williamson II",Willow Tree Gal,spotify:track:6ZeeoqlrNnbhsmUbAWxsLT,0,2008-01-01,,0.493,0.243,9.0,-13.109,1.0,0.0735,0.826,0.00662,0.128,0.437,85.609,audio_features,6ZeeoqlrNnbhsmUbAWxsLT,spotify:track:6ZeeoqlrNnbhsmUbAWxsLT,https://api.spotify.com/v1/tracks/6ZeeoqlrNnbhsmUbAWxsLT,https://api.spotify.com/v1/audio-analysis/6ZeeoqlrNnbhsmUbAWxsLT,208453.0,4.0
4,4,Iowa,Iowa,Willie Nelson,Sioux City Sue,spotify:track:7IjsaSqrQrDrc9OjfaJXxp,14,1979-06-01,,0.545,0.256,2.0,-17.093,1.0,0.0589,0.379,0.000177,0.123,0.91,163.973,audio_features,7IjsaSqrQrDrc9OjfaJXxp,spotify:track:7IjsaSqrQrDrc9OjfaJXxp,https://api.spotify.com/v1/tracks/7IjsaSqrQrDrc9OjfaJXxp,https://api.spotify.com/v1/audio-analysis/7IjsaSqrQrDrc9OjfaJXxp,195227.0,4.0
5,5,Iowa,Iowa,John Linnell,Iowa,spotify:track:3fFa63d0W08z6d0htHXsnK,7,1999-10-26,,0.786,0.463,4.0,-7.783,0.0,0.0412,0.294,0.0231,0.0968,0.597,113.242,audio_features,3fFa63d0W08z6d0htHXsnK,spotify:track:3fFa63d0W08z6d0htHXsnK,https://api.spotify.com/v1/tracks/3fFa63d0W08z6d0htHXsnK,https://api.spotify.com/v1/audio-analysis/3fFa63d0W08z6d0htHXsnK,174200.0,4.0
6,6,Iowa,Iowa,Ani DiFranco,4th of July,spotify:track:09tG1kqt9Q1BhAndNIMoX9,13,1993-02-14,,0.52,0.432,11.0,-13.018,0.0,0.0983,0.334,4.13e-05,0.0588,0.738,135.513,audio_features,09tG1kqt9Q1BhAndNIMoX9,spotify:track:09tG1kqt9Q1BhAndNIMoX9,https://api.spotify.com/v1/tracks/09tG1kqt9Q1BhAndNIMoX9,https://api.spotify.com/v1/audio-analysis/09tG1kqt9Q1BhAndNIMoX9,183000.0,4.0
7,7,Iowa,Iowa,The Mountain Goats,Birth of Serpents,spotify:track:1DAEwwPwLwTX3toXj0pjgt,25,2011-03-29,,0.809,0.475,5.0,-9.865,1.0,0.0439,0.645,0.0374,0.105,0.899,130.274,audio_features,1DAEwwPwLwTX3toXj0pjgt,spotify:track:1DAEwwPwLwTX3toXj0pjgt,https://api.spotify.com/v1/tracks/1DAEwwPwLwTX3toXj0pjgt,https://api.spotify.com/v1/audio-analysis/1DAEwwPwLwTX3toXj0pjgt,187987.0,4.0
8,8,Iowa,Iowa,Kevin Costner & Modern West,Leland Iowa,spotify:track:5smPXw9nJJT11HZqNA5nje,13,2010-12-15,,0.65,0.682,7.0,-4.826,1.0,0.0261,0.00126,0.00104,0.103,0.54,120.9,audio_features,5smPXw9nJJT11HZqNA5nje,spotify:track:5smPXw9nJJT11HZqNA5nje,https://api.spotify.com/v1/tracks/5smPXw9nJJT11HZqNA5nje,https://api.spotify.com/v1/audio-analysis/5smPXw9nJJT11HZqNA5nje,239293.0,4.0
9,9,Iowa,Iowa,Animaniacs,Wakko's America,error,error,error,,,,,,,,,,,,,,,,,,,
10,10,Iowa,Iowa,John Grant,Diet Gum,spotify:track:6MgCyZjiemMy7Gi2Ie4KMf,8,2018-10-12,,0.929,0.589,1.0,-5.345,1.0,0.0569,0.0137,0.0078,0.57,0.924,110.014,audio_features,6MgCyZjiemMy7Gi2Ie4KMf,spotify:track:6MgCyZjiemMy7Gi2Ie4KMf,https://api.spotify.com/v1/tracks/6MgCyZjiemMy7Gi2Ie4KMf,https://api.spotify.com/v1/audio-analysis/6MgCyZjiemMy7Gi2Ie4KMf,445120.0,4.0
11,11,Iowa,Iowa,Frank Sinatra,Sunflower,spotify:track:1kGqUBwo9W9RKpTh163oWu,27,1977-04-01,,0.587,0.0933,0.0,-18.953,1.0,0.138,0.913,0.0,0.114,0.582,181.511,audio_features,1kGqUBwo9W9RKpTh163oWu,spotify:track:1kGqUBwo9W9RKpTh163oWu,https://api.spotify.com/v1/tracks/1kGqUBwo9W9RKpTh163oWu,https://api.spotify.com/v1/audio-analysis/1kGqUBwo9W9RKpTh163oWu,173333.0,4.0
12,12,Iowa,Iowa,Mel Tormé,Lonely Town,spotify:track:4WUL8huFpX1CKa5dUUAPfM,9,1960-01-01,,0.308,0.0377,6.0,-22.008,1.0,0.0377,0.923,2.37e-05,0.123,0.0971,113.621,audio_features,4WUL8huFpX1CKa5dUUAPfM,spotify:track:4WUL8huFpX1CKa5dUUAPfM,https://api.spotify.com/v1/tracks/4WUL8huFpX1CKa5dUUAPfM,https://api.spotify.com/v1/audio-analysis/4WUL8huFpX1CKa5dUUAPfM,223333.0,3.0
13,13,Iowa,Iowa,Frank Sinatra,Lonely Town,spotify:track:3xcyWI1D46s6oAI9I3RApl,22,1957-09,,0.147,0.082,2.0,-15.383,1.0,0.0338,0.872,0.00101,0.0917,0.0682,169.563,audio_features,3xcyWI1D46s6oAI9I3RApl,spotify:track:3xcyWI1D46s6oAI9I3RApl,https://api.spotify.com/v1/tracks/3xcyWI1D46s6oAI9I3RApl,https://api.spotify.com/v1/audio-analysis/3xcyWI1D46s6oAI9I3RApl,252667.0,5.0
14,14,Iowa,Iowa,Robert Johnson,Sweet Home Chicago,spotify:track:2wPHe2ecCdkT0ly0km12g4,38,1936,,0.691,0.0958,1.0,-13.9,0.0,0.143,0.98,1.61e-05,0.0931,0.519,101.574,audio_features,2wPHe2ecCdkT0ly0km12g4,spotify:track:2wPHe2ecCdkT0ly0km12g4,https://api.spotify.com/v1/tracks/2wPHe2ecCdkT0ly0km12g4,https://api.spotify.com/v1/audio-analysis/2wPHe2ecCdkT0ly0km12g4,176627.0,4.0
15,15,Iowa,Iowa,Robert Johnson,Sweet Home Chicago,spotify:track:2wPHe2ecCdkT0ly0km12g4,38,1936,,0.691,0.0958,1.0,-13.9,0.0,0.143,0.98,1.61e-05,0.0931,0.519,101.574,audio_features,2wPHe2ecCdkT0ly0km12g4,spotify:track:2wPHe2ecCdkT0ly0km12g4,https://api.spotify.com/v1/tracks/2wPHe2ecCdkT0ly0km12g4,https://api.spotify.com/v1/audio-analysis/2wPHe2ecCdkT0ly0km12g4,176627.0,4.0
16,16,Iowa,Iowa,The Yardbirds,Psycho Daisies,spotify:track:1riHXT8OEfPA682l86z7LU,25,1966-07-15,,0.253,0.888,7.0,-9.301,1.0,0.124,0.33,0.000128,0.411,0.638,167.123,audio_features,1riHXT8OEfPA682l86z7LU,spotify:track:1riHXT8OEfPA682l86z7LU,https://api.spotify.com/v1/tracks/1riHXT8OEfPA682l86z7LU,https://api.spotify.com/v1/audio-analysis/1riHXT8OEfPA682l86z7LU,110000.0,4.0
17,17,Iowa,Iowa,Led Zeppelin,Sweet Home Chicago,error,error,error,,,,,,,,,,,,,,,,,,,
18,18,Iowa,Iowa,Robert Johnson,Sweet Home Chicago,spotify:track:2wPHe2ecCdkT0ly0km12g4,38,1936,,0.691,0.0958,1.0,-13.9,0.0,0.143,0.98,1.61e-05,0.0931,0.519,101.574,audio_features,2wPHe2ecCdkT0ly0km12g4,spotify:track:2wPHe2ecCdkT0ly0km12g4,https://api.spotify.com/v1/tracks/2wPHe2ecCdkT0ly0km12g4,https://api.spotify.com/v1/audio-analysis/2wPHe2ecCdkT0ly0km12g4,176627.0,4.0
19,19,Iowa,Iowa,Merle Travis,Sioux City Sue,spotify:track:61MlzsXyhFch1pfTfokf35,5,1993-01-01,,0.705,0.306,2.0,-9.686,1.0,0.104,0.789,4.81e-06,0.0399,0.964,193.152,audio_features,61MlzsXyhFch1pfTfokf35,spotify:track:61MlzsXyhFch1pfTfokf35,https://api.spotify.com/v1/tracks/61MlzsXyhFch1pfTfokf35,https://api.spotify.com/v1/audio-analysis/61MlzsXyhFch1pfTfokf35,152733.0,4.0
20,20,Iowa,Iowa,Johnny Horton,The First Train Headin' South,spotify:track:7hBYr5fPe1B4gLnfViEUtl,25,1958,,0.703,0.768,5.0,-9.665,1.0,0.0356,0.594,2.24e-06,0.234,0.97,127.292,audio_features,7hBYr5fPe1B4gLnfViEUtl,spotify:track:7hBYr5fPe1B4gLnfViEUtl,https://api.spotify.com/v1/tracks/7hBYr5fPe1B4gLnfViEUtl,https://api.spotify.com/v1/audio-analysis/7hBYr5fPe1B4gLnfViEUtl,138133.0,4.0
21,21,Iowa,Iowa,Johnny Cash,She Came from the Mountains,spotify:track:4SXTZ5LEoMPRyxisDN10A6,15,1966-06-15,,0.649,0.466,2.0,-13.774,1.0,0.0439,0.581,0.0334,0.114,0.563,139.873,audio_features,4SXTZ5LEoMPRyxisDN10A6,spotify:track:4SXTZ5LEoMPRyxisDN10A6,https://api.spotify.com/v1/tracks/4SXTZ5LEoMPRyxisDN10A6,https://api.spotify.com/v1/audio-analysis/4SXTZ5LEoMPRyxisDN10A6,299133.0,4.0
22,22,Iowa,Iowa,The Yardbirds,Psycho Daisies,spotify:track:1riHXT8OEfPA682l86z7LU,25,1966-07-15,,0.253,0.888,7.0,-9.301,1.0,0.124,0.33,0.000128,0.411,0.638,167.123,audio_features,1riHXT8OEfPA682l86z7LU,spotify:track:1riHXT8OEfPA682l86z7LU,https://api.spotify.com/v1/tracks/1riHXT8OEfPA682l86z7LU,https://api.spotify.com/v1/audio-analysis/1riHXT8OEfPA682l86z7LU,110000.0,4.0
23,23,Iowa,Iowa,Johnny Cash,Lumberjack,spotify:track:69WjO90WyjR8HmoitIbkDz,29,1960-09-01,,0.551,0.592,10.0,-10.861,1.0,0.575,0.856,0.0,0.173,0.372,98.945,audio_features,69WjO90WyjR8HmoitIbkDz,spotify:track:69WjO90WyjR8HmoitIbkDz,https://api.spotify.com/v1/tracks/69WjO90WyjR8HmoitIbkDz,https://api.spotify.com/v1/audio-analysis/69WjO90WyjR8HmoitIbkDz,182667.0,3.0
