,Unnamed: 0,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0,Maine,Maine,"Asha Bhosle, Anand Bakshi",Maine Kitne Dil Liye,spotify:track:0tQmNwP8kR27k6aLOHQE7f,0,1988-01-01,0.456,0.529,0.0,-9.494,0.0,0.0933,0.965,0.00153,0.303,0.648,81.312,audio_features,0tQmNwP8kR27k6aLOHQE7f,spotify:track:0tQmNwP8kR27k6aLOHQE7f,https://api.spotify.com/v1/tracks/0tQmNwP8kR27k6aLOHQE7f,https://api.spotify.com/v1/audio-analysis/0tQmNwP8kR27k6aLOHQE7f,380627.0,4.0,
1,1,Maine,Maine,"Anjaan, Alisha Chinai, Vijay Benedict",Maine Maine Tujhe Tujhe,spotify:track:23IwYbQN37fHS3FshEj4Wn,7,1988-04-06,0.672,0.692,1.0,-9.997,1.0,0.059,0.464,8.75e-05,0.136,0.768,117.625,audio_features,23IwYbQN37fHS3FshEj4Wn,spotify:track:23IwYbQN37fHS3FshEj4Wn,https://api.spotify.com/v1/tracks/23IwYbQN37fHS3FshEj4Wn,https://api.spotify.com/v1/audio-analysis/23IwYbQN37fHS3FshEj4Wn,454573.0,4.0,
2,2,Maine,Maine,"Asha Bhosle, Anjaan",Ghungroo Bandh Liye,spotify:track:36FfSNzq8k02x6BCGriVlB,2,1989-05-27,0.484,0.729,9.0,-9.547,1.0,0.158,0.707,2.93e-06,0.814,0.804,109.701,audio_features,36FfSNzq8k02x6BCGriVlB,spotify:track:36FfSNzq8k02x6BCGriVlB,https://api.spotify.com/v1/tracks/36FfSNzq8k02x6BCGriVlB,https://api.spotify.com/v1/audio-analysis/36FfSNzq8k02x6BCGriVlB,471360.0,4.0,
3,3,Maine,Maine,"Kishore Kumar, Asha Bhosle, Anand Bakshi",Wo To Maine Jhooth Bola Tha,spotify:track:6qTp9uJJ3fH6c5EQ3ThMbV,0,1985-11-18,0.445,0.669,7.0,-8.449,0.0,0.0627,0.816,7.7e-05,0.129,0.806,115.666,audio_features,6qTp9uJJ3fH6c5EQ3ThMbV,spotify:track:6qTp9uJJ3fH6c5EQ3ThMbV,https://api.spotify.com/v1/tracks/6qTp9uJJ3fH6c5EQ3ThMbV,https://api.spotify.com/v1/audio-analysis/6qTp9uJJ3fH6c5EQ3ThMbV,387680.0,4.0,
4,4,Maine,Maine,"Lata Mangeshkar, Suresh Wadkar, Anand Bakshi",Na Tum Ne Kiya,spotify:track:0V6SF51T3cKNaraYw985cq,0,1986-03-10,0.584,0.726,5.0,-10.046,1.0,0.179,0.74,4.05e-05,0.0757,0.95,89.726,audio_features,0V6SF51T3cKNaraYw985cq,spotify:track:0V6SF51T3cKNaraYw985cq,https://api.spotify.com/v1/tracks/0V6SF51T3cKNaraYw985cq,https://api.spotify.com/v1/audio-analysis/0V6SF51T3cKNaraYw985cq,376520.0,4.0,
5,5,Maine,Maine,"Sonu Nigam, Alka Yagnik",Jaana Nahin Tha,spotify:track:5gqcfUV7zbNPcwU9wi2sti,13,2004-12-18,0.653,0.612,0.0,-8.164,1.0,0.0433,0.419,0.0,0.0987,0.762,80.968,audio_features,5gqcfUV7zbNPcwU9wi2sti,spotify:track:5gqcfUV7zbNPcwU9wi2sti,https://api.spotify.com/v1/tracks/5gqcfUV7zbNPcwU9wi2sti,https://api.spotify.com/v1/audio-analysis/5gqcfUV7zbNPcwU9wi2sti,345480.0,4.0,
6,6,Maine,Maine,Himesh Reshammiya,Jaana Nahin Tha,spotify:track:1uH18WN0qkq6tKlQtZzDkD,2,2004-12-18,0.516,0.694,0.0,-8.129,1.0,0.0284,0.218,0.548,0.179,0.7,162.068,audio_features,1uH18WN0qkq6tKlQtZzDkD,spotify:track:1uH18WN0qkq6tKlQtZzDkD,https://api.spotify.com/v1/tracks/1uH18WN0qkq6tKlQtZzDkD,https://api.spotify.com/v1/audio-analysis/1uH18WN0qkq6tKlQtZzDkD,345267.0,4.0,
7,7,Maine,Maine,"Shreya Ghoshal, Udit Narayan, Sameer",Maine Chun Liya,spotify:track:66IupEvHAS5KhRtXAe59Iv,23,2004-11-17,0.468,0.902,10.0,-3.883,1.0,0.197,0.468,0.0,0.042,0.689,87.7,audio_features,66IupEvHAS5KhRtXAe59Iv,spotify:track:66IupEvHAS5KhRtXAe59Iv,https://api.spotify.com/v1/tracks/66IupEvHAS5KhRtXAe59Iv,https://api.spotify.com/v1/audio-analysis/66IupEvHAS5KhRtXAe59Iv,324147.0,4.0,
8,8,Maine,Maine,Priyanka Chopra,Exotic,spotify:track:4Wu7e6GnhlIpysk2bgRMzn,43,2013-01-01,0.72,0.933,5.0,-5.092,1.0,0.0918,0.0474,0.0,0.164,0.838,127.994,audio_features,4Wu7e6GnhlIpysk2bgRMzn,spotify:track:4Wu7e6GnhlIpysk2bgRMzn,https://api.spotify.com/v1/tracks/4Wu7e6GnhlIpysk2bgRMzn,https://api.spotify.com/v1/audio-analysis/4Wu7e6GnhlIpysk2bgRMzn,246067.0,4.0,
9,9,Maine,Maine,"Abhijeet, Shreya Ghoshal",Tumhe Jo Maine Dekha,spotify:track:0pPGUL7171TRGgI6wyP8wP,47,2004-02-27,0.734,0.903,0.0,-3.972,0.0,0.0649,0.432,0.00569,0.2,0.712,102.009,audio_features,0pPGUL7171TRGgI6wyP8wP,spotify:track:0pPGUL7171TRGgI6wyP8wP,https://api.spotify.com/v1/tracks/0pPGUL7171TRGgI6wyP8wP,https://api.spotify.com/v1/audio-analysis/0pPGUL7171TRGgI6wyP8wP,341147.0,4.0,
10,10,Maine,Maine,"Nasir Nizami, Raja Mushtaq",Aankh Lagaee,spotify:track:0rk3JqQvo3su6eGYXg4KPJ,0,2010-03-24,0.725,0.944,6.0,-3.83,0.0,0.0465,0.0563,0.0598,0.0815,0.736,138.001,audio_features,0rk3JqQvo3su6eGYXg4KPJ,spotify:track:0rk3JqQvo3su6eGYXg4KPJ,https://api.spotify.com/v1/tracks/0rk3JqQvo3su6eGYXg4KPJ,https://api.spotify.com/v1/audio-analysis/0rk3JqQvo3su6eGYXg4KPJ,265451.0,4.0,
11,11,Maine,Maine,"Asha Bhosle, Majrooh Sultanpuri, Shabbir Kumar",Ghunghat Mera Jane Kya Hua,spotify:track:45Mxo6mJZsOGWL3qmamoyh,0,1991-04-25,0.365,0.573,11.0,-11.731,0.0,0.0845,0.691,5.37e-05,0.426,0.602,112.686,audio_features,45Mxo6mJZsOGWL3qmamoyh,spotify:track:45Mxo6mJZsOGWL3qmamoyh,https://api.spotify.com/v1/tracks/45Mxo6mJZsOGWL3qmamoyh,https://api.spotify.com/v1/audio-analysis/45Mxo6mJZsOGWL3qmamoyh,512067.0,4.0,
12,12,Maine,Maine,"Suresh Wadkar, Asha Bhosle, Anand Bakshi",Maine Kaha Tumne Suna,spotify:track:3WHLTlMfi4RZLBzz7TRZYl,1,1986-09-28,0.521,0.355,7.0,-12.16,1.0,0.0321,0.797,0.0,0.499,0.613,92.181,audio_features,3WHLTlMfi4RZLBzz7TRZYl,spotify:track:3WHLTlMfi4RZLBzz7TRZYl,https://api.spotify.com/v1/tracks/3WHLTlMfi4RZLBzz7TRZYl,https://api.spotify.com/v1/audio-analysis/3WHLTlMfi4RZLBzz7TRZYl,396493.0,4.0,
13,13,Maine,Maine,"Anuradha Paudwal, Anand Bakshi",Tu Kya Pyar Karega,spotify:track:12lb24NUdgtqy01aOdXNbH,5,1991-05-25,0.37,0.571,7.0,-9.915,1.0,0.0446,0.91,0.000736,0.392,0.845,185.674,audio_features,12lb24NUdgtqy01aOdXNbH,spotify:track:12lb24NUdgtqy01aOdXNbH,https://api.spotify.com/v1/tracks/12lb24NUdgtqy01aOdXNbH,https://api.spotify.com/v1/audio-analysis/12lb24NUdgtqy01aOdXNbH,327867.0,4.0,
14,14,Maine,Maine,"Sonu Nigam, Anuradha Paudwal, Sameer",Woh Ho Tum,spotify:track:698U7p4fKXEU5YgetZFcfu,18,2003-12-20,0.419,0.688,9.0,-8.633,1.0,0.0487,0.606,0.0,0.371,0.93,78.54,audio_features,698U7p4fKXEU5YgetZFcfu,spotify:track:698U7p4fKXEU5YgetZFcfu,https://api.spotify.com/v1/tracks/698U7p4fKXEU5YgetZFcfu,https://api.spotify.com/v1/audio-analysis/698U7p4fKXEU5YgetZFcfu,405325.0,4.0,
15,15,Maine,Maine,"Anuradha Paudwal, Udit Narayan, Anand Bakshi, Mohammed Aziz",Na Na Karte,spotify:track:2E7D3VtgdcEcLA5AOqE0Fa,20,1990-01-05,0.407,0.676,9.0,-9.642,1.0,0.0569,0.836,0.00133,0.617,0.635,77.457,audio_features,2E7D3VtgdcEcLA5AOqE0Fa,spotify:track:2E7D3VtgdcEcLA5AOqE0Fa,https://api.spotify.com/v1/tracks/2E7D3VtgdcEcLA5AOqE0Fa,https://api.spotify.com/v1/audio-analysis/2E7D3VtgdcEcLA5AOqE0Fa,421280.0,4.0,
16,16,Maine,Maine,"Vishal Dadlani, Rochak Kohli, Shivi",Lalla Lalla Lori,spotify:track:22WubMzx5mkCAHZHvInkpH,40,2015-04-29,0.638,0.895,8.0,-3.255,0.0,0.0453,0.0947,0.0,0.104,0.729,124.95,audio_features,22WubMzx5mkCAHZHvInkpH,spotify:track:22WubMzx5mkCAHZHvInkpH,https://api.spotify.com/v1/tracks/22WubMzx5mkCAHZHvInkpH,https://api.spotify.com/v1/audio-analysis/22WubMzx5mkCAHZHvInkpH,257050.0,4.0,
17,17,Maine,Maine,Raghav,Teri Baaton (Your Words),spotify:track:2ScBZ1yQDCIWSIND3ebWgZ,27,2004-01-01,0.79,0.589,11.0,-6.101,0.0,0.0806,0.0737,0.00332,0.0555,0.919,95.049,audio_features,2ScBZ1yQDCIWSIND3ebWgZ,spotify:track:2ScBZ1yQDCIWSIND3ebWgZ,https://api.spotify.com/v1/tracks/2ScBZ1yQDCIWSIND3ebWgZ,https://api.spotify.com/v1/audio-analysis/2ScBZ1yQDCIWSIND3ebWgZ,246067.0,4.0,
18,18,Maine,Maine,"Lata Mangeshkar, Anand Bakshi",Mehboob Mere,spotify:track:1PtBRluZrfpwkzy9OY4p2G,16,1967-12-01,0.458,0.641,8.0,-6.623,1.0,0.0781,0.876,0.000173,0.326,0.644,87.126,audio_features,1PtBRluZrfpwkzy9OY4p2G,spotify:track:1PtBRluZrfpwkzy9OY4p2G,https://api.spotify.com/v1/tracks/1PtBRluZrfpwkzy9OY4p2G,https://api.spotify.com/v1/audio-analysis/1PtBRluZrfpwkzy9OY4p2G,288102.0,4.0,
19,19,Maine,Maine,Mohammed Rafi,Maine Poochha Chand Se,spotify:track:19wVOrOvfXd2p0OgFfsVzW,16,2020-07-29,0.468,0.426,1.0,-8.336,1.0,0.0325,0.608,0.0,0.0733,0.319,129.857,audio_features,19wVOrOvfXd2p0OgFfsVzW,spotify:track:19wVOrOvfXd2p0OgFfsVzW,https://api.spotify.com/v1/tracks/19wVOrOvfXd2p0OgFfsVzW,https://api.spotify.com/v1/audio-analysis/19wVOrOvfXd2p0OgFfsVzW,308667.0,3.0,
20,20,Maine,Maine,Tim McGraw,"Portland, Maine",spotify:track:6CZ4Wrj6TquFPjabvRwlew,32,2014-01-01,0.511,0.531,4.0,-9.962,1.0,0.0272,0.0977,0.0187,0.0756,0.37,160.041,audio_features,6CZ4Wrj6TquFPjabvRwlew,spotify:track:6CZ4Wrj6TquFPjabvRwlew,https://api.spotify.com/v1/tracks/6CZ4Wrj6TquFPjabvRwlew,https://api.spotify.com/v1/audio-analysis/6CZ4Wrj6TquFPjabvRwlew,221587.0,4.0,
21,21,Maine,Maine,"Shreya Ghoshal, Abhijeet, Javed Akhtar",Tumhe Jo Maine Dekha,spotify:track:0pPGUL7171TRGgI6wyP8wP,47,2004-02-27,0.734,0.903,0.0,-3.972,0.0,0.0649,0.432,0.00569,0.2,0.712,102.009,audio_features,0pPGUL7171TRGgI6wyP8wP,spotify:track:0pPGUL7171TRGgI6wyP8wP,https://api.spotify.com/v1/tracks/0pPGUL7171TRGgI6wyP8wP,https://api.spotify.com/v1/audio-analysis/0pPGUL7171TRGgI6wyP8wP,341147.0,4.0,
22,22,Maine,Maine,Rudy Vallée,The Stein Song,spotify:track:2pmzwjhnaFLjG2SLSTWDyK,7,2009-01-01,0.767,0.297,8.0,-13.478,1.0,0.0641,0.965,0.0217,0.123,0.83,129.685,audio_features,2pmzwjhnaFLjG2SLSTWDyK,spotify:track:2pmzwjhnaFLjG2SLSTWDyK,https://api.spotify.com/v1/tracks/2pmzwjhnaFLjG2SLSTWDyK,https://api.spotify.com/v1/audio-analysis/2pmzwjhnaFLjG2SLSTWDyK,199373.0,4.0,
23,23,Maine,Maine,Rudy Vallée,Stein Song (University of Maine),spotify:track:2pmzwjhnaFLjG2SLSTWDyK,7,2009-01-01,0.767,0.297,8.0,-13.478,1.0,0.0641,0.965,0.0217,0.123,0.83,129.685,audio_features,2pmzwjhnaFLjG2SLSTWDyK,spotify:track:2pmzwjhnaFLjG2SLSTWDyK,https://api.spotify.com/v1/tracks/2pmzwjhnaFLjG2SLSTWDyK,https://api.spotify.com/v1/audio-analysis/2pmzwjhnaFLjG2SLSTWDyK,199373.0,4.0,
24,24,Maine,Maine,"Lata Mangeshkar, Anand Bakshi, Mohammed Aziz",Bali Umar Ne Mera Haal,spotify:track:7uHQJzWrv45Vhxb8ouTrLW,19,1987-10-17,0.363,0.419,11.0,-14.016,0.0,0.0359,0.788,9.36e-05,0.502,0.793,143.18,audio_features,7uHQJzWrv45Vhxb8ouTrLW,spotify:track:7uHQJzWrv45Vhxb8ouTrLW,https://api.spotify.com/v1/tracks/7uHQJzWrv45Vhxb8ouTrLW,https://api.spotify.com/v1/audio-analysis/7uHQJzWrv45Vhxb8ouTrLW,432600.0,4.0,
25,25,Maine,Maine,"K.K., Suzanne, Shakeel Azmi",Tum Ho Mera Pyar,spotify:track:2EN5aTDtX8852Ih3ss8Rih,36,2011-04-13,0.56,0.702,1.0,-9.343,0.0,0.0366,0.173,0.0,0.125,0.562,149.934,audio_features,2EN5aTDtX8852Ih3ss8Rih,spotify:track:2EN5aTDtX8852Ih3ss8Rih,https://api.spotify.com/v1/tracks/2EN5aTDtX8852Ih3ss8Rih,https://api.spotify.com/v1/audio-analysis/2EN5aTDtX8852Ih3ss8Rih,305500.0,4.0,
26,26,Maine,Maine,"Ali Khan, Rahat Fateh",Tum Jo Aaye Zindagi Mein,error,error,error,,,,,,,,,,,,,,,,,,,
27,27,Maine,Maine,Pitbull,Exotic [Aylen Remix],spotify:track:1nieMgm7NVfeB7z76geTR0,3,2013-01-01,0.725,0.961,0.0,-2.538,1.0,0.0794,0.0205,0.000574,0.344,0.426,140.0,audio_features,1nieMgm7NVfeB7z76geTR0,spotify:track:1nieMgm7NVfeB7z76geTR0,https://api.spotify.com/v1/tracks/1nieMgm7NVfeB7z76geTR0,https://api.spotify.com/v1/audio-analysis/1nieMgm7NVfeB7z76geTR0,175400.0,4.0,
28,28,Maine,Maine,Pitbull,Exotic [Popeska Remix],spotify:track:5PBeQqCWmgQm4yNTR8Zswp,15,2013-01-01,0.642,0.824,0.0,-4.608,1.0,0.0501,0.00757,0.0,0.157,0.331,127.996,audio_features,5PBeQqCWmgQm4yNTR8Zswp,spotify:track:5PBeQqCWmgQm4yNTR8Zswp,https://api.spotify.com/v1/tracks/5PBeQqCWmgQm4yNTR8Zswp,https://api.spotify.com/v1/audio-analysis/5PBeQqCWmgQm4yNTR8Zswp,276547.0,4.0,
29,29,Maine,Maine,Jet Life ,No Sleep,spotify:track:7dQTSraXR0vxBUo4fzKVWJ,16,2012-11-20,0.587,0.78,2.0,-6.021,1.0,0.0897,0.114,0.0,0.206,0.339,142.988,audio_features,7dQTSraXR0vxBUo4fzKVWJ,spotify:track:7dQTSraXR0vxBUo4fzKVWJ,https://api.spotify.com/v1/tracks/7dQTSraXR0vxBUo4fzKVWJ,https://api.spotify.com/v1/audio-analysis/7dQTSraXR0vxBUo4fzKVWJ,322067.0,4.0,
30,30,Maine,Maine,John Linnell,Maine,spotify:track:1ZeAYNGL1ghWWPNxt8rc6g,10,1999-10-26,0.657,0.757,2.0,-4.888,1.0,0.0301,0.254,0.0,0.165,0.546,133.566,audio_features,1ZeAYNGL1ghWWPNxt8rc6g,spotify:track:1ZeAYNGL1ghWWPNxt8rc6g,https://api.spotify.com/v1/tracks/1ZeAYNGL1ghWWPNxt8rc6g,https://api.spotify.com/v1/audio-analysis/1ZeAYNGL1ghWWPNxt8rc6g,127160.0,4.0,
31,31,Maine,Maine,"Ronkini Gupta, Santanu Ghatak",Rafu,spotify:track:4VWgxa91nrs6bQzsT1Da3V,26,2017-11-04,0.538,0.251,11.0,-10.228,1.0,0.0437,0.875,1.49e-06,0.14,0.196,77.881,audio_features,4VWgxa91nrs6bQzsT1Da3V,spotify:track:4VWgxa91nrs6bQzsT1Da3V,https://api.spotify.com/v1/tracks/4VWgxa91nrs6bQzsT1Da3V,https://api.spotify.com/v1/audio-analysis/4VWgxa91nrs6bQzsT1Da3V,256845.0,4.0,
32,32,Maine,Maine,"Asha Bhosle, Prem Dhawan, S.P. Balasubrahmanyam",Woh To Bana Apna,spotify:track:0L9ryEzluulVe2TLCeYCWo,5,1990-06-02,0.689,0.454,2.0,-12.459,1.0,0.0599,0.55,0.0,0.0672,0.859,96.648,audio_features,0L9ryEzluulVe2TLCeYCWo,spotify:track:0L9ryEzluulVe2TLCeYCWo,https://api.spotify.com/v1/tracks/0L9ryEzluulVe2TLCeYCWo,https://api.spotify.com/v1/audio-analysis/0L9ryEzluulVe2TLCeYCWo,275707.0,4.0,
33,33,Maine,Maine,"Shankar Mahadevan, Sukhwinder Singh, Sameer",Mahiya,spotify:track:0TQUuzcx3cioxVd1cDIaM3,2,1999-01-29,0.682,0.734,5.0,-6.239,0.0,0.0658,0.242,4.48e-06,0.0906,0.463,110.037,audio_features,0TQUuzcx3cioxVd1cDIaM3,spotify:track:0TQUuzcx3cioxVd1cDIaM3,https://api.spotify.com/v1/tracks/0TQUuzcx3cioxVd1cDIaM3,https://api.spotify.com/v1/audio-analysis/0TQUuzcx3cioxVd1cDIaM3,371747.0,4.0,
34,34,Maine,Maine,"Anuradha Paudwal, Anand Bakshi, Mohammed Aziz",Tune Bechain Itna Ziada Kiya,spotify:track:2SJPF5dyQdwMvx8CZ9xBfv,24,1986-07-20,0.42,0.607,6.0,-9.797,1.0,0.0409,0.763,0.0,0.309,0.844,82.879,audio_features,2SJPF5dyQdwMvx8CZ9xBfv,spotify:track:2SJPF5dyQdwMvx8CZ9xBfv,https://api.spotify.com/v1/tracks/2SJPF5dyQdwMvx8CZ9xBfv,https://api.spotify.com/v1/audio-analysis/2SJPF5dyQdwMvx8CZ9xBfv,336187.0,4.0,
35,35,Maine,Maine,"Javed Akhtar, Siddharth Mahadevan, Sukriti Kakar",Pehli Baar,spotify:track:3ozp4HXZNiySbmSswxy0Pd,0,2018-04-02,0.795,0.599,7.0,-13.487,1.0,0.147,0.636,1.08e-05,0.489,0.731,117.987,audio_features,3ozp4HXZNiySbmSswxy0Pd,spotify:track:3ozp4HXZNiySbmSswxy0Pd,https://api.spotify.com/v1/tracks/3ozp4HXZNiySbmSswxy0Pd,https://api.spotify.com/v1/audio-analysis/3ozp4HXZNiySbmSswxy0Pd,369580.0,4.0,
36,36,Maine,Maine,"Rahat Fateh Ali Khan, Tulsi Kumar, Irshad Kamil",Tum Jo Aaye,spotify:track:2iZeKe5avjtKVmjfSFkpxd,50,2010-06-29,0.574,0.841,4.0,-4.449,1.0,0.0951,0.399,1.04e-06,0.205,0.926,83.706,audio_features,2iZeKe5avjtKVmjfSFkpxd,spotify:track:2iZeKe5avjtKVmjfSFkpxd,https://api.spotify.com/v1/tracks/2iZeKe5avjtKVmjfSFkpxd,https://api.spotify.com/v1/audio-analysis/2iZeKe5avjtKVmjfSFkpxd,286444.0,4.0,
37,37,Maine,Maine,"Kumar Sanu, Anuradha Paudwal, Sameer",Maine Poochha Kudrat Se,spotify:track:2T2uam7GQ0v3A7F6lX43zz,4,2004-08-23,0.419,0.477,7.0,-12.061,0.0,0.0787,0.664,0.000273,0.117,0.44,76.536,audio_features,2T2uam7GQ0v3A7F6lX43zz,spotify:track:2T2uam7GQ0v3A7F6lX43zz,https://api.spotify.com/v1/tracks/2T2uam7GQ0v3A7F6lX43zz,https://api.spotify.com/v1/audio-analysis/2T2uam7GQ0v3A7F6lX43zz,359230.0,4.0,
38,38,Maine,Maine,"Suresh Wadkar, Anuradha Paudwal, Indeevar",Tune Preet Jo Mujhse Jodi,spotify:track:1i9Hl387FHCgXVX1GmqowV,8,1990-12-15,0.508,0.518,6.0,-12.664,0.0,0.0397,0.862,0.000145,0.131,0.813,88.796,audio_features,1i9Hl387FHCgXVX1GmqowV,spotify:track:1i9Hl387FHCgXVX1GmqowV,https://api.spotify.com/v1/tracks/1i9Hl387FHCgXVX1GmqowV,https://api.spotify.com/v1/audio-analysis/1i9Hl387FHCgXVX1GmqowV,407307.0,4.0,
39,39,Maine,Maine,Alka Yagnik,Chori Chori,spotify:track:0FUrESjGMbsmQuk5mBIN0c,21,2003-01-01,0.585,0.802,9.0,-4.364,0.0,0.053,0.364,2.59e-05,0.0548,0.496,95.0,audio_features,0FUrESjGMbsmQuk5mBIN0c,spotify:track:0FUrESjGMbsmQuk5mBIN0c,https://api.spotify.com/v1/tracks/0FUrESjGMbsmQuk5mBIN0c,https://api.spotify.com/v1/audio-analysis/0FUrESjGMbsmQuk5mBIN0c,449733.0,4.0,
40,40,Maine,Maine,"Anuradha Paudwal, Pankaj Udhas, Qateel Shifai",Tujhko Saanson Mein Basane Ki Kasam Khai Hai,spotify:track:06kCO1jJHu5fF8roywVfx6,0,1993-01-29,0.507,0.808,7.0,-7.67,0.0,0.0374,0.309,1.2e-06,0.39,0.646,102.43,audio_features,06kCO1jJHu5fF8roywVfx6,spotify:track:06kCO1jJHu5fF8roywVfx6,https://api.spotify.com/v1/tracks/06kCO1jJHu5fF8roywVfx6,https://api.spotify.com/v1/audio-analysis/06kCO1jJHu5fF8roywVfx6,338587.0,4.0,
41,41,Maine,Maine,"Kavita Krishnamurthy, Nawab Arzoo, Mohammed Aziz",Maine Tujhe Chaaha,spotify:track:48JycaQfALFf0RTphpPYqp,0,2010-05-04,0.434,0.677,4.0,-13.719,1.0,0.0719,0.641,2.72e-05,0.322,0.618,87.69,audio_features,48JycaQfALFf0RTphpPYqp,spotify:track:48JycaQfALFf0RTphpPYqp,https://api.spotify.com/v1/tracks/48JycaQfALFf0RTphpPYqp,https://api.spotify.com/v1/audio-analysis/48JycaQfALFf0RTphpPYqp,312880.0,4.0,
42,42,Maine,Maine,"Anuradha Paudwal, Pankaj Udhas, Qateel Shifai",Tujhko Saanson Mein Basane Ki Kasam Khai Hai,spotify:track:06kCO1jJHu5fF8roywVfx6,0,1993-01-29,0.507,0.808,7.0,-7.67,0.0,0.0374,0.309,1.2e-06,0.39,0.646,102.43,audio_features,06kCO1jJHu5fF8roywVfx6,spotify:track:06kCO1jJHu5fF8roywVfx6,https://api.spotify.com/v1/tracks/06kCO1jJHu5fF8roywVfx6,https://api.spotify.com/v1/audio-analysis/06kCO1jJHu5fF8roywVfx6,338587.0,4.0,
