,Unnamed: 0,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0,Missouri,Missouri,Merle Travis,Missouri,spotify:track:0wEHTsMNl3YY06xPh7sgBF,2,2020-06-12,0.619,0.108,2.0,-13.12,1.0,0.0402,0.696,0.000103,0.0646,0.939,179.212,audio_features,0wEHTsMNl3YY06xPh7sgBF,spotify:track:0wEHTsMNl3YY06xPh7sgBF,https://api.spotify.com/v1/tracks/0wEHTsMNl3YY06xPh7sgBF,https://api.spotify.com/v1/audio-analysis/0wEHTsMNl3YY06xPh7sgBF,163493.0,4.0,
1,1,Missouri,Missouri,Eddy Arnold,Missouri,spotify:track:3wQr3VEdU3WbY8yJTPTnO4,0,1996,0.626,0.18,2.0,-14.136,1.0,0.0515,0.993,0.00404,0.291,0.379,100.863,audio_features,3wQr3VEdU3WbY8yJTPTnO4,spotify:track:3wQr3VEdU3WbY8yJTPTnO4,https://api.spotify.com/v1/tracks/3wQr3VEdU3WbY8yJTPTnO4,https://api.spotify.com/v1/audio-analysis/3wQr3VEdU3WbY8yJTPTnO4,190067.0,4.0,
2,2,Missouri,Missouri,The Kingston Trio,Across the Wide Missouri,spotify:track:3CK44CbVyaA4GnkqI8iAFP,20,1959-10-19,0.301,0.134,2.0,-15.313,1.0,0.0323,0.87,2.27e-06,0.129,0.177,118.106,audio_features,3CK44CbVyaA4GnkqI8iAFP,spotify:track:3CK44CbVyaA4GnkqI8iAFP,https://api.spotify.com/v1/tracks/3CK44CbVyaA4GnkqI8iAFP,https://api.spotify.com/v1/audio-analysis/3CK44CbVyaA4GnkqI8iAFP,182773.0,4.0,
3,3,Missouri,Missouri,Eddy Arnold,Across the Wide Missouri,error,error,error,,,,,,,,,,,,,,,,,,,
4,4,Missouri,Missouri,Pete Seeger,Shenandoah,spotify:track:3P47qWdJ4Th3SbDMa2sVrF,13,2009-04-21,0.473,0.0923,7.0,-13.673,1.0,0.0584,0.881,0.0,0.266,0.373,115.078,audio_features,3P47qWdJ4Th3SbDMa2sVrF,spotify:track:3P47qWdJ4Th3SbDMa2sVrF,https://api.spotify.com/v1/tracks/3P47qWdJ4Th3SbDMa2sVrF,https://api.spotify.com/v1/audio-analysis/3P47qWdJ4Th3SbDMa2sVrF,112560.0,3.0,
5,5,Missouri,Missouri,Pete Seeger,Shenandoah,spotify:track:3P47qWdJ4Th3SbDMa2sVrF,13,2009-04-21,0.473,0.0923,7.0,-13.673,1.0,0.0584,0.881,0.0,0.266,0.373,115.078,audio_features,3P47qWdJ4Th3SbDMa2sVrF,spotify:track:3P47qWdJ4Th3SbDMa2sVrF,https://api.spotify.com/v1/tracks/3P47qWdJ4Th3SbDMa2sVrF,https://api.spotify.com/v1/audio-analysis/3P47qWdJ4Th3SbDMa2sVrF,112560.0,3.0,
6,6,Missouri,Missouri,Bananarama,Aie-A-Mwana,spotify:track:6OXMqglDn8Fboo5YQrId1l,27,1983-01-01,0.609,0.722,7.0,-8.134,0.0,0.0424,0.00383,0.0042,0.0613,0.832,130.549,audio_features,6OXMqglDn8Fboo5YQrId1l,spotify:track:6OXMqglDn8Fboo5YQrId1l,https://api.spotify.com/v1/tracks/6OXMqglDn8Fboo5YQrId1l,https://api.spotify.com/v1/audio-analysis/6OXMqglDn8Fboo5YQrId1l,214036.0,4.0,
7,7,Missouri,Missouri,Judy Garland,Shenandoah,spotify:track:3x7NkRYWYoBjzdQPkJvID0,2,1963-01-01,0.205,0.279,7.0,-12.974,1.0,0.0844,0.943,0.000468,0.855,0.285,168.451,audio_features,3x7NkRYWYoBjzdQPkJvID0,spotify:track:3x7NkRYWYoBjzdQPkJvID0,https://api.spotify.com/v1/tracks/3x7NkRYWYoBjzdQPkJvID0,https://api.spotify.com/v1/audio-analysis/3x7NkRYWYoBjzdQPkJvID0,228040.0,3.0,
8,8,Missouri,Missouri,Bob Dylan,Shenandoah,spotify:track:2va8U7hZ2JLOR4npzYqMrU,20,1988-05-31,0.495,0.388,7.0,-14.044,1.0,0.0303,0.3,0.0,0.153,0.396,109.759,audio_features,2va8U7hZ2JLOR4npzYqMrU,spotify:track:2va8U7hZ2JLOR4npzYqMrU,https://api.spotify.com/v1/tracks/2va8U7hZ2JLOR4npzYqMrU,https://api.spotify.com/v1/audio-analysis/2va8U7hZ2JLOR4npzYqMrU,218227.0,4.0,
9,9,Missouri,Missouri,Low,Missouri,spotify:track:4dImAWpeFUDNTHh7uPiCsP,8,1999-01-01,0.444,0.203,0.0,-17.49,1.0,0.0342,0.475,0.712,0.125,0.298,73.018,audio_features,4dImAWpeFUDNTHh7uPiCsP,spotify:track:4dImAWpeFUDNTHh7uPiCsP,https://api.spotify.com/v1/tracks/4dImAWpeFUDNTHh7uPiCsP,https://api.spotify.com/v1/audio-analysis/4dImAWpeFUDNTHh7uPiCsP,242160.0,4.0,
10,10,Missouri,Missouri,Jimmy Dean,Shenandoah,spotify:track:5zzOvwLbBYmPcGJZlGeAik,7,1964-10-24,0.178,0.121,0.0,-15.851,1.0,0.0309,0.969,0.00167,0.159,0.19,78.081,audio_features,5zzOvwLbBYmPcGJZlGeAik,spotify:track:5zzOvwLbBYmPcGJZlGeAik,https://api.spotify.com/v1/tracks/5zzOvwLbBYmPcGJZlGeAik,https://api.spotify.com/v1/audio-analysis/5zzOvwLbBYmPcGJZlGeAik,224213.0,5.0,
