,Unnamed: 0,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0,Montana,Montana,Future,Tony Montana,spotify:track:1IWXAWo4u0H1D0QvSpvldn,44,2012-11-27,0.674,0.732,10.0,-5.3,0.0,0.0724,0.011,0.0,0.439,0.247,143.12,audio_features,1IWXAWo4u0H1D0QvSpvldn,spotify:track:1IWXAWo4u0H1D0QvSpvldn,https://api.spotify.com/v1/tracks/1IWXAWo4u0H1D0QvSpvldn,https://api.spotify.com/v1/audio-analysis/1IWXAWo4u0H1D0QvSpvldn,245960.0,4.0,
1,1,Montana,Montana,Future,Tony Montana [Version],spotify:track:26pEGjwWHLrNOr4Rgx7ePI,0,2012-04-05,0.621,0.445,11.0,-16.515,1.0,0.0636,0.00059,0.972,0.142,0.897,144.006,audio_features,26pEGjwWHLrNOr4Rgx7ePI,spotify:track:26pEGjwWHLrNOr4Rgx7ePI,https://api.spotify.com/v1/tracks/26pEGjwWHLrNOr4Rgx7ePI,https://api.spotify.com/v1/audio-analysis/26pEGjwWHLrNOr4Rgx7ePI,249907.0,4.0,
2,2,Montana,Montana,Migos,Hannah Montana,spotify:track:3SnLc0bQjQeE3HgGdNfb8u,50,2013-07-09,0.902,0.743,0.0,-3.495,1.0,0.284,0.103,5.53e-06,0.0956,0.626,135.951,audio_features,3SnLc0bQjQeE3HgGdNfb8u,spotify:track:3SnLc0bQjQeE3HgGdNfb8u,https://api.spotify.com/v1/tracks/3SnLc0bQjQeE3HgGdNfb8u,https://api.spotify.com/v1/audio-analysis/3SnLc0bQjQeE3HgGdNfb8u,212712.0,4.0,
3,3,Montana,Montana,"Niska, Madrane, Brigistone, Rako (Charo)",Tony Montana,spotify:track:3uh0qL2PRYO79AuRVGUo8X,30,2015-10-02,0.612,0.874,10.0,-2.998,0.0,0.292,0.169,0.0,0.151,0.609,134.995,audio_features,3uh0qL2PRYO79AuRVGUo8X,spotify:track:3uh0qL2PRYO79AuRVGUo8X,https://api.spotify.com/v1/tracks/3uh0qL2PRYO79AuRVGUo8X,https://api.spotify.com/v1/audio-analysis/3uh0qL2PRYO79AuRVGUo8X,256947.0,4.0,
4,4,Montana,Montana,Marlò,TONY MONTANA,spotify:track:3JUmaAXdZj2UwbpHLcUxkE,10,2019-08-23,0.751,0.481,1.0,-11.315,1.0,0.415,0.196,6.82e-06,0.0872,0.358,76.026,audio_features,3JUmaAXdZj2UwbpHLcUxkE,spotify:track:3JUmaAXdZj2UwbpHLcUxkE,https://api.spotify.com/v1/tracks/3JUmaAXdZj2UwbpHLcUxkE,https://api.spotify.com/v1/audio-analysis/3JUmaAXdZj2UwbpHLcUxkE,216320.0,4.0,
5,5,Montana,Montana,Mata,Mata Montana,spotify:track:6Gn7Tpem8ydQpS5aIZWV57,57,2020-01-17,0.73,0.547,6.0,-9.952,1.0,0.448,0.375,1.65e-05,0.077,0.746,156.079,audio_features,6Gn7Tpem8ydQpS5aIZWV57,spotify:track:6Gn7Tpem8ydQpS5aIZWV57,https://api.spotify.com/v1/tracks/6Gn7Tpem8ydQpS5aIZWV57,https://api.spotify.com/v1/audio-analysis/6Gn7Tpem8ydQpS5aIZWV57,201547.0,4.0,
6,6,Montana,Montana,Niska,H&M,spotify:track:1ZKQ17zSWxjm8kAXhjUhkK,40,2018-08-09,0.937,0.81,2.0,-6.43,1.0,0.121,0.145,0.0,0.0666,0.625,125.025,audio_features,1ZKQ17zSWxjm8kAXhjUhkK,spotify:track:1ZKQ17zSWxjm8kAXhjUhkK,https://api.spotify.com/v1/tracks/1ZKQ17zSWxjm8kAXhjUhkK,https://api.spotify.com/v1/audio-analysis/1ZKQ17zSWxjm8kAXhjUhkK,156880.0,4.0,
7,7,Montana,Montana,"Snik, Light",Tony Montana,error,error,error,,,,,,,,,,,,,,,,,,,
8,8,Montana,Montana,"Evo, Gama",Tony Montana,spotify:track:6pjtTGMa5k3Y5d0Dr61lai,0,2019-07-18,0.761,0.692,2.0,-4.874,1.0,0.108,0.241,1.59e-06,0.0626,0.313,140.017,audio_features,6pjtTGMa5k3Y5d0Dr61lai,spotify:track:6pjtTGMa5k3Y5d0Dr61lai,https://api.spotify.com/v1/tracks/6pjtTGMa5k3Y5d0Dr61lai,https://api.spotify.com/v1/audio-analysis/6pjtTGMa5k3Y5d0Dr61lai,201643.0,4.0,
9,9,Montana,Montana,Alonzo,Vargas,spotify:track:5i7YHiTbtJDrvyd2RjJ5vp,37,2019-04-05,0.781,0.602,5.0,-7.893,1.0,0.158,0.439,0.0,0.0986,0.481,108.049,audio_features,5i7YHiTbtJDrvyd2RjJ5vp,spotify:track:5i7YHiTbtJDrvyd2RjJ5vp,https://api.spotify.com/v1/tracks/5i7YHiTbtJDrvyd2RjJ5vp,https://api.spotify.com/v1/audio-analysis/5i7YHiTbtJDrvyd2RjJ5vp,200653.0,4.0,
10,10,Montana,Montana,Los Folkloristas,En la Montaña (Son) (Cuba),spotify:track:7d5fSLdnk0Jmp487AawlMr,7,2019-10-04,0.775,0.77,4.0,-7.157,0.0,0.0443,0.763,0.0155,0.144,0.902,90.008,audio_features,7d5fSLdnk0Jmp487AawlMr,spotify:track:7d5fSLdnk0Jmp487AawlMr,https://api.spotify.com/v1/tracks/7d5fSLdnk0Jmp487AawlMr,https://api.spotify.com/v1/audio-analysis/7d5fSLdnk0Jmp487AawlMr,236176.0,4.0,
11,11,Montana,Montana,"Lil Bibby, Juicy J",Montana,spotify:track:5mqzhMuUpvnMfwNz6iepmO,70,2018-05-15,0.618,0.845,2.0,0.175,1.0,0.132,0.114,0.0,0.415,0.486,171.921,audio_features,5mqzhMuUpvnMfwNz6iepmO,spotify:track:5mqzhMuUpvnMfwNz6iepmO,https://api.spotify.com/v1/tracks/5mqzhMuUpvnMfwNz6iepmO,https://api.spotify.com/v1/audio-analysis/5mqzhMuUpvnMfwNz6iepmO,181720.0,4.0,
12,12,Montana,Montana,Future,Tony Montana,spotify:track:1IWXAWo4u0H1D0QvSpvldn,44,2012-11-27,0.674,0.732,10.0,-5.3,0.0,0.0724,0.011,0.0,0.439,0.247,143.12,audio_features,1IWXAWo4u0H1D0QvSpvldn,spotify:track:1IWXAWo4u0H1D0QvSpvldn,https://api.spotify.com/v1/tracks/1IWXAWo4u0H1D0QvSpvldn,https://api.spotify.com/v1/audio-analysis/1IWXAWo4u0H1D0QvSpvldn,245960.0,4.0,
13,13,Montana,Montana,DMP Jefe,Tony Montana,spotify:track:1NyqmeP2AYXMCDI3gslCb7,0,2018-08-03,0.668,0.426,9.0,-10.265,0.0,0.178,0.725,0.0764,0.126,0.257,75.497,audio_features,1NyqmeP2AYXMCDI3gslCb7,spotify:track:1NyqmeP2AYXMCDI3gslCb7,https://api.spotify.com/v1/tracks/1NyqmeP2AYXMCDI3gslCb7,https://api.spotify.com/v1/audio-analysis/1NyqmeP2AYXMCDI3gslCb7,210512.0,4.0,
14,14,Montana,Montana,Emmylou Harris,Wild Montana Skies,spotify:track:0KZej3Y54GEMBmlc6MTHGy,46,1983,0.606,0.262,2.0,-15.588,1.0,0.0669,0.739,0.0,0.239,0.418,111.453,audio_features,0KZej3Y54GEMBmlc6MTHGy,spotify:track:0KZej3Y54GEMBmlc6MTHGy,https://api.spotify.com/v1/tracks/0KZej3Y54GEMBmlc6MTHGy,https://api.spotify.com/v1/audio-analysis/0KZej3Y54GEMBmlc6MTHGy,243253.0,4.0,
15,15,Montana,Montana,John Denver,Wild Montana Skies,spotify:track:0KZej3Y54GEMBmlc6MTHGy,46,1983,0.606,0.262,2.0,-15.588,1.0,0.0669,0.739,0.0,0.239,0.418,111.453,audio_features,0KZej3Y54GEMBmlc6MTHGy,spotify:track:0KZej3Y54GEMBmlc6MTHGy,https://api.spotify.com/v1/tracks/0KZej3Y54GEMBmlc6MTHGy,https://api.spotify.com/v1/audio-analysis/0KZej3Y54GEMBmlc6MTHGy,243253.0,4.0,
16,16,Montana,Montana,Emmylou Harris,Wild Montana Skies,spotify:track:0KZej3Y54GEMBmlc6MTHGy,46,1983,0.606,0.262,2.0,-15.588,1.0,0.0669,0.739,0.0,0.239,0.418,111.453,audio_features,0KZej3Y54GEMBmlc6MTHGy,spotify:track:0KZej3Y54GEMBmlc6MTHGy,https://api.spotify.com/v1/tracks/0KZej3Y54GEMBmlc6MTHGy,https://api.spotify.com/v1/audio-analysis/0KZej3Y54GEMBmlc6MTHGy,243253.0,4.0,
17,17,Montana,Montana,John Denver,Wild Montana Skies,spotify:track:0KZej3Y54GEMBmlc6MTHGy,46,1983,0.606,0.262,2.0,-15.588,1.0,0.0669,0.739,0.0,0.239,0.418,111.453,audio_features,0KZej3Y54GEMBmlc6MTHGy,spotify:track:0KZej3Y54GEMBmlc6MTHGy,https://api.spotify.com/v1/tracks/0KZej3Y54GEMBmlc6MTHGy,https://api.spotify.com/v1/audio-analysis/0KZej3Y54GEMBmlc6MTHGy,243253.0,4.0,
18,18,Montana,Montana,Tory Lanez,Diego,spotify:track:00BnfL75e8vHSGCmwUWbEk,54,2015-01-15,0.604,0.472,8.0,-9.488,1.0,0.136,0.0846,9.48e-06,0.0778,0.399,119.81,audio_features,00BnfL75e8vHSGCmwUWbEk,spotify:track:00BnfL75e8vHSGCmwUWbEk,https://api.spotify.com/v1/tracks/00BnfL75e8vHSGCmwUWbEk,https://api.spotify.com/v1/audio-analysis/00BnfL75e8vHSGCmwUWbEk,242347.0,4.0,
19,19,Montana,Montana,Hayce Lemsi,Bad Montana,spotify:track:6muXrgKPOxNeaKV0BuT6Sx,27,2018-12-07,0.822,0.446,1.0,-8.447,1.0,0.101,0.674,0.0,0.0726,0.908,141.053,audio_features,6muXrgKPOxNeaKV0BuT6Sx,spotify:track:6muXrgKPOxNeaKV0BuT6Sx,https://api.spotify.com/v1/tracks/6muXrgKPOxNeaKV0BuT6Sx,https://api.spotify.com/v1/audio-analysis/6muXrgKPOxNeaKV0BuT6Sx,182027.0,4.0,
20,20,Montana,Montana,Niro,FTM,spotify:track:5dhKlx29a0IcRGXxrlakZ5,41,2020-07-08,0.71,0.84,5.0,-6.174,0.0,0.299,0.157,0.0,0.0932,0.65,140.026,audio_features,5dhKlx29a0IcRGXxrlakZ5,spotify:track:5dhKlx29a0IcRGXxrlakZ5,https://api.spotify.com/v1/tracks/5dhKlx29a0IcRGXxrlakZ5,https://api.spotify.com/v1/audio-analysis/5dhKlx29a0IcRGXxrlakZ5,212333.0,4.0,
21,21,Montana,Montana,"SCH, Lacrim, Kore",Tony,spotify:track:1MY4HVXfBkUg1mUjmCjznI,49,2016-07-08,0.47,0.825,4.0,-4.562,1.0,0.235,0.0616,0.000216,0.104,0.323,166.286,audio_features,1MY4HVXfBkUg1mUjmCjznI,spotify:track:1MY4HVXfBkUg1mUjmCjznI,https://api.spotify.com/v1/tracks/1MY4HVXfBkUg1mUjmCjznI,https://api.spotify.com/v1/audio-analysis/1MY4HVXfBkUg1mUjmCjznI,379947.0,4.0,
22,22,Montana,Montana,Alrima,Donna imma,spotify:track:1swNDnL91mrP9N13l4kFhp,27,2018-03-23,0.837,0.648,1.0,-7.628,1.0,0.229,0.187,0.0,0.0858,0.582,99.966,audio_features,1swNDnL91mrP9N13l4kFhp,spotify:track:1swNDnL91mrP9N13l4kFhp,https://api.spotify.com/v1/tracks/1swNDnL91mrP9N13l4kFhp,https://api.spotify.com/v1/audio-analysis/1swNDnL91mrP9N13l4kFhp,188507.0,4.0,
