,Unnamed: 0,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0,New Mexico,New Mexico,Terry Allen,Billy the Boy,spotify:track:0WuaSkSg5GkT0NNH2skVnF,3,2006-01-01,0.413,0.368,2.0,-15.585,1.0,0.048,0.642,0.00104,0.0715,0.158,101.595,audio_features,0WuaSkSg5GkT0NNH2skVnF,spotify:track:0WuaSkSg5GkT0NNH2skVnF,https://api.spotify.com/v1/tracks/0WuaSkSg5GkT0NNH2skVnF,https://api.spotify.com/v1/audio-analysis/0WuaSkSg5GkT0NNH2skVnF,533693.0,4.0,
1,1,New Mexico,New Mexico,Johnny Cash,New Mexico,spotify:track:6sTE7X22TJop9PGCtP180s,21,2014-01-15,0.615,0.274,10.0,-14.928,1.0,0.115,0.822,0.00104,0.0868,0.845,170.138,audio_features,6sTE7X22TJop9PGCtP180s,spotify:track:6sTE7X22TJop9PGCtP180s,https://api.spotify.com/v1/tracks/6sTE7X22TJop9PGCtP180s,https://api.spotify.com/v1/audio-analysis/6sTE7X22TJop9PGCtP180s,124560.0,4.0,
2,2,New Mexico,New Mexico,Johnny Cash,New Mexico,spotify:track:6sTE7X22TJop9PGCtP180s,21,2014-01-15,0.615,0.274,10.0,-14.928,1.0,0.115,0.822,0.00104,0.0868,0.845,170.138,audio_features,6sTE7X22TJop9PGCtP180s,spotify:track:6sTE7X22TJop9PGCtP180s,https://api.spotify.com/v1/tracks/6sTE7X22TJop9PGCtP180s,https://api.spotify.com/v1/audio-analysis/6sTE7X22TJop9PGCtP180s,124560.0,4.0,
3,3,New Mexico,New Mexico,The Four Seasons,New Mexican Rose,spotify:track:0NYARSjTaMT67cbW3JozJI,6,1963-03-01,0.556,0.595,7.0,-10.515,1.0,0.0404,0.612,0.0,0.385,0.753,119.789,audio_features,0NYARSjTaMT67cbW3JozJI,spotify:track:0NYARSjTaMT67cbW3JozJI,https://api.spotify.com/v1/tracks/0NYARSjTaMT67cbW3JozJI,https://api.spotify.com/v1/audio-analysis/0NYARSjTaMT67cbW3JozJI,169107.0,4.0,
4,4,New Mexico,New Mexico,David Mead,New Mexico,spotify:track:0p7grCBP8v9QNsInIAlsbX,6,2004-05-04,0.569,0.357,9.0,-10.529,1.0,0.0283,0.761,0.000133,0.159,0.497,90.685,audio_features,0p7grCBP8v9QNsInIAlsbX,spotify:track:0p7grCBP8v9QNsInIAlsbX,https://api.spotify.com/v1/tracks/0p7grCBP8v9QNsInIAlsbX,https://api.spotify.com/v1/audio-analysis/0p7grCBP8v9QNsInIAlsbX,199347.0,4.0,
5,5,New Mexico,New Mexico,Logic,Thank You,spotify:track:4ut9fdC5ncgcvCo0KaphNY,49,2018-09-28,0.599,0.749,10.0,-7.12,1.0,0.269,0.169,3.03e-06,0.4,0.574,159.413,audio_features,4ut9fdC5ncgcvCo0KaphNY,spotify:track:4ut9fdC5ncgcvCo0KaphNY,https://api.spotify.com/v1/tracks/4ut9fdC5ncgcvCo0KaphNY,https://api.spotify.com/v1/audio-analysis/4ut9fdC5ncgcvCo0KaphNY,430427.0,4.0,
6,6,New Mexico,New Mexico,Heather Nova,Out in New Mexico,spotify:track:08ZYpK0eDiNohMuFqtRDh4,10,2008-07-28,0.569,0.257,0.0,-6.561,0.0,0.031,0.82,0.0,0.0797,0.436,122.025,audio_features,08ZYpK0eDiNohMuFqtRDh4,spotify:track:08ZYpK0eDiNohMuFqtRDh4,https://api.spotify.com/v1/tracks/08ZYpK0eDiNohMuFqtRDh4,https://api.spotify.com/v1/audio-analysis/08ZYpK0eDiNohMuFqtRDh4,207707.0,4.0,
7,7,New Mexico,New Mexico,Michael Martin Murphey,Land of Enchantment,spotify:track:0XNUcM48US3hME2PDk3PLb,15,1989-06-09,0.762,0.347,4.0,-13.585,1.0,0.0257,0.644,5.68e-05,0.122,0.532,102.186,audio_features,0XNUcM48US3hME2PDk3PLb,spotify:track:0XNUcM48US3hME2PDk3PLb,https://api.spotify.com/v1/tracks/0XNUcM48US3hME2PDk3PLb,https://api.spotify.com/v1/audio-analysis/0XNUcM48US3hME2PDk3PLb,191907.0,4.0,
8,8,New Mexico,New Mexico,Frank Zappa,The Jazz Discharge Party Hats,spotify:track:7lywvBkNitwwL4FvXkKWhp,17,1983-03-28,0.472,0.461,1.0,-12.145,1.0,0.262,0.603,0.0,0.858,0.453,85.351,audio_features,7lywvBkNitwwL4FvXkKWhp,spotify:track:7lywvBkNitwwL4FvXkKWhp,https://api.spotify.com/v1/tracks/7lywvBkNitwwL4FvXkKWhp,https://api.spotify.com/v1/audio-analysis/7lywvBkNitwwL4FvXkKWhp,268880.0,1.0,
9,9,New Mexico,New Mexico,The Western Front,New Mexico,spotify:track:1nLTyNarN9HMz1Mbs9fKkK,0,2018-02-09,0.567,0.474,4.0,-10.648,1.0,0.0361,0.124,0.00131,0.137,0.442,136.058,audio_features,1nLTyNarN9HMz1Mbs9fKkK,spotify:track:1nLTyNarN9HMz1Mbs9fKkK,https://api.spotify.com/v1/tracks/1nLTyNarN9HMz1Mbs9fKkK,https://api.spotify.com/v1/audio-analysis/1nLTyNarN9HMz1Mbs9fKkK,212181.0,4.0,
10,10,New Mexico,New Mexico,The High Desert Playboys,Sir Lawrence of New Mexico,spotify:track:43tpPUAd61sK6uNhBfhmiR,0,2019-09-27,0.452,0.678,2.0,-4.163,1.0,0.0334,0.453,0.000206,0.1,0.551,123.918,audio_features,43tpPUAd61sK6uNhBfhmiR,spotify:track:43tpPUAd61sK6uNhBfhmiR,https://api.spotify.com/v1/tracks/43tpPUAd61sK6uNhBfhmiR,https://api.spotify.com/v1/audio-analysis/43tpPUAd61sK6uNhBfhmiR,266747.0,4.0,
11,11,New Mexico,New Mexico,John Wiggins,New Mexico,spotify:track:4AIfv0CoNcpzaqBBkrx4Br,1,1994,0.565,0.352,11.0,-12.517,1.0,0.0273,0.693,1.35e-06,0.148,0.33,112.715,audio_features,4AIfv0CoNcpzaqBBkrx4Br,spotify:track:4AIfv0CoNcpzaqBBkrx4Br,https://api.spotify.com/v1/tracks/4AIfv0CoNcpzaqBBkrx4Br,https://api.spotify.com/v1/audio-analysis/4AIfv0CoNcpzaqBBkrx4Br,208333.0,4.0,
12,12,New Mexico,New Mexico,The Black Lillies,Midnight Stranger,spotify:track:6MzescRUnwR3AjZ1Mu5ItK,29,2018-09-28,0.626,0.817,3.0,-4.412,0.0,0.0276,0.0714,0.0104,0.195,0.716,102.994,audio_features,6MzescRUnwR3AjZ1Mu5ItK,spotify:track:6MzescRUnwR3AjZ1Mu5ItK,https://api.spotify.com/v1/tracks/6MzescRUnwR3AjZ1Mu5ItK,https://api.spotify.com/v1/audio-analysis/6MzescRUnwR3AjZ1Mu5ItK,221267.0,4.0,
13,13,New Mexico,New Mexico,Hank Snow,Patanio (The Pride of the Plains),error,error,error,,,,,,,,,,,,,,,,,,,
14,14,New Mexico,New Mexico,Ronnie Dunn,How Far to Waco,spotify:track:2EjxV4vwkWiCLQ7YR1U9Yq,21,2011-06-07,0.535,0.878,9.0,-3.889,1.0,0.0586,0.016,0.0,0.317,0.683,133.971,audio_features,2EjxV4vwkWiCLQ7YR1U9Yq,spotify:track:2EjxV4vwkWiCLQ7YR1U9Yq,https://api.spotify.com/v1/tracks/2EjxV4vwkWiCLQ7YR1U9Yq,https://api.spotify.com/v1/audio-analysis/2EjxV4vwkWiCLQ7YR1U9Yq,207560.0,4.0,
15,15,New Mexico,New Mexico,Chuck Berry,Route 66,spotify:track:6TXnGAr6DLVYshIrMeP0lZ,59,1961-01-01,0.686,0.692,10.0,-9.793,1.0,0.0419,0.902,0.000474,0.104,0.962,79.071,audio_features,6TXnGAr6DLVYshIrMeP0lZ,spotify:track:6TXnGAr6DLVYshIrMeP0lZ,https://api.spotify.com/v1/tracks/6TXnGAr6DLVYshIrMeP0lZ,https://api.spotify.com/v1/audio-analysis/6TXnGAr6DLVYshIrMeP0lZ,171413.0,4.0,
16,16,New Mexico,New Mexico,Depeche Mode,Route 66,spotify:track:6oyt6gI2kMyDsuZBjbsMQ9,35,1987-09-28,0.525,0.925,9.0,-5.264,0.0,0.0283,0.00102,0.272,0.318,0.515,133.081,audio_features,6oyt6gI2kMyDsuZBjbsMQ9,spotify:track:6oyt6gI2kMyDsuZBjbsMQ9,https://api.spotify.com/v1/tracks/6oyt6gI2kMyDsuZBjbsMQ9,https://api.spotify.com/v1/audio-analysis/6oyt6gI2kMyDsuZBjbsMQ9,250217.0,4.0,
17,17,New Mexico,New Mexico,Chuck Berry,Route 66,spotify:track:6TXnGAr6DLVYshIrMeP0lZ,59,1961-01-01,0.686,0.692,10.0,-9.793,1.0,0.0419,0.902,0.000474,0.104,0.962,79.071,audio_features,6TXnGAr6DLVYshIrMeP0lZ,spotify:track:6TXnGAr6DLVYshIrMeP0lZ,https://api.spotify.com/v1/tracks/6TXnGAr6DLVYshIrMeP0lZ,https://api.spotify.com/v1/audio-analysis/6TXnGAr6DLVYshIrMeP0lZ,171413.0,4.0,
