,Unnamed: 0,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0,North Dakota,North Dakota,Randi Perkins,North Dakota Farm Boy,spotify:track:3OIgNVbMhbG7xBIinP5fkM,0,2019-08-02,0.487,0.45,7.0,-9.095,1.0,0.031,0.659,0.0,0.111,0.375,146.72,audio_features,3OIgNVbMhbG7xBIinP5fkM,spotify:track:3OIgNVbMhbG7xBIinP5fkM,https://api.spotify.com/v1/tracks/3OIgNVbMhbG7xBIinP5fkM,https://api.spotify.com/v1/audio-analysis/3OIgNVbMhbG7xBIinP5fkM,205864.0,4.0,
1,1,North Dakota,North Dakota,Tom Roble,North Dakota,spotify:track:5Qt5Nt0cWODRO5OjN9yFDt,0,2000-01-01,0.575,0.251,7.0,-22.688,1.0,0.0407,0.818,0.72,0.119,0.327,82.917,audio_features,5Qt5Nt0cWODRO5OjN9yFDt,spotify:track:5Qt5Nt0cWODRO5OjN9yFDt,https://api.spotify.com/v1/tracks/5Qt5Nt0cWODRO5OjN9yFDt,https://api.spotify.com/v1/audio-analysis/5Qt5Nt0cWODRO5OjN9yFDt,178250.0,4.0,
2,2,North Dakota,North Dakota,Doc Walker,North Dakota Boy,spotify:track:3OveJlYnOF96TpOiMbS5IP,13,2003-01-01,0.661,0.749,9.0,-9.501,1.0,0.0323,0.0757,0.0,0.133,0.476,100.993,audio_features,3OveJlYnOF96TpOiMbS5IP,spotify:track:3OveJlYnOF96TpOiMbS5IP,https://api.spotify.com/v1/tracks/3OveJlYnOF96TpOiMbS5IP,https://api.spotify.com/v1/audio-analysis/3OveJlYnOF96TpOiMbS5IP,223147.0,4.0,
3,3,North Dakota,North Dakota,Thrush Hermit,North Dakota,spotify:track:29bthAhcLpZ8wWK7wWMYwm,13,1997,0.461,0.569,10.0,-7.478,1.0,0.0286,0.0662,1.35e-06,0.0971,0.629,107.581,audio_features,29bthAhcLpZ8wWK7wWMYwm,spotify:track:29bthAhcLpZ8wWK7wWMYwm,https://api.spotify.com/v1/tracks/29bthAhcLpZ8wWK7wWMYwm,https://api.spotify.com/v1/audio-analysis/29bthAhcLpZ8wWK7wWMYwm,228227.0,4.0,
4,4,North Dakota,North Dakota,Lyle Lovett,North Dakota,spotify:track:4JwBDp0psRP2pbmNVjPc8E,42,1992-03-31,0.526,0.0326,9.0,-23.88,1.0,0.0479,0.882,0.0129,0.0421,0.11,127.674,audio_features,4JwBDp0psRP2pbmNVjPc8E,spotify:track:4JwBDp0psRP2pbmNVjPc8E,https://api.spotify.com/v1/tracks/4JwBDp0psRP2pbmNVjPc8E,https://api.spotify.com/v1/audio-analysis/4JwBDp0psRP2pbmNVjPc8E,342573.0,4.0,
5,5,North Dakota,North Dakota,Nanci Griffith,Across America,spotify:track:4fDRWXgK6Pq5RMJ3mu9u9p,6,2009-01-01,0.614,0.812,5.0,-5.792,1.0,0.0281,0.341,5.97e-05,0.0961,0.598,135.898,audio_features,4fDRWXgK6Pq5RMJ3mu9u9p,spotify:track:4fDRWXgK6Pq5RMJ3mu9u9p,https://api.spotify.com/v1/tracks/4fDRWXgK6Pq5RMJ3mu9u9p,https://api.spotify.com/v1/audio-analysis/4fDRWXgK6Pq5RMJ3mu9u9p,183867.0,4.0,
6,6,North Dakota,North Dakota,Gavin DeGraw,Best I Ever Had,spotify:track:2bN0VoXCagktb6yAi9942I,55,2013-10-09,0.547,0.932,7.0,-5.237,1.0,0.0968,0.00229,0.0,0.335,0.513,134.981,audio_features,2bN0VoXCagktb6yAi9942I,spotify:track:2bN0VoXCagktb6yAi9942I,https://api.spotify.com/v1/tracks/2bN0VoXCagktb6yAi9942I,https://api.spotify.com/v1/audio-analysis/2bN0VoXCagktb6yAi9942I,226200.0,4.0,
7,7,North Dakota,North Dakota,Gavin DeGraw,Best I Ever Had,spotify:track:2bN0VoXCagktb6yAi9942I,55,2013-10-09,0.547,0.932,7.0,-5.237,1.0,0.0968,0.00229,0.0,0.335,0.513,134.981,audio_features,2bN0VoXCagktb6yAi9942I,spotify:track:2bN0VoXCagktb6yAi9942I,https://api.spotify.com/v1/tracks/2bN0VoXCagktb6yAi9942I,https://api.spotify.com/v1/audio-analysis/2bN0VoXCagktb6yAi9942I,226200.0,4.0,
8,8,North Dakota,North Dakota,Gavin DeGraw,Best I Ever Had,spotify:track:2bN0VoXCagktb6yAi9942I,55,2013-10-09,0.547,0.932,7.0,-5.237,1.0,0.0968,0.00229,0.0,0.335,0.513,134.981,audio_features,2bN0VoXCagktb6yAi9942I,spotify:track:2bN0VoXCagktb6yAi9942I,https://api.spotify.com/v1/tracks/2bN0VoXCagktb6yAi9942I,https://api.spotify.com/v1/audio-analysis/2bN0VoXCagktb6yAi9942I,226200.0,4.0,
9,9,North Dakota,North Dakota,King Slinkz,Rack It Up,spotify:track:1Lh0bGu1UHu5mYz93p9965,1,2017-10-24,0.922,0.489,7.0,-7.582,0.0,0.0515,0.314,0.0,0.0915,0.436,129.035,audio_features,1Lh0bGu1UHu5mYz93p9965,spotify:track:1Lh0bGu1UHu5mYz93p9965,https://api.spotify.com/v1/tracks/1Lh0bGu1UHu5mYz93p9965,https://api.spotify.com/v1/audio-analysis/1Lh0bGu1UHu5mYz93p9965,176811.0,4.0,
