,Unnamed: 0,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0,Oregon,Oregon,Sleepover,Oregon,spotify:track:1wFCd5l9ssJRsH4HcrYWYw,0,2018-03-07,0.599,0.654,4.0,-7.187,0.0,0.03,0.0707,1.02e-05,0.158,0.851,141.974,audio_features,1wFCd5l9ssJRsH4HcrYWYw,spotify:track:1wFCd5l9ssJRsH4HcrYWYw,https://api.spotify.com/v1/tracks/1wFCd5l9ssJRsH4HcrYWYw,https://api.spotify.com/v1/audio-analysis/1wFCd5l9ssJRsH4HcrYWYw,175437.0,4.0,
1,1,Oregon,Oregon,Alexander Bayly,Oregon State,spotify:track:1mMvBtNTAGaMZeBsjEn0z6,0,2020-04-01,0.715,0.442,4.0,-12.76,1.0,0.0275,0.296,0.0164,0.108,0.362,104.066,audio_features,1mMvBtNTAGaMZeBsjEn0z6,spotify:track:1mMvBtNTAGaMZeBsjEn0z6,https://api.spotify.com/v1/tracks/1mMvBtNTAGaMZeBsjEn0z6,https://api.spotify.com/v1/audio-analysis/1mMvBtNTAGaMZeBsjEn0z6,198641.0,4.0,
2,2,Oregon,Oregon,Woody Guthrie,End of the Line,spotify:track:2hYmCR1SnRIZx7kp98CrsQ,18,1999-08-17,0.572,0.331,11.0,-13.507,1.0,0.0363,0.987,0.131,0.13,0.513,128.968,audio_features,2hYmCR1SnRIZx7kp98CrsQ,spotify:track:2hYmCR1SnRIZx7kp98CrsQ,https://api.spotify.com/v1/tracks/2hYmCR1SnRIZx7kp98CrsQ,https://api.spotify.com/v1/audio-analysis/2hYmCR1SnRIZx7kp98CrsQ,172400.0,4.0,
3,3,Oregon,Oregon,Loretta Lynn,Portland Oregon,spotify:track:5KZ7xHdaC3Y4bdhgpMpYEA,46,2004-04-27,0.218,0.565,0.0,-7.816,1.0,0.0342,0.0197,4.75e-05,0.216,0.213,180.856,audio_features,5KZ7xHdaC3Y4bdhgpMpYEA,spotify:track:5KZ7xHdaC3Y4bdhgpMpYEA,https://api.spotify.com/v1/tracks/5KZ7xHdaC3Y4bdhgpMpYEA,https://api.spotify.com/v1/audio-analysis/5KZ7xHdaC3Y4bdhgpMpYEA,229441.0,4.0,
4,4,Oregon,Oregon,Loretta Lynn,"Portland, Oregon",spotify:track:5KZ7xHdaC3Y4bdhgpMpYEA,46,2004-04-27,0.218,0.565,0.0,-7.816,1.0,0.0342,0.0197,4.75e-05,0.216,0.213,180.856,audio_features,5KZ7xHdaC3Y4bdhgpMpYEA,spotify:track:5KZ7xHdaC3Y4bdhgpMpYEA,https://api.spotify.com/v1/tracks/5KZ7xHdaC3Y4bdhgpMpYEA,https://api.spotify.com/v1/audio-analysis/5KZ7xHdaC3Y4bdhgpMpYEA,229441.0,4.0,
5,5,Oregon,Oregon,Michael Hurley,The Portland Water,spotify:track:0hkJOnhsOu76pUcdCjQujW,18,1994-09-01,0.797,0.296,7.0,-14.689,1.0,0.0342,0.646,7.81e-05,0.116,0.815,120.769,audio_features,0hkJOnhsOu76pUcdCjQujW,spotify:track:0hkJOnhsOu76pUcdCjQujW,https://api.spotify.com/v1/tracks/0hkJOnhsOu76pUcdCjQujW,https://api.spotify.com/v1/audio-analysis/0hkJOnhsOu76pUcdCjQujW,228000.0,4.0,
6,6,Oregon,Oregon,Steely Dan,Don't Take Me Alive,spotify:track:1K9B43e0PyilYctK0WgoO4,47,1976-01-01,0.617,0.544,7.0,-9.529,0.0,0.0433,0.425,0.000948,0.34,0.623,119.068,audio_features,1K9B43e0PyilYctK0WgoO4,spotify:track:1K9B43e0PyilYctK0WgoO4,https://api.spotify.com/v1/tracks/1K9B43e0PyilYctK0WgoO4,https://api.spotify.com/v1/audio-analysis/1K9B43e0PyilYctK0WgoO4,256360.0,4.0,
7,7,Oregon,Oregon,Neal Casal,The Portland Water,spotify:track:3Nlh3L3bKaNBRiPxeNBila,2,2005-02-22,0.547,0.246,7.0,-9.972,1.0,0.0292,0.923,0.0,0.136,0.341,110.942,audio_features,3Nlh3L3bKaNBRiPxeNBila,spotify:track:3Nlh3L3bKaNBRiPxeNBila,https://api.spotify.com/v1/tracks/3Nlh3L3bKaNBRiPxeNBila,https://api.spotify.com/v1/audio-analysis/3Nlh3L3bKaNBRiPxeNBila,215533.0,4.0,
8,8,Oregon,Oregon,Al Stewart,Katherine of Oregon,error,error,error,,,,,,,,,,,,,,,,,,,
9,9,Oregon,Oregon,Alxndr Sounds,More Again,spotify:track:1Nvvwz8IKhQpznZoUp7UpL,0,2018-01-01,0.759,0.0879,0.0,-19.511,0.0,0.259,0.79,0.016,0.0851,0.299,90.064,audio_features,1Nvvwz8IKhQpznZoUp7UpL,spotify:track:1Nvvwz8IKhQpznZoUp7UpL,https://api.spotify.com/v1/tracks/1Nvvwz8IKhQpznZoUp7UpL,https://api.spotify.com/v1/audio-analysis/1Nvvwz8IKhQpznZoUp7UpL,224396.0,4.0,
10,10,Oregon,Oregon,Maybe_grady,Mount Hood,spotify:track:24YnaXxn3Q8rB7k2ItcuCM,0,2017-08-07,0.763,0.147,11.0,-23.316,1.0,0.0325,0.605,0.772,0.105,0.384,110.025,audio_features,24YnaXxn3Q8rB7k2ItcuCM,spotify:track:24YnaXxn3Q8rB7k2ItcuCM,https://api.spotify.com/v1/tracks/24YnaXxn3Q8rB7k2ItcuCM,https://api.spotify.com/v1/audio-analysis/24YnaXxn3Q8rB7k2ItcuCM,244402.0,4.0,
11,11,Oregon,Oregon,Someone Still Loves You Boris Yeltsin,Oregon Girl,spotify:track:4Sf7Nk9eZl5a3kS8e5rcIf,24,2006-10-24,0.609,0.718,9.0,-6.388,1.0,0.03,0.0463,0.0266,0.0435,0.454,122.404,audio_features,4Sf7Nk9eZl5a3kS8e5rcIf,spotify:track:4Sf7Nk9eZl5a3kS8e5rcIf,https://api.spotify.com/v1/tracks/4Sf7Nk9eZl5a3kS8e5rcIf,https://api.spotify.com/v1/audio-analysis/4Sf7Nk9eZl5a3kS8e5rcIf,146080.0,4.0,
