,Unnamed: 0,city,state,artist,song,uris,popularity,date,error,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0,Pennsylvania,Pennsylvania,Bing Crosby,"Pittsburgh, Pennsylvania",error,error,error,,,,,,,,,,,,,,,,,,,
1,1,Pennsylvania,Pennsylvania,X-Patriate: Alan J. Lipman,Pennsylvania Avenue,spotify:track:3H3GXOyOTmyy3S8pjeNGYc,14,2007-01-01,,0.556,0.76,0.0,-11.594,1.0,0.0335,0.736,0.00827,0.207,0.814,88.957,audio_features,3H3GXOyOTmyy3S8pjeNGYc,spotify:track:3H3GXOyOTmyy3S8pjeNGYc,https://api.spotify.com/v1/tracks/3H3GXOyOTmyy3S8pjeNGYc,https://api.spotify.com/v1/audio-analysis/3H3GXOyOTmyy3S8pjeNGYc,370947.0,4.0
2,2,Pennsylvania,Pennsylvania,The Andrews Sisters,Pennsylvania 6-5000,spotify:track:42alfaib4oMxRbmyVsBMae,6,2017-02-20,,0.792,0.482,9.0,-8.203,1.0,0.205,0.909,0.0,0.11,0.671,81.105,audio_features,42alfaib4oMxRbmyVsBMae,spotify:track:42alfaib4oMxRbmyVsBMae,https://api.spotify.com/v1/tracks/42alfaib4oMxRbmyVsBMae,https://api.spotify.com/v1/audio-analysis/42alfaib4oMxRbmyVsBMae,183806.0,4.0
3,3,Pennsylvania,Pennsylvania,The Andrews Sisters,Pennsylvania 6-5000,spotify:track:42alfaib4oMxRbmyVsBMae,6,2017-02-20,,0.792,0.482,9.0,-8.203,1.0,0.205,0.909,0.0,0.11,0.671,81.105,audio_features,42alfaib4oMxRbmyVsBMae,spotify:track:42alfaib4oMxRbmyVsBMae,https://api.spotify.com/v1/tracks/42alfaib4oMxRbmyVsBMae,https://api.spotify.com/v1/audio-analysis/42alfaib4oMxRbmyVsBMae,183806.0,4.0
4,4,Pennsylvania,Pennsylvania,Enoch Light Orchestra,Pennsylvania 6-5000,spotify:track:3QBDBIyx5VhLwemIasEdpb,3,2015-09-25,,0.68,0.218,8.0,-17.094,1.0,0.0925,0.617,0.0101,0.23,0.797,146.818,audio_features,3QBDBIyx5VhLwemIasEdpb,spotify:track:3QBDBIyx5VhLwemIasEdpb,https://api.spotify.com/v1/tracks/3QBDBIyx5VhLwemIasEdpb,https://api.spotify.com/v1/audio-analysis/3QBDBIyx5VhLwemIasEdpb,193773.0,4.0
5,5,Pennsylvania,Pennsylvania,Bing Crosby,"Pittsburgh, Pennsylvania",error,error,error,,,,,,,,,,,,,,,,,,,
6,6,Pennsylvania,Pennsylvania,Bing Crosby,"Pittsburgh, Pennsylvania",error,error,error,,,,,,,,,,,,,,,,,,,
7,7,Pennsylvania,Pennsylvania,Guy Mitchell,"Pittsburgh, Pennsylvania",spotify:track:4ph3PycOyjVCpWTz5amGRd,16,1991-09-03,,0.632,0.291,7.0,-15.005,1.0,0.0402,0.886,0.0,0.0914,0.895,146.246,audio_features,4ph3PycOyjVCpWTz5amGRd,spotify:track:4ph3PycOyjVCpWTz5amGRd,https://api.spotify.com/v1/tracks/4ph3PycOyjVCpWTz5amGRd,https://api.spotify.com/v1/audio-analysis/4ph3PycOyjVCpWTz5amGRd,176707.0,3.0
8,8,Pennsylvania,Pennsylvania,Guy Mitchell,Pittsburgh Pennsylvania,spotify:track:4ph3PycOyjVCpWTz5amGRd,16,1991-09-03,,0.632,0.291,7.0,-15.005,1.0,0.0402,0.886,0.0,0.0914,0.895,146.246,audio_features,4ph3PycOyjVCpWTz5amGRd,spotify:track:4ph3PycOyjVCpWTz5amGRd,https://api.spotify.com/v1/tracks/4ph3PycOyjVCpWTz5amGRd,https://api.spotify.com/v1/audio-analysis/4ph3PycOyjVCpWTz5amGRd,176707.0,3.0
9,9,Pennsylvania,Pennsylvania,Benny Goodman,Pennsylvania 6-5000,error,error,error,,,,,,,,,,,,,,,,,,,
10,10,Pennsylvania,Pennsylvania,The New 101 Strings Orchestra,Pennsylvania 6-5000,spotify:track:02VVsGbIVEYgsd3Brr6PA1,0,2009-01-01,,0.443,0.353,8.0,-11.752,1.0,0.0353,0.223,0.0,0.295,0.421,72.197,audio_features,02VVsGbIVEYgsd3Brr6PA1,spotify:track:02VVsGbIVEYgsd3Brr6PA1,https://api.spotify.com/v1/tracks/02VVsGbIVEYgsd3Brr6PA1,https://api.spotify.com/v1/audio-analysis/02VVsGbIVEYgsd3Brr6PA1,192467.0,4.0
11,11,Pennsylvania,Pennsylvania,Tommy Dorsey,Pennsylvania 6-5000,spotify:track:0NO56EQfoW2aJM5nskTlRn,0,1995,,0.66,0.302,5.0,-18.6,1.0,0.0448,0.363,0.874,0.108,0.555,144.505,audio_features,0NO56EQfoW2aJM5nskTlRn,spotify:track:0NO56EQfoW2aJM5nskTlRn,https://api.spotify.com/v1/tracks/0NO56EQfoW2aJM5nskTlRn,https://api.spotify.com/v1/audio-analysis/0NO56EQfoW2aJM5nskTlRn,544667.0,4.0
12,12,Pennsylvania,Pennsylvania,The Muppets,Pennsylvania 6-5000,spotify:track:69wd0z5UfjOypw2IJ1rePu,28,2000-01-01,,0.329,0.962,11.0,-5.218,0.0,0.201,0.00692,2.53e-05,0.951,0.645,186.813,audio_features,69wd0z5UfjOypw2IJ1rePu,spotify:track:69wd0z5UfjOypw2IJ1rePu,https://api.spotify.com/v1/tracks/69wd0z5UfjOypw2IJ1rePu,https://api.spotify.com/v1/audio-analysis/69wd0z5UfjOypw2IJ1rePu,183867.0,4.0
13,13,Pennsylvania,Pennsylvania,Count Basie,Pennsylvania 6-5000,error,error,error,,,,,,,,,,,,,,,,,,,
14,14,Pennsylvania,Pennsylvania,Bud Freeman,Pennsylvania 6-5000,error,error,error,,,,,,,,,,,,,,,,,,,
15,15,Pennsylvania,Pennsylvania,Ted Heath Orchestra,Pennsylvania 6-5000,spotify:track:3nHMTAkeqGyV2QP1aNZcj7,0,1985,,0.522,0.329,8.0,-13.303,1.0,0.166,0.767,0.054,0.194,0.582,144.085,audio_features,3nHMTAkeqGyV2QP1aNZcj7,spotify:track:3nHMTAkeqGyV2QP1aNZcj7,https://api.spotify.com/v1/tracks/3nHMTAkeqGyV2QP1aNZcj7,https://api.spotify.com/v1/audio-analysis/3nHMTAkeqGyV2QP1aNZcj7,271693.0,4.0
16,16,Pennsylvania,Pennsylvania,Brian Setzer,Pennsylvania 6-5000,spotify:track:69wd0z5UfjOypw2IJ1rePu,28,2000-01-01,,0.329,0.962,11.0,-5.218,0.0,0.201,0.00692,2.53e-05,0.951,0.645,186.813,audio_features,69wd0z5UfjOypw2IJ1rePu,spotify:track:69wd0z5UfjOypw2IJ1rePu,https://api.spotify.com/v1/tracks/69wd0z5UfjOypw2IJ1rePu,https://api.spotify.com/v1/audio-analysis/69wd0z5UfjOypw2IJ1rePu,183867.0,4.0
17,17,Pennsylvania,Pennsylvania,Heart,Pennsylvania,spotify:track:1xf8sfD26W9F8NgN7WlNn1,10,2012-10-01,,0.327,0.32,3.0,-7.552,1.0,0.031,0.865,3.3e-05,0.129,0.164,171.731,audio_features,1xf8sfD26W9F8NgN7WlNn1,spotify:track:1xf8sfD26W9F8NgN7WlNn1,https://api.spotify.com/v1/tracks/1xf8sfD26W9F8NgN7WlNn1,https://api.spotify.com/v1/audio-analysis/1xf8sfD26W9F8NgN7WlNn1,188987.0,3.0
18,18,Pennsylvania,Pennsylvania,Teresa Brewer,Pennsylvania 6-5000,error,error,error,,,,,,,,,,,,,,,,,,,
19,19,Pennsylvania,Pennsylvania,Status Quo,Pennsylvania Blues Tonight,error,error,error,,,,,,,,,,,,,,,,,,,
20,20,Pennsylvania,Pennsylvania,Guy Mitchell,"Pittsburgh, Pennsylvania",spotify:track:4ph3PycOyjVCpWTz5amGRd,16,1991-09-03,,0.632,0.291,7.0,-15.005,1.0,0.0402,0.886,0.0,0.0914,0.895,146.246,audio_features,4ph3PycOyjVCpWTz5amGRd,spotify:track:4ph3PycOyjVCpWTz5amGRd,https://api.spotify.com/v1/tracks/4ph3PycOyjVCpWTz5amGRd,https://api.spotify.com/v1/audio-analysis/4ph3PycOyjVCpWTz5amGRd,176707.0,3.0
21,21,Pennsylvania,Pennsylvania,Everclear,Pennsylvania Is...,error,error,error,,,,,,,,,,,,,,,,,,,
22,22,Pennsylvania,Pennsylvania,Glenn Miller,Pennsylvania 6-5000,spotify:track:0H5dnOYw1mgdk7yhqpoVJh,45,1980-04-09,,0.707,0.279,1.0,-12.738,1.0,0.14,0.889,0.388,0.153,0.516,146.2,audio_features,0H5dnOYw1mgdk7yhqpoVJh,spotify:track:0H5dnOYw1mgdk7yhqpoVJh,https://api.spotify.com/v1/tracks/0H5dnOYw1mgdk7yhqpoVJh,https://api.spotify.com/v1/audio-analysis/0H5dnOYw1mgdk7yhqpoVJh,192240.0,4.0
23,23,Pennsylvania,Pennsylvania,Glenn Miller,Pennsylvania 6-5000,spotify:track:0H5dnOYw1mgdk7yhqpoVJh,45,1980-04-09,,0.707,0.279,1.0,-12.738,1.0,0.14,0.889,0.388,0.153,0.516,146.2,audio_features,0H5dnOYw1mgdk7yhqpoVJh,spotify:track:0H5dnOYw1mgdk7yhqpoVJh,https://api.spotify.com/v1/tracks/0H5dnOYw1mgdk7yhqpoVJh,https://api.spotify.com/v1/audio-analysis/0H5dnOYw1mgdk7yhqpoVJh,192240.0,4.0
24,24,Pennsylvania,Pennsylvania,Carpenters,(There's No Place Like) Home for the Holidays,spotify:track:7wGl806edcp34SOk5r7DEG,31,1978-10-13,,0.287,0.296,4.0,-14.797,1.0,0.0328,0.915,0.0,0.0849,0.428,83.792,audio_features,7wGl806edcp34SOk5r7DEG,spotify:track:7wGl806edcp34SOk5r7DEG,https://api.spotify.com/v1/tracks/7wGl806edcp34SOk5r7DEG,https://api.spotify.com/v1/audio-analysis/7wGl806edcp34SOk5r7DEG,155960.0,3.0
25,25,Pennsylvania,Pennsylvania,Perry Como,(There's No Place Like) Home For the Holidays,spotify:track:5mKxNjNnRFpO9Muzw3Ug0u,35,1999-08-20,,0.69,0.189,0.0,-12.797,1.0,0.0316,0.897,0.0,0.133,0.735,78.042,audio_features,5mKxNjNnRFpO9Muzw3Ug0u,spotify:track:5mKxNjNnRFpO9Muzw3Ug0u,https://api.spotify.com/v1/tracks/5mKxNjNnRFpO9Muzw3Ug0u,https://api.spotify.com/v1/audio-analysis/5mKxNjNnRFpO9Muzw3Ug0u,171333.0,4.0
26,26,Pennsylvania,Pennsylvania,Perry Como,(There's No Place Like) Home for the Holidays,spotify:track:5mKxNjNnRFpO9Muzw3Ug0u,35,1999-08-20,,0.69,0.189,0.0,-12.797,1.0,0.0316,0.897,0.0,0.133,0.735,78.042,audio_features,5mKxNjNnRFpO9Muzw3Ug0u,spotify:track:5mKxNjNnRFpO9Muzw3Ug0u,https://api.spotify.com/v1/tracks/5mKxNjNnRFpO9Muzw3Ug0u,https://api.spotify.com/v1/audio-analysis/5mKxNjNnRFpO9Muzw3Ug0u,171333.0,4.0
27,27,Pennsylvania,Pennsylvania,Carpenters,(There's No Place Like) Home for the Holidays,spotify:track:7wGl806edcp34SOk5r7DEG,31,1978-10-13,,0.287,0.296,4.0,-14.797,1.0,0.0328,0.915,0.0,0.0849,0.428,83.792,audio_features,7wGl806edcp34SOk5r7DEG,spotify:track:7wGl806edcp34SOk5r7DEG,https://api.spotify.com/v1/tracks/7wGl806edcp34SOk5r7DEG,https://api.spotify.com/v1/audio-analysis/7wGl806edcp34SOk5r7DEG,155960.0,3.0
