,Unnamed: 0,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error,error.status,error.message
0,0,Puerto Rico,Puerto Rico,Rubén Blades,Almost Like Praying,spotify:track:3dskm5fAe8OkBtM9E0VVWx,48,2017-10-06,0.471,0.791,5.0,-3.373,0.0,0.238,0.0198,0.0,0.232,0.507,188.36,audio_features,3dskm5fAe8OkBtM9E0VVWx,spotify:track:3dskm5fAe8OkBtM9E0VVWx,https://api.spotify.com/v1/tracks/3dskm5fAe8OkBtM9E0VVWx,https://api.spotify.com/v1/audio-analysis/3dskm5fAe8OkBtM9E0VVWx,200457.0,4.0,,,
1,1,Puerto Rico,Puerto Rico,Frankie Cutlass,Puerto Rico,spotify:track:30FQ3Tz4mcD26tIvdYHfRk,21,1994-03-03,0.842,0.508,1.0,-12.298,1.0,0.271,0.00725,0.00113,0.279,0.518,100.279,audio_features,30FQ3Tz4mcD26tIvdYHfRk,spotify:track:30FQ3Tz4mcD26tIvdYHfRk,https://api.spotify.com/v1/tracks/30FQ3Tz4mcD26tIvdYHfRk,https://api.spotify.com/v1/audio-analysis/30FQ3Tz4mcD26tIvdYHfRk,296125.0,4.0,,,
2,2,Puerto Rico,Puerto Rico,Aventura,Mi Puerto Rico,spotify:track:4Z4kXHVqBpvppEnSityvSl,37,2002-06-01,0.628,0.722,1.0,-7.37,0.0,0.0695,0.354,1.2e-06,0.0756,0.961,101.05,audio_features,4Z4kXHVqBpvppEnSityvSl,spotify:track:4Z4kXHVqBpvppEnSityvSl,https://api.spotify.com/v1/tracks/4Z4kXHVqBpvppEnSityvSl,https://api.spotify.com/v1/audio-analysis/4Z4kXHVqBpvppEnSityvSl,232107.0,5.0,,,
3,3,Puerto Rico,Puerto Rico,Aventura,Mi Puerto Rico,spotify:track:4Z4kXHVqBpvppEnSityvSl,37,2002-06-01,0.628,0.722,1.0,-7.37,0.0,0.0695,0.354,1.2e-06,0.0756,0.961,101.05,audio_features,4Z4kXHVqBpvppEnSityvSl,spotify:track:4Z4kXHVqBpvppEnSityvSl,https://api.spotify.com/v1/tracks/4Z4kXHVqBpvppEnSityvSl,https://api.spotify.com/v1/audio-analysis/4Z4kXHVqBpvppEnSityvSl,232107.0,5.0,,,
4,4,Puerto Rico,Puerto Rico,Don Omar,Perreando [Mix],error,error,error,,,,,,,,,,,,,,,,,,,,,
5,5,Puerto Rico,Puerto Rico,Elvis Crespo,Verano del 19,spotify:track:7v31MsTUNYCquNXmfZklX5,31,2019-09-06,0.608,0.871,7.0,-6.208,0.0,0.2,0.118,0.0,0.718,0.777,127.871,audio_features,7v31MsTUNYCquNXmfZklX5,spotify:track:7v31MsTUNYCquNXmfZklX5,https://api.spotify.com/v1/tracks/7v31MsTUNYCquNXmfZklX5,https://api.spotify.com/v1/audio-analysis/7v31MsTUNYCquNXmfZklX5,252055.0,4.0,,,
6,6,Puerto Rico,Puerto Rico,José Feliciano,Born in Puerto Rico,spotify:track:6ZgAXsyuHKOg8XPgQ9EcI3,20,1997-11-18,0.431,0.401,2.0,-9.869,0.0,0.0388,0.821,3.18e-05,0.229,0.343,103.395,audio_features,6ZgAXsyuHKOg8XPgQ9EcI3,spotify:track:6ZgAXsyuHKOg8XPgQ9EcI3,https://api.spotify.com/v1/tracks/6ZgAXsyuHKOg8XPgQ9EcI3,https://api.spotify.com/v1/audio-analysis/6ZgAXsyuHKOg8XPgQ9EcI3,299253.0,4.0,,,
7,7,Puerto Rico,Puerto Rico,Cristian Castro,Puerto Rico,spotify:track:5erCqxcEYZ9CkUxz8EfptT,11,2001-11-13,0.82,0.694,8.0,-4.711,0.0,0.0327,0.155,5.2e-06,0.0838,0.856,125.199,audio_features,5erCqxcEYZ9CkUxz8EfptT,spotify:track:5erCqxcEYZ9CkUxz8EfptT,https://api.spotify.com/v1/tracks/5erCqxcEYZ9CkUxz8EfptT,https://api.spotify.com/v1/audio-analysis/5erCqxcEYZ9CkUxz8EfptT,264240.0,4.0,,,
8,8,Puerto Rico,Puerto Rico,Daddy Yankee,Medley Oh Ah,error,error,error,,,,,,,,,,,,,,,,,,,,,
9,9,Puerto Rico,Puerto Rico,Don Omar,Perreando [Remix],spotify:track:2nwvB4Hrw0m0Nk7ff0cnW2,35,2003-01-01,0.924,0.622,11.0,-9.017,1.0,0.0728,0.179,0.0,0.277,0.684,97.973,audio_features,2nwvB4Hrw0m0Nk7ff0cnW2,spotify:track:2nwvB4Hrw0m0Nk7ff0cnW2,https://api.spotify.com/v1/tracks/2nwvB4Hrw0m0Nk7ff0cnW2,https://api.spotify.com/v1/audio-analysis/2nwvB4Hrw0m0Nk7ff0cnW2,152267.0,4.0,,,
