,Unnamed: 0,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0,Rhode Island,Rhode Island,Foals,Total Life Forever,spotify:track:3qchaSw8qBjbdPxFXIO7Bv,31,2010-06-15,0.681,0.864,7.0,-5.817,1.0,0.0429,0.00801,0.00219,0.0612,0.894,132.998,audio_features,3qchaSw8qBjbdPxFXIO7Bv,spotify:track:3qchaSw8qBjbdPxFXIO7Bv,https://api.spotify.com/v1/tracks/3qchaSw8qBjbdPxFXIO7Bv,https://api.spotify.com/v1/audio-analysis/3qchaSw8qBjbdPxFXIO7Bv,198200.0,4.0,
1,1,Rhode Island,Rhode Island,Ike & Tina Turner,Sweet Rhode Island Red,spotify:track:1HBJ1wG8dGvqPh5ijiPLdQ,18,1991-01-01,0.599,0.813,2.0,-12.851,1.0,0.0624,0.241,3.91e-05,0.0777,0.969,166.179,audio_features,1HBJ1wG8dGvqPh5ijiPLdQ,spotify:track:1HBJ1wG8dGvqPh5ijiPLdQ,https://api.spotify.com/v1/tracks/1HBJ1wG8dGvqPh5ijiPLdQ,https://api.spotify.com/v1/audio-analysis/1HBJ1wG8dGvqPh5ijiPLdQ,196440.0,4.0,
2,2,Rhode Island,Rhode Island,The Monkees,Calico Girlfriend Samba [CD Bonus; Previously Unreleased Track],error,error,error,,,,,,,,,,,,,,,,,,,
3,3,Rhode Island,Rhode Island,Mandy Patinkin,Rhode Island Is Famous for You,spotify:track:1a4NyMVSxLvPxVnIbnwq0E,2,2001-09-04,0.452,0.197,7.0,-13.033,1.0,0.195,0.482,1.28e-05,0.12,0.551,174.696,audio_features,1a4NyMVSxLvPxVnIbnwq0E,spotify:track:1a4NyMVSxLvPxVnIbnwq0E,https://api.spotify.com/v1/tracks/1a4NyMVSxLvPxVnIbnwq0E,https://api.spotify.com/v1/audio-analysis/1a4NyMVSxLvPxVnIbnwq0E,183760.0,4.0,
4,4,Rhode Island,Rhode Island,Michael Feinstein,Rhode Island Is Famous for You,spotify:track:5qyCg32ByqblJGMnN8xkQB,4,1987-06-30,0.47,0.0975,7.0,-20.311,0.0,0.124,0.953,0.0,0.715,0.403,75.943,audio_features,5qyCg32ByqblJGMnN8xkQB,spotify:track:5qyCg32ByqblJGMnN8xkQB,https://api.spotify.com/v1/tracks/5qyCg32ByqblJGMnN8xkQB,https://api.spotify.com/v1/audio-analysis/5qyCg32ByqblJGMnN8xkQB,196040.0,4.0,
5,5,Rhode Island,Rhode Island,Dick Haymes,Rhode Island Is Famous for You,error,error,error,,,,,,,,,,,,,,,,,,,
6,6,Rhode Island,Rhode Island,Blossom Dearie,Rhode Island Is Famous for You,spotify:track:5ozOHz9mYCxDt86RKU6Ypq,32,1960-01-01,0.665,0.18,1.0,-17.758,1.0,0.0688,0.856,0.0,0.121,0.81,95.026,audio_features,5ozOHz9mYCxDt86RKU6Ypq,spotify:track:5ozOHz9mYCxDt86RKU6Ypq,https://api.spotify.com/v1/tracks/5ozOHz9mYCxDt86RKU6Ypq,https://api.spotify.com/v1/audio-analysis/5ozOHz9mYCxDt86RKU6Ypq,131320.0,4.0,
7,7,Rhode Island,Rhode Island,Blossom Dearie,Rhode Island is Famous For You,spotify:track:5ozOHz9mYCxDt86RKU6Ypq,32,1960-01-01,0.665,0.18,1.0,-17.758,1.0,0.0688,0.856,0.0,0.121,0.81,95.026,audio_features,5ozOHz9mYCxDt86RKU6Ypq,spotify:track:5ozOHz9mYCxDt86RKU6Ypq,https://api.spotify.com/v1/tracks/5ozOHz9mYCxDt86RKU6Ypq,https://api.spotify.com/v1/audio-analysis/5ozOHz9mYCxDt86RKU6Ypq,131320.0,4.0,
8,8,Rhode Island,Rhode Island,Wesla Whitfield,Rhode Island Is Famous for You,error,error,error,,,,,,,,,,,,,,,,,,,
9,9,Rhode Island,Rhode Island,The Innocence Mission,Rhode Island,spotify:track:3Bzrkfz2UcJDIT074Ytj8t,12,2010-07-13,0.358,0.243,10.0,-10.924,1.0,0.0301,0.886,0.0302,0.107,0.265,86.157,audio_features,3Bzrkfz2UcJDIT074Ytj8t,spotify:track:3Bzrkfz2UcJDIT074Ytj8t,https://api.spotify.com/v1/tracks/3Bzrkfz2UcJDIT074Ytj8t,https://api.spotify.com/v1/audio-analysis/3Bzrkfz2UcJDIT074Ytj8t,204627.0,4.0,
10,10,Rhode Island,Rhode Island,Erin McKeown,Rhode Island Is Famous for You,spotify:track:77OERmTyGaSoMrgR0B0zRD,7,2007-01-09,0.57,0.597,5.0,-5.11,1.0,0.0746,0.432,0.0,0.371,0.889,111.906,audio_features,77OERmTyGaSoMrgR0B0zRD,spotify:track:77OERmTyGaSoMrgR0B0zRD,https://api.spotify.com/v1/tracks/77OERmTyGaSoMrgR0B0zRD,https://api.spotify.com/v1/audio-analysis/77OERmTyGaSoMrgR0B0zRD,166027.0,4.0,
11,11,Rhode Island,Rhode Island,Buddy Clark,Rhode Island Is Famous For You,error,error,error,,,,,,,,,,,,,,,,,,,
12,12,Rhode Island,Rhode Island,"Jack Haley, Sr.",Rhode Island Is Famous For You,spotify:track:3lvnL5tR8KCCLtTaR2O35K,5,2017-05-14,0.543,0.211,8.0,-16.895,1.0,0.162,0.943,0.0,0.329,0.803,94.615,audio_features,3lvnL5tR8KCCLtTaR2O35K,spotify:track:3lvnL5tR8KCCLtTaR2O35K,https://api.spotify.com/v1/tracks/3lvnL5tR8KCCLtTaR2O35K,https://api.spotify.com/v1/audio-analysis/3lvnL5tR8KCCLtTaR2O35K,149000.0,4.0,
13,13,Rhode Island,Rhode Island,Joe Cohn,Rhode Island Is Famous for You,error,error,error,,,,,,,,,,,,,,,,,,,
14,14,Rhode Island,Rhode Island,Patrick Williams,Rhode Island Is Famous For You,error,error,error,,,,,,,,,,,,,,,,,,,
15,15,Rhode Island,Rhode Island,David Silverman,Rhode Island Is Famous for You,error,error,error,,,,,,,,,,,,,,,,,,,
