,Unnamed: 0,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0,South Carolina,South Carolina,Josh Turner,South Carolina Low Country,spotify:track:0Jcw5iId8lvWD2kufa7rgZ,37,2007-01-01,0.693,0.625,10.0,-8.423,1.0,0.0289,0.401,0.00472,0.0766,0.501,116.36,audio_features,0Jcw5iId8lvWD2kufa7rgZ,spotify:track:0Jcw5iId8lvWD2kufa7rgZ,https://api.spotify.com/v1/tracks/0Jcw5iId8lvWD2kufa7rgZ,https://api.spotify.com/v1/audio-analysis/0Jcw5iId8lvWD2kufa7rgZ,288533.0,4.0,
1,1,South Carolina,South Carolina,Dean Martin,Just a Little Bit South of North Carolina,spotify:track:6rc6TuBovkkAOVj6AiCnpk,14,2006-01-01,0.632,0.19,3.0,-12.555,1.0,0.0934,0.829,0.0,0.0453,0.759,144.91,audio_features,6rc6TuBovkkAOVj6AiCnpk,spotify:track:6rc6TuBovkkAOVj6AiCnpk,https://api.spotify.com/v1/tracks/6rc6TuBovkkAOVj6AiCnpk,https://api.spotify.com/v1/audio-analysis/6rc6TuBovkkAOVj6AiCnpk,127027.0,4.0,
2,2,South Carolina,South Carolina,Maclaren Brennan,South Carolina,error,error,error,,,,,,,,,,,,,,,,,,,
3,3,South Carolina,South Carolina,Anita O'Day,Just a Little Bit South of North Carolina,spotify:track:7fK4RO6zPqy3fj7YroTlmB,16,1941,0.704,0.356,9.0,-7.886,0.0,0.0428,0.948,0.035,0.0799,0.599,142.366,audio_features,7fK4RO6zPqy3fj7YroTlmB,spotify:track:7fK4RO6zPqy3fj7YroTlmB,https://api.spotify.com/v1/tracks/7fK4RO6zPqy3fj7YroTlmB,https://api.spotify.com/v1/audio-analysis/7fK4RO6zPqy3fj7YroTlmB,161027.0,4.0,
4,4,South Carolina,South Carolina,Ray LaMontagne,Strong Enough,spotify:track:71UTcCow2CVqk8PkDsIrXq,58,2020-05-29,0.717,0.706,2.0,-8.612,1.0,0.0278,0.116,1.51e-05,0.184,0.967,130.543,audio_features,71UTcCow2CVqk8PkDsIrXq,spotify:track:71UTcCow2CVqk8PkDsIrXq,https://api.spotify.com/v1/tracks/71UTcCow2CVqk8PkDsIrXq,https://api.spotify.com/v1/audio-analysis/71UTcCow2CVqk8PkDsIrXq,214653.0,4.0,
5,5,South Carolina,South Carolina,Gene Krupa,Just a Little Bit South of North Carolina,spotify:track:7fK4RO6zPqy3fj7YroTlmB,16,1941,0.704,0.356,9.0,-7.886,0.0,0.0428,0.948,0.035,0.0799,0.599,142.366,audio_features,7fK4RO6zPqy3fj7YroTlmB,spotify:track:7fK4RO6zPqy3fj7YroTlmB,https://api.spotify.com/v1/tracks/7fK4RO6zPqy3fj7YroTlmB,https://api.spotify.com/v1/audio-analysis/7fK4RO6zPqy3fj7YroTlmB,161027.0,4.0,
6,6,South Carolina,South Carolina,Archers of Loaf,South Carolina,spotify:track:70jAh7IGCWu2RWvZ5Kqsjn,12,1996,0.23,0.889,4.0,-5.771,1.0,0.0681,0.0791,0.721,0.272,0.22,110.448,audio_features,70jAh7IGCWu2RWvZ5Kqsjn,spotify:track:70jAh7IGCWu2RWvZ5Kqsjn,https://api.spotify.com/v1/tracks/70jAh7IGCWu2RWvZ5Kqsjn,https://api.spotify.com/v1/audio-analysis/70jAh7IGCWu2RWvZ5Kqsjn,213693.0,4.0,
7,7,South Carolina,South Carolina,Poco,Crazy Eyes,spotify:track:76ghKBex4s8c8Ahc8DDsNM,21,1973-09-15,0.392,0.293,7.0,-14.709,1.0,0.0367,0.288,0.0212,0.111,0.257,128.567,audio_features,76ghKBex4s8c8Ahc8DDsNM,spotify:track:76ghKBex4s8c8Ahc8DDsNM,https://api.spotify.com/v1/tracks/76ghKBex4s8c8Ahc8DDsNM,https://api.spotify.com/v1/audio-analysis/76ghKBex4s8c8Ahc8DDsNM,579333.0,4.0,
8,8,South Carolina,South Carolina,John Linnell,South Carolina,spotify:track:7xloUzsOrH0Cd2CeR3M84w,13,1999-10-26,0.707,0.72,0.0,-5.768,1.0,0.0277,0.0557,0.157,0.0889,0.724,96.231,audio_features,7xloUzsOrH0Cd2CeR3M84w,spotify:track:7xloUzsOrH0Cd2CeR3M84w,https://api.spotify.com/v1/tracks/7xloUzsOrH0Cd2CeR3M84w,https://api.spotify.com/v1/audio-analysis/7xloUzsOrH0Cd2CeR3M84w,226733.0,4.0,
9,9,South Carolina,South Carolina,Tennis,South Carolina,spotify:track:6d4El6z4CKzr4aDnc0cM0E,24,2011,0.506,0.869,7.0,-7.572,1.0,0.0325,0.102,0.0443,0.2,0.836,137.981,audio_features,6d4El6z4CKzr4aDnc0cM0E,spotify:track:6d4El6z4CKzr4aDnc0cM0E,https://api.spotify.com/v1/tracks/6d4El6z4CKzr4aDnc0cM0E,https://api.spotify.com/v1/audio-analysis/6d4El6z4CKzr4aDnc0cM0E,152200.0,4.0,
10,10,South Carolina,South Carolina,Jimmy Buffett,Honey Do,spotify:track:7CNXqnCm1sMUT64TzyjvMh,19,1983,0.81,0.337,8.0,-16.595,1.0,0.0518,0.508,0.0,0.136,0.443,115.793,audio_features,7CNXqnCm1sMUT64TzyjvMh,spotify:track:7CNXqnCm1sMUT64TzyjvMh,https://api.spotify.com/v1/tracks/7CNXqnCm1sMUT64TzyjvMh,https://api.spotify.com/v1/audio-analysis/7CNXqnCm1sMUT64TzyjvMh,272200.0,4.0,
