,Unnamed: 0,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0,Tennessee,Tennessee,Don Gibson,Tennessee Stud,spotify:track:5uQ9V0s9Wd2Aklus6ULaSv,0,2012-01-31,0.509,0.269,4.0,-14.307,1.0,0.027,0.286,0.0205,0.108,0.124,137.578,audio_features,5uQ9V0s9Wd2Aklus6ULaSv,spotify:track:5uQ9V0s9Wd2Aklus6ULaSv,https://api.spotify.com/v1/tracks/5uQ9V0s9Wd2Aklus6ULaSv,https://api.spotify.com/v1/audio-analysis/5uQ9V0s9Wd2Aklus6ULaSv,233741.0,4.0,
1,1,Tennessee,Tennessee,The Nitty Gritty Dirt Band,Tennessee,spotify:track:7y4n6DR00OatQpzp33IZby,33,1972,0.6,0.572,7.0,-8.77,1.0,0.0384,0.79,6.67e-06,0.203,0.774,97.868,audio_features,7y4n6DR00OatQpzp33IZby,spotify:track:7y4n6DR00OatQpzp33IZby,https://api.spotify.com/v1/tracks/7y4n6DR00OatQpzp33IZby,https://api.spotify.com/v1/audio-analysis/7y4n6DR00OatQpzp33IZby,290867.0,4.0,
2,2,Tennessee,Tennessee,Arlo Guthrie,Tennessee Stud,error,error,error,,,,,,,,,,,,,,,,,,,
3,3,Tennessee,Tennessee,Grateful Dead,Tennessee Jed,spotify:track:1ae0SQx8MpBXo6QsmrpsEj,49,2001,0.601,0.492,0.0,-8.185,1.0,0.0274,0.484,0.0139,0.308,0.727,131.383,audio_features,1ae0SQx8MpBXo6QsmrpsEj,spotify:track:1ae0SQx8MpBXo6QsmrpsEj,https://api.spotify.com/v1/tracks/1ae0SQx8MpBXo6QsmrpsEj,https://api.spotify.com/v1/audio-analysis/1ae0SQx8MpBXo6QsmrpsEj,430627.0,4.0,
4,4,Tennessee,Tennessee,Ramblin' Jack Elliott,Tennessee Stud,spotify:track:7rbAmU1UITKIhDq47HRBwf,15,1968,0.556,0.512,1.0,-10.859,1.0,0.0372,0.75,0.000224,0.11,0.513,107.124,audio_features,7rbAmU1UITKIhDq47HRBwf,spotify:track:7rbAmU1UITKIhDq47HRBwf,https://api.spotify.com/v1/tracks/7rbAmU1UITKIhDq47HRBwf,https://api.spotify.com/v1/audio-analysis/7rbAmU1UITKIhDq47HRBwf,291253.0,4.0,
5,5,Tennessee,Tennessee,Johnny Hallyday,Quelque chose de Tennessee,spotify:track:54BqQGaBnDTkSKOp7A3MRP,42,1985-01-01,0.511,0.359,4.0,-12.174,1.0,0.0273,0.315,0.0,0.108,0.318,105.872,audio_features,54BqQGaBnDTkSKOp7A3MRP,spotify:track:54BqQGaBnDTkSKOp7A3MRP,https://api.spotify.com/v1/tracks/54BqQGaBnDTkSKOp7A3MRP,https://api.spotify.com/v1/audio-analysis/54BqQGaBnDTkSKOp7A3MRP,250067.0,4.0,
6,6,Tennessee,Tennessee,Country Joe McDonald,Tennessee Stud,spotify:track:4QvPpTARltCJap9S4ky5N7,31,2000-10-16,0.806,0.356,5.0,-15.68,1.0,0.0455,0.772,0.0,0.242,0.629,95.071,audio_features,4QvPpTARltCJap9S4ky5N7,spotify:track:4QvPpTARltCJap9S4ky5N7,https://api.spotify.com/v1/tracks/4QvPpTARltCJap9S4ky5N7,https://api.spotify.com/v1/audio-analysis/4QvPpTARltCJap9S4ky5N7,186107.0,4.0,
7,7,Tennessee,Tennessee,Johnny Cash,Tennessee Stud,spotify:track:5mRBBpUjXN3jHFT5GYNrrk,52,1994-01-01,0.596,0.145,4.0,-16.797,1.0,0.0487,0.954,0.00127,0.687,0.643,80.03,audio_features,5mRBBpUjXN3jHFT5GYNrrk,spotify:track:5mRBBpUjXN3jHFT5GYNrrk,https://api.spotify.com/v1/tracks/5mRBBpUjXN3jHFT5GYNrrk,https://api.spotify.com/v1/audio-analysis/5mRBBpUjXN3jHFT5GYNrrk,174627.0,4.0,
8,8,Tennessee,Tennessee,Johnny Cash,Tennessee Stud,spotify:track:5mRBBpUjXN3jHFT5GYNrrk,52,1994-01-01,0.596,0.145,4.0,-16.797,1.0,0.0487,0.954,0.00127,0.687,0.643,80.03,audio_features,5mRBBpUjXN3jHFT5GYNrrk,spotify:track:5mRBBpUjXN3jHFT5GYNrrk,https://api.spotify.com/v1/tracks/5mRBBpUjXN3jHFT5GYNrrk,https://api.spotify.com/v1/audio-analysis/5mRBBpUjXN3jHFT5GYNrrk,174627.0,4.0,
9,9,Tennessee,Tennessee,Joe Ely,Tennessee's Not the State I'm In,spotify:track:3avdLtBxdqApyHWygdYplC,13,1977-01-01,0.457,0.354,2.0,-12.855,1.0,0.0283,0.47,0.0114,0.146,0.474,129.502,audio_features,3avdLtBxdqApyHWygdYplC,spotify:track:3avdLtBxdqApyHWygdYplC,https://api.spotify.com/v1/tracks/3avdLtBxdqApyHWygdYplC,https://api.spotify.com/v1/audio-analysis/3avdLtBxdqApyHWygdYplC,184493.0,4.0,
10,10,Tennessee,Tennessee,Billy Eckstine,The Tennessee Rock 'N' Roll,spotify:track:6Jtrf0ljNtWF4ZhvjLeLyV,0,2019-10-10,0.337,0.675,0.0,-6.446,1.0,0.0347,0.351,0.0,0.157,0.96,175.302,audio_features,6Jtrf0ljNtWF4ZhvjLeLyV,spotify:track:6Jtrf0ljNtWF4ZhvjLeLyV,https://api.spotify.com/v1/tracks/6Jtrf0ljNtWF4ZhvjLeLyV,https://api.spotify.com/v1/audio-analysis/6Jtrf0ljNtWF4ZhvjLeLyV,150107.0,4.0,
11,11,Tennessee,Tennessee,Porter Wagoner,Tennessee Stud,spotify:track:6slql8dg1Ix6QfkDQQbSa4,0,1969-08-01,0.706,0.211,5.0,-20.218,1.0,0.0393,0.726,4.32e-06,0.145,0.741,91.289,audio_features,6slql8dg1Ix6QfkDQQbSa4,spotify:track:6slql8dg1Ix6QfkDQQbSa4,https://api.spotify.com/v1/tracks/6slql8dg1Ix6QfkDQQbSa4,https://api.spotify.com/v1/audio-analysis/6slql8dg1Ix6QfkDQQbSa4,164533.0,4.0,
12,12,Tennessee,Tennessee,Jason Aldean,Tennessee River,spotify:track:3UOiZC28zG24pUhlLccEyS,31,2013-01-01,0.37,0.897,2.0,-4.616,1.0,0.0739,0.0842,0.000107,0.108,0.585,96.542,audio_features,3UOiZC28zG24pUhlLccEyS,spotify:track:3UOiZC28zG24pUhlLccEyS,https://api.spotify.com/v1/tracks/3UOiZC28zG24pUhlLccEyS,https://api.spotify.com/v1/audio-analysis/3UOiZC28zG24pUhlLccEyS,262187.0,4.0,
13,13,Tennessee,Tennessee,Lester Flatt,My Little Girl in Tennessee,spotify:track:6VeWgbaIt3UoejSQgebdFJ,14,2003-04-22,0.517,0.559,8.0,-10.453,1.0,0.0278,0.722,0.00454,0.257,0.943,135.245,audio_features,6VeWgbaIt3UoejSQgebdFJ,spotify:track:6VeWgbaIt3UoejSQgebdFJ,https://api.spotify.com/v1/tracks/6VeWgbaIt3UoejSQgebdFJ,https://api.spotify.com/v1/audio-analysis/6VeWgbaIt3UoejSQgebdFJ,161267.0,4.0,
14,14,Tennessee,Tennessee,Bill Monroe,Tennessee,spotify:track:5LgEiSkzwYqHhW1iSOaDeT,13,2002-04-23,0.45,0.629,9.0,-10.245,1.0,0.0445,0.223,0.895,0.242,0.973,140.131,audio_features,5LgEiSkzwYqHhW1iSOaDeT,spotify:track:5LgEiSkzwYqHhW1iSOaDeT,https://api.spotify.com/v1/tracks/5LgEiSkzwYqHhW1iSOaDeT,https://api.spotify.com/v1/audio-analysis/5LgEiSkzwYqHhW1iSOaDeT,169720.0,4.0,
15,15,Tennessee,Tennessee,Michael Martin Murphey,Tennessee Stud,spotify:track:1JiyMcyM8rnmWXegxzuwRd,9,1997-06-03,0.747,0.579,9.0,-9.804,0.0,0.0247,0.38,0.00537,0.125,0.941,93.866,audio_features,1JiyMcyM8rnmWXegxzuwRd,spotify:track:1JiyMcyM8rnmWXegxzuwRd,https://api.spotify.com/v1/tracks/1JiyMcyM8rnmWXegxzuwRd,https://api.spotify.com/v1/audio-analysis/1JiyMcyM8rnmWXegxzuwRd,251600.0,4.0,
16,16,Tennessee,Tennessee,Carl Perkins,Tennessee,spotify:track:64PVkJKrSoVLkjs1f35vVp,23,1957,0.727,0.723,4.0,-7.049,1.0,0.059,0.61,0.0,0.13,0.845,100.619,audio_features,64PVkJKrSoVLkjs1f35vVp,spotify:track:64PVkJKrSoVLkjs1f35vVp,https://api.spotify.com/v1/tracks/64PVkJKrSoVLkjs1f35vVp,https://api.spotify.com/v1/audio-analysis/64PVkJKrSoVLkjs1f35vVp,182924.0,4.0,
17,17,Tennessee,Tennessee,Lester Flatt,My Little Girl in Tennessee,spotify:track:6VeWgbaIt3UoejSQgebdFJ,14,2003-04-22,0.517,0.559,8.0,-10.453,1.0,0.0278,0.722,0.00454,0.257,0.943,135.245,audio_features,6VeWgbaIt3UoejSQgebdFJ,spotify:track:6VeWgbaIt3UoejSQgebdFJ,https://api.spotify.com/v1/tracks/6VeWgbaIt3UoejSQgebdFJ,https://api.spotify.com/v1/audio-analysis/6VeWgbaIt3UoejSQgebdFJ,161267.0,4.0,
18,18,Tennessee,Tennessee,Jerry Lee Lewis,Tennessee,spotify:track:59Un8fxAhO1FOETMu1ZeGz,9,1977-07-27,0.45,0.755,7.0,-11.362,1.0,0.045,0.83,0.0534,0.12,0.952,168.012,audio_features,59Un8fxAhO1FOETMu1ZeGz,spotify:track:59Un8fxAhO1FOETMu1ZeGz,https://api.spotify.com/v1/tracks/59Un8fxAhO1FOETMu1ZeGz,https://api.spotify.com/v1/audio-analysis/59Un8fxAhO1FOETMu1ZeGz,150733.0,4.0,
19,19,Tennessee,Tennessee,Chris LeDoux,Tennessee Stud,spotify:track:1nE8IYHkdPpU1UiVHTBVV9,30,2004-01-01,0.779,0.709,9.0,-6.907,1.0,0.0347,0.542,0.0171,0.184,0.962,100.772,audio_features,1nE8IYHkdPpU1UiVHTBVV9,spotify:track:1nE8IYHkdPpU1UiVHTBVV9,https://api.spotify.com/v1/tracks/1nE8IYHkdPpU1UiVHTBVV9,https://api.spotify.com/v1/audio-analysis/1nE8IYHkdPpU1UiVHTBVV9,171800.0,4.0,
20,20,Tennessee,Tennessee,Johnny Hallyday,Quelque chose de Tennessee,spotify:track:54BqQGaBnDTkSKOp7A3MRP,42,1985-01-01,0.511,0.359,4.0,-12.174,1.0,0.0273,0.315,0.0,0.108,0.318,105.872,audio_features,54BqQGaBnDTkSKOp7A3MRP,spotify:track:54BqQGaBnDTkSKOp7A3MRP,https://api.spotify.com/v1/tracks/54BqQGaBnDTkSKOp7A3MRP,https://api.spotify.com/v1/audio-analysis/54BqQGaBnDTkSKOp7A3MRP,250067.0,4.0,
21,21,Tennessee,Tennessee,Yelawolf,Tennessee Love,spotify:track:5zbN6BAAAjDwYjEJQFlbYb,57,2015-04-21,0.83,0.608,7.0,-3.892,0.0,0.162,0.699,0.000202,0.177,0.418,119.989,audio_features,5zbN6BAAAjDwYjEJQFlbYb,spotify:track:5zbN6BAAAjDwYjEJQFlbYb,https://api.spotify.com/v1/tracks/5zbN6BAAAjDwYjEJQFlbYb,https://api.spotify.com/v1/audio-analysis/5zbN6BAAAjDwYjEJQFlbYb,294027.0,4.0,
22,22,Tennessee,Tennessee,Yelawolf,Tennessee Love,spotify:track:5zbN6BAAAjDwYjEJQFlbYb,57,2015-04-21,0.83,0.608,7.0,-3.892,0.0,0.162,0.699,0.000202,0.177,0.418,119.989,audio_features,5zbN6BAAAjDwYjEJQFlbYb,spotify:track:5zbN6BAAAjDwYjEJQFlbYb,https://api.spotify.com/v1/tracks/5zbN6BAAAjDwYjEJQFlbYb,https://api.spotify.com/v1/audio-analysis/5zbN6BAAAjDwYjEJQFlbYb,294027.0,4.0,
23,23,Tennessee,Tennessee,Johnny Hallyday,Quelque chose de Tennessee,spotify:track:54BqQGaBnDTkSKOp7A3MRP,42,1985-01-01,0.511,0.359,4.0,-12.174,1.0,0.0273,0.315,0.0,0.108,0.318,105.872,audio_features,54BqQGaBnDTkSKOp7A3MRP,spotify:track:54BqQGaBnDTkSKOp7A3MRP,https://api.spotify.com/v1/tracks/54BqQGaBnDTkSKOp7A3MRP,https://api.spotify.com/v1/audio-analysis/54BqQGaBnDTkSKOp7A3MRP,250067.0,4.0,
24,24,Tennessee,Tennessee,Ohio Express,Down in Tennessee,error,error,error,,,,,,,,,,,,,,,,,,,
25,25,Tennessee,Tennessee,The Everly Brothers,Rocky Top,spotify:track:7oOw3RPdIS7yVoiRK1TvAU,5,1973,0.562,0.61,7.0,-15.516,1.0,0.0471,0.681,6.2e-06,0.293,0.697,133.084,audio_features,7oOw3RPdIS7yVoiRK1TvAU,spotify:track:7oOw3RPdIS7yVoiRK1TvAU,https://api.spotify.com/v1/tracks/7oOw3RPdIS7yVoiRK1TvAU,https://api.spotify.com/v1/audio-analysis/7oOw3RPdIS7yVoiRK1TvAU,173520.0,4.0,
26,26,Tennessee,Tennessee,Carl Perkins,Tennessee,spotify:track:64PVkJKrSoVLkjs1f35vVp,23,1957,0.727,0.723,4.0,-7.049,1.0,0.059,0.61,0.0,0.13,0.845,100.619,audio_features,64PVkJKrSoVLkjs1f35vVp,spotify:track:64PVkJKrSoVLkjs1f35vVp,https://api.spotify.com/v1/tracks/64PVkJKrSoVLkjs1f35vVp,https://api.spotify.com/v1/audio-analysis/64PVkJKrSoVLkjs1f35vVp,182924.0,4.0,
27,27,Tennessee,Tennessee,Johnny Hallyday,Quelque chose de Tennessee,spotify:track:54BqQGaBnDTkSKOp7A3MRP,42,1985-01-01,0.511,0.359,4.0,-12.174,1.0,0.0273,0.315,0.0,0.108,0.318,105.872,audio_features,54BqQGaBnDTkSKOp7A3MRP,spotify:track:54BqQGaBnDTkSKOp7A3MRP,https://api.spotify.com/v1/tracks/54BqQGaBnDTkSKOp7A3MRP,https://api.spotify.com/v1/audio-analysis/54BqQGaBnDTkSKOp7A3MRP,250067.0,4.0,
28,28,Tennessee,Tennessee,Johnny Hallyday,Quelque chose de Tennessee,spotify:track:54BqQGaBnDTkSKOp7A3MRP,42,1985-01-01,0.511,0.359,4.0,-12.174,1.0,0.0273,0.315,0.0,0.108,0.318,105.872,audio_features,54BqQGaBnDTkSKOp7A3MRP,spotify:track:54BqQGaBnDTkSKOp7A3MRP,https://api.spotify.com/v1/tracks/54BqQGaBnDTkSKOp7A3MRP,https://api.spotify.com/v1/audio-analysis/54BqQGaBnDTkSKOp7A3MRP,250067.0,4.0,
29,29,Tennessee,Tennessee,Dolly Parton,Rocky Top,spotify:track:3SpS1YrqjhPisiTsUlOXNy,21,2004-09-14,0.504,0.908,5.0,-7.229,1.0,0.139,0.337,0.0,0.746,0.706,156.2,audio_features,3SpS1YrqjhPisiTsUlOXNy,spotify:track:3SpS1YrqjhPisiTsUlOXNy,https://api.spotify.com/v1/tracks/3SpS1YrqjhPisiTsUlOXNy,https://api.spotify.com/v1/audio-analysis/3SpS1YrqjhPisiTsUlOXNy,175013.0,4.0,
30,30,Tennessee,Tennessee,Charlie Daniels,Tennessee Two Step,spotify:track:1Wa4fqByXUjhnJLWKj9dVg,7,1993-01-01,0.588,0.719,9.0,-12.168,1.0,0.0302,0.038,0.0,0.285,0.904,146.823,audio_features,1Wa4fqByXUjhnJLWKj9dVg,spotify:track:1Wa4fqByXUjhnJLWKj9dVg,https://api.spotify.com/v1/tracks/1Wa4fqByXUjhnJLWKj9dVg,https://api.spotify.com/v1/audio-analysis/1Wa4fqByXUjhnJLWKj9dVg,291107.0,4.0,
31,31,Tennessee,Tennessee,Emmylou Harris,Tennessee Waltz,spotify:track:2Rx8TQCAXH5xXGbrDlzeia,26,1981-11-11,0.312,0.184,6.0,-13.778,1.0,0.0313,0.769,0.000598,0.0995,0.2,93.949,audio_features,2Rx8TQCAXH5xXGbrDlzeia,spotify:track:2Rx8TQCAXH5xXGbrDlzeia,https://api.spotify.com/v1/tracks/2Rx8TQCAXH5xXGbrDlzeia,https://api.spotify.com/v1/audio-analysis/2Rx8TQCAXH5xXGbrDlzeia,148947.0,3.0,
32,32,Tennessee,Tennessee,Hank Snow & His Rainbow Ranch Boys,Music Makin' Mama from Memphis,spotify:track:7ehNNFXYveMucWhw6wP55f,16,1997,0.675,0.711,3.0,-7.0,1.0,0.0403,0.243,3.5e-06,0.26,0.967,107.293,audio_features,7ehNNFXYveMucWhw6wP55f,spotify:track:7ehNNFXYveMucWhw6wP55f,https://api.spotify.com/v1/tracks/7ehNNFXYveMucWhw6wP55f,https://api.spotify.com/v1/audio-analysis/7ehNNFXYveMucWhw6wP55f,144960.0,4.0,
33,33,Tennessee,Tennessee,Chris Stapleton,Tennessee Whiskey,spotify:track:3fqwjXwUGN6vbzIwvyFMhx,79,2015-05-04,0.392,0.37,9.0,-10.888,1.0,0.0298,0.205,0.0096,0.0821,0.512,48.718,audio_features,3fqwjXwUGN6vbzIwvyFMhx,spotify:track:3fqwjXwUGN6vbzIwvyFMhx,https://api.spotify.com/v1/tracks/3fqwjXwUGN6vbzIwvyFMhx,https://api.spotify.com/v1/audio-analysis/3fqwjXwUGN6vbzIwvyFMhx,293293.0,4.0,
34,34,Tennessee,Tennessee,Don Henley,Brand New Tennessee Waltz [Bonus Track],error,error,error,,,,,,,,,,,,,,,,,,,
