,Unnamed: 0,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0,West Virginia,West Virginia,Phil Ochs,Hills of West Virginia,spotify:track:0OvW5WjO0lnOKoPmkg92no,16,1965,0.519,0.18,2.0,-16.123,1.0,0.0546,0.863,0.0,0.108,0.453,106.843,audio_features,0OvW5WjO0lnOKoPmkg92no,spotify:track:0OvW5WjO0lnOKoPmkg92no,https://api.spotify.com/v1/tracks/0OvW5WjO0lnOKoPmkg92no,https://api.spotify.com/v1/audio-analysis/0OvW5WjO0lnOKoPmkg92no,201000.0,3.0,
1,1,West Virginia,West Virginia,Olivia Newton-John,"Take Me Home, Country Roads",spotify:track:5b8x2tQCEFgjc7iwPc8TGI,26,2013-03-19,0.318,0.535,3.0,-8.484,1.0,0.0409,0.319,1.99e-06,0.349,0.28,189.204,audio_features,5b8x2tQCEFgjc7iwPc8TGI,spotify:track:5b8x2tQCEFgjc7iwPc8TGI,https://api.spotify.com/v1/tracks/5b8x2tQCEFgjc7iwPc8TGI,https://api.spotify.com/v1/audio-analysis/5b8x2tQCEFgjc7iwPc8TGI,197893.0,4.0,
2,2,West Virginia,West Virginia,Olivia Newton-John,Take Me Home Country Roads,spotify:track:5b8x2tQCEFgjc7iwPc8TGI,26,2013-03-19,0.318,0.535,3.0,-8.484,1.0,0.0409,0.319,1.99e-06,0.349,0.28,189.204,audio_features,5b8x2tQCEFgjc7iwPc8TGI,spotify:track:5b8x2tQCEFgjc7iwPc8TGI,https://api.spotify.com/v1/tracks/5b8x2tQCEFgjc7iwPc8TGI,https://api.spotify.com/v1/audio-analysis/5b8x2tQCEFgjc7iwPc8TGI,197893.0,4.0,
3,3,West Virginia,West Virginia,Olivia Newton-John,"Take Me Home, Country Roads",spotify:track:5b8x2tQCEFgjc7iwPc8TGI,26,2013-03-19,0.318,0.535,3.0,-8.484,1.0,0.0409,0.319,1.99e-06,0.349,0.28,189.204,audio_features,5b8x2tQCEFgjc7iwPc8TGI,spotify:track:5b8x2tQCEFgjc7iwPc8TGI,https://api.spotify.com/v1/tracks/5b8x2tQCEFgjc7iwPc8TGI,https://api.spotify.com/v1/audio-analysis/5b8x2tQCEFgjc7iwPc8TGI,197893.0,4.0,
4,4,West Virginia,West Virginia,John Denver,"Take Me Home, Country Roads",spotify:track:39q7xibBdRboeMKUbZEB6g,78,1997-06-17,0.255,0.43,9.0,-12.564,1.0,0.0322,0.546,1.87e-05,0.188,0.546,164.267,audio_features,39q7xibBdRboeMKUbZEB6g,spotify:track:39q7xibBdRboeMKUbZEB6g,https://api.spotify.com/v1/tracks/39q7xibBdRboeMKUbZEB6g,https://api.spotify.com/v1/audio-analysis/39q7xibBdRboeMKUbZEB6g,197813.0,4.0,
5,5,West Virginia,West Virginia,John Denver,"Take Me Home, Country Roads",spotify:track:39q7xibBdRboeMKUbZEB6g,78,1997-06-17,0.255,0.43,9.0,-12.564,1.0,0.0322,0.546,1.87e-05,0.188,0.546,164.267,audio_features,39q7xibBdRboeMKUbZEB6g,spotify:track:39q7xibBdRboeMKUbZEB6g,https://api.spotify.com/v1/tracks/39q7xibBdRboeMKUbZEB6g,https://api.spotify.com/v1/audio-analysis/39q7xibBdRboeMKUbZEB6g,197813.0,4.0,
6,6,West Virginia,West Virginia,John Denver,"Take Me Home, Country Roads",spotify:track:39q7xibBdRboeMKUbZEB6g,78,1997-06-17,0.255,0.43,9.0,-12.564,1.0,0.0322,0.546,1.87e-05,0.188,0.546,164.267,audio_features,39q7xibBdRboeMKUbZEB6g,spotify:track:39q7xibBdRboeMKUbZEB6g,https://api.spotify.com/v1/tracks/39q7xibBdRboeMKUbZEB6g,https://api.spotify.com/v1/audio-analysis/39q7xibBdRboeMKUbZEB6g,197813.0,4.0,
7,7,West Virginia,West Virginia,Daniel Johnston,Wild West Virginia,spotify:track:5WeKep4cLMI4V8iaYeqa2C,12,1980,0.391,0.541,0.0,-9.814,1.0,0.11,0.956,0.00541,0.322,0.727,86.994,audio_features,5WeKep4cLMI4V8iaYeqa2C,spotify:track:5WeKep4cLMI4V8iaYeqa2C,https://api.spotify.com/v1/tracks/5WeKep4cLMI4V8iaYeqa2C,https://api.spotify.com/v1/audio-analysis/5WeKep4cLMI4V8iaYeqa2C,159800.0,3.0,
8,8,West Virginia,West Virginia,Hermes House Band,Country Roads,spotify:track:6BKOBYeTXMQtMRshLprSbS,63,2015-12-02,0.357,0.99,2.0,-4.914,1.0,0.354,0.279,0.0,0.604,0.599,196.988,audio_features,6BKOBYeTXMQtMRshLprSbS,spotify:track:6BKOBYeTXMQtMRshLprSbS,https://api.spotify.com/v1/tracks/6BKOBYeTXMQtMRshLprSbS,https://api.spotify.com/v1/audio-analysis/6BKOBYeTXMQtMRshLprSbS,193453.0,4.0,
9,9,West Virginia,West Virginia,"Steve Earle, Steve Earle & the Dukes","Union, God, and Country",spotify:track:0YdcBZ6CdpD3ycT4Ju6CNM,36,2020-05-22,0.209,0.834,9.0,-4.743,1.0,0.0757,0.00884,0.276,0.285,0.759,205.132,audio_features,0YdcBZ6CdpD3ycT4Ju6CNM,spotify:track:0YdcBZ6CdpD3ycT4Ju6CNM,https://api.spotify.com/v1/tracks/0YdcBZ6CdpD3ycT4Ju6CNM,https://api.spotify.com/v1/audio-analysis/0YdcBZ6CdpD3ycT4Ju6CNM,143411.0,4.0,
