,Unnamed: 0,Unnamed: 0.1,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0,0,Wyoming,Wyoming,Marty Robbins,Song of the Bandit,spotify:track:73LSgMl4p3cpsC2WyCyBLy,25,1976,0.708,0.436,8.0,-9.923,1.0,0.0491,0.792,0.0,0.128,0.775,119.325,audio_features,73LSgMl4p3cpsC2WyCyBLy,spotify:track:73LSgMl4p3cpsC2WyCyBLy,https://api.spotify.com/v1/tracks/73LSgMl4p3cpsC2WyCyBLy,https://api.spotify.com/v1/audio-analysis/73LSgMl4p3cpsC2WyCyBLy,149760.0,4.0,,0.708,0.436,8.0,-9.923,1.0,0.0491,0.792,0.0,0.128,0.775,119.325,audio_features,73LSgMl4p3cpsC2WyCyBLy,spotify:track:73LSgMl4p3cpsC2WyCyBLy,https://api.spotify.com/v1/tracks/73LSgMl4p3cpsC2WyCyBLy,https://api.spotify.com/v1/audio-analysis/73LSgMl4p3cpsC2WyCyBLy,149760.0,4.0,
1,1,1,Wyoming,Wyoming,Bruce Springsteen,Nebraska,spotify:track:7GDIQqD5pdHCda5rpZ98Ie,49,1982-09-30,0.377,0.0687,6.0,-15.9,1.0,0.0326,0.552,0.0239,0.38299999999999995,0.151,129.486,audio_features,7GDIQqD5pdHCda5rpZ98Ie,spotify:track:7GDIQqD5pdHCda5rpZ98Ie,https://api.spotify.com/v1/tracks/7GDIQqD5pdHCda5rpZ98Ie,https://api.spotify.com/v1/audio-analysis/7GDIQqD5pdHCda5rpZ98Ie,269813.0,4.0,,0.377,0.0687,6.0,-15.9,1.0,0.0326,0.552,0.0239,0.383,0.151,129.486,audio_features,7GDIQqD5pdHCda5rpZ98Ie,spotify:track:7GDIQqD5pdHCda5rpZ98Ie,https://api.spotify.com/v1/tracks/7GDIQqD5pdHCda5rpZ98Ie,https://api.spotify.com/v1/audio-analysis/7GDIQqD5pdHCda5rpZ98Ie,269813.0,4.0,
2,2,2,Wyoming,Wyoming,Bruce Springsteen,From Small Things (Big Things One Day Come),spotify:track:282dVm1dvbGqev47BXjjoO,31,1980-10-17,0.446,0.925,2.0,-6.733,1.0,0.0659,0.0532,0.0,0.0928,0.943,162.517,audio_features,282dVm1dvbGqev47BXjjoO,spotify:track:282dVm1dvbGqev47BXjjoO,https://api.spotify.com/v1/tracks/282dVm1dvbGqev47BXjjoO,https://api.spotify.com/v1/audio-analysis/282dVm1dvbGqev47BXjjoO,162053.0,4.0,,0.446,0.925,2.0,-6.733,1.0,0.0659,0.0532,0.0,0.0928,0.943,162.517,audio_features,282dVm1dvbGqev47BXjjoO,spotify:track:282dVm1dvbGqev47BXjjoO,https://api.spotify.com/v1/tracks/282dVm1dvbGqev47BXjjoO,https://api.spotify.com/v1/audio-analysis/282dVm1dvbGqev47BXjjoO,162053.0,4.0,
3,3,3,Wyoming,Wyoming,Bruce Springsteen,Nebraska,spotify:track:7GDIQqD5pdHCda5rpZ98Ie,49,1982-09-30,0.377,0.0687,6.0,-15.9,1.0,0.0326,0.552,0.0239,0.38299999999999995,0.151,129.486,audio_features,7GDIQqD5pdHCda5rpZ98Ie,spotify:track:7GDIQqD5pdHCda5rpZ98Ie,https://api.spotify.com/v1/tracks/7GDIQqD5pdHCda5rpZ98Ie,https://api.spotify.com/v1/audio-analysis/7GDIQqD5pdHCda5rpZ98Ie,269813.0,4.0,,0.377,0.0687,6.0,-15.9,1.0,0.0326,0.552,0.0239,0.383,0.151,129.486,audio_features,7GDIQqD5pdHCda5rpZ98Ie,spotify:track:7GDIQqD5pdHCda5rpZ98Ie,https://api.spotify.com/v1/tracks/7GDIQqD5pdHCda5rpZ98Ie,https://api.spotify.com/v1/audio-analysis/7GDIQqD5pdHCda5rpZ98Ie,269813.0,4.0,
4,4,4,Wyoming,Wyoming,The Nitty Gritty Dirt Band,From Small Things (Big Things One Day Come),spotify:track:5qdxbeXfVGFmJ85c3ctlK6,5,1990-01-01,0.614,0.594,0.0,-12.161,1.0,0.0299,0.366,0.0,0.0802,0.9640000000000001,149.332,audio_features,5qdxbeXfVGFmJ85c3ctlK6,spotify:track:5qdxbeXfVGFmJ85c3ctlK6,https://api.spotify.com/v1/tracks/5qdxbeXfVGFmJ85c3ctlK6,https://api.spotify.com/v1/audio-analysis/5qdxbeXfVGFmJ85c3ctlK6,236440.0,4.0,,0.614,0.594,0.0,-12.161,1.0,0.0299,0.366,0.0,0.0802,0.964,149.332,audio_features,5qdxbeXfVGFmJ85c3ctlK6,spotify:track:5qdxbeXfVGFmJ85c3ctlK6,https://api.spotify.com/v1/tracks/5qdxbeXfVGFmJ85c3ctlK6,https://api.spotify.com/v1/audio-analysis/5qdxbeXfVGFmJ85c3ctlK6,236440.0,4.0,
5,5,5,Wyoming,Wyoming,George Strait,I Can Still Make Cheyenne,spotify:track:7yQMZQeiSKnvEgimeGPVhi,59,1996-01-01,0.585,0.39,3.0,-10.232999999999999,1.0,0.0266,0.68,0.000769,0.0919,0.237,109.514,audio_features,7yQMZQeiSKnvEgimeGPVhi,spotify:track:7yQMZQeiSKnvEgimeGPVhi,https://api.spotify.com/v1/tracks/7yQMZQeiSKnvEgimeGPVhi,https://api.spotify.com/v1/audio-analysis/7yQMZQeiSKnvEgimeGPVhi,256067.0,4.0,,0.585,0.39,3.0,-10.233,1.0,0.0266,0.68,0.000769,0.0919,0.237,109.514,audio_features,7yQMZQeiSKnvEgimeGPVhi,spotify:track:7yQMZQeiSKnvEgimeGPVhi,https://api.spotify.com/v1/tracks/7yQMZQeiSKnvEgimeGPVhi,https://api.spotify.com/v1/audio-analysis/7yQMZQeiSKnvEgimeGPVhi,256067.0,4.0,
6,6,6,Wyoming,Wyoming,Garth Brooks,The Beaches of Cheyenne,spotify:track:1Jd41ZjPzkZmW1tG7XkcGH,42,2015-03-13,0.593,0.807,7.0,-3.569,1.0,0.0292,0.179,2.78e-06,0.381,0.605,117.023,audio_features,1Jd41ZjPzkZmW1tG7XkcGH,spotify:track:1Jd41ZjPzkZmW1tG7XkcGH,https://api.spotify.com/v1/tracks/1Jd41ZjPzkZmW1tG7XkcGH,https://api.spotify.com/v1/audio-analysis/1Jd41ZjPzkZmW1tG7XkcGH,253748.0,4.0,,0.593,0.807,7.0,-3.569,1.0,0.0292,0.179,2.78e-06,0.381,0.605,117.023,audio_features,1Jd41ZjPzkZmW1tG7XkcGH,spotify:track:1Jd41ZjPzkZmW1tG7XkcGH,https://api.spotify.com/v1/tracks/1Jd41ZjPzkZmW1tG7XkcGH,https://api.spotify.com/v1/audio-analysis/1Jd41ZjPzkZmW1tG7XkcGH,253748.0,4.0,
7,7,7,Wyoming,Wyoming,George Strait,I Can Still Make Cheyenne,spotify:track:7yQMZQeiSKnvEgimeGPVhi,59,1996-01-01,0.585,0.39,3.0,-10.232999999999999,1.0,0.0266,0.68,0.000769,0.0919,0.237,109.514,audio_features,7yQMZQeiSKnvEgimeGPVhi,spotify:track:7yQMZQeiSKnvEgimeGPVhi,https://api.spotify.com/v1/tracks/7yQMZQeiSKnvEgimeGPVhi,https://api.spotify.com/v1/audio-analysis/7yQMZQeiSKnvEgimeGPVhi,256067.0,4.0,,0.585,0.39,3.0,-10.233,1.0,0.0266,0.68,0.000769,0.0919,0.237,109.514,audio_features,7yQMZQeiSKnvEgimeGPVhi,spotify:track:7yQMZQeiSKnvEgimeGPVhi,https://api.spotify.com/v1/tracks/7yQMZQeiSKnvEgimeGPVhi,https://api.spotify.com/v1/audio-analysis/7yQMZQeiSKnvEgimeGPVhi,256067.0,4.0,
8,8,8,Wyoming,Wyoming,Weird Al Yankovic,I'll Sue Ya,spotify:track:441FMk4c25CSnKEM7sGqPC,36,2006-09-26,0.648,0.774,7.0,-10.356,1.0,0.212,0.0876,0.0,0.151,0.507,177.983,audio_features,441FMk4c25CSnKEM7sGqPC,spotify:track:441FMk4c25CSnKEM7sGqPC,https://api.spotify.com/v1/tracks/441FMk4c25CSnKEM7sGqPC,https://api.spotify.com/v1/audio-analysis/441FMk4c25CSnKEM7sGqPC,230960.0,4.0,,0.648,0.774,7.0,-10.356,1.0,0.212,0.0876,0.0,0.151,0.507,177.983,audio_features,441FMk4c25CSnKEM7sGqPC,spotify:track:441FMk4c25CSnKEM7sGqPC,https://api.spotify.com/v1/tracks/441FMk4c25CSnKEM7sGqPC,https://api.spotify.com/v1/audio-analysis/441FMk4c25CSnKEM7sGqPC,230960.0,4.0,
9,9,9,Wyoming,Wyoming,Garth Brooks,The Beaches of Cheyenne,spotify:track:1Jd41ZjPzkZmW1tG7XkcGH,42,2015-03-13,0.593,0.807,7.0,-3.569,1.0,0.0292,0.179,2.78e-06,0.381,0.605,117.023,audio_features,1Jd41ZjPzkZmW1tG7XkcGH,spotify:track:1Jd41ZjPzkZmW1tG7XkcGH,https://api.spotify.com/v1/tracks/1Jd41ZjPzkZmW1tG7XkcGH,https://api.spotify.com/v1/audio-analysis/1Jd41ZjPzkZmW1tG7XkcGH,253748.0,4.0,,0.593,0.807,7.0,-3.569,1.0,0.0292,0.179,2.78e-06,0.381,0.605,117.023,audio_features,1Jd41ZjPzkZmW1tG7XkcGH,spotify:track:1Jd41ZjPzkZmW1tG7XkcGH,https://api.spotify.com/v1/tracks/1Jd41ZjPzkZmW1tG7XkcGH,https://api.spotify.com/v1/audio-analysis/1Jd41ZjPzkZmW1tG7XkcGH,253748.0,4.0,
