,state,city,song,artist
0, Alabama,Mobile,Stuck Inside of Mobile with the Memphis Blues Again,Bob Dylan
1, Alabama,Montgomery,Midnight in Montgomery,Alan Jackson
2, Alabama,Montgomery,"Montgomery, Alabama",David Yazbek
3, Alabama,Montgomery,Montgomery in the Rain,Hank Williams Jr.
4, Alabama,Montgomery,The Ride,David Allan Coe
5, Alabama,Montgomery,Tokyo Storm Warning,Elvis Costello
6, Alabama,Montgomery,Angel From Montgomery,John Prine
7, Alabama,Muscle Shoals,Sweet Home Alabama,Lynyrd Skynyrd
8, Alabama,Birmingham,The Old Iron Hills,Maylene and the Sons of Disaster
9, Alabama,Birmingham,Train to Birmingham,John Hiatt
10, Alabama,Birmingham,Birmingham Daddy,Gene Autry
11, Alabama,Birmingham,Birmingham Sunday,Richard Farina
12, Alabama,Birmingham,BirminghamHarry Belafonte and R. B. Greaves,
13, Alabama,Birmingham,Postmarked Birmingham,Blackhawk
14, Alabama,Birmingham,Birmingham Shadows,Bruce Cockburn
15, Alabama,Birmingham,Birmingham Bus Station,Charlie Daniels Band
16, Alabama,Birmingham,Hello Birmingham,[1]Ani DiFranco
17, Alabama,Birmingham,Birmingham Bounce,Tommy Dorsey
18, Alabama,Birmingham,Birmingham,DriveBy Truckers
19, Alabama,Birmingham,Birmingham Breakdown,Duke Ellington
20, Alabama,Birmingham,Boulder to Birmingham,Emmylou Harris
21, Alabama,Birmingham,Tuxedo Junction,Erskine Hawkins
22, Alabama,Birmingham,Birmingham Black Bottom,Charlie Johnson
23, Alabama,Birmingham,I Got a Man in a 'Bama Mine,Merline Johnson
24, Alabama,Birmingham,Paint Me a Birmingham,Tracy Lawrence
25, Alabama,Birmingham,Birmingham Jail,Lead Belly
26, Alabama,Birmingham,Sweet Home Alabama,Lynyrd Skynyrd
27, Alabama,Birmingham,Birmingham,Amanda Marshall
28, Alabama,Birmingham,When Jesus Left Birmingham,John Mellencamp
29, Alabama,Birmingham,Sweet Birmingham,(first recorded  Taj Mahal)Robert Moore
30, Alabama,Birmingham,Notifier Birmingham,The Mountain Goats
31, Alabama,Birmingham,Breakfast in Birmingham,David Lee Murphy
32, Alabama,Birmingham,Birmingham,Randy Newman
33, Alabama,Birmingham,Talking Birmingham Jam,Phil Ochs
34, Alabama,Birmingham,Down and Out in Birmingham,Pirates of the Mississippi
35, Alabama,Birmingham,Sparrows over Birmingham,Josh Rouse
36, Alabama,Birmingham,Mining Camp Blues,Trixie Smith
37, Alabama,Birmingham,Birmingham Bertha,(from On with the Show!)Ethel Waters
38, Alabama,Birmingham,Birmingham Turnaround,Keith Whitley
39, Alabama,Birmingham,Pratt City Blues,Jabo Williams
40, Alabama,Birmingham,Birmingham Blues,Edith Wilson
41, Alabama,Birmingham,Birmingham,Shovels & Rope
42, Alabama,Birmingham,Birmingham Blues,The Charlie Daniels Band
43, Alabama,Birmingham,Promised Land,(later remade as a 1975 hit for Elvis Presley)Chuck Berry
44, Alabama,Birmingham,Jacob's Ladder,(first recorded  Huey Lewis and the NewsBruce Horns
45, Alabama,Birmingham,HeyLittle Richard,
46, Alabama,Birmingham,Old Iron Hills,Maylene And The Sons Of Disaster
47, Alabama,Birmingham,Hey Hey Hey Hey,(Going back to Birmingham)Bob Seger
48, Alabama,Birmingham,Sweet Home Alabama,Lynyrd Skynyrd
49, Alabama,Birmingham,Swordfishtrombone,Tom Waits
50, Alabama,Birmingham,Gun Street Girl,Tom Waits
51, Alabama,Birmingham,Playboy Mommy,Tori Amos
52, Alabama,Birmingham,One of These Days,DriveBy Truckers
53, Alabama,Birmingham,Maribel,Andy Offutt Irwin
54, Alabama,Birmingham,Stars Fell on Alabama,Frank Perkins/Mitchell Parish
55, Alabama,Birmingham,I Can't Love You Anymore,Lyle Lovett
56, Alabama,Birmingham,Black Betty,Huddie Ledbetter/Ram Jam
57, Alabama,Birmingham,Rip This Joint,The Rolling Stones
58, Alabama,Birmingham,Cities,Talking Heads
59, Alabama,Birmingham,Alabama Chicken,Sean Hayes
60, Alabama,Birmingham,If It Hadn't Been For Love,The Steeldrivers
61, Alabama,Birmingham,Guitar Man,Jerry Reed
62, Alabama,Birmingham,Run Ba Run,Sheryl Crow
63, Alabama,Birmingham,PostmarkedBlackhawk,
64, Alabama,Birmingham,,
