,state,city,song,artist
0, Arizona,Phoenix,Anybody Going To San Antone,Charley Pride
1, Arizona,Phoenix,Arizona,Scorpions
2, Arizona,Phoenix,Bob in Phoenix,Gorillaz
3, Arizona,Phoenix,By the Time I Get to Phoenix,Jimmy Webb
4, Arizona,Tucson,Closer,The Chainsmokers
5, Arizona,Tucson,Get Back,The Beatles
6, Arizona,Tucson,Goin' Back To Tucson,The Supersuckers
7, Arizona,Tucson,Pray for Tucson,Dave Hause
8, Arizona,Tucson,Send Me Down To Tucson,Mel Tillis
9, Arizona,Tucson,Tucson,Euphoria
10, Arizona,Tucson,Tucson Arizona,Link Wray
11, Arizona,Tucson,"Tucson, Arizona (Gazette)",Dan Fogelberg
12, Arizona,Tucson,"Tucson, Arizona",Rory Gallagher
13, Arizona,Tucson,Tucson Train,Bruce Springsteen
14, Arizona,Winslow,Take It Easy,The Eagles
