,state,city,song,artist
0, Colorado,Commerce City,Commerce City Sister,DeVotchKa
1, Colorado,Cripple Creek,Up On Cripple Creek,The Band
2, Colorado,Denver,40 Miles from Denver,Yonder Mountain String Band
3, Colorado,Denver,Denver,Larry Gatlin & The Gatlin Brothers
4, Colorado,Denver,Denver,Willie Nelson
5, Colorado,Denver,From Denver to L.A.,Elton John
6, Colorado,Denver,Get Out of Denver,Bob Seger
7, Colorado,Denver,O.D.'d in Denver,Hank Williams Jr.
8, Colorado,Denver,Things to Do in Denver When You're Dead,Warren Zevon
9, Colorado,Telluride,Telluride,Tim McGraw
