,Unnamed: 0,state,city,song,artist,uris,popularity,date,,,,,,,,,,,,,,,,,,,error
0,0, New Mexico,Albuquerque,Albuquerque,Neil Young,spotify:track:6nsxXdOAjeosqcGGsmPjnN,35,6/1/75,,,,,,,,,,,,,,,,,,,
1,1, New Mexico,Albuquerque,Albuquerque,Sons of the Desert,spotify:track:4qtUVRGt8R28Ie7QI5Vn5O,9,1/1/00,,,,,,,,,,,,,,,,,,,
2,2, New Mexico,Albuquerque,Albuquerque,"""Weird"" Al Yankovic",spotify:track:2Ec0liSMY2h4XORHyzKCmY,39,6/29/99,,,,,,,,,,,,,,,,,,,
3,3, New Mexico,Albuquerque,Blue Bedroom,To Keith,spotify:track:0elXsqvn9hJOoEB7Vr4wsv,22,1/1/99,,,,,,,,,,,,,,,,,,,
4,4, New Mexico,Albuquerque,Bring Em Out,T.I.,spotify:track:3CcvahnsiArpTHYQEWV2Au,63,11/28/04,,,,,,,,,,,,,,,,,,,
5,5, New Mexico,Albuquerque,By the Time I Get to Phoenix,"Frank Sinatra, Dean Martin, Roger Miller, Engelbert Humperdinck, Johnny Rivers",spotify:track:0Wp69ItpnYe4jyxekLdLnT,22,1968-11,,,,,,,,,,,,,,,,,,,
6,6, New Mexico,Albuquerque,Cowboy Movie,David Cros,spotify:track:5ZoI4tXPZzcN7PIVmxO7kF,45,2/22/71,,,,,,,,,,,,,,,,,,,
7,7, New Mexico,Albuquerque,Get Your Kicks on Route 66,Perry Como,error,error,error,,,,,,,,,,,,,,,,,,,
8,8, New Mexico,Albuquerque,I Hope Your Whole Life Sux,Blackbear,spotify:track:4uVslVnCNW0wkBxUmtqeVn,54,11/27/17,,,,,,,,,,,,,,,,,,,
9,9, New Mexico,Albuquerque,Make it Clap,Busta Rhymes,spotify:track:6NM525U7IB4Zhpn8d921uX,47,11/26/02,,,,,,,,,,,,,,,,,,,
10,10, New Mexico,Albuquerque,Space Between Us,Sister Hazel,spotify:track:2TXbRtVpJuw05Dx1N59OtA,5,1/1/94,,,,,,,,,,,,,,,,,,,
11,11, New Mexico,Albuquerque,The King of Rock 'n' Roll,Prefab Sprout,spotify:track:6QIlvgk2Q2EyalaneqSuqX,49,3/14/88,,,,,,,,,,,,,,,,,,,
12,12, New Mexico,Albuquerque,Point Me in the Direction of Albuquerque,Tony Romeo,error,error,error,,,,,,,,,,,,,,,,,,,
13,13, New Mexico,Albuquerque,The Promised Land,Chuck Berry,spotify:track:4p6j060XRLr7XCeACQLSCe,13,4/18/06,,,,,,,,,,,,,,,,,,,
14,14, New Mexico,Albuquerque,Train Kept A Rollin',Stray Cats,spotify:track:6KXWZSsrKUXPdfDCTElPoD,27,11/9/04,,,,,,,,,,,,,,,,,,,
15,15, New Mexico,Albuquerque,Wanted Man,"Johnny Cash, Bob Dylan, Nick Cave",spotify:track:52rWZajfmiprmZklqkpXAR,48,2/6/71,,,,,,,,,,,,,,,,,,,
16,16, New Mexico,Santa Fe,Amarillo  Morning,George Strait,spotify:track:4TnUKixNWMfajncgdSwFoi,69,1/1/82,,,,,,,,,,,,,,,,,,,
17,17, New Mexico,Santa Fe,Drive By,Train,spotify:track:0KAiuUOrLTIkzkpfpn9jb9,75,4/17/12,,,,,,,,,,,,,,,,,,,
18,18, New Mexico,Santa Fe,Santa Fe,Bon Jovi,spotify:track:1wmaAfrbe1JLiyt7SpZeQU,52,1/1/90,,,,,,,,,,,,,,,,,,,
19,19, New Mexico,Santa Fe,Santa Fe,The Bellamy Brothers,spotify:track:3FHXKNXu9NRBJ8oijReUPq,14,6/16/17,,,,,,,,,,,,,,,,,,,
20,20, New Mexico,Santa Fe,Santa Fe,The Bluescasters,spotify:track:0UrWr1671EJaTfJMhMvyTs,7,1/7/10,,,,,,,,,,,,,,,,,,,
21,21, New Mexico,Santa Fe,Santa Fe,Beirut,spotify:track:3gQZdiGlObKaY274Q3lnoH,56,8/30/11,,,,,,,,,,,,,,,,,,,
22,22, New Mexico,Santa Fe,Santa Fe,from Newsies,spotify:track:4KFIoI4qGOc3qnzTgXJBvb,1,8/15/16,,,,,,,,,,,,,,,,,,,
23,23, New Mexico,Santa Fe,Santa Fe,from Rent,spotify:track:03oRiX5lPxkiTbGsuJ9PDa,12,9/27/05,,,,,,,,,,,,,,,,,,,
24,24, New Mexico,Santa Fe,Santa Fe,Bob Dylan,spotify:track:3kDONxMPikzWNH8Ax32vED,24,3/26/91,,,,,,,,,,,,,,,,,,,
25,25, New Mexico,Santa Fe,Me and My Uncle,Grateful Dead,spotify:track:2mliKZOmPLLA5CmylylPzI,34,9/13/13,,,,,,,,,,,,,,,,,,,
26,26, New Mexico,Santa Fe,Oblivion,Mudhoney,spotify:track:3m73gfjtOCff0g6FnBiwrF,11,9/11/98,,,,,,,,,,,,,,,,,,,
