,state,city,song,artist
0, New York,Buffalo,Broadway,The Goo Goo Dolls
1, New York,Buffalo,Shuffle Off to Buffalo,The Stolen Sweets
2, New York,Buffalo,Ladies Night in Buffalo,David Lee Roth
3, New York,Buffalo,Rock and Roll Girls  John Fogerty,
4, New York,New York City,11:11,Rufus Wainwright
5, New York,New York City,11:35,Aesop Rock
6, New York,New York City,11th Street,Ravens & Chimes
7, New York,New York City,11th Street Kids,Hanoi Rocks
8, New York,New York City,100 South of Broadway,Philadelphia Society
9, New York,New York City,105th & Park,"Kenny ""Dope"" Gonzalez"
10, New York,New York City,110th Street and Fifth Avenue,Tito Puente
11, New York,New York City,110th Street Rhumba,Dana Suesse
12, New York,New York City,116th and Lenox,Jackie McLean
13, New York,New York City,12th Street,Thick As Thieves
14, New York,New York City,121 Bank Street,George Russell
15, New York,New York City,124 East 107th Street,William OrtizAlvarado
16, New York,New York City,125th St. And 7th Ave.,Richard Holmes (organist)
17, New York,New York City,125th Street Congress,Weather Report
18, New York,New York City,125th Street Paradise Bowling Alley,Chris Gantry
19, New York,New York City,125th Street Shuffle,Jah Thomas
20, New York,New York City,1254 New York,Robert Leroux
21, New York,New York City,127th Street March,Jonah Jones Quartet
22, New York,New York City,13 I 73 5:356:14:03 PM NYC,La Monte Young
23, New York,New York City,The 135th Street Theme,Zachary Breaux
24, New York,New York City,1394 St. Johns Place,Dean Fraser
25, New York,New York City,13000 Taxi Cabs In NYC,DJ Vitamix
26, New York,New York City,14th Street,Rufus Wainwright
27, New York,New York City,14th Street Beat,Sylvain Sylvain
28, New York,New York City,14th Street Blues,Leon Redbone
29, New York,New York City,14th Street Break,Beastie Boys
30, New York,New York City,133rd Street Boogie,Sammy Price
31, New York,New York City,153rd Street Theme,Larry Willis
32, New York,New York City,1617 Broadway,(from the musical Mr. Wonderful)
33, New York,New York City,1650 Broadway Medley,Carole King
34, New York,New York City,1664 Park Avenue,Janice Robinson
35, New York,New York City,17th Street,Gil ScottHeron
36, New York,New York City,1926,V; (covered  Thalia Zedek)
37, New York,New York City,1train,A$AP Rocky
38, New York,New York City,2 Train,Mario (American singer)
39, New York,New York City,2 West 46th Street,Moondog
40, New York,New York City,20th December Madison Avenue,Lisa Miskovsky
41, New York,New York City,(212),Area Code (212)
42, New York,New York City,212,Azealia Banks
43, New York,New York City,23rd Street (Between Park and Madison),Bagatelle
44, New York,New York City,24 Hrs. to Live,Mase
45, New York,New York City,24th Street Blues,Lee Ritenour
46, New York,New York City,271 Utica Dub,Prince Jammy
47, New York,New York City,29 Greene Street,Claude Williamson Trio
48, New York,New York City,3 Men At Chung King,Chubb Rock
49, New York,New York City,3OClock,Marco Polo
50, New York,New York City,30 Rockefeller Plaza,Skitch Henderson
51, New York,New York City,3rd and Broadway,Brazzaville
52, New York,New York City,31st Street Blues,Fletcher Henderson
53, New York,New York City,317 East 32nd,Lennie Tristano
54, New York,New York City,317 (Manhattan Blues),Andy Bown
55, New York,New York City,32nd Street,Dick Jensen
56, New York,New York City,32nd Street Love,Duke Jordan Trio
57, New York,New York City,35 West 4th Street,Don Friedman Trio
58, New York,New York City,40 Island,Noreaga
59, New York,New York City,415 Central Park West,Steve Grossman
60, New York,New York City,42nd & 6th,Till Brönner
61, New York,New York City,42nd Street,Angelic Upstarts
62, New York,New York City,42nd Street,Golden Earring
63, New York,New York City,42nd Street,Gunhill Road
64, New York,New York City,42nd Street,Harry Warren and Al Dubin
65, New York,New York City,42nd Street,Thunderhead [de]
66, New York,New York City,The 42nd Street and Broadway Strut,music  Albert Von Tilzer; lyrics  Neville Fleeson
67, New York,New York City,42nd Street Dub,Prince Jammy
68, New York,New York City,42nd Street Dub,Renegade Soundwave
69, New York,New York City,42nd Street Psycho Blues,Janis Ian
70, New York,New York City,44th Street Suite,McCoy Tyner
71, New York,New York City,45 Minutes from Broadway,George M. Cohan
72, New York,New York City,45th Street At 8th Avenue,Isao Suzuki Quartet
73, New York,New York City,46th West 52nd Street,Chu Berry
74, New York,New York City,47th Street Jive,Andy Kirk
75, New York,New York City,48th Street Smile,Rusty Bryant
76, New York,New York City,54,Bob McGilpin
77, New York,New York City,5 Boroughs,"KRSOne with Bounty Killer, Buckshot, Cam'Ron, Keith Murray, Killah Priest, Prodigy of Mobb Deep, Redman, Rev. Run, and Vigilante"
78, New York,New York City,5 On 84th Street,Jane Kennaway
79, New York,New York City,5th Avenue,Lee Konitz
80, New York,New York City,528 E 13th St,Dan Melchior
81, New York,New York City,51st Street Blues,Charles Mingus
82, New York,New York City,52nd & Broadway,Patti Austin
83, New York,New York City,52nd Street,Billy Joel
84, New York,New York City,52nd Street,Jack Bruce
85, New York,New York City,52nd Street,Mike Melvoin
