,state,city,song,artist
0, Ohio,Akron,Downtown (Akron),The Pretenders
1, Ohio,Akron,My City Was Gone,The Pretenders
2, Ohio,Cincinnati,Comin' to Your City,Big & Rich
3, Ohio,Cincinnati,Fins,Jimmy Buffett
4, Ohio,Cincinnati,"Jesus, Take the Wheel",Carrie Underwood
5, Ohio,Cincinnati,Lights of Cincinnati,Scott Walker
6, Ohio,Cleveland,Anything But Mine,Kenny Chesney
7, Ohio,Cleveland,Burn On,Randy Newman
8, Ohio,Cleveland,Christmas in Cleveland,The Raveonettes
9, Ohio,Cleveland,Cleveland,Jewel
10, Ohio,Cleveland,Cleveland is the City,Bone Thugs-N-Harmony
11, Ohio,Cleveland,Cleveland,All-Time Quarterback
12, Ohio,Cleveland,Cleveland,Machine Gun Kelly
13, Ohio,Cleveland,Cleveland is the Reason,Kid Cudi
14, Ohio,Cleveland,Cleveland Ohio Blues,Bull Moose Jackson
15, Ohio,Cleveland,Cleveland Rocks,Ian Hunter
16, Ohio,Cleveland,Cuyahoga,REM
17, Ohio,Cleveland,East 1999,Bone Thugs-N-Harmony
18, Ohio,Cleveland,In the Heartland,the Michael Stanley Band
19, Ohio,Cleveland,Let's Get Wrecked,honeyhoney
20, Ohio,Cleveland,Let's Move to Cleveland,Frank Zappa
21, Ohio,Cleveland,"Look Out, Cleveland",The Band
22, Ohio,Cleveland,Mean Night in Cleveland,Cactus
23, Ohio,Cleveland,Missing Cleveland,Scott Weiland
24, Ohio,Cleveland,My Town,Michael Stanley Band
25, Ohio,Cleveland,Ohio (Come Back to Texas),Bowling for Soup
26, Ohio,Cleveland,Pancho and Lefty,"Townes Van Zandt, covered  Willie Nelson and Merle Haggard"
27, Ohio,Cleveland,Precious,The Pretenders
28, Ohio,Cleveland,Skinny Little Boy from Cleveland,Alex Bevan
29, Ohio,Cleveland,Stairway To Cleveland,Jefferson Starship
30, Ohio,Cleveland,Till I Die,Machine Gun Kelly
31, Ohio,Columbus,Road Outside Columbus,O.A.R.
32, Ohio,Kent,Ohio,"Cros, Stills, Nash, & Young"
