,state,city,song,artist
0, Oklahoma,Muskogee,Okie from Muskogee,Merle Haggard
1, Oklahoma,Tulsa,200 More Miles,Cowboy Junkies
2, Oklahoma,Tulsa,Almost to Tulsa,Buddy Charleton
3, Oklahoma,Tulsa,Convoy,C.W. McCall
4, Oklahoma,Tulsa,Don't Let the Sun Set on You in Tulsa,Waylon Jennings
5, Oklahoma,Tulsa,Don't Make Me Come to Tulsa,Wade Hayes
6, Oklahoma,Tulsa,Easton and Main,the Turnpike Troubadours
7, Oklahoma,Tulsa,Halfway to Tulsa,Larry Sparks
8, Oklahoma,Tulsa,Home Sweet Oklahoma,Leon Russell
9, Oklahoma,Tulsa,Last Trip to Tulsa,Neil Young
10, Oklahoma,Tulsa,Prisoner of the Highway,Ronnie Milsap
11, Oklahoma,Tulsa,Take Me Back to Oklahoma,Chub Checker
12, Oklahoma,Tulsa,Take Me Back to Oklahoma,Henson Cargill
13, Oklahoma,Tulsa,Take Me Back to Tulsa,Bob Wills
14, Oklahoma,Tulsa,Tampa to Tulsa,The Jayhawks[53]
15, Oklahoma,Tulsa,Tell Me Something Bad About Tulsa,Merle Haggard
16, Oklahoma,Tulsa,The Day That She Left Tulsa,Wade Hayes
17, Oklahoma,Tulsa,The Heart of Rock & Roll,Huey Lewis and the News
18, Oklahoma,Tulsa,The Tulsa Shuffle,The Tractors
19, Oklahoma,Tulsa,Tulsa,Rufus Wainwright
20, Oklahoma,Tulsa,Tulsa,"Wayne ""The Train"" Hancock"
21, Oklahoma,Tulsa,Tulsa,Waylon Jennings
22, Oklahoma,Tulsa,Tulsa Ba,Dave Stogner
23, Oklahoma,Tulsa,Tulsa County,The Byrds
24, Oklahoma,Tulsa,Tulsa Girl,Dwight Twilley
25, Oklahoma,Tulsa,Tulsa Queen,Emmylou Harris
26, Oklahoma,Tulsa,Tulsa Sounds Like Trouble to Me,Shawn Camp
27, Oklahoma,Tulsa,Tulsa Straight Ahead,Jimmy Hall
28, Oklahoma,Tulsa,Tulsa Telephone Book,Tom T. Hall
29, Oklahoma,Tulsa,Tulsa Time,Don Williams
30, Oklahoma,Tulsa,Tulsa Turnaround,Kenny Rogers
31, Oklahoma,Tulsa,24 Hours From Tulsa,Gene Pitney
32, Oklahoma,Tulsa,You're the Reason God Made Oklahoma,David Frizzell & Shelly West
