,state,city,song,artist
0, Virginia,Arlington,Arlandria,Foo Fighters
1, Virginia,Arlington,Arlington,Trace Adkins
2, Virginia,Richmond,Gib,Pat McGee Band
3, Virginia,Richmond,James River,Cracker and Camper Van Beethoven[46]
4, Virginia,Richmond,James River Blues,Old Crow Medicine Show
5, Virginia,Richmond,Modern Day Bonnie and Clyde,Travis Tritt
6, Virginia,Richmond,Richmond is a Hard Road,"(Union Civil War song based on ""Jordan is a Hard Road to Travel""  Dan Emmett)"
7, Virginia,Richmond,Scuffle Town,Avail[47]
8, Virginia,Richmond,The Carolinian,Chatham County Line[48]
9, Virginia,Richmond,The Night They Drove Old Dixie Down,The Band
10, Virginia,Richmond,Virginia Is For Lovers,Mat Kearney
11, Virginia,Richmond,We Are Marching On To Richmond,"a.k.a. ""Our knapsacks sling"" (Union Civil War song) words and music  E.W. Locke[49][50][51][52]"
