,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0, Alabama,Mobile,Stuck Inside of Mobile with the Memphis Blues Again,Bob Dylan,spotify:track:1NYTj6JEw3IOh4ggiBh82h,47,1966-06-20,0.465,0.747,9.0,-9.882,1.0,0.0473,0.301,0.0,0.12,0.628,135.526,audio_features,1NYTj6JEw3IOh4ggiBh82h,spotify:track:1NYTj6JEw3IOh4ggiBh82h,https://api.spotify.com/v1/tracks/1NYTj6JEw3IOh4ggiBh82h,https://api.spotify.com/v1/audio-analysis/1NYTj6JEw3IOh4ggiBh82h,423667.0,4.0,
1,1, Alabama,Montgomery,Midnight in Montgomery,Alan Jackson,spotify:track:1Bucr8Wk891tg8mP6wtdSW,46,2010-11-19,0.591,0.334,2.0,-8.3,0.0,0.0276,0.484,3.24e-06,0.11,0.145,139.965,audio_features,1Bucr8Wk891tg8mP6wtdSW,spotify:track:1Bucr8Wk891tg8mP6wtdSW,https://api.spotify.com/v1/tracks/1Bucr8Wk891tg8mP6wtdSW,https://api.spotify.com/v1/audio-analysis/1Bucr8Wk891tg8mP6wtdSW,225227.0,4.0,
2,2, Alabama,Montgomery,"Montgomery, Alabama",David Yazbek,spotify:track:0Ni30RUB4prxuvzXVz7R2X,3,2001-08-07,0.725,0.906,7.0,-6.649,0.0,0.0508,0.101,0.0173,0.184,0.844,138.044,audio_features,0Ni30RUB4prxuvzXVz7R2X,spotify:track:0Ni30RUB4prxuvzXVz7R2X,https://api.spotify.com/v1/tracks/0Ni30RUB4prxuvzXVz7R2X,https://api.spotify.com/v1/audio-analysis/0Ni30RUB4prxuvzXVz7R2X,203760.0,4.0,
3,3, Alabama,Montgomery,Montgomery in the Rain,Hank Williams Jr.,spotify:track:3O9povXoVWnTD8JJJXoYzv,21,1981,0.5,0.454,10.0,-11.897,1.0,0.0271,0.118,0.00313,0.6,0.546,95.825,audio_features,3O9povXoVWnTD8JJJXoYzv,spotify:track:3O9povXoVWnTD8JJJXoYzv,https://api.spotify.com/v1/tracks/3O9povXoVWnTD8JJJXoYzv,https://api.spotify.com/v1/audio-analysis/3O9povXoVWnTD8JJJXoYzv,235733.0,1.0,
4,4, Alabama,Montgomery,The Ride,David Allan Coe,spotify:track:1GLWGJh7JS5gk1D9BwKCTM,61,1974,0.538,0.352,5.0,-14.784,1.0,0.0689,0.505,0.0,0.152,0.546,167.234,audio_features,1GLWGJh7JS5gk1D9BwKCTM,spotify:track:1GLWGJh7JS5gk1D9BwKCTM,https://api.spotify.com/v1/tracks/1GLWGJh7JS5gk1D9BwKCTM,https://api.spotify.com/v1/audio-analysis/1GLWGJh7JS5gk1D9BwKCTM,186133.0,4.0,
5,5, Alabama,Montgomery,Tokyo Storm Warning,Elvis Costello,spotify:track:0pLfv0qTmH5AG2aUQQdkBt,25,1986,0.381,0.846,7.0,-5.244,1.0,0.0626,0.233,0.0,0.0741,0.841,159.276,audio_features,0pLfv0qTmH5AG2aUQQdkBt,spotify:track:0pLfv0qTmH5AG2aUQQdkBt,https://api.spotify.com/v1/tracks/0pLfv0qTmH5AG2aUQQdkBt,https://api.spotify.com/v1/audio-analysis/0pLfv0qTmH5AG2aUQQdkBt,384973.0,4.0,
6,6, Alabama,Montgomery,Angel From Montgomery,John Prine,spotify:track:2qWKpYIleSvBT6aUMXoia5,59,1971,0.617,0.421,0.0,-14.231,1.0,0.0318,0.541,0.00227,0.125,0.39,131.653,audio_features,2qWKpYIleSvBT6aUMXoia5,spotify:track:2qWKpYIleSvBT6aUMXoia5,https://api.spotify.com/v1/tracks/2qWKpYIleSvBT6aUMXoia5,https://api.spotify.com/v1/audio-analysis/2qWKpYIleSvBT6aUMXoia5,224186.0,4.0,
7,7, Alabama,Muscle Shoals,Sweet Home Alabama,Lynyrd Skynyrd,spotify:track:7e89621JPkKaeDSTQ3avtg,83,1974-04-15,0.596,0.605,7.0,-12.145,1.0,0.0255,0.181,0.000331,0.0863,0.886,97.798,audio_features,7e89621JPkKaeDSTQ3avtg,spotify:track:7e89621JPkKaeDSTQ3avtg,https://api.spotify.com/v1/tracks/7e89621JPkKaeDSTQ3avtg,https://api.spotify.com/v1/audio-analysis/7e89621JPkKaeDSTQ3avtg,283800.0,4.0,
8,8, Alabama,Birmingham,The Old Iron Hills,Maylene and the Sons of Disaster,spotify:track:4QOrAbC6Ynl82zRHQi7IMy,21,2009-06-22,0.487,0.97,0.0,-3.731,1.0,0.0867,0.000125,0.0,0.191,0.741,74.989,audio_features,4QOrAbC6Ynl82zRHQi7IMy,spotify:track:4QOrAbC6Ynl82zRHQi7IMy,https://api.spotify.com/v1/tracks/4QOrAbC6Ynl82zRHQi7IMy,https://api.spotify.com/v1/audio-analysis/4QOrAbC6Ynl82zRHQi7IMy,153413.0,4.0,
9,9, Alabama,Birmingham,Train to Birmingham,John Hiatt,spotify:track:6VnVvzkCt68LWNS0QX3LEK,23,2011-08-02,0.482,0.666,7.0,-8.404,1.0,0.0416,0.515,0.0178,0.105,0.743,156.28,audio_features,6VnVvzkCt68LWNS0QX3LEK,spotify:track:6VnVvzkCt68LWNS0QX3LEK,https://api.spotify.com/v1/tracks/6VnVvzkCt68LWNS0QX3LEK,https://api.spotify.com/v1/audio-analysis/6VnVvzkCt68LWNS0QX3LEK,218547.0,4.0,
