,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0, Arizona,Phoenix,Anybody Going To San Antone,Charley Pride,spotify:track:1fKHnlTE58pYoO9WWfIICT,6,2009-05-26,0.432,0.407,9.0,-11.455,1.0,0.0395,0.79,0.00457,0.146,0.66,120.092,audio_features,1fKHnlTE58pYoO9WWfIICT,spotify:track:1fKHnlTE58pYoO9WWfIICT,https://api.spotify.com/v1/tracks/1fKHnlTE58pYoO9WWfIICT,https://api.spotify.com/v1/audio-analysis/1fKHnlTE58pYoO9WWfIICT,401467.0,4.0,
1,1, Arizona,Phoenix,Arizona,Scorpions,spotify:track:6HJMhjioyzZB7z6oSqCZN6,32,1982-04-10,0.527,0.736,4.0,-10.134,1.0,0.0423,0.0229,0.0073,0.131,0.875,123.222,audio_features,6HJMhjioyzZB7z6oSqCZN6,spotify:track:6HJMhjioyzZB7z6oSqCZN6,https://api.spotify.com/v1/tracks/6HJMhjioyzZB7z6oSqCZN6,https://api.spotify.com/v1/audio-analysis/6HJMhjioyzZB7z6oSqCZN6,235667.0,4.0,
2,2, Arizona,Phoenix,Bob in Phoenix,Gorillaz,spotify:track:0NJUPC1tmil2ZlchstDww3,38,2010,0.49,0.51,2.0,-6.3,1.0,0.029,0.332,0.158,0.727,0.392,160.262,audio_features,0NJUPC1tmil2ZlchstDww3,spotify:track:0NJUPC1tmil2ZlchstDww3,https://api.spotify.com/v1/tracks/0NJUPC1tmil2ZlchstDww3,https://api.spotify.com/v1/audio-analysis/0NJUPC1tmil2ZlchstDww3,196853.0,3.0,
3,3, Arizona,Phoenix,By the Time I Get to Phoenix,Jimmy Webb,spotify:track:2vfLu81LYr5ARMmUTplLD7,19,1996-01-01,0.404,0.163,5.0,-15.743,1.0,0.0326,0.979,0.155,0.13,0.215,77.355,audio_features,2vfLu81LYr5ARMmUTplLD7,spotify:track:2vfLu81LYr5ARMmUTplLD7,https://api.spotify.com/v1/tracks/2vfLu81LYr5ARMmUTplLD7,https://api.spotify.com/v1/audio-analysis/2vfLu81LYr5ARMmUTplLD7,233667.0,4.0,
4,4, Arizona,Tucson,Closer,The Chainsmokers,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,84,2016-07-29,0.748,0.524,8.0,-5.599,1.0,0.0338,0.414,0.0,0.111,0.661,95.01,audio_features,7BKLCZ1jbUBVqRi2FVlTVw,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,244960.0,4.0,
5,5, Arizona,Tucson,Get Back,The Beatles,spotify:track:4MLBqAEzNN89o2M9h92Z26,65,1970-05-08,0.761,0.592,2.0,-9.836,1.0,0.0586,0.492,0.00626,0.61,0.332,123.095,audio_features,4MLBqAEzNN89o2M9h92Z26,spotify:track:4MLBqAEzNN89o2M9h92Z26,https://api.spotify.com/v1/tracks/4MLBqAEzNN89o2M9h92Z26,https://api.spotify.com/v1/audio-analysis/4MLBqAEzNN89o2M9h92Z26,189387.0,4.0,
6,6, Arizona,Tucson,Goin' Back To Tucson,The Supersuckers,spotify:track:3DP9nMPPjC6cdb86XWrkrb,16,1999-11-16,0.267,0.949,8.0,-2.916,1.0,0.0563,0.000416,5.45e-05,0.103,0.42,144.374,audio_features,3DP9nMPPjC6cdb86XWrkrb,spotify:track:3DP9nMPPjC6cdb86XWrkrb,https://api.spotify.com/v1/tracks/3DP9nMPPjC6cdb86XWrkrb,https://api.spotify.com/v1/audio-analysis/3DP9nMPPjC6cdb86XWrkrb,140053.0,4.0,
7,7, Arizona,Tucson,Pray for Tucson,Dave Hause,spotify:track:1wJmq0vWASh3NaIZQUwicn,18,2011-02-01,0.444,0.494,9.0,-7.321,1.0,0.0285,0.118,0.0,0.105,0.345,88.941,audio_features,1wJmq0vWASh3NaIZQUwicn,spotify:track:1wJmq0vWASh3NaIZQUwicn,https://api.spotify.com/v1/tracks/1wJmq0vWASh3NaIZQUwicn,https://api.spotify.com/v1/audio-analysis/1wJmq0vWASh3NaIZQUwicn,204718.0,4.0,
8,8, Arizona,Tucson,Send Me Down To Tucson,Mel Tillis,spotify:track:39smbK45tOIbTEL0pmA0sa,18,2017-11-15,0.326,0.564,9.0,-9.001,1.0,0.0321,0.681,1.8e-05,0.352,0.35,103.081,audio_features,39smbK45tOIbTEL0pmA0sa,spotify:track:39smbK45tOIbTEL0pmA0sa,https://api.spotify.com/v1/tracks/39smbK45tOIbTEL0pmA0sa,https://api.spotify.com/v1/audio-analysis/39smbK45tOIbTEL0pmA0sa,118685.0,3.0,
9,9, Arizona,Tucson,Tucson,Euphoria,error,error,error,,,,,,,,,,,,,,,,,,,
