,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0, California,Avalon (Catalina Isl.),Avalon,Lionel Hampton,spotify:track:3AW4FDbBRJGzyo4lK5jbHs,3,2014-08-12,0.553,0.478,5.0,-13.425,0.0,0.0317,0.423,0.583,0.533,0.463,117.49,audio_features,3AW4FDbBRJGzyo4lK5jbHs,spotify:track:3AW4FDbBRJGzyo4lK5jbHs,https://api.spotify.com/v1/tracks/3AW4FDbBRJGzyo4lK5jbHs,https://api.spotify.com/v1/audio-analysis/3AW4FDbBRJGzyo4lK5jbHs,223268.0,4.0,
1,1, California,Bakersfield,Bakersfield,Social Distortion,spotify:track:6an8qrOsqNuDouAxWMaFIj,39,2011-01-18,0.389,0.629,8.0,-5.168,1.0,0.0385,0.161,0.00015,0.297,0.416,128.197,audio_features,6an8qrOsqNuDouAxWMaFIj,spotify:track:6an8qrOsqNuDouAxWMaFIj,https://api.spotify.com/v1/tracks/6an8qrOsqNuDouAxWMaFIj,https://api.spotify.com/v1/audio-analysis/6an8qrOsqNuDouAxWMaFIj,384773.0,4.0,
2,2, California,Bakersfield,Mexicali Blues,Grateful Dead,spotify:track:3Feu20MBV8MREboccRzlj6,32,2013-09-13,0.627,0.648,2.0,-11.474,1.0,0.0574,0.823,0.534,0.133,0.873,113.861,audio_features,3Feu20MBV8MREboccRzlj6,spotify:track:3Feu20MBV8MREboccRzlj6,https://api.spotify.com/v1/tracks/3Feu20MBV8MREboccRzlj6,https://api.spotify.com/v1/audio-analysis/3Feu20MBV8MREboccRzlj6,229453.0,4.0,
3,3, California,Bakersfield,Streets of Bakersfield,Dwight Yoakam,spotify:track:5B7f2auRhwkl5OjC2bQ58f,55,1988,0.74,0.703,9.0,-11.87,1.0,0.0576,0.0399,5.69e-06,0.0378,0.816,106.878,audio_features,5B7f2auRhwkl5OjC2bQ58f,spotify:track:5B7f2auRhwkl5OjC2bQ58f,https://api.spotify.com/v1/tracks/5B7f2auRhwkl5OjC2bQ58f,https://api.spotify.com/v1/audio-analysis/5B7f2auRhwkl5OjC2bQ58f,168213.0,4.0,
4,4, California,Garden Grove,Garden Grove,"Sublime, covered  Camper Van Beethoven",spotify:track:5tFpkuwgFZQm3jv4PTX4VB,60,1996-07-30,0.531,0.617,4.0,-6.111,0.0,0.0426,0.00225,0.000692,0.0296,0.549,81.64,audio_features,5tFpkuwgFZQm3jv4PTX4VB,spotify:track:5tFpkuwgFZQm3jv4PTX4VB,https://api.spotify.com/v1/tracks/5tFpkuwgFZQm3jv4PTX4VB,https://api.spotify.com/v1/audio-analysis/5tFpkuwgFZQm3jv4PTX4VB,261387.0,4.0,
5,5, California,Garden Grove,Home Again Garden Grove,The Mountain Goats,spotify:track:7ePQe8bp9T43tQ57k6MISd,24,2004-02-02,0.365,0.7,4.0,-4.218,1.0,0.0304,0.348,0.00589,0.106,0.343,168.985,audio_features,7ePQe8bp9T43tQ57k6MISd,spotify:track:7ePQe8bp9T43tQ57k6MISd,https://api.spotify.com/v1/tracks/7ePQe8bp9T43tQ57k6MISd,https://api.spotify.com/v1/audio-analysis/7ePQe8bp9T43tQ57k6MISd,195160.0,4.0,
6,6, California,Malibu,L.A. Boyz,Victoria Justice and Ariana Grande,spotify:track:2cOpRVjsE4qZLZbFOB47VJ,52,2012-11-06,0.616,0.91,8.0,-3.316,0.0,0.124,0.0109,0.0,0.0806,0.714,150.038,audio_features,2cOpRVjsE4qZLZbFOB47VJ,spotify:track:2cOpRVjsE4qZLZbFOB47VJ,https://api.spotify.com/v1/tracks/2cOpRVjsE4qZLZbFOB47VJ,https://api.spotify.com/v1/audio-analysis/2cOpRVjsE4qZLZbFOB47VJ,179600.0,4.0,
7,7, California,Malibu,Malibu,Hole,spotify:track:5bVOX6eyHsML2sB4aMlZEi,59,1998-01-01,0.528,0.904,2.0,-5.854,1.0,0.0343,0.000833,0.0,0.174,0.678,122.372,audio_features,5bVOX6eyHsML2sB4aMlZEi,spotify:track:5bVOX6eyHsML2sB4aMlZEi,https://api.spotify.com/v1/tracks/5bVOX6eyHsML2sB4aMlZEi,https://api.spotify.com/v1/audio-analysis/5bVOX6eyHsML2sB4aMlZEi,230040.0,4.0,
8,8, California,Malibu,Malibu,Miley Cyrus,spotify:track:1UZOjK1BwmwWU14Erba9CZ,77,2017-09-29,0.573,0.781,8.0,-6.406,1.0,0.0555,0.0767,2.64e-05,0.0813,0.343,139.934,audio_features,1UZOjK1BwmwWU14Erba9CZ,spotify:track:1UZOjK1BwmwWU14Erba9CZ,https://api.spotify.com/v1/tracks/1UZOjK1BwmwWU14Erba9CZ,https://api.spotify.com/v1/audio-analysis/1UZOjK1BwmwWU14Erba9CZ,231907.0,4.0,
9,9, California,Malibu,Malibu Gas Station,Sonic Youth,spotify:track:7EkEr0LybjjNdtF998qr4h,23,2009-06-09,0.306,0.862,1.0,-8.663,1.0,0.0448,0.0146,0.473,0.0925,0.183,149.63,audio_features,7EkEr0LybjjNdtF998qr4h,spotify:track:7EkEr0LybjjNdtF998qr4h,https://api.spotify.com/v1/tracks/7EkEr0LybjjNdtF998qr4h,https://api.spotify.com/v1/audio-analysis/7EkEr0LybjjNdtF998qr4h,339200.0,4.0,
