,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0, Colorado,Commerce City,Commerce City Sister,DeVotchKa,spotify:track:6kVvIWLnWH1MgF4BIIPiwn,16,2003-01-01,0.411,0.554,0,-7.682,0,0.0595,0.469,0.0,0.11,0.309,126.454,audio_features,6kVvIWLnWH1MgF4BIIPiwn,spotify:track:6kVvIWLnWH1MgF4BIIPiwn,https://api.spotify.com/v1/tracks/6kVvIWLnWH1MgF4BIIPiwn,https://api.spotify.com/v1/audio-analysis/6kVvIWLnWH1MgF4BIIPiwn,227579,4
1,1, Colorado,Cripple Creek,Up On Cripple Creek,The Band,spotify:track:60VcYHxoyOdZyFb1EaKJdN,63,1969-09-22,0.72,0.716,9,-8.773,1,0.0723,0.226,0.00335,0.0932,0.953,144.376,audio_features,60VcYHxoyOdZyFb1EaKJdN,spotify:track:60VcYHxoyOdZyFb1EaKJdN,https://api.spotify.com/v1/tracks/60VcYHxoyOdZyFb1EaKJdN,https://api.spotify.com/v1/audio-analysis/60VcYHxoyOdZyFb1EaKJdN,274893,4
2,2, Colorado,Denver,40 Miles from Denver,Yonder Mountain String Band,spotify:track:66rH0YhjRwi2JUhjRKWqoT,43,1999-03-12,0.631,0.548,7,-8.886,1,0.0275,0.81,0.0193,0.272,0.622,108.004,audio_features,66rH0YhjRwi2JUhjRKWqoT,spotify:track:66rH0YhjRwi2JUhjRKWqoT,https://api.spotify.com/v1/tracks/66rH0YhjRwi2JUhjRKWqoT,https://api.spotify.com/v1/audio-analysis/66rH0YhjRwi2JUhjRKWqoT,226587,4
3,3, Colorado,Denver,Denver,Larry Gatlin & The Gatlin Brothers,spotify:track:27k9n9Krr0GXmuZ70Hn2rE,24,1984-05-01,0.64,0.534,11,-10.594,0,0.0413,0.671,0.0,0.0943,0.734,148.735,audio_features,27k9n9Krr0GXmuZ70Hn2rE,spotify:track:27k9n9Krr0GXmuZ70Hn2rE,https://api.spotify.com/v1/tracks/27k9n9Krr0GXmuZ70Hn2rE,https://api.spotify.com/v1/audio-analysis/27k9n9Krr0GXmuZ70Hn2rE,174733,4
4,4, Colorado,Denver,Denver,Willie Nelson,spotify:track:6tUusq5keNmGvTV2cFTwaC,33,1975-05-01,0.61,0.0999,9,-16.778,1,0.0831,0.708,1.24e-06,0.129,0.414,128.902,audio_features,6tUusq5keNmGvTV2cFTwaC,spotify:track:6tUusq5keNmGvTV2cFTwaC,https://api.spotify.com/v1/tracks/6tUusq5keNmGvTV2cFTwaC,https://api.spotify.com/v1/audio-analysis/6tUusq5keNmGvTV2cFTwaC,53267,3
5,5, Colorado,Denver,From Denver to L.A.,Elton John,spotify:track:43tTAiAMDqEGg8eXXIESRg,0,2007-09-29,0.535,0.226,4,-15.743,0,0.033,0.904,1.95e-05,0.302,0.245,119.929,audio_features,43tTAiAMDqEGg8eXXIESRg,spotify:track:43tTAiAMDqEGg8eXXIESRg,https://api.spotify.com/v1/tracks/43tTAiAMDqEGg8eXXIESRg,https://api.spotify.com/v1/audio-analysis/43tTAiAMDqEGg8eXXIESRg,299240,4
6,6, Colorado,Denver,Get Out of Denver,Bob Seger,spotify:track:0e9YaZqnRi3QYSMUIdcarE,34,1976-04-12,0.25,0.991,2,-3.36,1,0.507,0.0389,4.11e-05,0.909,0.368,158.917,audio_features,0e9YaZqnRi3QYSMUIdcarE,spotify:track:0e9YaZqnRi3QYSMUIdcarE,https://api.spotify.com/v1/tracks/0e9YaZqnRi3QYSMUIdcarE,https://api.spotify.com/v1/audio-analysis/0e9YaZqnRi3QYSMUIdcarE,320240,4
7,7, Colorado,Denver,O.D.'d in Denver,Hank Williams Jr.,spotify:track:7MJe06aTq57id8qtb1s2du,52,1979,0.604,0.43,7,-13.575,1,0.032,0.0546,0.0,0.0977,0.644,68.257,audio_features,7MJe06aTq57id8qtb1s2du,spotify:track:7MJe06aTq57id8qtb1s2du,https://api.spotify.com/v1/tracks/7MJe06aTq57id8qtb1s2du,https://api.spotify.com/v1/audio-analysis/7MJe06aTq57id8qtb1s2du,160400,4
8,8, Colorado,Denver,Things to Do in Denver When You're Dead,Warren Zevon,spotify:track:61LD6AsNwjp5KtgeunWRVp,29,1991-10-15,0.599,0.56,9,-9.145,1,0.0245,0.00616,2.13e-06,0.091,0.731,87.69,audio_features,61LD6AsNwjp5KtgeunWRVp,spotify:track:61LD6AsNwjp5KtgeunWRVp,https://api.spotify.com/v1/tracks/61LD6AsNwjp5KtgeunWRVp,https://api.spotify.com/v1/audio-analysis/61LD6AsNwjp5KtgeunWRVp,172693,4
9,9, Colorado,Telluride,Telluride,Tim McGraw,spotify:track:0NJpYuKZ7LaRtVPEIVpRES,39,2001-04-24,0.603,0.794,3,-6.407,1,0.0305,0.0706,0.0,0.212,0.475,112.8,audio_features,0NJpYuKZ7LaRtVPEIVpRES,spotify:track:0NJpYuKZ7LaRtVPEIVpRES,https://api.spotify.com/v1/tracks/0NJpYuKZ7LaRtVPEIVpRES,https://api.spotify.com/v1/audio-analysis/0NJpYuKZ7LaRtVPEIVpRES,228867,4
